hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,1.000000,P1,7,56,1.000000
RH,63,2.250000,P1,7,63,1.500000
RH,60,3.625000,P1,7,60,2.000000
LH,56,4.875000,P1,7,56,2.500000
RH,65,6.125000,P1,7,65,3.000000
RH,61,7.375000,P1,7,61,3.500000
RH,63,8.750000,P1,2,63,4.000000
LH,51,11.333333,P1,5,51,5.000000
RH,61,11.875000,P1,2,61,5.250000
LH,56,12.500000,P1,5,56,5.500000
RH,60,12.500000,P1,2,60,5.500000
RH,61,13.000000,P1,2,61,5.750000
LH,55,13.625000,P1,5,55,6.000000
RH,63,13.625000,P1,2,63,6.000000
RH,65,14.125000,P1,2,65,6.250000
LH,51,14.666667,P1,5,51,6.500000
RH,67,14.750000,P1,2,67,6.500000
RH,63,15.333333,P1,2,63,6.750000
RH,60,15.875000,P1,5,60,7.000000
RH,68,15.875000,P1,2,68,7.000000
RH,70,16.375000,P1,2,70,7.250000
LH,56,16.875000,P1,5,56,7.500000
RH,72,16.875000,P1,2,72,7.500000
RH,70,17.500000,P1,2,70,7.750000
LH,58,17.875000,P1,5,58,8.000000
RH,68,17.875000,P1,2,68,8.000000
RH,67,18.500000,P1,2,67,8.250000
LH,51,19.000000,P1,5,51,8.500000
RH,65,19.000000,P1,2,65,8.500000
RH,68,19.500000,P1,2,68,8.750000
LH,58,20.125000,P1,5,58,9.000000
RH,67,20.125000,P1,2,67,9.000000
LH,55,21.333333,P1,5,55,9.500000
LH,56,22.500000,P1,5,56,10.000000
LH,51,23.666667,P1,5,51,10.500000
LH,56,24.875000,P1,5,56,11.000000
RH,65,24.875000,P1,2,65,11.000000
LH,53,26.125000,P1,5,53,11.500000
LH,55,27.250000,P1,5,55,12.000000
RH,63,27.750000,P1,2,63,12.250000
RH,62,28.333333,P1,2,62,12.500000
RH,65,28.875000,P1,2,65,12.750000
RH,63,29.500000,P1,2,63,13.000000
LH,48,29.875000,P1,5,48,13.250000
LH,49,30.500000,P1,5,49,13.500000
LH,51,31.125000,P1,5,51,13.750000
LH,53,31.625000,P1,5,53,14.000000
LH,55,32.125000,P1,5,55,14.250000
LH,56,32.666667,P1,5,56,14.500000
RH,61,32.666667,P1,2,61,14.500000
LH,53,33.125000,P1,5,53,14.750000
RH,60,33.125000,P1,2,60,14.750000
LH,58,33.666667,P1,5,58,15.000000
RH,61,33.666667,P1,2,61,15.000000
RH,60,34.250000,P1,5,60,15.250000
RH,65,34.250000,P1,2,65,15.250000
RH,61,34.750000,P1,5,61,15.500000
RH,70,34.750000,P1,2,70,15.500000
RH,60,35.250000,P1,5,60,15.750000
RH,68,35.250000,P1,2,68,15.750000
LH,58,35.750000,P1,5,58,16.000000
RH,67,35.750000,P1,2,67,16.000000
LH,56,36.250000,P1,5,56,16.250000
RH,65,36.250000,P1,2,65,16.250000
LH,55,36.750000,P1,5,55,16.500000
RH,63,36.750000,P1,2,63,16.500000
LH,58,37.250000,P1,5,58,16.750000
RH,61,37.250000,P1,2,61,16.750000
LH,56,37.875000,P1,5,56,17.000000
RH,60,37.875000,P1,2,60,17.000000
RH,68,37.875000,P1,1,68,17.000000
LH,58,38.375000,P1,2,58,17.250000
RH,60,38.875000,P1,2,60,17.500000
RH,75,38.875000,P1,1,75,17.500000
RH,61,39.500000,P1,2,61,17.750000
RH,63,40.000000,P1,2,63,18.000000
RH,72,40.000000,P1,1,72,18.000000
LH,44,40.500000,P1,5,44,18.250000
LH,46,41.000000,P1,5,46,18.500000
RH,68,41.125000,P1,1,68,18.500000
LH,48,41.500000,P1,5,48,18.750000
LH,49,42.125000,P1,5,49,19.000000
RH,77,42.125000,P1,1,77,19.000000
LH,51,42.625000,P1,5,51,19.250000
LH,53,43.250000,P1,5,53,19.500000
RH,73,43.250000,P1,1,73,19.500000
LH,51,43.666667,P1,5,51,19.750000
LH,49,44.250000,P1,6,49,20.000000
LH,55,44.250000,P1,5,55,20.000000
RH,75,44.250000,P1,1,75,20.000000
LH,48,44.750000,P1,6,48,20.250000
LH,46,45.333333,P1,6,46,20.500000
LH,49,45.875000,P1,6,49,20.750000
LH,48,46.375000,P1,6,48,21.000000
LH,56,46.375000,P1,5,56,21.000000
RH,63,46.375000,P1,2,63,21.000000
LH,58,47.000000,P1,5,58,21.250000
RH,60,47.500000,P1,5,60,21.500000
RH,68,47.500000,P1,2,68,21.500000
LH,50,48.000000,P1,6,50,21.750000
LH,51,48.625000,P1,6,51,22.000000
RH,67,48.625000,P1,2,67,22.000000
LH,53,49.125000,P1,6,53,22.250000
LH,55,49.666667,P1,6,55,22.500000
RH,63,49.666667,P1,2,63,22.500000
LH,58,50.125000,P1,5,58,22.750000
LH,56,50.750000,P1,5,56,23.000000
RH,72,50.750000,P1,2,72,23.000000
RH,80,50.750000,P1,1,80,23.000000
LH,55,51.250000,P1,6,55,23.250000
LH,53,51.875000,P1,6,53,23.500000
RH,60,51.875000,P1,5,60,23.500000
RH,68,51.875000,P1,2,68,23.500000
LH,51,52.333333,P1,6,51,23.750000
LH,50,53.000000,P1,6,50,24.000000
LH,53,53.000000,P1,5,53,24.000000
RH,70,53.000000,P1,2,70,24.000000
RH,80,53.000000,P1,1,80,24.000000
LH,46,53.500000,P1,6,46,24.250000
