hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,1.000000,P1,7,56,1.000000
LH,55,3.375000,P1,7,55,2.000000
LH,56,4.500000,P1,7,56,2.500000
LH,58,5.000000,P1,7,58,2.750000
LH,59,5.750000,P1,7,59,3.000000
LH,58,6.875000,P1,7,58,3.500000
LH,56,8.125000,P1,7,56,4.000000
RH,62,9.250000,P1,7,62,4.500000
RH,63,10.500000,P1,7,63,5.000000
LH,54,11.666667,P1,7,54,5.500000
LH,56,12.875000,P1,7,56,6.000000
LH,56,14.000000,P1,7,56,6.500000
LH,58,15.250000,P1,7,58,7.000000
LH,58,16.375000,P1,7,58,7.500000
LH,51,17.666667,P1,7,51,8.000000
LH,53,18.750000,P1,7,53,8.500000
LH,54,20.125000,P1,7,54,9.000000
RH,63,20.125000,P1,3,63,9.000000
RH,60,22.625000,P1,3,60,10.000000
LH,52,23.875000,P1,7,52,10.500000
RH,61,23.875000,P1,3,61,10.500000
LH,54,24.375000,P1,7,54,10.750000
RH,63,24.375000,P1,3,63,10.750000
LH,56,25.000000,P1,7,56,11.000000
RH,64,25.000000,P1,3,64,11.000000
LH,55,26.125000,P1,7,55,11.500000
RH,63,26.125000,P1,3,63,11.500000
LH,56,26.625000,P1,7,56,11.750000
RH,61,27.250000,P1,3,61,12.000000
LH,58,27.333333,P1,7,58,12.000000
LH,56,28.375000,P1,7,56,12.500000
RH,67,28.375000,P1,3,67,12.500000
LH,58,29.000000,P1,7,58,12.750000
LH,59,29.666667,P1,7,59,13.000000
RH,68,29.666667,P1,3,68,13.000000
LH,59,30.875000,P1,3,59,13.500000
LH,56,31.000000,P1,7,56,13.500000
RH,61,32.000000,P1,3,61,14.000000
LH,58,32.125000,P1,7,58,14.000000
RH,61,33.250000,P1,3,61,14.500000
LH,55,34.500000,P1,7,55,15.000000
RH,63,34.500000,P1,3,63,15.000000
RH,63,35.625000,P1,3,63,15.500000
LH,54,38.000000,P1,7,54,16.500000
RH,61,39.250000,P1,2,61,17.000000
RH,68,39.250000,P1,1,68,17.000000
LH,52,39.333333,P1,7,52,17.000000
LH,51,41.500000,P1,7,51,18.000000
RH,67,41.500000,P1,1,67,18.000000
LH,56,42.750000,P1,7,56,18.500000
LH,59,42.750000,P1,2,59,18.500000
RH,68,42.750000,P1,1,68,18.500000
RH,61,43.250000,P1,2,61,18.750000
RH,70,43.250000,P1,1,70,18.750000
RH,63,43.875000,P1,2,63,19.000000
RH,71,43.875000,P1,1,71,19.000000
LH,58,45.000000,P1,7,58,19.500000
RH,62,45.000000,P1,2,62,19.500000
RH,70,45.000000,P1,1,70,19.500000
RH,63,45.500000,P1,2,63,19.750000
LH,59,46.125000,P1,7,59,20.000000
RH,65,46.125000,P1,2,65,20.000000
RH,68,46.125000,P1,1,68,20.000000
RH,63,47.333333,P1,2,63,20.500000
RH,74,47.333333,P1,1,74,20.500000
RH,65,47.875000,P1,2,65,20.750000
LH,58,48.500000,P1,7,58,21.000000
RH,66,48.500000,P1,2,66,21.000000
RH,75,48.500000,P1,1,75,21.000000
RH,63,49.666667,P1,2,63,21.500000
RH,66,49.666667,P1,1,66,21.500000
RH,65,50.875000,P1,2,65,22.000000
RH,68,50.875000,P1,1,68,22.000000
LH,56,51.000000,P1,7,56,22.000000
RH,68,52.000000,P1,1,68,22.500000
RH,70,53.250000,P1,1,70,23.000000
RH,62,53.333333,P1,2,62,23.000000
RH,70,54.500000,P1,1,70,23.500000
LH,54,56.875000,P1,7,54,24.500000
RH,65,56.875000,P1,1,65,24.500000
LH,56,57.333333,P1,7,56,24.750000
LH,51,58.000000,P1,7,51,25.000000
LH,58,58.000000,P1,5,58,25.000000
RH,66,58.000000,P1,1,66,25.000000
LH,54,59.250000,P1,5,54,25.500000
LH,58,59.250000,P1,2,58,25.500000
LH,48,60.500000,P1,7,48,26.000000
LH,51,60.500000,P1,5,51,26.000000
LH,56,60.500000,P1,2,56,26.000000
LH,49,61.750000,P1,7,49,26.500000
LH,52,61.750000,P1,5,52,26.500000
RH,64,61.750000,P1,1,64,26.500000
LH,51,62.250000,P1,7,51,26.750000
RH,66,62.250000,P1,1,66,26.750000
LH,52,62.875000,P1,7,52,27.000000
RH,68,62.875000,P1,1,68,27.000000
LH,51,64.000000,P1,7,51,27.500000
LH,59,64.000000,P1,5,59,27.500000
RH,63,64.000000,P1,2,63,27.500000
RH,67,64.000000,P1,1,67,27.500000
RH,68,64.500000,P1,1,68,27.750000
LH,49,65.125000,P1,5,49,28.000000
RH,61,65.125000,P1,3,61,28.000000
RH,64,65.125000,P1,2,64,28.000000
RH,70,65.125000,P1,1,70,28.000000
LH,55,66.375000,P1,5,55,28.500000
RH,63,66.375000,P1,2,63,28.500000
RH,68,66.375000,P1,1,68,28.500000
RH,70,66.875000,P1,1,70,28.750000
RH,71,67.500000,P1,1,71,29.000000
LH,56,67.625000,P1,5,56,29.000000
LH,47,68.750000,P1,5,47,29.500000
RH,68,68.750000,P1,1,68,29.500000
LH,49,69.875000,P1,5,49,30.000000
RH,61,69.875000,P1,2,61,30.000000
RH,64,69.875000,P1,2,64,30.000000
RH,70,69.875000,P1,1,70,30.000000
LH,49,71.125000,P1,5,49,30.500000
LH,51,72.333333,P1,5,51,31.000000
LH,58,72.333333,P1,2,58,31.000000
RH,63,72.333333,P1,2,63,31.000000
RH,67,72.333333,P1,1,67,31.000000
LH,51,73.500000,P1,5,51,31.500000
LH,44,74.750000,P1,5,44,32.000000
LH,59,74.750000,P1,2,59,32.000000
RH,63,74.750000,P1,2,63,32.000000
RH,68,74.750000,P1,1,68,32.000000
RH,70,76.000000,P1,1,70,32.500000
RH,71,77.250000,P1,1,71,33.000000
LH,51,78.333333,P1,5,51,33.500000
LH,59,78.333333,P1,2,59,33.500000
RH,66,78.333333,P1,2,66,33.500000
LH,52,79.625000,P1,5,52,34.000000
RH,64,79.625000,P1,2,64,34.000000
RH,68,79.625000,P1,2,68,34.000000
RH,73,79.625000,P1,1,73,34.000000
LH,52,80.750000,P1,5,52,34.500000
LH,54,81.875000,P1,5,54,35.000000
RH,61,81.875000,P1,2,61,35.000000
RH,66,81.875000,P1,2,66,35.000000
RH,70,81.875000,P1,1,70,35.000000
LH,54,83.125000,P1,5,54,35.500000
LH,47,84.333333,P1,5,47,36.000000
RH,63,84.333333,P1,2,63,36.000000
RH,66,84.333333,P1,2,66,36.000000
RH,71,84.333333,P1,1,71,36.000000
RH,75,85.625000,P1,1,75,36.500000
RH,74,86.125000,P1,1,74,36.750000
RH,75,86.750000,P1,1,75,37.000000
LH,54,87.875000,P1,5,54,37.500000
RH,63,87.875000,P1,2,63,37.500000
RH,70,87.875000,P1,2,70,37.500000
LH,56,89.125000,P1,5,56,38.000000
RH,68,89.125000,P1,2,68,38.000000
RH,71,89.125000,P1,2,71,38.000000
RH,77,89.125000,P1,1,77,38.000000
LH,56,90.333333,P1,5,56,38.500000
LH,58,91.500000,P1,5,58,39.000000
RH,65,91.500000,P1,2,65,39.000000
RH,70,91.500000,P1,2,70,39.000000
RH,74,91.500000,P1,1,74,39.000000
LH,58,92.666667,P1,5,58,39.500000
LH,51,93.875000,P1,5,51,40.000000
RH,63,93.875000,P1,2,63,40.000000
RH,66,93.875000,P1,3,66,40.000000
RH,75,93.875000,P1,1,75,40.000000
RH,68,95.125000,P1,3,68,40.500000
RH,77,95.125000,P1,1,77,40.500000
RH,63,96.333333,P1,7,63,41.000000
RH,70,96.333333,P1,2,70,41.000000
RH,78,96.333333,P1,1,78,41.000000
RH,71,97.500000,P1,2,71,41.500000
RH,70,98.000000,P1,2,70,41.750000
RH,60,98.666667,P1,7,60,42.000000
RH,68,98.666667,P1,2,68,42.000000
RH,61,99.875000,P1,7,61,42.500000
RH,73,99.875000,P1,2,73,42.500000
RH,76,99.875000,P1,1,76,42.500000
RH,63,100.333333,P1,7,63,42.750000
RH,78,100.333333,P1,1,78,42.750000
RH,64,101.000000,P1,7,64,43.000000
RH,80,101.000000,P1,1,80,43.000000
RH,63,102.125000,P1,7,63,43.500000
RH,75,102.125000,P1,2,75,43.500000
RH,79,102.125000,P1,1,79,43.500000
RH,80,102.625000,P1,1,80,43.750000
RH,61,103.333333,P1,7,61,44.000000
RH,76,103.333333,P1,2,76,44.000000
RH,82,103.333333,P1,1,82,44.000000
RH,67,104.500000,P1,7,67,44.500000
RH,80,104.500000,P1,1,80,44.500000
RH,82,105.000000,P1,1,82,44.750000
RH,68,105.666667,P1,7,68,45.000000
RH,75,105.666667,P1,2,75,45.000000
RH,83,105.666667,P1,1,83,45.000000
LH,59,106.875000,P1,7,59,45.500000
RH,80,106.875000,P1,1,80,45.500000
RH,61,108.000000,P1,7,61,46.000000
RH,73,108.000000,P1,2,73,46.000000
RH,82,108.000000,P1,1,82,46.000000
RH,61,109.250000,P1,7,61,46.500000
RH,63,110.375000,P1,7,63,47.000000
RH,79,110.375000,P1,1,79,47.000000
RH,63,111.666667,P1,7,63,47.500000
LH,56,112.875000,P1,7,56,48.000000
RH,80,112.875000,P1,1,80,48.000000
RH,78,114.125000,P1,1,78,48.500000
RH,76,114.625000,P1,1,76,48.750000
RH,71,115.250000,P1,2,71,49.000000
RH,75,115.250000,P1,1,75,49.000000
LH,56,116.375000,P1,7,56,49.500000
RH,76,116.375000,P1,1,76,49.500000
LH,57,117.625000,P1,7,57,50.000000
RH,69,117.625000,P1,2,69,50.000000
RH,78,117.625000,P1,1,78,50.000000
LH,57,118.750000,P1,7,57,50.500000
LH,59,120.000000,P1,7,59,51.000000
RH,75,120.000000,P1,1,75,51.000000
LH,59,121.250000,P1,7,59,51.500000
LH,52,122.333333,P1,7,52,52.000000
RH,76,122.333333,P1,1,76,52.000000
RH,75,123.500000,P1,1,75,52.500000
RH,73,124.000000,P1,1,73,52.750000
RH,68,124.625000,P1,2,68,53.000000
RH,72,124.625000,P1,1,72,53.000000
LH,52,125.750000,P1,7,52,53.500000
RH,73,125.750000,P1,1,73,53.500000
LH,54,127.000000,P1,7,54,54.000000
RH,66,127.000000,P1,2,66,54.000000
RH,75,127.000000,P1,1,75,54.000000
LH,54,128.125000,P1,7,54,54.500000
LH,56,129.250000,P1,7,56,55.000000
RH,72,129.250000,P1,1,72,55.000000
LH,56,130.375000,P1,7,56,55.500000
RH,73,131.625000,P1,1,73,56.000000
LH,49,131.666667,P1,5,49,56.000000
LH,51,132.750000,P1,5,51,56.500000
RH,64,132.750000,P1,2,64,56.500000
RH,66,133.250000,P1,2,66,56.750000
LH,49,134.000000,P1,6,49,57.000000
LH,52,134.000000,P1,5,52,57.000000
RH,68,134.000000,P1,2,68,57.000000
LH,54,135.125000,P1,5,54,57.500000
RH,66,135.125000,P1,2,66,57.500000
RH,64,135.625000,P1,2,64,57.750000
LH,48,136.125000,P1,6,48,58.000000
LH,56,136.125000,P1,5,56,58.000000
RH,63,136.125000,P1,2,63,58.000000
RH,64,137.333333,P1,2,64,58.500000
RH,73,137.333333,P1,1,73,58.500000
LH,49,137.375000,P1,6,49,58.500000
LH,51,137.875000,P1,6,51,58.750000
RH,66,137.875000,P1,2,66,58.750000
LH,52,138.500000,P1,6,52,59.000000
