hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,57,1.625000,P1,2,57,1.000000
LH,59,2.333333,P1,2,59,1.500000
RH,60,3.125000,P1,2,60,2.000000
RH,60,3.750000,P1,2,60,2.500000
LH,59,4.125000,P1,2,59,2.750000
RH,60,4.500000,P1,2,60,3.000000
RH,62,5.125000,P1,2,62,3.500000
RH,64,5.875000,P1,2,64,4.000000
RH,62,6.125000,P1,2,62,4.250000
RH,60,6.500000,P1,2,60,4.500000
RH,62,6.750000,P1,2,62,4.750000
RH,64,7.125000,P1,2,64,5.000000
RH,65,7.875000,P1,2,65,5.500000
LH,56,8.500000,P1,2,56,6.000000
LH,52,9.333333,P1,2,52,6.500000
LH,57,10.750000,P1,2,57,7.500000
LH,59,11.500000,P1,2,59,8.000000
RH,60,11.750000,P1,2,60,8.250000
LH,57,12.125000,P1,2,57,8.500000
LH,59,12.375000,P1,2,59,8.750000
RH,60,12.750000,P1,2,60,9.000000
RH,62,13.125000,P1,2,62,9.250000
LH,59,13.375000,P1,2,59,9.500000
RH,60,13.666667,P1,2,60,9.750000
RH,62,14.125000,P1,2,62,10.000000
RH,60,14.875000,P1,2,60,10.500000
LH,59,15.500000,P1,2,59,11.000000
RH,64,16.250000,P1,2,64,11.500000
LH,57,17.000000,P1,7,57,12.000000
RH,64,17.666667,P1,1,64,12.500000
RH,63,18.000000,P1,1,63,12.750000
LH,55,18.333333,P1,7,55,13.000000
RH,64,18.333333,P1,1,64,13.000000
LH,54,19.000000,P1,7,54,13.500000
RH,66,19.000000,P1,1,66,13.500000
LH,52,19.666667,P1,7,52,14.000000
RH,67,19.666667,P1,1,67,14.000000
RH,60,20.375000,P1,7,60,14.500000
RH,67,20.375000,P1,1,67,14.500000
RH,66,20.666667,P1,1,66,14.750000
LH,59,21.000000,P1,7,59,15.000000
RH,67,21.000000,P1,1,67,15.000000
LH,57,21.666667,P1,7,57,15.500000
RH,69,21.666667,P1,1,69,15.500000
LH,55,22.333333,P1,7,55,16.000000
RH,71,22.333333,P1,1,71,16.000000
LH,54,22.666667,P1,7,54,16.250000
RH,69,22.666667,P1,1,69,16.250000
LH,52,23.000000,P1,7,52,16.500000
RH,67,23.000000,P1,1,67,16.500000
LH,54,23.250000,P1,7,54,16.750000
RH,69,23.250000,P1,1,69,16.750000
RH,71,23.625000,P1,1,71,17.000000
LH,55,23.666667,P1,7,55,17.000000
LH,57,24.250000,P1,7,57,17.500000
RH,72,24.250000,P1,1,72,17.500000
LH,59,25.000000,P1,7,59,18.000000
RH,63,25.000000,P1,1,63,18.000000
LH,57,25.250000,P1,7,57,18.250000
LH,55,25.666667,P1,7,55,18.500000
LH,59,25.666667,P1,1,59,18.500000
LH,57,26.000000,P1,7,57,18.750000
LH,59,26.333333,P1,7,59,19.000000
RH,60,27.000000,P1,7,60,19.500000
RH,64,27.000000,P1,1,64,19.500000
RH,66,27.666667,P1,1,66,20.000000
RH,67,28.000000,P1,1,67,20.250000
RH,64,28.333333,P1,1,64,20.500000
LH,59,28.375000,P1,7,59,20.500000
LH,57,28.625000,P1,7,57,20.750000
RH,66,28.625000,P1,1,66,20.750000
LH,59,29.000000,P1,7,59,21.000000
RH,67,29.000000,P1,1,67,21.000000
RH,69,29.250000,P1,1,69,21.250000
RH,64,29.625000,P1,7,64,21.500000
RH,66,29.625000,P1,1,66,21.500000
RH,67,29.875000,P1,1,67,21.750000
RH,69,30.250000,P1,1,69,22.000000
RH,67,30.875000,P1,1,67,22.500000
RH,62,31.000000,P1,7,62,22.500000
RH,61,31.250000,P1,7,61,22.750000
RH,62,31.625000,P1,7,62,23.000000
RH,66,31.625000,P1,1,66,23.000000
RH,71,32.333333,P1,1,71,23.500000
RH,64,33.000000,P1,1,64,24.000000
RH,60,33.666667,P1,7,60,24.500000
RH,66,33.666667,P1,1,66,24.500000
LH,59,34.000000,P1,7,59,24.750000
RH,68,34.000000,P1,1,68,24.750000
RH,60,34.333333,P1,7,60,25.000000
RH,69,34.333333,P1,1,69,25.000000
RH,71,34.625000,P1,1,71,25.250000
RH,72,35.000000,P1,1,72,25.500000
RH,74,35.250000,P1,1,74,25.750000
RH,76,35.625000,P1,1,76,26.000000
RH,69,35.875000,P1,7,69,26.250000
RH,67,36.250000,P1,7,67,26.500000
RH,69,36.250000,P1,1,69,26.500000
RH,65,36.500000,P1,7,65,26.750000
RH,64,36.875000,P1,7,64,27.000000
RH,68,36.875000,P1,1,68,27.000000
RH,62,37.250000,P1,7,62,27.250000
RH,60,37.500000,P1,7,60,27.500000
LH,59,37.750000,P1,7,59,27.750000
RH,60,38.125000,P1,2,60,28.000000
RH,69,38.125000,P1,1,69,28.000000
LH,59,38.375000,P1,2,59,28.250000
LH,45,38.750000,P1,5,45,28.500000
RH,60,38.750000,P1,2,60,28.500000
RH,69,38.750000,P1,1,69,28.500000
LH,44,39.125000,P1,5,44,28.750000
LH,45,39.500000,P1,5,45,29.000000
RH,67,39.500000,P1,1,67,29.000000
LH,47,40.125000,P1,5,47,29.500000
RH,62,40.125000,P1,2,62,29.500000
RH,65,40.125000,P1,1,65,29.500000
LH,48,40.875000,P1,5,48,30.000000
RH,62,41.250000,P1,2,62,30.250000
LH,48,41.500000,P1,5,48,30.500000
RH,64,41.500000,P1,2,64,30.500000
RH,72,41.500000,P1,1,72,30.500000
LH,47,41.750000,P1,5,47,30.750000
LH,48,42.125000,P1,5,48,31.000000
RH,71,42.125000,P1,1,71,31.000000
LH,50,42.875000,P1,5,50,31.500000
RH,65,42.875000,P1,2,65,31.500000
RH,69,42.875000,P1,1,69,31.500000
LH,52,43.625000,P1,5,52,32.000000
RH,68,43.625000,P1,1,68,32.000000
LH,50,43.875000,P1,5,50,32.250000
RH,66,43.875000,P1,2,66,32.250000
LH,48,44.250000,P1,5,48,32.500000
RH,64,44.250000,P1,2,64,32.500000
RH,76,44.250000,P1,1,76,32.500000
LH,50,44.500000,P1,5,50,32.750000
RH,66,44.500000,P1,2,66,32.750000
LH,52,44.875000,P1,5,52,33.000000
RH,68,44.875000,P1,2,68,33.000000
RH,74,44.875000,P1,1,74,33.000000
LH,53,45.625000,P1,5,53,33.500000
RH,69,45.625000,P1,2,69,33.500000
RH,72,45.625000,P1,1,72,33.500000
LH,44,46.333333,P1,5,44,34.000000
RH,72,46.666667,P1,1,72,34.250000
LH,40,47.000000,P1,5,40,34.500000
RH,74,47.000000,P1,1,74,34.500000
RH,71,47.375000,P1,1,71,34.750000
RH,72,47.750000,P1,1,72,35.000000
RH,71,48.000000,P1,1,71,35.250000
LH,45,48.333333,P1,5,45,35.500000
RH,72,48.666667,P1,1,72,35.750000
LH,47,49.000000,P1,5,47,36.000000
RH,67,49.000000,P1,2,67,36.000000
RH,74,49.000000,P1,1,74,36.000000
LH,48,49.333333,P1,5,48,36.250000
RH,76,49.375000,P1,1,76,36.250000
LH,45,49.625000,P1,5,45,36.500000
RH,77,49.625000,P1,1,77,36.500000
LH,47,49.875000,P1,5,47,36.750000
RH,74,50.000000,P1,1,74,36.750000
LH,49,50.250000,P1,5,49,37.000000
RH,76,50.333333,P1,1,76,37.000000
LH,50,50.625000,P1,5,50,37.250000
RH,65,50.625000,P1,2,65,37.250000
LH,47,50.875000,P1,5,47,37.500000
RH,64,50.875000,P1,2,64,37.500000
LH,49,51.250000,P1,5,49,37.750000
RH,67,51.250000,P1,2,67,37.750000
LH,50,51.625000,P1,5,50,38.000000
RH,66,51.666667,P1,2,66,38.000000
LH,48,52.333333,P1,5,48,38.500000
RH,69,52.333333,P1,1,69,38.500000
LH,47,53.000000,P1,5,47,39.000000
RH,68,53.000000,P1,2,68,39.000000
RH,71,53.000000,P1,1,71,39.000000
RH,72,53.250000,P1,1,72,39.250000
LH,52,53.625000,P1,5,52,39.500000
RH,74,53.625000,P1,1,74,39.500000
LH,45,54.375000,P1,6,45,40.000000
RH,69,54.375000,P1,2,69,40.000000
LH,47,55.000000,P1,6,47,40.500000
LH,52,55.000000,P1,5,52,40.500000
RH,69,55.000000,P1,2,69,40.500000
RH,72,55.000000,P1,1,72,40.500000
LH,51,55.333333,P1,5,51,40.750000
LH,49,55.666667,P1,6,49,41.000000
LH,52,55.666667,P1,5,52,41.000000
RH,67,55.666667,P1,2,67,41.000000
RH,71,55.666667,P1,1,71,41.000000
LH,51,56.375000,P1,6,51,41.500000
LH,54,56.375000,P1,5,54,41.500000
RH,66,56.375000,P1,2,66,41.500000
RH,69,56.375000,P1,1,69,41.500000
LH,52,57.125000,P1,6,52,42.000000
LH,55,57.125000,P1,5,55,42.000000
RH,64,57.125000,P1,2,64,42.000000
RH,67,57.125000,P1,1,67,42.000000
LH,52,57.750000,P1,6,52,42.500000
LH,55,57.750000,P1,5,55,42.500000
RH,72,57.750000,P1,2,72,42.500000
RH,76,57.750000,P1,1,76,42.500000
LH,51,58.000000,P1,6,51,42.750000
LH,54,58.000000,P1,5,54,42.750000
LH,52,58.375000,P1,6,52,43.000000
LH,55,58.375000,P1,5,55,43.000000
RH,71,58.375000,P1,2,71,43.000000
RH,74,58.375000,P1,1,74,43.000000
LH,54,59.000000,P1,6,54,43.500000
LH,57,59.000000,P1,5,57,43.500000
RH,69,59.000000,P1,2,69,43.500000
RH,72,59.000000,P1,1,72,43.500000
LH,55,59.750000,P1,6,55,44.000000
LH,59,59.750000,P1,5,59,44.000000
RH,67,59.750000,P1,2,67,44.000000
RH,71,59.750000,P1,1,71,44.000000
LH,57,60.000000,P1,5,57,44.250000
RH,66,60.000000,P1,2,66,44.250000
LH,55,60.375000,P1,5,55,44.500000
RH,64,60.375000,P1,2,64,44.500000
LH,57,60.666667,P1,5,57,44.750000
RH,66,60.666667,P1,2,66,44.750000
LH,59,61.000000,P1,5,59,45.000000
RH,67,61.000000,P1,2,67,45.000000
LH,57,61.750000,P1,6,57,45.500000
RH,60,61.750000,P1,5,60,45.500000
RH,66,61.875000,P1,2,66,45.500000
RH,69,61.875000,P1,1,69,45.500000
LH,51,62.500000,P1,5,51,46.000000
LH,59,62.500000,P1,6,59,46.000000
RH,64,63.125000,P1,2,64,46.500000
RH,67,63.125000,P1,1,67,46.500000
LH,45,63.500000,P1,6,45,46.750000
RH,63,63.500000,P1,2,63,46.750000
RH,66,63.500000,P1,1,66,46.750000
LH,43,63.875000,P1,6,43,47.000000
RH,64,63.875000,P1,2,64,47.000000
RH,67,63.875000,P1,1,67,47.000000
RH,69,64.125000,P1,1,69,47.250000
LH,40,64.500000,P1,6,40,47.500000
LH,52,64.500000,P1,5,52,47.500000
RH,71,64.500000,P1,1,71,47.500000
RH,67,64.875000,P1,1,67,47.750000
LH,45,65.125000,P1,6,45,48.000000
LH,54,65.125000,P1,5,54,48.000000
RH,72,65.125000,P1,1,72,48.000000
LH,55,65.500000,P1,5,55,48.250000
LH,52,65.875000,P1,5,52,48.500000
RH,69,65.875000,P1,2,69,48.500000
LH,54,66.125000,P1,5,54,48.750000
RH,63,66.125000,P1,2,63,48.750000
LH,47,66.500000,P1,6,47,49.000000
LH,55,66.500000,P1,5,55,49.000000
RH,64,66.500000,P1,2,64,49.000000
LH,57,66.750000,P1,5,57,49.250000
LH,54,67.125000,P1,5,54,49.500000
RH,71,67.125000,P1,1,71,49.500000
LH,55,67.375000,P1,5,55,49.750000
LH,48,67.750000,P1,6,48,50.000000
LH,57,67.750000,P1,5,57,50.000000
RH,69,67.750000,P1,1,69,50.000000
RH,67,68.125000,P1,1,67,50.250000
LH,47,68.500000,P1,6,47,50.500000
LH,55,68.500000,P1,5,55,50.500000
RH,69,68.500000,P1,1,69,50.500000
RH,71,68.750000,P1,1,71,50.750000
LH,45,69.125000,P1,6,45,51.000000
LH,54,69.125000,P1,5,54,51.000000
