hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,70,1.000000,P1,3,70,0.000000
RH,65,3.125000,P1,3,65,2.000000
RH,78,6.250000,P1,3,78,5.000000
RH,77,7.250000,P1,3,77,6.000000
RH,75,8.250000,P1,3,75,7.000000
RH,65,9.125000,P1,2,65,8.000000
RH,73,9.125000,P1,1,73,8.000000
RH,72,10.250000,P1,1,72,9.000000
LH,58,11.125000,P1,2,58,10.000000
RH,73,11.125000,P1,1,73,10.000000
RH,75,12.125000,P1,1,75,11.000000
RH,77,13.000000,P1,1,77,12.000000
RH,73,14.000000,P1,2,73,13.000000
RH,76,14.000000,P1,1,76,13.000000
RH,77,14.333333,P1,1,77,13.500000
RH,72,14.875000,P1,2,72,14.000000
RH,79,14.875000,P1,1,79,14.000000
RH,70,15.750000,P1,2,70,15.000000
RH,68,16.625000,P1,2,68,16.000000
RH,67,17.500000,P1,2,67,17.000000
RH,80,17.500000,P1,1,80,17.000000
RH,79,17.875000,P1,1,79,17.500000
RH,68,18.375000,P1,2,68,18.000000
RH,77,18.375000,P1,1,77,18.000000
RH,70,19.333333,P1,2,70,19.000000
RH,72,20.250000,P1,2,72,20.000000
RH,75,21.125000,P1,1,75,21.000000
RH,73,21.625000,P1,1,73,21.500000
RH,75,22.000000,P1,1,75,22.000000
RH,70,22.875000,P1,2,70,23.000000
RH,77,22.875000,P1,1,77,23.000000
RH,70,23.875000,P1,2,70,24.000000
RH,78,23.875000,P1,1,78,24.000000
RH,72,24.750000,P1,2,72,25.000000
RH,73,25.625000,P1,2,73,26.000000
RH,77,26.500000,P1,1,77,27.000000
RH,75,27.000000,P1,1,75,27.500000
RH,77,27.375000,P1,1,77,28.000000
RH,72,28.250000,P1,2,72,29.000000
RH,79,28.250000,P1,1,79,29.000000
RH,70,28.666667,P1,2,70,29.500000
RH,72,29.125000,P1,2,72,30.000000
RH,80,29.125000,P1,1,80,30.000000
RH,74,30.000000,P1,2,74,31.000000
RH,75,31.000000,P1,2,75,32.000000
RH,79,31.875000,P1,1,79,33.000000
RH,77,32.250000,P1,1,77,33.500000
RH,79,32.750000,P1,1,79,34.000000
RH,73,33.500000,P1,2,73,35.000000
LH,58,34.625000,P1,7,58,36.000000
RH,82,34.625000,P1,1,82,36.000000
RH,73,34.750000,P1,2,73,36.000000
RH,75,35.666667,P1,2,75,37.000000
LH,53,36.500000,P1,7,53,38.000000
RH,77,36.625000,P1,2,77,38.000000
RH,81,37.500000,P1,1,81,39.000000
RH,79,37.875000,P1,1,79,39.500000
RH,81,38.333333,P1,1,81,40.000000
RH,66,39.125000,P1,4,66,41.000000
RH,82,39.125000,P1,1,82,41.000000
RH,75,39.250000,P1,2,75,41.000000
RH,73,39.625000,P1,2,73,41.500000
RH,65,40.125000,P1,4,65,42.000000
RH,75,40.125000,P1,2,75,42.000000
RH,84,40.125000,P1,1,84,42.000000
RH,63,41.000000,P1,4,63,43.000000
LH,53,41.875000,P1,7,53,44.000000
RH,61,41.875000,P1,4,61,44.000000
RH,60,42.750000,P1,4,60,45.000000
RH,82,42.750000,P1,1,82,45.000000
RH,77,42.875000,P1,2,77,45.000000
RH,75,43.125000,P1,2,75,45.500000
RH,81,43.125000,P1,1,81,45.500000
LH,46,43.666667,P1,7,46,46.000000
LH,58,43.666667,P1,4,58,46.000000
RH,73,43.666667,P1,2,73,46.000000
RH,82,43.666667,P1,1,82,46.000000
RH,60,44.625000,P1,4,60,47.000000
RH,72,44.625000,P1,2,72,47.000000
RH,80,44.625000,P1,1,80,47.000000
RH,61,45.000000,P1,4,61,47.500000
RH,63,45.500000,P1,4,63,48.000000
RH,70,45.500000,P1,2,70,48.000000
RH,78,45.500000,P1,1,78,48.000000
RH,61,46.250000,P1,7,61,49.000000
RH,65,46.250000,P1,4,65,49.000000
