hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,1.375000,P1,1,67,1.000000
RH,60,1.875000,P1,1,60,1.500000
RH,69,2.500000,P1,1,69,2.000000
RH,67,2.625000,P1,2,67,2.125000
RH,69,2.750000,P1,2,69,2.250000
RH,67,3.750000,P1,1,67,3.000000
RH,65,5.333333,P1,1,65,4.500000
RH,64,5.500000,P1,1,64,4.750000
RH,65,5.750000,P1,1,65,5.000000
RH,67,6.000000,P1,1,67,5.250000
RH,64,6.250000,P1,1,64,5.500000
RH,65,6.500000,P1,1,65,5.750000
RH,62,6.750000,P1,1,62,6.000000
RH,65,7.000000,P1,1,65,6.250000
RH,64,7.250000,P1,1,64,6.500000
RH,65,7.500000,P1,1,65,6.750000
RH,67,7.750000,P1,1,67,7.000000
RH,69,8.000000,P1,1,69,7.250000
RH,65,8.250000,P1,1,65,7.500000
RH,67,8.500000,P1,1,67,7.750000
RH,64,8.750000,P1,2,64,8.000000
RH,62,9.000000,P1,2,62,8.250000
RH,64,9.250000,P1,2,64,8.500000
RH,72,9.250000,P1,1,72,8.500000
RH,65,9.375000,P1,2,65,8.750000
RH,71,9.375000,P1,1,71,8.750000
RH,64,9.666667,P1,2,64,9.000000
RH,72,9.666667,P1,1,72,9.000000
RH,65,9.875000,P1,2,65,9.250000
RH,62,10.125000,P1,2,62,9.500000
RH,67,10.125000,P1,1,67,9.500000
RH,64,10.375000,P1,2,64,9.750000
RH,60,10.625000,P1,2,60,10.000000
RH,76,10.625000,P1,1,76,10.000000
RH,74,10.750000,P1,3,74,10.125000
LH,59,10.875000,P1,2,59,10.250000
RH,76,10.875000,P1,3,76,10.250000
RH,60,11.125000,P1,2,60,10.500000
RH,62,11.500000,P1,2,62,10.750000
RH,60,11.625000,P1,2,60,11.000000
RH,74,11.625000,P1,1,74,11.000000
RH,62,12.000000,P1,2,62,11.250000
LH,59,12.250000,P1,2,59,11.500000
RH,60,12.375000,P1,2,60,11.750000
LH,57,12.625000,P1,2,57,12.000000
LH,59,12.875000,P1,2,59,12.250000
RH,60,13.125000,P1,2,60,12.500000
RH,72,13.125000,P1,1,72,12.500000
RH,62,13.375000,P1,2,62,12.750000
RH,71,13.375000,P1,1,71,12.750000
RH,64,13.625000,P1,2,64,13.000000
RH,72,13.625000,P1,1,72,13.000000
RH,66,13.875000,P1,2,66,13.250000
RH,74,13.875000,P1,1,74,13.250000
RH,67,14.125000,P1,2,67,13.500000
RH,71,14.125000,P1,1,71,13.500000
RH,72,14.375000,P1,1,72,13.750000
RH,69,14.666667,P1,1,69,14.000000
RH,72,14.875000,P1,1,72,14.250000
RH,66,15.125000,P1,2,66,14.500000
RH,71,15.125000,P1,1,71,14.500000
RH,64,15.375000,P1,2,64,14.750000
RH,72,15.375000,P1,1,72,14.750000
RH,66,15.625000,P1,2,66,15.000000
RH,74,15.625000,P1,1,74,15.000000
RH,76,15.750000,P1,1,76,15.250000
RH,72,16.000000,P1,1,72,15.500000
RH,74,16.250000,P1,1,74,15.750000
RH,67,16.500000,P1,2,67,16.000000
RH,71,16.500000,P1,1,71,16.000000
RH,69,16.750000,P1,1,69,16.250000
LH,55,17.000000,P1,5,55,16.500000
RH,71,17.000000,P1,1,71,16.500000
LH,53,17.250000,P1,5,53,16.750000
RH,72,17.250000,P1,1,72,16.750000
LH,55,17.500000,P1,5,55,17.000000
RH,71,17.500000,P1,1,71,17.000000
RH,72,17.666667,P1,1,72,17.250000
LH,48,18.000000,P1,5,48,17.500000
RH,69,18.000000,P1,1,69,17.500000
RH,71,18.250000,P1,1,71,17.750000
LH,57,18.500000,P1,5,57,18.000000
RH,72,18.500000,P1,1,72,18.000000
LH,55,18.625000,P1,6,55,18.125000
LH,57,18.750000,P1,6,57,18.250000
RH,64,18.750000,P1,2,64,18.250000
RH,65,19.000000,P1,2,65,18.500000
RH,69,19.333333,P1,1,69,18.750000
LH,55,19.625000,P1,5,55,19.000000
RH,70,19.625000,P1,1,70,19.000000
RH,62,19.875000,P1,2,62,19.250000
RH,64,20.125000,P1,2,64,19.500000
RH,67,20.333333,P1,1,67,19.750000
RH,69,20.625000,P1,1,69,20.000000
LH,53,21.125000,P1,5,53,20.500000
RH,62,21.125000,P1,2,62,20.500000
LH,52,21.375000,P1,5,52,20.750000
LH,53,21.625000,P1,5,53,21.000000
RH,67,21.625000,P1,2,67,21.000000
RH,71,21.625000,P1,1,71,21.000000
LH,55,21.875000,P1,5,55,21.250000
LH,52,22.125000,P1,5,52,21.500000
RH,72,22.125000,P1,1,72,21.500000
LH,53,22.500000,P1,5,53,21.750000
LH,50,22.666667,P1,5,50,22.000000
RH,65,22.666667,P1,2,65,22.000000
LH,53,22.875000,P1,5,53,22.250000
RH,69,22.875000,P1,2,69,22.250000
LH,52,23.250000,P1,5,52,22.500000
RH,67,23.250000,P1,2,67,22.500000
RH,72,23.250000,P1,1,72,22.500000
LH,53,23.500000,P1,5,53,22.750000
RH,69,23.500000,P1,2,69,22.750000
LH,55,23.750000,P1,5,55,23.000000
RH,62,23.750000,P1,2,62,23.000000
LH,57,24.000000,P1,5,57,23.250000
LH,53,24.125000,P1,5,53,23.500000
RH,71,24.250000,P1,1,71,23.500000
LH,55,24.500000,P1,5,55,23.750000
LH,52,24.750000,P1,5,52,24.000000
RH,60,24.750000,P1,2,60,24.000000
RH,72,24.750000,P1,1,72,24.000000
LH,50,25.000000,P1,5,50,24.250000
LH,52,25.250000,P1,5,52,24.500000
RH,79,25.250000,P1,1,79,24.500000
LH,53,25.500000,P1,5,53,24.750000
RH,77,25.500000,P1,1,77,24.750000
LH,52,25.750000,P1,5,52,25.000000
RH,79,25.750000,P1,1,79,25.000000
LH,53,26.000000,P1,5,53,25.250000
LH,50,26.250000,P1,5,50,25.500000
RH,72,26.250000,P1,1,72,25.500000
LH,52,26.500000,P1,5,52,25.750000
LH,53,26.750000,P1,5,53,26.000000
RH,81,26.750000,P1,1,81,26.000000
LH,52,27.000000,P1,5,52,26.250000
LH,53,27.333333,P1,5,53,26.500000
RH,72,27.333333,P1,2,72,26.500000
LH,55,27.500000,P1,5,55,26.750000
RH,71,27.500000,P1,2,71,26.750000
RH,72,27.750000,P1,2,72,27.000000
RH,79,27.750000,P1,1,79,27.000000
LH,53,27.875000,P1,5,53,27.000000
LH,55,28.000000,P1,5,55,27.250000
LH,52,28.333333,P1,5,52,27.500000
RH,67,28.333333,P1,2,67,27.500000
LH,53,28.625000,P1,5,53,27.750000
LH,50,28.875000,P1,5,50,28.000000
RH,74,28.875000,P1,2,74,28.000000
RH,78,28.875000,P1,1,78,28.000000
LH,49,29.125000,P1,5,49,28.250000
LH,50,29.375000,P1,5,50,28.500000
RH,81,29.375000,P1,1,81,28.500000
