hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,7.250000,P1,5,59,3.000000
LH,52,9.750000,P1,5,52,4.500000
LH,57,10.500000,P1,5,57,5.000000
LH,55,11.333333,P1,5,55,5.500000
LH,54,12.125000,P1,5,54,6.000000
RH,69,13.000000,P1,1,69,6.500000
LH,50,13.625000,P1,5,50,7.000000
RH,69,13.666667,P1,1,69,7.000000
RH,69,14.500000,P1,1,69,7.500000
RH,62,15.250000,P1,1,62,8.000000
LH,54,16.000000,P1,5,54,8.500000
LH,59,16.750000,P1,5,59,9.000000
RH,66,16.875000,P1,1,66,9.000000
LH,57,17.625000,P1,5,57,9.500000
LH,56,18.333333,P1,5,56,10.000000
LH,59,19.125000,P1,1,59,10.500000
RH,64,19.875000,P1,1,64,11.000000
RH,62,20.666667,P1,1,62,11.500000
LH,57,21.500000,P1,5,57,12.000000
RH,61,21.500000,P1,1,61,12.000000
RH,64,22.250000,P1,1,64,12.500000
RH,61,23.000000,P1,5,61,13.000000
RH,69,23.000000,P1,1,69,13.000000
RH,67,23.750000,P1,1,67,13.500000
RH,66,24.500000,P1,1,66,14.000000
LH,57,25.333333,P1,5,57,14.500000
RH,62,26.000000,P1,5,62,15.000000
RH,69,26.125000,P1,1,69,15.000000
RH,61,26.875000,P1,5,61,15.500000
LH,59,27.625000,P1,5,59,16.000000
RH,74,28.375000,P1,1,74,16.500000
RH,62,28.500000,P1,2,62,16.500000
RH,67,29.125000,P1,2,67,17.000000
RH,74,29.125000,P1,1,74,17.000000
RH,74,29.875000,P1,1,74,17.500000
RH,66,30.000000,P1,2,66,17.500000
RH,67,30.666667,P1,1,67,18.000000
RH,64,30.750000,P1,2,64,18.000000
LH,59,31.375000,P1,5,59,18.500000
RH,66,31.375000,P1,2,66,18.500000
RH,64,32.125000,P1,5,64,19.000000
RH,71,32.125000,P1,1,71,19.000000
RH,67,32.250000,P1,2,67,19.000000
RH,62,32.875000,P1,5,62,19.500000
RH,61,33.666667,P1,5,61,20.000000
LH,57,34.500000,P1,6,57,20.500000
RH,64,34.625000,P1,1,64,20.500000
LH,57,35.333333,P1,6,57,21.000000
RH,66,35.333333,P1,2,66,21.000000
RH,69,35.333333,P1,1,69,21.000000
LH,57,36.000000,P1,6,57,21.500000
RH,64,36.000000,P1,2,64,21.500000
RH,67,36.000000,P1,1,67,21.500000
LH,50,36.875000,P1,6,50,22.000000
RH,62,37.000000,P1,2,62,22.000000
RH,66,37.000000,P1,1,66,22.000000
LH,57,37.666667,P1,5,57,22.500000
LH,54,38.375000,P1,6,54,23.000000
RH,62,38.375000,P1,5,62,23.000000
RH,61,39.125000,P1,5,61,23.500000
LH,59,39.875000,P1,5,59,24.000000
RH,68,39.875000,P1,1,68,24.000000
LH,47,40.666667,P1,6,47,24.500000
LH,52,41.375000,P1,6,52,25.000000
LH,50,42.250000,P1,6,50,25.500000
LH,59,42.250000,P1,2,59,25.500000
LH,49,43.000000,P1,6,49,26.000000
RH,64,43.125000,P1,2,64,26.000000
RH,69,43.125000,P1,1,69,26.000000
LH,47,43.875000,P1,6,47,26.500000
LH,52,43.875000,P1,5,52,26.500000
RH,62,43.875000,P1,2,62,26.500000
LH,45,44.666667,P1,6,45,27.000000
LH,57,44.666667,P1,5,57,27.000000
RH,61,44.666667,P1,2,61,27.000000
LH,55,45.500000,P1,5,55,27.500000
RH,64,45.500000,P1,1,64,27.500000
LH,54,46.250000,P1,5,54,28.000000
RH,69,46.250000,P1,1,69,28.000000
LH,45,47.000000,P1,6,45,28.500000
LH,52,47.000000,P1,5,52,28.500000
RH,67,47.000000,P1,1,67,28.500000
RH,66,47.750000,P1,1,66,29.000000
LH,49,48.625000,P1,6,49,29.500000
LH,57,48.666667,P1,2,57,29.500000
LH,47,49.375000,P1,6,47,30.000000
RH,62,49.375000,P1,2,62,30.000000
LH,50,50.125000,P1,5,50,30.500000
RH,61,50.125000,P1,2,61,30.500000
LH,45,50.250000,P1,6,45,30.500000
LH,43,51.000000,P1,6,43,31.000000
LH,55,51.000000,P1,5,55,31.000000
LH,59,51.000000,P1,2,59,31.000000
RH,64,51.000000,P1,1,64,31.000000
LH,54,51.875000,P1,5,54,31.500000
RH,62,51.875000,P1,1,62,31.500000
LH,52,52.625000,P1,5,52,32.000000
LH,57,52.625000,P1,2,57,32.000000
RH,61,52.625000,P1,1,61,32.000000
LH,42,53.375000,P1,6,42,32.500000
