hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,62,1.000000,P1,1,62,0.000000
RH,64,1.333333,P1,1,64,0.166667
RH,65,1.666667,P1,1,65,0.333333
RH,67,2.000000,P1,1,67,0.500000
RH,65,2.375000,P1,1,65,0.666667
RH,64,2.750000,P1,1,64,0.833333
RH,65,3.125000,P1,1,65,1.000000
RH,67,3.375000,P1,1,67,1.166667
RH,69,3.750000,P1,1,69,1.333333
RH,70,4.125000,P1,1,70,1.500000
RH,69,4.500000,P1,1,69,1.666667
RH,67,4.750000,P1,1,67,1.833333
RH,69,5.125000,P1,1,69,2.000000
RH,74,6.375000,P1,1,74,2.500000
RH,73,7.625000,P1,1,73,3.000000
RH,72,8.750000,P1,1,72,3.500000
RH,71,9.875000,P1,1,71,4.000000
RH,70,11.000000,P1,1,70,4.500000
RH,69,12.250000,P1,1,69,5.000000
RH,67,13.500000,P1,1,67,5.500000
RH,65,15.875000,P1,1,65,6.500000
RH,64,17.125000,P1,1,64,7.000000
RH,69,18.250000,P1,1,69,7.500000
RH,65,19.375000,P1,2,65,8.000000
RH,69,19.375000,P1,1,69,8.000000
RH,71,19.750000,P1,1,71,8.166667
RH,72,20.125000,P1,1,72,8.333333
RH,62,20.500000,P1,2,62,8.500000
RH,74,20.500000,P1,1,74,8.500000
RH,72,20.750000,P1,1,72,8.666667
RH,71,21.125000,P1,1,71,8.833333
RH,69,21.500000,P1,2,69,9.000000
RH,72,21.500000,P1,1,72,9.000000
RH,74,21.875000,P1,1,74,9.166667
RH,76,22.125000,P1,1,76,9.333333
RH,77,22.500000,P1,1,77,9.500000
RH,76,22.875000,P1,1,76,9.666667
RH,74,23.125000,P1,1,74,9.833333
RH,76,23.625000,P1,1,76,10.000000
LH,59,24.125000,P1,2,59,10.250000
RH,60,24.666667,P1,2,60,10.500000
RH,81,24.666667,P1,1,81,10.500000
RH,62,25.250000,P1,2,62,10.750000
RH,64,25.750000,P1,2,64,11.000000
RH,80,25.750000,P1,1,80,11.000000
RH,66,26.333333,P1,2,66,11.250000
RH,67,26.875000,P1,2,67,11.500000
RH,79,26.875000,P1,1,79,11.500000
RH,64,27.375000,P1,2,64,11.750000
RH,69,27.875000,P1,2,69,12.000000
RH,78,27.875000,P1,1,78,12.000000
RH,68,28.500000,P1,2,68,12.250000
RH,69,29.000000,P1,2,69,12.500000
RH,77,29.000000,P1,1,77,12.500000
RH,71,29.500000,P1,2,71,12.750000
RH,72,30.000000,P1,2,72,13.000000
RH,76,30.000000,P1,1,76,13.000000
RH,66,30.625000,P1,2,66,13.250000
RH,71,31.125000,P1,2,71,13.500000
RH,74,31.125000,P1,1,74,13.500000
RH,69,31.666667,P1,2,69,13.750000
RH,68,32.250000,P1,2,68,14.000000
RH,64,32.750000,P1,2,64,14.250000
RH,69,33.333333,P1,2,69,14.500000
RH,72,33.333333,P1,1,72,14.500000
RH,71,34.500000,P1,1,71,15.000000
RH,67,35.625000,P1,2,67,15.500000
RH,76,35.625000,P1,1,76,15.500000
RH,69,36.750000,P1,1,69,16.000000
RH,65,37.125000,P1,2,65,16.166667
RH,64,37.500000,P1,2,64,16.333333
RH,62,37.750000,P1,2,62,16.500000
RH,71,37.750000,P1,1,71,16.500000
RH,64,38.125000,P1,2,64,16.666667
RH,65,38.375000,P1,2,65,16.833333
RH,64,38.875000,P1,2,64,17.000000
RH,72,38.875000,P1,1,72,17.000000
RH,62,39.250000,P1,2,62,17.166667
RH,60,39.625000,P1,2,60,17.333333
LH,59,40.000000,P1,2,59,17.500000
RH,68,40.000000,P1,1,68,17.500000
RH,60,40.333333,P1,2,60,17.666667
RH,62,40.750000,P1,2,62,17.833333
RH,60,41.125000,P1,2,60,18.000000
