hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,524.125000,P1,1,64,1.000000
RH,65,524.500000,P1,1,65,1.250000
RH,72,524.875000,P1,1,72,1.500000
RH,69,525.875000,P1,1,69,2.250000
RH,67,526.125000,P1,1,67,2.500000
RH,69,526.500000,P1,1,69,2.750000
RH,74,526.875000,P1,1,74,3.000000
RH,72,527.875000,P1,1,72,3.750000
RH,74,528.250000,P1,1,74,4.000000
RH,76,528.500000,P1,1,76,4.250000
RH,77,528.875000,P1,1,77,4.500000
RH,76,529.250000,P1,1,76,4.750000
RH,74,529.500000,P1,1,74,5.000000
RH,72,529.875000,P1,1,72,5.250000
RH,74,530.250000,P1,1,74,5.500000
RH,70,530.500000,P1,1,70,5.750000
RH,69,530.875000,P1,1,69,6.000000
RH,67,531.125000,P1,1,67,6.250000
RH,65,531.500000,P1,1,65,6.500000
RH,60,531.750000,P1,2,60,6.750000
RH,64,531.750000,P1,1,64,6.750000
LH,58,532.125000,P1,2,58,7.000000
RH,60,532.500000,P1,2,60,7.250000
RH,70,532.500000,P1,1,70,7.250000
RH,65,532.875000,P1,2,65,7.500000
RH,69,532.875000,P1,1,69,7.500000
RH,74,533.500000,P1,1,74,8.000000
RH,64,533.875000,P1,2,64,8.250000
RH,67,533.875000,P1,1,67,8.250000
RH,62,534.250000,P1,2,62,8.500000
RH,64,534.500000,P1,2,64,8.750000
RH,74,534.500000,P1,1,74,8.750000
RH,69,534.875000,P1,2,69,9.000000
RH,72,534.875000,P1,1,72,9.000000
RH,77,535.625000,P1,1,77,9.500000
RH,67,536.000000,P1,2,67,9.750000
RH,71,536.000000,P1,1,71,9.750000
RH,69,536.250000,P1,2,69,10.000000
RH,71,536.500000,P1,2,71,10.250000
RH,77,536.500000,P1,1,77,10.250000
RH,72,536.875000,P1,2,72,10.500000
RH,76,536.875000,P1,1,76,10.500000
RH,71,537.250000,P1,2,71,10.750000
RH,74,537.250000,P1,1,74,10.750000
RH,69,537.625000,P1,2,69,11.000000
RH,72,537.625000,P1,1,72,11.000000
RH,67,537.875000,P1,2,67,11.250000
RH,79,537.875000,P1,1,79,11.250000
RH,69,538.250000,P1,2,69,11.500000
RH,65,538.500000,P1,2,65,11.750000
RH,71,538.625000,P1,1,71,11.750000
RH,64,538.875000,P1,2,64,12.000000
RH,72,538.875000,P1,1,72,12.000000
RH,62,539.250000,P1,2,62,12.250000
RH,60,539.625000,P1,2,60,12.500000
RH,62,539.875000,P1,2,62,12.750000
RH,64,540.250000,P1,2,64,13.000000
RH,70,540.250000,P1,1,70,13.000000
RH,66,540.500000,P1,2,66,13.250000
RH,69,540.500000,P1,1,69,13.250000
RH,67,540.875000,P1,2,67,13.500000
RH,70,540.875000,P1,1,70,13.500000
RH,72,541.250000,P1,1,72,13.750000
RH,74,541.500000,P1,1,74,14.000000
RH,75,541.875000,P1,1,75,14.250000
RH,65,542.250000,P1,2,65,14.500000
RH,63,542.500000,P1,2,63,14.750000
RH,65,542.875000,P1,2,65,15.000000
RH,67,543.125000,P1,2,67,15.250000
RH,74,543.125000,P1,1,74,15.250000
