hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,1.000000,P1,1,68,0.000000
RH,70,1.875000,P1,1,70,0.500000
RH,71,2.750000,P1,1,71,1.000000
RH,70,3.666667,P1,1,70,1.500000
RH,75,4.625000,P1,1,75,2.000000
RH,63,5.500000,P1,1,63,2.500000
RH,68,6.333333,P1,1,68,3.000000
RH,71,7.125000,P1,1,71,3.500000
RH,70,8.000000,P1,1,70,4.000000
RH,71,8.875000,P1,1,71,4.500000
RH,70,9.750000,P1,1,70,5.000000
RH,68,10.625000,P1,1,68,5.500000
RH,70,11.375000,P1,1,70,6.000000
RH,71,12.250000,P1,1,71,6.500000
RH,73,13.000000,P1,1,73,7.000000
RH,71,13.875000,P1,1,71,7.500000
RH,76,14.666667,P1,1,76,8.000000
RH,68,15.500000,P1,1,68,8.500000
RH,70,16.333333,P1,1,70,9.000000
RH,73,17.125000,P1,1,73,9.500000
RH,71,18.000000,P1,1,71,10.000000
RH,73,18.750000,P1,1,73,10.500000
RH,71,19.625000,P1,1,71,11.000000
RH,70,20.375000,P1,1,70,11.500000
RH,63,21.250000,P1,2,63,12.000000
RH,71,21.250000,P1,1,71,12.000000
RH,65,22.125000,P1,2,65,12.500000
RH,66,22.875000,P1,2,66,13.000000
RH,72,22.875000,P1,1,72,13.000000
RH,65,23.750000,P1,2,65,13.500000
RH,73,23.750000,P1,1,73,13.500000
RH,70,24.625000,P1,2,70,14.000000
LH,58,25.375000,P1,2,58,14.500000
RH,63,26.250000,P1,2,63,15.000000
RH,66,27.000000,P1,2,66,15.500000
RH,65,27.875000,P1,2,65,16.000000
RH,66,28.750000,P1,2,66,16.500000
RH,72,28.750000,P1,1,72,16.500000
RH,65,29.500000,P1,2,65,17.000000
RH,63,30.375000,P1,2,63,17.500000
RH,65,31.250000,P1,2,65,18.000000
RH,73,31.250000,P1,1,73,18.000000
RH,66,32.000000,P1,2,66,18.500000
RH,68,32.875000,P1,2,68,19.000000
RH,74,32.875000,P1,1,74,19.000000
RH,66,33.750000,P1,2,66,19.500000
RH,75,33.750000,P1,1,75,19.500000
RH,71,34.625000,P1,2,71,20.000000
RH,63,35.375000,P1,2,63,20.500000
RH,65,36.250000,P1,2,65,21.000000
RH,68,37.000000,P1,2,68,21.500000
RH,66,37.750000,P1,2,66,22.000000
RH,68,38.625000,P1,2,68,22.500000
RH,74,38.625000,P1,1,74,22.500000
RH,66,39.375000,P1,2,66,23.000000
