hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,61,1.500000,P1,5,61,1.000000
LH,59,1.875000,P1,5,59,1.250000
LH,57,2.125000,P1,5,57,1.500000
RH,61,2.333333,P1,5,61,1.750000
LH,59,2.625000,P1,5,59,2.000000
RH,62,2.875000,P1,5,62,2.250000
RH,61,3.250000,P1,5,61,2.500000
RH,64,4.000000,P1,5,64,3.250000
RH,62,4.333333,P1,5,62,3.500000
RH,66,5.125000,P1,5,66,4.250000
RH,64,5.500000,P1,5,64,4.500000
RH,62,5.750000,P1,5,62,4.750000
RH,64,6.000000,P1,5,64,5.000000
LH,59,6.250000,P1,5,59,5.250000
RH,61,6.500000,P1,5,61,5.500000
RH,62,6.875000,P1,5,62,5.750000
RH,61,7.125000,P1,5,61,6.000000
LH,57,7.666667,P1,5,57,6.500000
RH,64,7.666667,P1,1,64,6.500000
RH,66,7.875000,P1,1,66,6.750000
LH,59,8.250000,P1,5,59,7.000000
RH,68,8.250000,P1,1,68,7.000000
RH,66,8.500000,P1,1,66,7.250000
RH,61,8.750000,P1,5,61,7.500000
RH,64,8.750000,P1,1,64,7.500000
RH,68,9.000000,P1,1,68,7.750000
RH,62,9.250000,P1,5,62,8.000000
RH,66,9.250000,P1,1,66,8.000000
RH,69,9.500000,P1,1,69,8.250000
LH,59,9.750000,P1,5,59,8.500000
RH,68,9.750000,P1,1,68,8.500000
RH,64,10.125000,P1,5,64,8.750000
RH,61,10.333333,P1,5,61,9.000000
RH,71,10.625000,P1,1,71,9.250000
RH,66,10.875000,P1,5,66,9.500000
RH,69,10.875000,P1,1,69,9.500000
RH,61,11.125000,P1,5,61,9.750000
RH,63,11.375000,P1,5,63,10.000000
RH,73,11.750000,P1,1,73,10.250000
RH,64,12.000000,P1,5,64,10.500000
RH,71,12.000000,P1,1,71,10.500000
RH,69,12.250000,P1,1,69,10.750000
RH,71,12.500000,P1,1,71,11.000000
RH,66,12.750000,P1,1,66,11.250000
RH,63,13.125000,P1,5,63,11.500000
RH,68,13.125000,P1,1,68,11.500000
RH,69,13.333333,P1,1,69,11.750000
RH,64,13.625000,P1,5,64,12.000000
RH,68,13.625000,P1,1,68,12.000000
RH,71,13.875000,P1,1,71,12.250000
RH,69,14.125000,P1,1,69,12.500000
LH,59,14.500000,P1,5,59,12.750000
RH,68,14.500000,P1,1,68,12.750000
RH,61,14.666667,P1,5,61,13.000000
RH,69,14.666667,P1,1,69,13.000000
RH,64,15.000000,P1,1,64,13.250000
LH,57,15.250000,P1,5,57,13.500000
RH,66,15.250000,P1,1,66,13.500000
RH,67,15.500000,P1,1,67,13.750000
RH,62,15.750000,P1,5,62,14.000000
RH,66,15.750000,P1,1,66,14.000000
RH,69,16.125000,P1,1,69,14.250000
RH,68,16.375000,P1,1,68,14.500000
LH,57,16.625000,P1,5,57,14.750000
RH,66,16.666667,P1,1,66,14.750000
LH,59,16.875000,P1,5,59,15.000000
RH,68,16.875000,P1,1,68,15.000000
RH,63,17.250000,P1,1,63,15.250000
LH,56,17.500000,P1,5,56,15.500000
RH,64,17.500000,P1,1,64,15.500000
RH,66,17.666667,P1,1,66,15.750000
RH,61,18.000000,P1,5,61,16.000000
RH,64,18.000000,P1,2,64,16.000000
RH,62,18.250000,P1,5,62,16.250000
RH,61,18.500000,P1,5,61,16.500000
RH,69,18.500000,P1,1,69,16.500000
RH,71,18.750000,P1,1,71,16.750000
LH,59,18.875000,P1,5,59,16.750000
LH,57,19.125000,P1,5,57,17.000000
RH,73,19.125000,P1,1,73,17.000000
RH,71,19.375000,P1,1,71,17.250000
RH,66,19.625000,P1,2,66,17.500000
RH,69,19.625000,P1,1,69,17.500000
LH,57,19.875000,P1,5,57,17.750000
RH,73,19.875000,P1,1,73,17.750000
RH,64,20.125000,P1,5,64,18.000000
RH,68,20.125000,P1,2,68,18.000000
RH,71,20.125000,P1,1,71,18.000000
RH,74,20.500000,P1,1,74,18.250000
RH,73,20.750000,P1,1,73,18.500000
LH,52,21.000000,P1,5,52,18.750000
RH,68,21.000000,P1,2,68,18.750000
LH,54,21.250000,P1,5,54,19.000000
RH,69,21.250000,P1,2,69,19.000000
RH,76,21.500000,P1,1,76,19.250000
RH,74,21.750000,P1,1,74,19.500000
RH,66,22.125000,P1,5,66,19.750000
RH,69,22.125000,P1,2,69,19.750000
RH,68,22.375000,P1,5,68,20.000000
RH,71,22.375000,P1,2,71,20.000000
RH,78,22.666667,P1,1,78,20.250000
RH,76,22.875000,P1,1,76,20.500000
RH,74,23.125000,P1,1,74,20.750000
RH,76,23.500000,P1,1,76,21.000000
