hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,1.000000,P1,5,64,1.000000
RH,60,2.750000,P1,5,60,2.000000
RH,65,4.625000,P1,5,65,3.000000
LH,56,6.500000,P1,5,56,4.000000
RH,62,10.500000,P1,5,62,6.500000
LH,59,11.375000,P1,5,59,7.000000
RH,64,12.333333,P1,5,64,7.500000
RH,60,13.125000,P1,5,60,8.000000
LH,57,13.875000,P1,5,57,8.500000
LH,54,14.666667,P1,5,54,9.000000
RH,69,14.666667,P1,1,69,9.000000
RH,63,15.500000,P1,5,63,9.500000
LH,52,16.375000,P1,5,52,10.000000
RH,67,16.375000,P1,1,67,10.000000
RH,64,17.250000,P1,5,64,10.500000
RH,62,17.500000,P1,5,62,10.625000
RH,60,17.625000,P1,5,60,10.750000
LH,59,17.750000,P1,5,59,10.875000
LH,57,18.000000,P1,5,57,11.000000
RH,72,18.000000,P1,1,72,11.000000
RH,60,19.000000,P1,5,60,11.500000
LH,59,19.125000,P1,5,59,11.625000
LH,57,19.333333,P1,5,57,11.750000
LH,55,19.500000,P1,5,55,11.875000
LH,54,19.750000,P1,5,54,12.000000
RH,63,19.750000,P1,1,63,12.000000
LH,55,20.000000,P1,5,55,12.125000
LH,57,20.250000,P1,5,57,12.250000
LH,55,21.000000,P1,5,55,12.625000
LH,54,21.125000,P1,5,54,12.750000
LH,52,21.333333,P1,5,52,12.875000
LH,51,21.500000,P1,5,51,13.000000
LH,52,21.750000,P1,5,52,13.125000
LH,54,22.000000,P1,5,54,13.250000
LH,52,22.750000,P1,5,52,13.625000
LH,51,22.875000,P1,5,51,13.750000
LH,49,23.125000,P1,5,49,13.875000
LH,47,23.333333,P1,5,47,14.000000
RH,69,24.125000,P1,1,69,14.500000
LH,49,24.625000,P1,5,49,14.750000
LH,51,24.875000,P1,5,51,14.875000
RH,66,25.000000,P1,1,66,15.000000
LH,51,25.250000,P1,5,51,15.000000
RH,71,25.875000,P1,1,71,15.500000
LH,49,26.250000,P1,5,49,15.750000
LH,51,26.500000,P1,5,51,15.875000
LH,52,26.666667,P1,5,52,16.000000
RH,67,26.666667,P1,1,67,16.000000
RH,64,27.500000,P1,1,64,16.500000
LH,52,27.750000,P1,5,52,16.625000
LH,53,28.000000,P1,5,53,16.750000
LH,55,28.250000,P1,5,55,16.875000
LH,57,28.375000,P1,5,57,17.000000
RH,61,28.375000,P1,1,61,17.000000
RH,69,29.250000,P1,1,69,17.500000
LH,55,29.500000,P1,5,55,17.625000
LH,53,29.625000,P1,5,53,17.750000
LH,52,29.875000,P1,5,52,17.875000
LH,50,30.125000,P1,5,50,18.000000
RH,65,30.125000,P1,1,65,18.000000
RH,62,30.875000,P1,1,62,18.500000
LH,50,31.125000,P1,5,50,18.625000
LH,52,31.250000,P1,5,52,18.750000
LH,53,31.500000,P1,5,53,18.875000
LH,55,31.666667,P1,5,55,19.000000
LH,59,31.666667,P1,1,59,19.000000
RH,67,32.500000,P1,1,67,19.500000
LH,53,32.750000,P1,5,53,19.625000
LH,52,33.000000,P1,5,52,19.750000
LH,50,33.125000,P1,5,50,19.875000
LH,48,33.375000,P1,5,48,20.000000
RH,64,33.375000,P1,2,64,20.000000
RH,69,34.125000,P1,2,69,20.500000
LH,50,34.666667,P1,5,50,20.750000
LH,52,35.125000,P1,5,52,21.000000
RH,76,35.125000,P1,1,76,21.000000
LH,53,35.500000,P1,5,53,21.250000
LH,52,35.666667,P1,5,52,21.375000
LH,50,35.875000,P1,5,50,21.500000
RH,68,35.875000,P1,2,68,21.500000
LH,52,36.250000,P1,5,52,21.750000
LH,53,36.750000,P1,5,53,22.000000
LH,57,36.750000,P1,2,57,22.000000
RH,72,36.750000,P1,1,72,22.000000
RH,69,37.625000,P1,2,69,22.500000
RH,67,37.750000,P1,2,67,22.625000
RH,65,37.875000,P1,2,65,22.750000
RH,64,38.125000,P1,2,64,22.875000
RH,62,38.375000,P1,2,62,23.000000
RH,77,38.375000,P1,1,77,23.000000
RH,65,39.250000,P1,2,65,23.500000
RH,64,39.500000,P1,2,64,23.625000
RH,62,39.625000,P1,2,62,23.750000
RH,60,39.875000,P1,2,60,23.875000
LH,59,40.000000,P1,5,59,24.000000
RH,68,40.000000,P1,1,68,24.000000
RH,60,40.250000,P1,5,60,24.125000
RH,62,40.500000,P1,5,62,24.250000
LH,53,40.875000,P1,6,53,24.500000
RH,60,41.125000,P1,5,60,24.625000
LH,57,41.333333,P1,5,57,24.875000
LH,59,41.375000,P1,5,59,24.750000
LH,47,41.750000,P1,6,47,25.000000
LH,56,41.750000,P1,5,56,25.000000
LH,57,42.000000,P1,5,57,25.125000
LH,59,42.250000,P1,5,59,25.250000
LH,50,42.625000,P1,6,50,25.500000
LH,57,43.000000,P1,5,57,25.625000
LH,56,43.125000,P1,5,56,25.750000
LH,54,43.333333,P1,5,54,25.875000
LH,44,43.500000,P1,6,44,26.000000
LH,52,43.500000,P1,5,52,26.000000
LH,47,44.333333,P1,6,47,26.500000
RH,74,44.333333,P1,1,74,26.500000
LH,54,44.750000,P1,5,54,26.750000
LH,56,45.000000,P1,5,56,26.875000
LH,52,45.125000,P1,6,52,27.000000
RH,71,45.125000,P1,1,71,27.000000
RH,76,46.000000,P1,1,76,27.500000
LH,54,46.333333,P1,5,54,27.750000
LH,56,46.500000,P1,5,56,27.875000
LH,45,46.750000,P1,6,45,28.000000
LH,57,46.750000,P1,5,57,28.000000
RH,72,46.750000,P1,1,72,28.000000
RH,69,47.625000,P1,1,69,28.500000
LH,57,47.750000,P1,5,57,28.625000
LH,59,48.000000,P1,5,59,28.750000
RH,60,48.125000,P1,5,60,28.875000
RH,62,48.375000,P1,5,62,29.000000
RH,66,48.375000,P1,1,66,29.000000
LH,54,49.250000,P1,6,54,29.500000
RH,74,49.250000,P1,1,74,29.500000
RH,60,49.500000,P1,5,60,29.625000
LH,59,49.666667,P1,5,59,29.750000
LH,57,49.875000,P1,5,57,29.875000
RH,71,50.125000,P1,1,71,30.000000
