hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,1.000000,P1,5,64,1.000000
RH,60,2.500000,P1,5,60,2.000000
RH,65,4.000000,P1,5,65,3.000000
LH,56,5.666667,P1,5,56,4.000000
RH,62,9.875000,P1,5,62,6.500000
LH,59,10.625000,P1,5,59,7.000000
RH,64,11.375000,P1,5,64,7.500000
RH,60,12.125000,P1,5,60,8.000000
LH,57,12.875000,P1,5,57,8.500000
LH,54,13.500000,P1,5,54,9.000000
RH,69,13.500000,P1,1,69,9.000000
RH,63,14.250000,P1,5,63,9.500000
LH,52,15.000000,P1,5,52,10.000000
RH,67,15.000000,P1,1,67,10.000000
RH,64,15.750000,P1,5,64,10.500000
RH,62,16.000000,P1,5,62,10.625000
RH,60,16.125000,P1,5,60,10.750000
LH,59,16.250000,P1,5,59,10.875000
LH,57,16.375000,P1,5,57,11.000000
RH,72,16.375000,P1,1,72,11.000000
RH,60,17.125000,P1,5,60,11.500000
LH,59,17.375000,P1,5,59,11.625000
LH,57,17.500000,P1,5,57,11.750000
LH,55,17.666667,P1,5,55,11.875000
LH,54,17.875000,P1,5,54,12.000000
RH,63,17.875000,P1,1,63,12.000000
LH,55,18.000000,P1,5,55,12.125000
LH,57,18.250000,P1,5,57,12.250000
LH,55,19.000000,P1,5,55,12.625000
LH,54,19.250000,P1,5,54,12.750000
LH,52,19.333333,P1,5,52,12.875000
LH,51,19.500000,P1,5,51,13.000000
LH,52,19.666667,P1,5,52,13.125000
LH,54,19.875000,P1,5,54,13.250000
LH,52,20.500000,P1,5,52,13.625000
LH,51,20.666667,P1,5,51,13.750000
LH,49,20.750000,P1,5,49,13.875000
LH,47,21.000000,P1,5,47,14.000000
RH,69,21.666667,P1,1,69,14.500000
LH,49,22.125000,P1,5,49,14.750000
LH,51,22.250000,P1,5,51,14.875000
RH,66,22.375000,P1,1,66,15.000000
LH,51,22.625000,P1,5,51,15.000000
RH,71,23.125000,P1,1,71,15.500000
LH,49,23.500000,P1,5,49,15.750000
LH,51,23.666667,P1,5,51,15.875000
LH,52,23.875000,P1,5,52,16.000000
RH,67,23.875000,P1,1,67,16.000000
RH,64,24.625000,P1,1,64,16.500000
LH,52,24.750000,P1,5,52,16.625000
LH,53,24.875000,P1,5,53,16.750000
LH,55,25.000000,P1,5,55,16.875000
LH,57,25.250000,P1,5,57,17.000000
RH,61,25.250000,P1,1,61,17.000000
RH,69,26.000000,P1,1,69,17.500000
LH,55,26.250000,P1,5,55,17.625000
LH,53,26.375000,P1,5,53,17.750000
LH,52,26.500000,P1,5,52,17.875000
LH,50,26.750000,P1,5,50,18.000000
RH,65,26.750000,P1,1,65,18.000000
RH,62,27.500000,P1,1,62,18.500000
LH,50,27.666667,P1,5,50,18.625000
LH,52,27.875000,P1,5,52,18.750000
LH,53,28.000000,P1,5,53,18.875000
LH,55,28.125000,P1,5,55,19.000000
LH,59,28.125000,P1,1,59,19.000000
RH,67,29.000000,P1,1,67,19.500000
