hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,1.000000,P1,5,64,1.000000
RH,60,3.000000,P1,5,60,2.000000
RH,65,4.750000,P1,5,65,3.000000
LH,56,6.750000,P1,5,56,4.000000
RH,62,11.000000,P1,5,62,6.500000
LH,59,11.875000,P1,5,59,7.000000
RH,64,12.750000,P1,5,64,7.500000
RH,60,13.625000,P1,5,60,8.000000
LH,57,14.375000,P1,5,57,8.500000
LH,54,15.250000,P1,5,54,9.000000
RH,69,15.250000,P1,1,69,9.000000
RH,63,16.125000,P1,5,63,9.500000
LH,52,16.875000,P1,5,52,10.000000
RH,67,16.875000,P1,1,67,10.000000
RH,64,17.750000,P1,5,64,10.500000
RH,62,18.000000,P1,5,62,10.625000
RH,60,18.125000,P1,5,60,10.750000
LH,59,18.375000,P1,5,59,10.875000
LH,57,18.625000,P1,5,57,11.000000
RH,72,18.625000,P1,1,72,11.000000
RH,60,19.375000,P1,5,60,11.500000
LH,59,19.625000,P1,5,59,11.625000
LH,57,19.875000,P1,5,57,11.750000
LH,55,20.000000,P1,5,55,11.875000
RH,63,20.125000,P1,1,63,12.000000
LH,54,20.250000,P1,5,54,12.000000
LH,55,20.375000,P1,5,55,12.125000
LH,57,20.625000,P1,5,57,12.250000
LH,55,21.250000,P1,5,55,12.625000
LH,54,21.500000,P1,5,54,12.750000
LH,52,21.625000,P1,5,52,12.875000
LH,51,21.875000,P1,5,51,13.000000
LH,52,22.000000,P1,5,52,13.125000
LH,54,22.250000,P1,5,54,13.250000
LH,52,22.875000,P1,5,52,13.625000
LH,51,23.000000,P1,5,51,13.750000
LH,49,23.250000,P1,5,49,13.875000
LH,47,23.500000,P1,5,47,14.000000
RH,69,24.250000,P1,1,69,14.500000
LH,49,24.666667,P1,5,49,14.750000
LH,51,24.875000,P1,5,51,14.875000
RH,66,25.000000,P1,1,66,15.000000
LH,51,25.250000,P1,5,51,15.000000
RH,71,25.875000,P1,1,71,15.500000
LH,49,26.250000,P1,5,49,15.750000
LH,51,26.375000,P1,5,51,15.875000
LH,52,26.666667,P1,5,52,16.000000
RH,67,26.666667,P1,1,67,16.000000
RH,64,27.625000,P1,1,64,16.500000
LH,52,27.750000,P1,5,52,16.625000
LH,53,28.000000,P1,5,53,16.750000
LH,55,28.125000,P1,5,55,16.875000
LH,57,28.375000,P1,5,57,17.000000
RH,61,28.375000,P1,1,61,17.000000
RH,69,29.250000,P1,1,69,17.500000
LH,55,29.500000,P1,5,55,17.625000
LH,53,29.666667,P1,5,53,17.750000
LH,52,29.875000,P1,5,52,17.875000
LH,50,30.125000,P1,5,50,18.000000
RH,65,30.125000,P1,1,65,18.000000
RH,62,31.000000,P1,1,62,18.500000
LH,50,31.125000,P1,5,50,18.625000
LH,52,31.333333,P1,5,52,18.750000
LH,53,31.500000,P1,5,53,18.875000
LH,55,31.750000,P1,5,55,19.000000
LH,59,31.750000,P1,1,59,19.000000
RH,67,32.625000,P1,1,67,19.500000
LH,53,32.750000,P1,5,53,19.625000
LH,52,33.000000,P1,5,52,19.750000
LH,50,33.125000,P1,5,50,19.875000
LH,48,33.375000,P1,5,48,20.000000
RH,64,33.375000,P1,2,64,20.000000
RH,69,34.250000,P1,2,69,20.500000
LH,50,34.666667,P1,5,50,20.750000
LH,52,35.125000,P1,5,52,21.000000
RH,76,35.125000,P1,1,76,21.000000
LH,53,35.500000,P1,5,53,21.250000
LH,52,35.750000,P1,5,52,21.375000
LH,50,35.875000,P1,5,50,21.500000
RH,68,35.875000,P1,2,68,21.500000
LH,52,36.375000,P1,5,52,21.750000
RH,72,36.750000,P1,1,72,22.000000
LH,53,36.875000,P1,5,53,22.000000
LH,57,36.875000,P1,2,57,22.000000
RH,69,37.666667,P1,2,69,22.500000
RH,67,37.875000,P1,2,67,22.625000
RH,65,38.000000,P1,2,65,22.750000
RH,64,38.250000,P1,2,64,22.875000
RH,62,38.500000,P1,2,62,23.000000
RH,77,38.500000,P1,1,77,23.000000
RH,65,39.333333,P1,2,65,23.500000
RH,64,39.500000,P1,2,64,23.625000
RH,62,39.750000,P1,2,62,23.750000
RH,60,39.875000,P1,2,60,23.875000
LH,59,40.125000,P1,5,59,24.000000
RH,68,40.125000,P1,1,68,24.000000
RH,60,40.250000,P1,5,60,24.125000
RH,62,40.500000,P1,5,62,24.250000
LH,53,41.000000,P1,6,53,24.500000
