hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,66,1.000000,P1,2,66,0.000000
LH,59,3.500000,P1,2,59,2.000000
RH,67,6.375000,P1,2,67,4.500000
RH,66,8.250000,P1,2,66,6.000000
RH,66,9.375000,P1,2,66,7.000000
RH,61,12.750000,P1,2,61,10.000000
RH,61,13.375000,P1,2,61,10.500000
LH,59,13.625000,P1,2,59,10.750000
RH,66,14.000000,P1,1,66,11.000000
LH,54,15.625000,P1,5,54,12.500000
RH,74,16.750000,P1,1,74,13.500000
LH,56,18.250000,P1,5,56,14.875000
RH,73,18.500000,P1,1,73,15.000000
RH,73,19.666667,P1,1,73,16.000000
LH,54,19.750000,P1,5,54,16.000000
RH,64,27.875000,P1,1,64,23.250000
RH,64,29.000000,P1,1,64,24.250000
LH,47,29.375000,P1,6,47,24.500000
LH,59,31.125000,P1,2,59,26.000000
LH,55,32.250000,P1,5,55,27.000000
RH,61,33.666667,P1,2,61,28.375000
LH,54,34.000000,P1,5,54,28.500000
RH,62,34.125000,P1,2,62,28.500000
LH,54,35.125000,P1,5,54,29.500000
LH,59,35.333333,P1,2,59,29.500000
RH,71,43.625000,P1,1,71,36.750000
LH,53,44.500000,P1,5,53,37.375000
LH,54,46.875000,P1,5,54,39.500000
LH,54,48.500000,P1,5,54,41.000000
RH,66,50.375000,P1,1,66,42.500000
LH,57,50.625000,P1,5,57,42.750000
RH,62,51.500000,P1,5,62,43.500000
LH,56,53.000000,P1,6,56,44.750000
LH,45,53.250000,P1,6,45,45.000000
RH,61,53.333333,P1,5,61,45.000000
RH,61,54.625000,P1,5,61,46.000000
LH,54,57.125000,P1,6,54,48.250000
LH,54,57.666667,P1,6,54,48.750000
LH,54,58.333333,P1,6,54,49.250000
LH,54,58.875000,P1,6,54,49.750000
LH,57,59.750000,P1,5,57,50.500000
LH,52,60.666667,P1,6,52,51.250000
LH,52,61.333333,P1,6,52,51.750000
LH,52,61.875000,P1,6,52,52.250000
LH,52,62.375000,P1,6,52,52.750000
LH,52,63.000000,P1,6,52,53.250000
LH,54,64.500000,P1,5,54,54.500000
RH,74,64.500000,P1,1,74,54.500000
LH,55,66.250000,P1,5,55,56.000000
LH,55,67.250000,P1,6,55,57.000000
RH,83,67.250000,P1,1,83,57.000000
RH,64,68.750000,P1,5,64,58.250000
RH,81,69.000000,P1,1,81,58.500000
RH,81,70.333333,P1,1,81,59.500000
RH,69,74.125000,P1,2,69,63.000000
RH,68,74.375000,P1,2,68,63.250000
RH,68,75.500000,P1,2,68,64.250000
RH,69,77.000000,P1,2,69,65.500000
RH,68,77.666667,P1,2,68,66.000000
RH,71,77.666667,P1,1,71,66.000000
RH,64,77.875000,P1,2,64,66.250000
RH,69,78.333333,P1,1,69,66.500000
RH,64,78.500000,P1,2,64,66.750000
RH,64,79.125000,P1,2,64,67.250000
RH,64,79.666667,P1,2,64,67.750000
LH,45,80.000000,P1,5,45,68.000000
RH,73,80.000000,P1,2,73,68.000000
LH,54,82.875000,P1,5,54,70.500000
RH,62,82.875000,P1,2,62,70.500000
RH,68,84.000000,P1,2,68,71.500000
RH,71,84.333333,P1,1,71,71.750000
LH,52,84.625000,P1,5,52,72.000000
RH,61,84.666667,P1,1,61,72.000000
LH,52,85.750000,P1,5,52,73.000000
RH,64,87.500000,P1,1,64,74.500000
RH,73,95.125000,P1,1,73,81.000000
RH,66,97.500000,P1,2,66,83.000000
RH,68,98.000000,P1,1,68,83.500000
RH,61,98.333333,P1,5,61,83.750000
RH,71,99.750000,P1,2,71,85.000000
RH,74,100.333333,P1,2,74,85.500000
RH,80,101.666667,P1,1,80,86.750000
RH,69,102.000000,P1,1,69,87.000000
RH,73,102.000000,P1,2,73,87.000000
RH,73,103.125000,P1,2,73,88.000000
RH,73,104.875000,P1,1,73,89.500000
RH,78,105.375000,P1,1,78,90.000000
RH,71,108.375000,P1,1,71,92.500000
RH,67,108.875000,P1,2,67,93.000000
RH,69,111.750000,P1,1,69,95.500000
RH,66,112.375000,P1,2,66,96.000000
LH,59,123.333333,P1,2,59,105.500000
LH,52,123.875000,P1,5,52,106.000000
LH,52,125.000000,P1,5,52,107.000000
RH,64,125.625000,P1,2,64,107.500000
RH,64,126.750000,P1,2,64,108.500000
RH,60,127.875000,P1,5,60,109.500000
RH,64,127.875000,P1,2,64,109.500000
RH,78,129.375000,P1,1,78,110.750000
LH,59,129.625000,P1,5,59,111.000000
RH,67,129.625000,P1,1,67,111.000000
LH,59,130.750000,P1,5,59,112.000000
LH,59,131.875000,P1,5,59,113.000000
LH,55,133.000000,P1,6,55,114.000000
RH,69,134.625000,P1,2,69,115.500000
LH,57,135.250000,P1,5,57,116.000000
LH,54,136.333333,P1,6,54,117.000000
RH,73,139.125000,P1,1,73,119.500000
LH,50,142.500000,P1,5,50,122.500000
LH,50,143.666667,P1,5,50,123.500000
RH,71,143.666667,P1,1,71,123.500000
LH,52,145.333333,P1,5,52,125.000000
RH,74,145.625000,P1,1,74,125.250000
RH,79,146.500000,P1,1,79,126.000000
RH,73,147.875000,P1,2,73,127.250000
RH,62,148.250000,P1,2,62,127.500000
RH,78,148.250000,P1,1,78,127.500000
RH,78,149.333333,P1,1,78,128.500000
LH,59,151.875000,P1,5,59,130.750000
LH,59,152.500000,P1,5,59,131.250000
RH,69,152.750000,P1,2,69,131.500000
LH,59,153.000000,P1,5,59,131.750000
LH,59,153.500000,P1,5,59,132.250000
RH,74,154.500000,P1,1,74,133.000000
LH,57,155.375000,P1,5,57,133.750000
LH,57,156.000000,P1,5,57,134.250000
RH,67,156.250000,P1,2,67,134.500000
LH,57,156.500000,P1,5,57,134.750000
LH,57,157.125000,P1,5,57,135.250000
LH,50,168.375000,P1,5,50,145.000000
LH,50,169.500000,P1,5,50,146.000000
LH,59,169.500000,P1,2,59,146.000000
LH,47,171.500000,P1,5,47,147.500000
RH,73,172.250000,P1,2,73,148.000000
