hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,66,1.000000,P1,2,66,0.000000
LH,59,3.375000,P1,2,59,2.000000
RH,67,6.125000,P1,2,67,4.500000
RH,66,7.875000,P1,2,66,6.000000
RH,66,9.000000,P1,2,66,7.000000
RH,61,12.250000,P1,2,61,10.000000
RH,61,12.875000,P1,2,61,10.500000
LH,59,13.125000,P1,2,59,10.750000
RH,66,13.375000,P1,1,66,11.000000
LH,54,15.000000,P1,5,54,12.500000
RH,74,16.250000,P1,1,74,13.500000
LH,56,17.625000,P1,5,56,14.875000
RH,73,17.875000,P1,1,73,15.000000
LH,54,18.875000,P1,5,54,16.000000
RH,73,18.875000,P1,1,73,16.000000
RH,64,27.125000,P1,1,64,23.250000
RH,64,28.333333,P1,1,64,24.250000
LH,47,28.625000,P1,6,47,24.500000
LH,59,30.333333,P1,2,59,26.000000
LH,55,31.500000,P1,5,55,27.000000
RH,61,33.000000,P1,2,61,28.375000
LH,54,33.250000,P1,5,54,28.500000
RH,62,33.250000,P1,2,62,28.500000
LH,54,34.375000,P1,5,54,29.500000
LH,59,34.375000,P1,2,59,29.500000
LH,59,34.666667,P1,2,59,29.500000
RH,71,42.750000,P1,1,71,36.750000
LH,53,43.625000,P1,5,53,37.375000
LH,54,46.000000,P1,5,54,39.500000
LH,54,47.750000,P1,5,54,41.000000
RH,66,49.500000,P1,1,66,42.500000
LH,57,49.875000,P1,5,57,42.750000
RH,62,50.666667,P1,5,62,43.500000
LH,56,52.125000,P1,6,56,44.750000
LH,45,52.375000,P1,6,45,45.000000
RH,61,52.375000,P1,5,61,45.000000
RH,61,53.500000,P1,5,61,46.000000
LH,54,56.125000,P1,6,54,48.250000
LH,54,56.666667,P1,6,54,48.750000
LH,54,57.250000,P1,6,54,49.250000
LH,54,57.750000,P1,6,54,49.750000
LH,57,58.750000,P1,5,57,50.500000
LH,52,59.666667,P1,6,52,51.250000
LH,52,60.250000,P1,6,52,51.750000
LH,52,60.750000,P1,6,52,52.250000
LH,52,61.375000,P1,6,52,52.750000
LH,52,62.000000,P1,6,52,53.250000
LH,54,63.375000,P1,5,54,54.500000
RH,74,63.375000,P1,1,74,54.500000
LH,55,65.000000,P1,5,55,56.000000
LH,55,66.250000,P1,6,55,57.000000
RH,83,66.250000,P1,1,83,57.000000
RH,64,67.625000,P1,5,64,58.250000
RH,81,67.875000,P1,1,81,58.500000
RH,81,69.000000,P1,1,81,59.500000
RH,69,72.875000,P1,2,69,63.000000
RH,68,73.125000,P1,2,68,63.250000
RH,68,74.333333,P1,2,68,64.250000
RH,69,75.750000,P1,2,69,65.500000
RH,68,76.250000,P1,2,68,66.000000
RH,71,76.250000,P1,1,71,66.000000
RH,64,76.625000,P1,2,64,66.250000
RH,69,76.875000,P1,1,69,66.500000
RH,64,77.125000,P1,2,64,66.750000
RH,64,77.750000,P1,2,64,67.250000
RH,64,78.333333,P1,2,64,67.750000
LH,45,78.625000,P1,5,45,68.000000
RH,73,78.625000,P1,2,73,68.000000
LH,54,81.500000,P1,5,54,70.500000
RH,62,81.500000,P1,2,62,70.500000
RH,68,82.625000,P1,2,68,71.500000
RH,71,82.875000,P1,1,71,71.750000
LH,52,83.250000,P1,5,52,72.000000
RH,61,83.250000,P1,1,61,72.000000
