hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,49,2.000000,P1,5,49,0.000000
RH,73,2.250000,P1,1,73,0.250000
RH,68,2.500000,P1,1,68,0.500000
RH,73,2.625000,P1,1,73,0.750000
RH,61,2.875000,P1,5,61,1.000000
RH,77,2.875000,P1,1,77,1.000000
RH,73,3.125000,P1,1,73,1.250000
LH,51,3.333333,P1,5,51,1.500000
RH,78,3.333333,P1,1,78,1.500000
RH,73,3.500000,P1,1,73,1.750000
RH,78,3.750000,P1,1,78,2.000000
RH,73,4.000000,P1,1,73,2.250000
RH,61,4.250000,P1,5,61,2.500000
RH,78,4.250000,P1,1,78,2.500000
RH,73,4.375000,P1,1,73,2.750000
LH,53,4.625000,P1,5,53,3.000000
RH,80,4.625000,P1,1,80,3.000000
RH,73,4.875000,P1,1,73,3.250000
RH,80,5.000000,P1,1,80,3.500000
RH,73,5.250000,P1,1,73,3.750000
RH,61,5.500000,P1,5,61,4.000000
RH,80,5.500000,P1,1,80,4.000000
RH,73,5.666667,P1,1,73,4.250000
LH,54,5.875000,P1,5,54,4.500000
RH,82,5.875000,P1,1,82,4.500000
RH,73,6.125000,P1,1,73,4.750000
RH,82,6.333333,P1,1,82,5.000000
RH,73,6.500000,P1,1,73,5.250000
RH,82,6.750000,P1,1,82,5.500000
RH,61,6.875000,P1,5,61,5.500000
RH,73,7.000000,P1,1,73,5.750000
LH,53,7.250000,P1,5,53,6.000000
RH,80,7.250000,P1,1,80,6.000000
RH,73,7.375000,P1,1,73,6.250000
RH,80,7.666667,P1,1,80,6.500000
RH,73,7.875000,P1,1,73,6.750000
RH,61,8.125000,P1,5,61,7.000000
RH,80,8.125000,P1,1,80,7.000000
RH,73,8.333333,P1,1,73,7.250000
LH,51,8.500000,P1,5,51,7.500000
RH,78,8.500000,P1,1,78,7.500000
RH,77,8.750000,P1,1,77,7.750000
RH,75,9.000000,P1,1,75,8.000000
RH,77,9.125000,P1,1,77,8.250000
RH,60,9.375000,P1,5,60,8.500000
RH,78,9.375000,P1,1,78,8.500000
RH,75,9.625000,P1,1,75,8.750000
LH,49,9.875000,P1,5,49,9.000000
RH,77,9.875000,P1,1,77,9.000000
RH,75,10.125000,P1,1,75,9.250000
RH,73,10.250000,P1,1,73,9.500000
RH,75,10.500000,P1,1,75,9.750000
RH,61,10.750000,P1,5,61,10.000000
RH,77,10.750000,P1,1,77,10.000000
RH,73,11.000000,P1,1,73,10.250000
RH,75,11.250000,P1,1,75,10.500000
RH,77,11.375000,P1,1,77,10.750000
RH,75,11.625000,P1,1,75,11.000000
RH,60,11.666667,P1,5,60,11.000000
LH,58,11.875000,P1,5,58,11.250000
RH,73,11.875000,P1,1,73,11.250000
LH,56,12.125000,P1,5,56,11.500000
RH,72,12.125000,P1,1,72,11.500000
RH,70,12.250000,P1,1,70,11.750000
LH,58,12.333333,P1,5,58,11.750000
RH,60,12.500000,P1,5,60,12.000000
RH,68,12.500000,P1,1,68,12.000000
LH,56,12.750000,P1,5,56,12.250000
LH,51,13.000000,P1,5,51,12.500000
LH,56,13.125000,P1,5,56,12.750000
RH,60,13.375000,P1,5,60,13.000000
RH,80,13.375000,P1,1,80,13.000000
LH,56,13.625000,P1,5,56,13.250000
RH,61,13.750000,P1,5,61,13.500000
RH,70,13.750000,P1,1,70,13.500000
LH,56,14.000000,P1,5,56,13.750000
RH,61,14.250000,P1,5,61,14.000000
LH,56,14.500000,P1,5,56,14.250000
RH,61,14.666667,P1,5,61,14.500000
RH,80,14.666667,P1,1,80,14.500000
LH,56,14.875000,P1,5,56,14.750000
RH,63,15.125000,P1,5,63,15.000000
RH,72,15.125000,P1,1,72,15.000000
LH,56,15.375000,P1,5,56,15.250000
RH,63,15.625000,P1,5,63,15.500000
LH,56,15.750000,P1,5,56,15.750000
RH,63,16.000000,P1,5,63,16.000000
RH,80,16.000000,P1,1,80,16.000000
LH,56,16.250000,P1,5,56,16.250000
RH,65,16.500000,P1,5,65,16.500000
RH,73,16.500000,P1,1,73,16.500000
LH,56,16.750000,P1,5,56,16.750000
RH,65,17.000000,P1,5,65,17.000000
LH,56,17.125000,P1,5,56,17.250000
RH,65,17.375000,P1,5,65,17.500000
RH,80,17.375000,P1,1,80,17.500000
LH,56,17.625000,P1,5,56,17.750000
RH,63,17.750000,P1,5,63,18.000000
RH,72,17.750000,P1,1,72,18.000000
LH,56,18.000000,P1,5,56,18.250000
RH,63,18.250000,P1,5,63,18.500000
LH,56,18.500000,P1,5,56,18.750000
RH,63,18.666667,P1,5,63,19.000000
RH,80,18.666667,P1,1,80,19.000000
LH,56,18.875000,P1,5,56,19.250000
RH,61,19.125000,P1,5,61,19.500000
RH,70,19.125000,P1,1,70,19.500000
RH,60,19.333333,P1,5,60,19.750000
LH,58,19.625000,P1,5,58,20.000000
RH,60,19.750000,P1,5,60,20.250000
RH,61,20.000000,P1,5,61,20.500000
RH,79,20.000000,P1,1,79,20.500000
LH,58,20.250000,P1,5,58,20.750000
RH,60,20.375000,P1,5,60,21.000000
RH,68,20.375000,P1,1,68,21.000000
LH,58,20.666667,P1,5,58,21.250000
LH,56,20.875000,P1,5,56,21.500000
LH,58,21.125000,P1,5,58,21.750000
RH,60,21.333333,P1,5,60,22.000000
RH,80,21.333333,P1,1,80,22.000000
LH,56,21.500000,P1,5,56,22.250000
LH,58,21.750000,P1,5,58,22.500000
LH,59,22.000000,P1,5,59,22.750000
RH,78,22.250000,P1,1,78,23.000000
LH,58,22.333333,P1,5,58,23.000000
LH,56,22.500000,P1,5,56,23.250000
RH,77,22.500000,P1,1,77,23.250000
LH,54,22.750000,P1,5,54,23.500000
RH,75,22.750000,P1,1,75,23.500000
LH,53,22.875000,P1,5,53,23.750000
RH,77,22.875000,P1,1,77,23.750000
LH,51,23.250000,P1,5,51,24.000000
RH,78,23.250000,P1,1,78,24.000000
RH,75,23.375000,P1,1,75,24.250000
RH,70,23.625000,P1,1,70,24.500000
RH,75,23.875000,P1,1,75,24.750000
RH,63,24.125000,P1,5,63,25.000000
RH,78,24.125000,P1,1,78,25.000000
RH,75,24.333333,P1,1,75,25.250000
LH,53,24.500000,P1,5,53,25.500000
RH,80,24.500000,P1,1,80,25.500000
RH,75,24.750000,P1,1,75,25.750000
RH,80,25.000000,P1,1,80,26.000000
RH,75,25.250000,P1,1,75,26.250000
RH,63,25.375000,P1,5,63,26.500000
RH,80,25.375000,P1,1,80,26.500000
RH,75,25.625000,P1,1,75,26.750000
LH,54,25.875000,P1,5,54,27.000000
RH,82,25.875000,P1,1,82,27.000000
RH,75,26.125000,P1,1,75,27.250000
RH,82,26.333333,P1,1,82,27.500000
RH,75,26.500000,P1,1,75,27.750000
RH,63,26.750000,P1,5,63,28.000000
RH,82,26.750000,P1,1,82,28.000000
RH,75,27.000000,P1,1,75,28.250000
LH,56,27.125000,P1,5,56,28.500000
RH,83,27.125000,P1,1,83,28.500000
RH,75,27.375000,P1,1,75,28.750000
RH,83,27.625000,P1,1,83,29.000000
RH,75,27.750000,P1,1,75,29.250000
RH,63,28.000000,P1,5,63,29.500000
RH,83,28.000000,P1,1,83,29.500000
RH,75,28.250000,P1,1,75,29.750000
LH,54,28.500000,P1,5,54,30.000000
RH,82,28.500000,P1,1,82,30.000000
RH,75,28.666667,P1,1,75,30.250000
RH,82,28.875000,P1,1,82,30.500000
RH,75,29.125000,P1,1,75,30.750000
RH,63,29.375000,P1,5,63,31.000000
RH,82,29.375000,P1,1,82,31.000000
RH,75,29.625000,P1,1,75,31.250000
RH,80,29.750000,P1,1,80,31.500000
LH,53,29.875000,P1,5,53,31.500000
RH,78,30.000000,P1,1,78,31.750000
RH,77,30.250000,P1,1,77,32.000000
RH,78,30.500000,P1,1,78,32.250000
RH,62,30.666667,P1,5,62,32.500000
RH,80,30.666667,P1,1,80,32.500000
RH,77,30.875000,P1,1,77,32.750000
LH,51,31.125000,P1,5,51,33.000000
RH,78,31.125000,P1,1,78,33.000000
RH,77,31.375000,P1,1,77,33.250000
RH,75,31.625000,P1,1,75,33.500000
RH,77,31.750000,P1,1,77,33.750000
RH,63,32.000000,P1,5,63,34.000000
RH,78,32.000000,P1,1,78,34.000000
RH,75,32.250000,P1,1,75,34.250000
RH,77,32.500000,P1,1,77,34.500000
RH,78,32.666667,P1,1,78,34.750000
RH,61,32.875000,P1,5,61,35.000000
RH,77,32.875000,P1,1,77,35.000000
RH,60,33.125000,P1,5,60,35.250000
RH,75,33.125000,P1,1,75,35.250000
LH,58,33.375000,P1,5,58,35.500000
RH,73,33.375000,P1,1,73,35.500000
RH,60,33.625000,P1,5,60,35.750000
RH,72,33.625000,P1,1,72,35.750000
RH,61,33.750000,P1,5,61,36.000000
RH,70,33.750000,P1,1,70,36.000000
LH,58,34.000000,P1,5,58,36.250000
LH,53,34.250000,P1,5,53,36.500000
LH,58,34.500000,P1,5,58,36.750000
RH,61,34.666667,P1,5,61,37.000000
RH,82,34.666667,P1,1,82,37.000000
LH,58,34.875000,P1,5,58,37.250000
RH,63,35.125000,P1,5,63,37.500000
RH,72,35.125000,P1,1,72,37.500000
LH,58,35.333333,P1,5,58,37.750000
RH,63,35.625000,P1,5,63,38.000000
LH,58,35.750000,P1,5,58,38.250000
RH,63,36.000000,P1,5,63,38.500000
RH,82,36.000000,P1,1,82,38.500000
LH,58,36.125000,P1,5,58,38.750000
RH,65,36.500000,P1,5,65,39.000000
RH,73,36.500000,P1,1,73,39.000000
LH,58,36.666667,P1,5,58,39.250000
RH,65,36.875000,P1,5,65,39.500000
LH,58,37.125000,P1,5,58,39.750000
RH,65,37.375000,P1,5,65,40.000000
RH,82,37.375000,P1,1,82,40.000000
LH,58,37.625000,P1,5,58,40.250000
RH,66,37.750000,P1,5,66,40.500000
RH,75,37.750000,P1,1,75,40.500000
LH,58,38.000000,P1,5,58,40.750000
RH,66,38.250000,P1,5,66,41.000000
LH,58,38.500000,P1,5,58,41.250000
RH,66,38.666667,P1,5,66,41.500000
RH,82,38.666667,P1,1,82,41.500000
LH,58,38.875000,P1,5,58,41.750000
