hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,77,2.000000,P1,1,77,0.000000
RH,72,2.375000,P1,1,72,0.250000
LH,57,2.500000,P1,5,57,0.500000
RH,69,2.500000,P1,1,69,0.500000
RH,67,2.875000,P1,1,67,0.750000
RH,60,3.000000,P1,5,60,1.000000
RH,69,3.000000,P1,1,69,1.000000
RH,72,3.250000,P1,1,72,1.250000
LH,57,3.500000,P1,5,57,1.500000
RH,65,3.500000,P1,1,65,1.500000
RH,69,3.750000,P1,1,69,1.750000
LH,53,4.000000,P1,5,53,2.000000
RH,72,4.000000,P1,1,72,2.000000
RH,75,4.125000,P1,1,75,2.250000
LH,57,4.500000,P1,5,57,2.500000
RH,74,4.500000,P1,1,74,2.500000
RH,72,4.666667,P1,1,72,2.750000
LH,58,5.000000,P1,5,58,3.000000
RH,74,5.000000,P1,1,74,3.000000
RH,70,5.250000,P1,1,70,3.250000
RH,62,5.375000,P1,5,62,3.500000
RH,65,5.375000,P1,1,65,3.500000
RH,64,5.666667,P1,1,64,3.750000
LH,58,5.875000,P1,5,58,4.000000
RH,65,5.875000,P1,1,65,4.000000
RH,70,6.125000,P1,1,70,4.250000
RH,62,6.375000,P1,1,62,4.500000
LH,41,6.500000,P1,5,41,4.500000
RH,65,6.625000,P1,1,65,4.750000
RH,69,6.875000,P1,1,69,5.000000
RH,72,7.125000,P1,1,72,5.250000
RH,70,7.333333,P1,1,70,5.500000
RH,69,7.625000,P1,1,69,5.750000
LH,53,7.875000,P1,5,53,6.000000
RH,70,7.875000,P1,1,70,6.000000
RH,67,8.000000,P1,1,67,6.250000
LH,55,8.333333,P1,5,55,6.500000
RH,64,8.333333,P1,1,64,6.500000
RH,62,8.500000,P1,1,62,6.750000
LH,58,8.750000,P1,5,58,7.000000
RH,64,8.750000,P1,1,64,7.000000
RH,67,9.000000,P1,1,67,7.250000
LH,55,9.250000,P1,5,55,7.500000
RH,60,9.250000,P1,1,60,7.500000
RH,64,9.500000,P1,1,64,7.750000
LH,52,9.750000,P1,5,52,8.000000
RH,67,9.750000,P1,1,67,8.000000
RH,70,10.000000,P1,1,70,8.250000
LH,48,10.250000,P1,5,48,8.500000
RH,69,10.250000,P1,1,69,8.500000
RH,67,10.500000,P1,1,67,8.750000
LH,53,10.750000,P1,5,53,9.000000
RH,69,10.750000,P1,1,69,9.000000
RH,67,11.000000,P1,1,67,9.250000
LH,57,11.250000,P1,5,57,9.500000
RH,65,11.250000,P1,1,65,9.500000
RH,64,11.375000,P1,1,64,9.750000
LH,53,11.666667,P1,5,53,10.000000
RH,65,11.666667,P1,1,65,10.000000
RH,69,11.875000,P1,1,69,10.250000
LH,41,12.250000,P1,5,41,10.500000
RH,60,12.250000,P1,1,60,10.500000
RH,64,12.375000,P1,1,64,10.750000
RH,65,12.666667,P1,1,65,11.000000
RH,69,12.875000,P1,1,69,11.250000
RH,67,13.125000,P1,1,67,11.500000
RH,65,13.333333,P1,1,65,11.750000
LH,53,13.625000,P1,5,53,12.000000
RH,69,13.625000,P1,2,69,12.000000
RH,71,13.750000,P1,2,71,12.125000
LH,50,13.875000,P1,5,50,12.250000
RH,72,13.875000,P1,2,72,12.250000
LH,47,14.125000,P1,5,47,12.500000
RH,71,14.125000,P1,2,71,12.375000
RH,72,14.250000,P1,2,72,12.500000
LH,45,14.333333,P1,5,45,12.750000
RH,72,14.500000,P1,2,72,13.000000
LH,47,14.625000,P1,5,47,13.000000
RH,71,14.666667,P1,2,71,13.125000
LH,50,14.750000,P1,5,50,13.250000
RH,72,14.750000,P1,2,72,13.250000
RH,71,15.000000,P1,2,71,13.375000
LH,43,15.125000,P1,5,43,13.500000
RH,72,15.125000,P1,2,72,13.500000
RH,71,15.250000,P1,2,71,13.625000
LH,47,15.375000,P1,5,47,13.750000
RH,72,15.375000,P1,2,72,13.750000
RH,71,15.500000,P1,2,71,13.875000
LH,50,15.625000,P1,5,50,14.000000
RH,72,15.625000,P1,2,72,14.000000
RH,71,15.750000,P1,2,71,14.125000
LH,53,15.875000,P1,5,53,14.250000
RH,72,15.875000,P1,2,72,14.250000
LH,52,16.000000,P1,5,52,14.500000
RH,71,16.000000,P1,2,71,14.375000
LH,50,16.250000,P1,5,50,14.750000
RH,69,16.250000,P1,2,69,14.750000
RH,71,16.375000,P1,2,71,14.625000
LH,50,16.500000,P1,6,50,15.000000
RH,72,16.500000,P1,1,72,15.000000
LH,52,16.750000,P1,6,52,15.125000
RH,67,16.875000,P1,1,67,15.250000
LH,53,17.000000,P1,6,53,15.250000
LH,52,17.125000,P1,6,52,15.625000
RH,64,17.125000,P1,1,64,15.500000
LH,53,17.333333,P1,6,53,15.750000
RH,62,17.333333,P1,1,62,15.750000
LH,52,17.500000,P1,6,52,15.875000
RH,64,17.625000,P1,1,64,16.000000
LH,53,17.666667,P1,6,53,16.000000
LH,52,17.875000,P1,6,52,16.125000
RH,67,17.875000,P1,1,67,16.250000
LH,53,18.000000,P1,6,53,16.500000
LH,52,18.125000,P1,6,52,16.625000
RH,60,18.125000,P1,1,60,16.500000
LH,53,18.333333,P1,6,53,16.750000
RH,64,18.333333,P1,1,64,16.750000
LH,52,18.500000,P1,6,52,16.875000
RH,67,18.500000,P1,1,67,17.000000
LH,53,18.666667,P1,6,53,17.000000
RH,70,18.875000,P1,1,70,17.250000
RH,69,19.000000,P1,1,69,17.500000
LH,52,19.250000,P1,6,52,17.625000
RH,67,19.250000,P1,1,67,17.750000
LH,55,19.500000,P1,5,55,18.000000
RH,74,19.625000,P1,2,74,18.000000
LH,52,19.750000,P1,5,52,18.250000
RH,73,19.750000,P1,2,73,18.125000
RH,71,19.875000,P1,2,71,18.250000
LH,49,20.000000,P1,5,49,18.500000
RH,73,20.000000,P1,2,73,18.375000
RH,74,20.125000,P1,2,74,18.500000
LH,47,20.333333,P1,5,47,18.750000
LH,49,20.500000,P1,5,49,19.000000
RH,73,20.500000,P1,2,73,18.875000
RH,74,20.500000,P1,2,74,18.750000
LH,52,20.750000,P1,5,52,19.250000
RH,74,20.750000,P1,2,74,19.250000
RH,73,20.875000,P1,2,73,19.125000
RH,74,21.000000,P1,2,74,19.500000
LH,45,21.125000,P1,5,45,19.500000
RH,73,21.125000,P1,2,73,19.625000
RH,74,21.333333,P1,2,74,19.750000
LH,49,21.375000,P1,5,49,19.750000
RH,73,21.500000,P1,2,73,19.875000
LH,52,21.625000,P1,5,52,20.000000
RH,74,21.625000,P1,2,74,20.000000
LH,55,21.750000,P1,5,55,20.250000
RH,73,21.750000,P1,2,73,20.125000
LH,53,22.000000,P1,5,53,20.500000
RH,73,22.000000,P1,2,73,20.375000
RH,71,22.125000,P1,2,71,20.750000
LH,52,22.250000,P1,5,52,20.750000
RH,73,22.333333,P1,2,73,20.625000
LH,52,22.500000,P1,6,52,21.000000
RH,74,22.500000,P1,1,74,21.000000
LH,53,22.666667,P1,6,53,21.125000
RH,69,22.750000,P1,1,69,21.250000
LH,55,22.875000,P1,6,55,21.250000
LH,53,23.000000,P1,6,53,21.625000
