hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,53,2.125000,P1,6,53,0.000000
LH,56,2.125000,P1,5,56,0.000000
RH,68,2.875000,P1,1,68,0.250000
RH,72,3.500000,P1,1,72,0.500000
RH,77,4.125000,P1,1,77,0.750000
LH,58,4.750000,P1,5,58,1.000000
RH,77,5.375000,P1,1,77,1.250000
RH,76,6.000000,P1,1,76,1.500000
RH,79,6.750000,P1,1,79,1.750000
RH,60,7.333333,P1,5,60,2.000000
RH,72,8.000000,P1,1,72,2.250000
RH,77,8.666667,P1,1,77,2.500000
RH,76,9.250000,P1,1,76,2.750000
LH,56,10.000000,P1,5,56,3.000000
RH,72,10.666667,P1,2,72,3.250000
RH,70,11.250000,P1,2,70,3.500000
RH,68,11.875000,P1,2,68,3.750000
LH,58,12.500000,P1,5,58,4.000000
RH,68,13.250000,P1,2,68,4.250000
RH,67,13.750000,P1,2,67,4.500000
RH,70,14.375000,P1,2,70,4.750000
LH,55,15.125000,P1,5,55,5.000000
RH,64,15.125000,P1,2,64,5.000000
RH,73,15.750000,P1,1,73,5.250000
RH,72,16.333333,P1,1,72,5.500000
RH,70,17.000000,P1,1,70,5.750000
RH,65,17.625000,P1,2,65,6.000000
RH,68,17.625000,P1,1,68,6.000000
LH,56,18.333333,P1,5,56,6.250000
RH,60,19.000000,P1,5,60,6.500000
RH,65,19.625000,P1,5,65,6.750000
RH,70,19.625000,P1,1,70,6.750000
RH,72,20.250000,P1,2,72,7.000000
RH,70,20.500000,P1,2,70,7.062500
RH,72,20.666667,P1,2,72,7.125000
RH,65,20.875000,P1,5,65,7.250000
RH,70,20.875000,P1,2,70,7.187500
RH,72,21.000000,P1,2,72,7.375000
RH,70,21.250000,P1,2,70,7.437500
RH,64,21.375000,P1,5,64,7.500000
RH,72,21.375000,P1,2,72,7.500000
RH,70,21.500000,P1,2,70,7.562500
RH,72,21.750000,P1,2,72,7.625000
RH,67,22.000000,P1,5,67,7.750000
RH,70,22.000000,P1,2,70,7.687500
RH,68,22.250000,P1,1,68,7.750000
RH,70,22.500000,P1,1,70,7.875000
RH,68,23.375000,P1,2,68,8.250000
RH,64,24.000000,P1,2,64,8.500000
RH,65,24.666667,P1,2,65,8.750000
LH,58,25.250000,P1,5,58,9.000000
RH,61,25.250000,P1,2,61,9.000000
RH,73,25.875000,P1,1,73,9.250000
RH,67,26.500000,P1,1,67,9.500000
RH,70,27.125000,P1,1,70,9.750000
RH,60,27.750000,P1,2,60,10.000000
RH,64,27.750000,P1,1,64,10.000000
LH,52,28.375000,P1,5,52,10.250000
LH,55,29.125000,P1,5,55,10.500000
RH,60,29.666667,P1,5,60,10.750000
RH,65,29.666667,P1,1,65,10.750000
RH,67,30.333333,P1,2,67,11.000000
RH,65,30.625000,P1,2,65,11.062500
RH,67,30.750000,P1,2,67,11.125000
RH,60,31.000000,P1,5,60,11.250000
RH,65,31.000000,P1,2,65,11.187500
RH,67,31.125000,P1,2,67,11.375000
RH,65,31.333333,P1,2,65,11.437500
RH,67,31.500000,P1,2,67,11.500000
LH,58,31.625000,P1,5,58,11.500000
RH,65,31.666667,P1,2,65,11.562500
RH,67,31.750000,P1,2,67,11.625000
RH,65,32.000000,P1,2,65,11.687500
RH,61,32.125000,P1,5,61,11.750000
RH,64,32.125000,P1,1,64,11.750000
RH,65,32.333333,P1,1,65,11.875000
RH,72,33.375000,P1,1,72,12.250000
LH,55,33.875000,P1,5,55,12.500000
RH,70,33.875000,P1,1,70,12.500000
RH,73,34.625000,P1,1,73,12.750000
RH,60,35.250000,P1,5,60,13.000000
RH,64,35.250000,P1,2,64,13.000000
RH,73,35.875000,P1,1,73,13.250000
LH,48,36.500000,P1,5,48,13.500000
RH,72,36.500000,P1,1,72,13.500000
RH,70,37.250000,P1,1,70,13.750000
RH,63,37.875000,P1,2,63,14.000000
RH,69,37.875000,P1,1,69,14.000000
LH,45,38.500000,P1,5,45,14.250000
LH,48,39.125000,P1,5,48,14.500000
LH,53,39.750000,P1,5,53,14.750000
RH,70,39.750000,P1,1,70,14.750000
RH,72,40.375000,P1,4,72,15.000000
RH,61,40.500000,P1,2,61,15.000000
RH,70,40.666667,P1,4,70,15.062500
RH,72,40.875000,P1,4,72,15.125000
LH,53,41.000000,P1,5,53,15.250000
RH,70,41.000000,P1,4,70,15.187500
RH,72,41.250000,P1,4,72,15.375000
RH,70,41.375000,P1,4,70,15.437500
LH,51,41.625000,P1,5,51,15.500000
RH,72,41.625000,P1,4,72,15.500000
RH,70,41.750000,P1,4,70,15.562500
RH,72,42.000000,P1,4,72,15.625000
LH,54,42.125000,P1,5,54,15.750000
RH,70,42.125000,P1,4,70,15.687500
RH,69,42.375000,P1,1,69,15.750000
RH,70,42.625000,P1,1,70,15.875000
RH,72,42.750000,P1,1,72,16.000000
RH,65,43.500000,P1,2,65,16.250000
LH,48,44.125000,P1,5,48,16.500000
RH,63,44.125000,P1,2,63,16.500000
RH,66,44.750000,P1,2,66,16.750000
RH,66,46.125000,P1,2,66,17.250000
LH,41,46.750000,P1,6,41,17.500000
RH,65,46.750000,P1,2,65,17.500000
RH,63,47.375000,P1,2,63,17.750000
LH,46,48.000000,P1,5,46,18.000000
RH,61,48.000000,P1,2,61,18.000000
RH,72,48.750000,P1,1,72,18.250000
RH,70,49.333333,P1,1,70,18.500000
RH,73,50.000000,P1,1,73,18.750000
RH,67,50.625000,P1,1,67,19.000000
LH,46,51.250000,P1,5,46,19.250000
LH,48,51.875000,P1,5,48,19.500000
RH,70,51.875000,P1,4,70,19.562500
RH,68,52.125000,P1,4,68,19.625000
RH,70,52.250000,P1,4,70,19.562500
LH,49,52.333333,P1,5,49,19.750000
RH,68,52.500000,P1,4,68,19.625000
LH,43,53.000000,P1,5,43,20.000000
RH,70,53.125000,P1,1,70,20.000000
RH,60,53.750000,P1,2,60,20.250000
LH,46,54.333333,P1,5,46,20.500000
RH,61,54.333333,P1,2,61,20.500000
RH,65,55.000000,P1,2,65,20.750000
LH,51,55.625000,P1,6,51,21.000000
LH,55,55.625000,P1,5,55,21.000000
RH,65,56.250000,P1,2,65,21.250000
LH,39,56.875000,P1,6,39,21.500000
RH,63,56.875000,P1,2,63,21.500000
RH,61,57.625000,P1,2,61,21.750000
RH,60,58.333333,P1,2,60,22.000000
LH,48,59.000000,P1,5,48,22.250000
RH,68,59.000000,P1,1,68,22.250000
LH,51,59.625000,P1,5,51,22.500000
RH,72,59.625000,P1,1,72,22.500000
LH,56,60.250000,P1,5,56,22.750000
RH,61,60.875000,P1,2,61,23.000000
LH,56,61.625000,P1,5,56,23.250000
RH,70,61.625000,P1,1,70,23.250000
LH,55,62.250000,P1,5,55,23.500000
RH,73,62.250000,P1,1,73,23.500000
LH,58,62.875000,P1,5,58,23.750000
RH,63,63.500000,P1,2,63,24.000000
LH,51,64.125000,P1,5,51,24.250000
RH,72,64.125000,P1,1,72,24.250000
LH,56,64.750000,P1,5,56,24.500000
RH,75,64.750000,P1,1,75,24.500000
RH,60,65.500000,P1,5,60,24.750000
RH,65,66.125000,P1,2,65,25.000000
RH,60,66.750000,P1,5,60,25.250000
RH,73,66.750000,P1,1,73,25.250000
LH,58,67.375000,P1,5,58,25.500000
RH,77,67.375000,P1,1,77,25.500000
RH,61,68.125000,P1,5,61,25.750000
RH,67,68.750000,P1,2,67,26.000000
LH,55,69.375000,P1,5,55,26.250000
RH,75,69.375000,P1,1,75,26.250000
LH,58,70.000000,P1,5,58,26.500000
RH,73,70.000000,P1,1,73,26.500000
RH,63,70.625000,P1,5,63,26.750000
RH,72,70.625000,P1,1,72,26.750000
RH,70,71.250000,P1,1,70,27.000000
RH,63,71.875000,P1,5,63,27.250000
RH,67,71.875000,P1,1,67,27.250000
RH,61,72.500000,P1,5,61,27.500000
RH,68,72.500000,P1,1,68,27.500000
RH,65,73.125000,P1,5,65,27.750000
RH,73,73.125000,P1,1,73,27.750000
RH,72,73.750000,P1,2,72,28.062500
RH,70,74.000000,P1,2,70,28.125000
RH,72,74.250000,P1,2,72,28.062500
RH,65,74.333333,P1,5,65,28.250000
RH,70,74.333333,P1,2,70,28.125000
RH,70,74.750000,P1,2,70,28.125000
RH,63,75.000000,P1,5,63,28.500000
RH,61,75.750000,P1,5,61,28.750000
LH,56,76.375000,P1,6,56,29.000000
RH,60,76.375000,P1,5,60,29.000000
RH,63,77.000000,P1,1,63,29.250000
LH,55,77.625000,P1,6,55,29.500000
RH,65,77.625000,P1,1,65,29.500000
RH,67,78.250000,P1,1,67,29.750000
LH,53,78.875000,P1,6,53,30.000000
RH,68,78.875000,P1,1,68,30.000000
RH,67,79.500000,P1,1,67,30.250000
LH,49,80.125000,P1,6,49,30.500000
RH,68,80.125000,P1,1,68,30.500000
RH,77,80.875000,P1,1,77,30.750000
LH,51,81.375000,P1,6,51,31.000000
RH,60,81.375000,P1,8,60,31.062500
RH,75,81.375000,P1,1,75,31.000000
LH,58,81.750000,P1,8,58,31.125000
RH,60,81.875000,P1,8,60,31.062500
LH,58,82.000000,P1,8,58,31.125000
RH,68,82.000000,P1,2,68,31.250000
LH,58,82.375000,P1,8,58,31.125000
RH,67,82.666667,P1,2,67,31.500000
RH,73,83.250000,P1,1,73,31.750000
LH,44,84.000000,P1,6,44,32.000000
LH,56,84.000000,P1,5,56,32.000000
RH,72,84.000000,P1,1,72,32.000000
RH,68,84.500000,P1,1,68,32.250000
RH,72,85.250000,P1,1,72,32.500000
RH,76,85.875000,P1,1,76,32.750000
RH,77,86.500000,P1,1,77,33.000000
LH,56,87.000000,P1,6,56,33.250000
RH,79,87.000000,P1,1,79,33.250000
LH,55,87.666667,P1,6,55,33.500000
RH,76,87.666667,P1,1,76,33.500000
LH,53,88.333333,P1,6,53,33.750000
RH,77,88.333333,P1,1,77,33.750000
RH,79,89.000000,P1,1,79,34.000000
LH,55,89.666667,P1,5,55,34.250000
LH,58,90.250000,P1,5,58,34.500000
