hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,55,2.000000,P1,5,55,0.000000
RH,71,2.250000,P1,1,71,0.250000
RH,74,2.500000,P1,1,74,0.500000
LH,43,2.625000,P1,5,43,0.750000
RH,79,2.625000,P1,1,79,0.750000
RH,74,2.750000,P1,1,74,1.000000
RH,71,3.000000,P1,1,71,1.250000
RH,74,3.250000,P1,1,74,1.500000
RH,71,3.375000,P1,1,71,1.750000
RH,67,3.625000,P1,1,67,2.000000
LH,55,3.875000,P1,5,55,2.250000
RH,71,3.875000,P1,1,71,2.250000
RH,67,4.000000,P1,1,67,2.500000
RH,62,4.250000,P1,1,62,2.750000
LH,55,4.500000,P1,5,55,3.000000
RH,64,4.500000,P1,1,64,3.000000
RH,67,4.750000,P1,1,67,3.250000
RH,72,4.875000,P1,1,72,3.500000
LH,43,5.125000,P1,5,43,3.750000
RH,76,5.125000,P1,1,76,3.750000
RH,72,5.333333,P1,1,72,4.000000
RH,67,5.500000,P1,1,67,4.250000
RH,72,5.750000,P1,1,72,4.500000
RH,67,6.000000,P1,1,67,4.750000
RH,64,6.125000,P1,1,64,5.000000
LH,55,6.375000,P1,5,55,5.250000
RH,67,6.375000,P1,1,67,5.250000
RH,64,6.625000,P1,1,64,5.500000
RH,60,6.750000,P1,1,60,5.750000
LH,55,7.000000,P1,5,55,6.000000
LH,57,7.000000,P1,1,57,6.000000
RH,60,7.250000,P1,1,60,6.250000
RH,66,7.500000,P1,1,66,6.500000
LH,43,7.666667,P1,5,43,6.750000
RH,69,7.666667,P1,1,69,6.750000
RH,66,7.875000,P1,1,66,7.000000
RH,60,8.125000,P1,1,60,7.250000
RH,66,8.333333,P1,1,66,7.500000
RH,60,8.500000,P1,1,60,7.750000
LH,57,8.750000,P1,1,57,8.000000
LH,55,9.000000,P1,5,55,8.250000
RH,60,9.000000,P1,1,60,8.250000
LH,57,9.125000,P1,1,57,8.500000
LH,54,9.333333,P1,1,54,8.750000
LH,59,9.750000,P1,1,59,9.250000
RH,62,10.000000,P1,1,62,9.500000
LH,43,10.250000,P1,5,43,9.750000
RH,67,10.250000,P1,1,67,9.750000
RH,62,10.500000,P1,1,62,10.000000
LH,59,10.666667,P1,1,59,10.250000
RH,62,10.875000,P1,1,62,10.500000
LH,59,11.000000,P1,1,59,10.750000
LH,55,11.250000,P1,1,55,11.000000
LH,55,11.500000,P1,5,55,11.250000
LH,59,11.500000,P1,1,59,11.250000
LH,55,11.750000,P1,1,55,11.500000
LH,52,11.875000,P1,1,52,11.750000
LH,55,12.125000,P1,5,55,12.000000
LH,57,12.125000,P1,1,57,12.000000
RH,61,12.375000,P1,1,61,12.250000
RH,64,12.625000,P1,1,64,12.500000
LH,43,12.750000,P1,5,43,12.750000
RH,69,12.750000,P1,1,69,12.750000
RH,64,13.000000,P1,1,64,13.000000
RH,61,13.250000,P1,1,61,13.250000
RH,64,13.375000,P1,1,64,13.500000
RH,61,13.625000,P1,1,61,13.750000
LH,57,13.875000,P1,1,57,14.000000
