hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,2.125000,P1,6,56,0.000000
RH,68,2.125000,P1,1,68,0.000000
RH,70,2.875000,P1,1,70,0.250000
RH,63,3.375000,P1,5,63,0.500000
RH,71,3.375000,P1,1,71,0.500000
RH,68,4.000000,P1,1,68,0.750000
RH,61,4.625000,P1,5,61,1.000000
RH,70,4.625000,P1,1,70,1.000000
RH,73,5.125000,P1,1,73,1.250000
LH,55,5.750000,P1,6,55,1.500000
RH,76,5.750000,P1,1,76,1.500000
LH,59,7.000000,P1,5,59,2.000000
RH,75,7.000000,P1,1,75,2.000000
LH,58,8.250000,P1,5,58,2.500000
RH,73,8.250000,P1,1,73,2.500000
LH,56,9.375000,P1,5,56,3.000000
LH,58,10.000000,P1,5,58,3.250000
LH,59,10.625000,P1,5,59,3.500000
RH,80,10.625000,P1,1,80,3.500000
LH,56,11.125000,P1,5,56,3.750000
LH,58,11.666667,P1,5,58,4.000000
RH,70,11.666667,P1,2,70,4.000000
RH,73,11.666667,P1,3,73,4.000000
RH,61,12.250000,P1,5,61,4.250000
RH,64,13.000000,P1,5,64,4.500000
RH,79,13.000000,P1,1,79,4.500000
RH,71,14.125000,P1,3,71,5.000000
RH,61,15.333333,P1,5,61,5.500000
RH,70,15.333333,P1,3,70,5.500000
LH,59,16.500000,P1,5,59,6.000000
RH,80,16.500000,P1,1,80,6.000000
RH,75,16.625000,P1,2,75,6.000000
RH,82,17.125000,P1,1,82,6.250000
RH,68,17.750000,P1,7,68,6.500000
RH,83,17.750000,P1,1,83,6.500000
RH,75,18.333333,P1,1,75,6.750000
RH,61,18.875000,P1,7,61,7.000000
RH,76,18.875000,P1,1,76,7.000000
RH,80,19.375000,P1,1,80,7.250000
LH,58,20.000000,P1,5,58,7.500000
RH,78,20.000000,P1,1,78,7.500000
RH,80,20.625000,P1,1,80,7.750000
RH,66,21.125000,P1,7,66,8.000000
RH,82,21.125000,P1,1,82,8.000000
RH,73,21.750000,P1,1,73,8.250000
LH,59,22.250000,P1,7,59,8.500000
RH,75,22.250000,P1,1,75,8.500000
RH,78,22.875000,P1,1,78,8.750000
LH,56,23.375000,P1,5,56,9.000000
RH,76,23.500000,P1,1,76,9.000000
RH,78,24.000000,P1,1,78,9.250000
RH,64,24.500000,P1,7,64,9.500000
RH,80,24.500000,P1,1,80,9.500000
RH,71,25.125000,P1,1,71,9.750000
LH,52,25.666667,P1,5,52,10.000000
RH,73,25.750000,P1,1,73,10.000000
RH,76,26.250000,P1,1,76,10.250000
LH,54,26.875000,P1,5,54,10.500000
RH,70,26.875000,P1,1,70,10.500000
RH,71,27.375000,P1,1,71,10.750000
LH,56,28.000000,P1,5,56,11.000000
RH,63,28.000000,P1,7,63,11.000000
RH,73,28.000000,P1,1,73,11.000000
RH,66,28.625000,P1,1,66,11.250000
LH,58,29.125000,P1,5,58,11.500000
RH,61,29.125000,P1,7,61,11.500000
RH,73,29.125000,P1,1,73,11.500000
RH,76,29.750000,P1,1,76,11.750000
RH,75,30.375000,P1,1,75,12.000000
RH,61,31.000000,P1,2,61,12.250000
RH,76,31.000000,P1,1,76,12.250000
RH,63,31.500000,P1,2,63,12.500000
RH,78,31.500000,P1,1,78,12.500000
LH,59,32.000000,P1,2,59,12.750000
RH,75,32.000000,P1,1,75,12.750000
RH,61,32.625000,P1,2,61,13.000000
RH,76,32.625000,P1,1,76,13.000000
RH,64,33.250000,P1,2,64,13.250000
RH,80,33.250000,P1,1,80,13.250000
RH,68,33.875000,P1,2,68,13.500000
RH,71,33.875000,P1,1,71,13.500000
RH,70,34.500000,P1,1,70,13.750000
RH,66,35.000000,P1,2,66,14.000000
RH,71,35.000000,P1,1,71,14.000000
RH,70,35.625000,P1,1,70,14.250000
RH,64,36.125000,P1,2,64,14.500000
RH,71,36.125000,P1,1,71,14.500000
RH,73,36.750000,P1,1,73,14.750000
LH,47,37.375000,P1,5,47,15.000000
RH,63,37.375000,P1,2,63,15.000000
LH,49,37.875000,P1,5,49,15.250000
RH,64,37.875000,P1,2,64,15.250000
LH,51,38.500000,P1,5,51,15.500000
RH,66,38.500000,P1,2,66,15.500000
RH,71,38.500000,P1,1,71,15.500000
LH,47,39.000000,P1,5,47,15.750000
RH,63,39.000000,P1,2,63,15.750000
LH,49,39.625000,P1,5,49,16.000000
RH,64,39.625000,P1,2,64,16.000000
LH,52,40.125000,P1,5,52,16.250000
RH,68,40.125000,P1,2,68,16.250000
LH,56,40.750000,P1,5,56,16.500000
RH,61,40.750000,P1,2,61,16.500000
RH,71,41.375000,P1,1,71,16.750000
LH,54,41.875000,P1,5,54,17.000000
RH,70,41.875000,P1,1,70,17.000000
RH,71,42.500000,P1,1,71,17.250000
LH,52,43.125000,P1,5,52,17.500000
RH,73,43.125000,P1,1,73,17.500000
RH,70,43.666667,P1,1,70,17.750000
LH,51,44.250000,P1,5,51,18.000000
RH,66,44.250000,P1,1,66,18.000000
LH,52,44.750000,P1,5,52,18.250000
LH,54,45.375000,P1,5,54,18.500000
LH,59,45.375000,P1,2,59,18.500000
LH,51,46.000000,P1,5,51,18.750000
LH,57,46.000000,P1,2,57,18.750000
LH,53,46.500000,P1,5,53,19.000000
RH,61,46.500000,P1,2,61,19.000000
LH,56,47.000000,P1,5,56,19.250000
LH,59,47.000000,P1,2,59,19.250000
LH,59,47.666667,P1,5,59,19.500000
RH,62,47.666667,P1,2,62,19.500000
RH,65,48.250000,P1,1,65,19.750000
LH,57,48.875000,P1,5,57,20.000000
RH,61,48.875000,P1,2,61,20.000000
RH,66,48.875000,P1,1,66,20.000000
RH,65,49.375000,P1,1,65,20.250000
LH,56,50.000000,P1,5,56,20.500000
LH,59,50.000000,P1,2,59,20.500000
RH,66,50.000000,P1,1,66,20.500000
RH,68,50.625000,P1,1,68,20.750000
LH,54,51.125000,P1,5,54,21.000000
RH,61,51.125000,P1,1,61,21.000000
RH,63,51.750000,P1,1,63,21.250000
