hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,45,2.000000,P1,6,45,0.000000
RH,71,2.333333,P1,1,71,0.250000
RH,73,2.625000,P1,1,73,0.500000
RH,69,2.875000,P1,1,69,0.750000
LH,57,3.250000,P1,6,57,1.000000
RH,78,3.250000,P1,1,78,1.000000
RH,78,3.875000,P1,1,78,1.500000
LH,56,4.500000,P1,6,56,2.000000
RH,78,4.500000,P1,1,78,2.000000
RH,75,4.875000,P1,1,75,2.250000
RH,76,5.125000,P1,1,76,2.500000
LH,55,5.875000,P1,6,55,3.000000
RH,76,6.125000,P1,1,76,3.250000
RH,64,6.500000,P1,5,64,3.500000
RH,78,6.500000,P1,1,78,3.500000
RH,79,6.750000,P1,1,79,3.750000
LH,54,7.125000,P1,6,54,4.000000
RH,81,7.125000,P1,1,81,4.000000
RH,79,7.375000,P1,1,79,4.250000
LH,57,7.750000,P1,5,57,4.500000
RH,78,7.750000,P1,1,78,4.500000
RH,81,8.000000,P1,1,81,4.750000
LH,59,8.333333,P1,6,59,5.000000
RH,74,8.333333,P1,1,74,5.000000
RH,73,8.666667,P1,1,73,5.250000
RH,62,9.000000,P1,5,62,5.500000
RH,71,9.000000,P1,1,71,5.500000
RH,81,9.250000,P1,1,81,5.750000
LH,52,9.625000,P1,6,52,6.000000
RH,80,9.625000,P1,1,80,6.000000
RH,78,9.875000,P1,1,78,6.250000
LH,56,10.250000,P1,5,56,6.500000
RH,76,10.250000,P1,1,76,6.500000
RH,80,10.500000,P1,1,80,6.750000
LH,57,10.875000,P1,6,57,7.000000
RH,73,10.875000,P1,1,73,7.000000
RH,71,11.125000,P1,1,71,7.250000
RH,61,11.500000,P1,5,61,7.500000
RH,69,11.500000,P1,1,69,7.500000
RH,79,11.750000,P1,1,79,7.750000
LH,50,12.125000,P1,6,50,8.000000
RH,78,12.125000,P1,1,78,8.000000
RH,76,12.375000,P1,1,76,8.250000
LH,59,12.750000,P1,5,59,8.500000
RH,74,12.750000,P1,1,74,8.500000
LH,57,13.000000,P1,5,57,8.750000
RH,78,13.000000,P1,1,78,8.750000
LH,56,13.333333,P1,5,56,9.000000
RH,71,13.333333,P1,1,71,9.000000
LH,52,13.375000,P1,6,52,9.000000
LH,57,13.500000,P1,8,57,9.000000
LH,56,13.625000,P1,8,56,9.125000
RH,78,13.625000,P1,1,78,9.250000
RH,76,14.000000,P1,1,76,9.500000
LH,56,14.250000,P1,5,56,9.750000
RH,74,14.250000,P1,1,74,9.750000
LH,45,14.625000,P1,6,45,10.000000
LH,57,14.625000,P1,5,57,10.000000
RH,73,14.625000,P1,1,73,10.000000
RH,71,14.875000,P1,1,71,10.250000
LH,57,15.250000,P1,6,57,10.500000
RH,69,15.250000,P1,1,69,10.500000
RH,71,15.500000,P1,1,71,10.750000
LH,56,15.875000,P1,6,56,11.000000
RH,73,15.875000,P1,1,73,11.000000
RH,75,16.125000,P1,1,75,11.250000
LH,54,16.375000,P1,6,54,11.500000
RH,76,16.375000,P1,1,76,11.500000
RH,78,16.750000,P1,1,78,11.750000
LH,52,17.000000,P1,5,52,12.000000
RH,80,17.000000,P1,1,80,12.000000
LH,54,17.333333,P1,5,54,12.250000
RH,81,17.333333,P1,1,81,12.250000
LH,56,17.666667,P1,5,56,12.500000
RH,83,17.666667,P1,1,83,12.500000
LH,52,18.000000,P1,5,52,12.750000
RH,80,18.000000,P1,1,80,12.750000
RH,61,18.333333,P1,5,61,13.000000
RH,78,18.625000,P1,1,78,13.250000
RH,61,19.000000,P1,5,61,13.500000
RH,80,19.000000,P1,1,80,13.500000
RH,76,19.250000,P1,1,76,13.750000
RH,61,19.625000,P1,5,61,14.000000
RH,75,19.625000,P1,2,75,14.000000
RH,78,19.625000,P1,1,78,14.000000
LH,58,19.875000,P1,5,58,14.250000
RH,80,19.875000,P1,1,80,14.250000
LH,59,20.250000,P1,5,59,14.500000
RH,81,20.250000,P1,1,81,14.500000
RH,78,20.500000,P1,1,78,14.750000
RH,71,20.875000,P1,1,71,15.000000
RH,74,20.875000,P1,2,74,15.000000
