hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,69,2.125000,P1,1,69,0.000000
RH,71,2.333333,P1,1,71,0.250000
RH,72,2.500000,P1,1,72,0.500000
RH,76,3.125000,P1,1,76,1.000000
LH,57,3.625000,P1,5,57,1.500000
RH,72,3.625000,P1,1,72,1.500000
LH,56,3.875000,P1,5,56,1.750000
LH,57,4.125000,P1,5,57,2.000000
RH,69,4.125000,P1,1,69,2.000000
LH,56,4.333333,P1,5,56,2.250000
LH,57,4.625000,P1,5,57,2.500000
RH,64,4.625000,P1,1,64,2.500000
LH,56,4.750000,P1,5,56,2.750000
LH,57,5.000000,P1,5,57,3.000000
RH,69,5.000000,P1,1,69,3.000000
LH,52,5.625000,P1,5,52,3.500000
RH,72,5.625000,P1,1,72,3.500000
LH,48,6.125000,P1,5,48,4.000000
RH,76,6.125000,P1,1,76,4.000000
LH,45,6.666667,P1,5,45,4.500000
RH,71,6.666667,P1,1,71,4.500000
RH,72,6.875000,P1,1,72,4.750000
RH,74,7.125000,P1,1,74,5.000000
RH,77,7.625000,P1,1,77,5.500000
LH,57,8.125000,P1,5,57,6.000000
RH,74,8.125000,P1,1,74,6.000000
LH,56,8.333333,P1,5,56,6.250000
LH,57,8.500000,P1,5,57,6.500000
RH,71,8.500000,P1,1,71,6.500000
LH,56,8.750000,P1,5,56,6.750000
LH,57,9.000000,P1,5,57,7.000000
RH,68,9.000000,P1,1,68,7.000000
LH,56,9.125000,P1,5,56,7.250000
LH,57,9.500000,P1,5,57,7.500000
RH,71,9.500000,P1,1,71,7.500000
LH,53,10.000000,P1,5,53,8.000000
RH,74,10.000000,P1,1,74,8.000000
LH,50,10.500000,P1,5,50,8.500000
RH,77,10.500000,P1,1,77,8.500000
LH,45,11.000000,P1,5,45,9.000000
RH,74,11.000000,P1,1,74,9.000000
RH,76,11.250000,P1,1,76,9.250000
RH,77,11.500000,P1,1,77,9.500000
RH,80,12.000000,P1,1,80,10.000000
LH,57,12.500000,P1,5,57,10.500000
RH,77,12.500000,P1,1,77,10.500000
LH,56,12.666667,P1,5,56,10.750000
LH,57,12.875000,P1,5,57,11.000000
RH,74,12.875000,P1,1,74,11.000000
LH,56,13.125000,P1,5,56,11.250000
LH,57,13.375000,P1,5,57,11.500000
RH,71,13.375000,P1,1,71,11.500000
LH,56,13.625000,P1,5,56,11.750000
LH,57,13.875000,P1,5,57,12.000000
RH,74,13.875000,P1,1,74,12.000000
LH,53,14.375000,P1,5,53,12.500000
RH,77,14.375000,P1,1,77,12.500000
