hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,1.875000,P1,5,36,0.000000
RH,74,3.875000,P1,1,74,0.500000
RH,76,4.333333,P1,1,76,0.750000
RH,67,4.875000,P1,1,67,1.000000
RH,76,5.375000,P1,1,76,1.250000
RH,65,5.875000,P1,1,65,1.500000
RH,74,6.375000,P1,1,74,1.750000
RH,64,7.000000,P1,1,64,2.000000
RH,72,7.250000,P1,1,72,2.125000
RH,71,7.500000,P1,1,71,2.250000
RH,69,7.666667,P1,1,69,2.375000
RH,67,8.000000,P1,1,67,2.500000
RH,70,8.500000,P1,1,70,2.750000
RH,64,9.125000,P1,1,64,3.000000
RH,67,9.625000,P1,1,67,3.250000
RH,60,10.125000,P1,1,60,3.500000
RH,70,10.666667,P1,1,70,3.750000
RH,69,11.250000,P1,1,69,4.000000
RH,67,11.500000,P1,1,67,4.125000
RH,65,11.750000,P1,1,65,4.250000
RH,64,12.000000,P1,1,64,4.375000
RH,65,12.250000,P1,1,65,4.500000
RH,69,12.875000,P1,1,69,4.750000
RH,62,13.375000,P1,1,62,5.000000
RH,65,13.875000,P1,1,65,5.250000
LH,57,14.375000,P1,1,57,5.500000
RH,60,15.000000,P1,1,60,5.750000
LH,59,15.500000,P1,1,59,6.000000
RH,62,16.000000,P1,1,62,6.250000
RH,64,16.500000,P1,1,64,6.500000
RH,65,17.000000,P1,1,65,6.750000
LH,55,17.625000,P1,1,55,7.000000
RH,65,18.125000,P1,1,65,7.250000
RH,64,18.625000,P1,1,64,7.500000
RH,62,19.250000,P1,1,62,7.750000
RH,64,19.875000,P1,1,64,8.000000
LH,59,21.125000,P1,2,59,8.500000
LH,57,21.625000,P1,2,57,8.750000
LH,55,22.125000,P1,2,55,9.000000
LH,53,22.666667,P1,5,53,9.250000
LH,52,23.250000,P1,5,52,9.500000
LH,50,23.750000,P1,5,50,9.750000
LH,48,24.250000,P1,5,48,10.000000
LH,50,24.500000,P1,5,50,10.125000
LH,48,24.750000,P1,5,48,10.250000
LH,47,25.000000,P1,5,47,10.375000
LH,48,25.333333,P1,5,48,10.500000
LH,52,25.875000,P1,5,52,10.750000
LH,43,26.333333,P1,5,43,11.000000
LH,46,26.875000,P1,5,46,11.250000
LH,45,27.375000,P1,5,45,11.500000
LH,43,28.000000,P1,5,43,11.750000
LH,57,28.666667,P1,2,57,12.000000
LH,41,28.750000,P1,6,41,12.000000
LH,48,29.333333,P1,5,48,12.250000
LH,50,29.875000,P1,5,50,12.500000
LH,52,30.375000,P1,5,52,12.750000
LH,53,31.125000,P1,5,53,13.000000
RH,62,31.666667,P1,1,62,13.250000
LH,52,32.250000,P1,5,52,13.500000
RH,60,32.750000,P1,1,60,13.750000
LH,55,33.333333,P1,2,55,14.000000
LH,59,33.333333,P1,1,59,14.000000
LH,50,33.375000,P1,5,50,14.000000
RH,62,33.875000,P1,1,62,14.250000
RH,67,34.375000,P1,1,67,14.500000
LH,59,35.000000,P1,2,59,14.750000
RH,60,35.500000,P1,2,60,15.000000
LH,40,35.625000,P1,6,40,15.000000
LH,52,35.625000,P1,5,52,15.000000
RH,67,36.125000,P1,1,67,15.250000
LH,45,36.625000,P1,6,45,15.500000
RH,65,36.625000,P1,1,65,15.500000
RH,64,37.125000,P1,1,64,15.750000
RH,65,37.875000,P1,1,65,16.000000
LH,38,38.000000,P1,6,38,16.000000
LH,50,38.000000,P1,5,50,16.000000
RH,60,38.375000,P1,2,60,16.250000
RH,62,39.000000,P1,2,62,16.500000
LH,57,39.375000,P1,2,57,16.750000
LH,59,40.000000,P1,2,59,17.000000
LH,43,40.125000,P1,6,43,17.000000
RH,65,40.500000,P1,1,65,17.250000
RH,64,41.125000,P1,1,64,17.500000
RH,62,41.625000,P1,1,62,17.750000
RH,60,42.250000,P1,2,60,18.000000
RH,64,42.250000,P1,1,64,18.000000
LH,36,42.333333,P1,6,36,18.000000
LH,43,42.750000,P1,6,43,18.250000
LH,45,43.333333,P1,6,45,18.500000
LH,47,43.875000,P1,6,47,18.750000
LH,48,44.333333,P1,6,48,19.000000
LH,52,44.875000,P1,6,52,19.250000
LH,45,45.375000,P1,6,45,19.500000
LH,48,45.875000,P1,6,48,19.750000
RH,62,46.500000,P1,1,62,20.000000
LH,42,46.625000,P1,6,42,20.000000
RH,60,47.125000,P1,2,60,20.250000
LH,59,47.625000,P1,2,59,20.500000
LH,38,47.666667,P1,6,38,20.500000
LH,57,48.125000,P1,2,57,20.750000
LH,43,48.875000,P1,6,43,21.000000
LH,59,48.875000,P1,2,59,21.000000
RH,62,49.333333,P1,1,62,21.250000
RH,64,49.875000,P1,1,64,21.500000
RH,67,50.375000,P1,1,67,21.750000
LH,57,51.125000,P1,2,57,22.000000
RH,60,51.125000,P1,1,60,22.000000
LH,45,51.666667,P1,6,45,22.250000
LH,47,51.875000,P1,6,47,22.375000
LH,48,52.125000,P1,6,48,22.500000
LH,50,52.333333,P1,6,50,22.625000
LH,52,52.666667,P1,6,52,22.750000
LH,42,53.250000,P1,6,42,23.000000
RH,69,53.750000,P1,1,69,23.250000
RH,67,54.000000,P1,1,67,23.375000
RH,69,54.333333,P1,1,69,23.500000
LH,50,54.375000,P1,5,50,23.500000
RH,60,54.875000,P1,1,60,23.750000
LH,59,55.500000,P1,1,59,24.000000
LH,43,55.666667,P1,6,43,24.000000
LH,57,56.125000,P1,2,57,24.250000
LH,55,56.625000,P1,2,55,24.500000
LH,54,57.250000,P1,2,54,24.750000
LH,55,57.750000,P1,2,55,25.000000
RH,62,58.333333,P1,1,62,25.250000
LH,41,58.875000,P1,6,41,25.500000
RH,64,58.875000,P1,1,64,25.500000
RH,65,59.375000,P1,1,65,25.750000
RH,67,60.000000,P1,1,67,26.000000
LH,40,60.125000,P1,6,40,26.000000
RH,64,60.500000,P1,2,64,26.250000
LH,52,61.125000,P1,5,52,26.500000
LH,59,61.125000,P1,2,59,26.500000
LH,43,61.250000,P1,6,43,26.500000
RH,62,61.666667,P1,2,62,26.750000
RH,61,62.125000,P1,2,61,27.000000
LH,45,62.250000,P1,6,45,27.000000
RH,64,62.750000,P1,2,64,27.250000
LH,57,63.333333,P1,2,57,27.500000
LH,49,63.375000,P1,6,49,27.500000
RH,67,63.875000,P1,1,67,27.750000
RH,65,64.500000,P1,1,65,28.000000
LH,38,64.625000,P1,6,38,28.000000
LH,45,65.000000,P1,5,45,28.250000
LH,47,65.625000,P1,5,47,28.500000
LH,49,66.125000,P1,5,49,28.750000
LH,50,66.625000,P1,5,50,29.000000
LH,53,67.125000,P1,6,53,29.250000
LH,47,67.750000,P1,6,47,29.500000
RH,62,67.750000,P1,2,62,29.500000
LH,50,68.250000,P1,6,50,29.750000
RH,64,68.875000,P1,1,64,30.000000
LH,44,69.000000,P1,5,44,30.000000
RH,62,69.375000,P1,2,62,30.250000
LH,40,69.875000,P1,5,40,30.500000
RH,60,69.875000,P1,2,60,30.500000
LH,59,70.500000,P1,2,59,30.750000
LH,45,71.125000,P1,5,45,31.000000
RH,60,71.125000,P1,2,60,31.000000
RH,64,71.625000,P1,1,64,31.250000
LH,43,72.125000,P1,5,43,31.500000
RH,65,72.125000,P1,1,65,31.500000
RH,67,72.666667,P1,1,67,31.750000
RH,69,73.250000,P1,1,69,32.000000
LH,41,73.333333,P1,5,41,32.000000
RH,67,73.500000,P1,1,67,32.125000
RH,65,73.750000,P1,1,65,32.250000
RH,64,74.000000,P1,1,64,32.375000
RH,65,74.250000,P1,1,65,32.500000
LH,40,74.333333,P1,5,40,32.500000
RH,69,74.875000,P1,1,69,32.750000
LH,41,75.375000,P1,5,41,33.000000
RH,72,75.875000,P1,1,72,33.250000
LH,38,76.375000,P1,5,38,33.500000
RH,71,76.375000,P1,1,71,33.500000
RH,69,76.875000,P1,1,69,33.750000
RH,68,77.625000,P1,1,68,34.000000
LH,40,77.750000,P1,5,40,34.000000
RH,65,78.250000,P1,2,65,34.250000
RH,64,78.750000,P1,2,64,34.500000
RH,62,79.250000,P1,2,62,34.750000
RH,60,79.750000,P1,2,60,35.000000
RH,64,80.333333,P1,1,64,35.250000
RH,69,80.875000,P1,1,69,35.500000
RH,60,81.375000,P1,2,60,35.750000
LH,59,82.000000,P1,2,59,36.000000
LH,47,82.500000,P1,5,47,36.250000
LH,48,83.000000,P1,5,48,36.500000
RH,69,83.000000,P1,1,69,36.500000
LH,50,83.500000,P1,5,50,36.750000
LH,52,84.000000,P1,5,52,37.000000
RH,67,84.000000,P1,1,67,37.000000
LH,55,84.625000,P1,5,55,37.250000
LH,47,85.125000,P1,5,47,37.500000
RH,65,85.125000,P1,1,65,37.500000
RH,62,85.250000,P1,2,62,37.500000
LH,50,85.666667,P1,5,50,37.750000
LH,49,86.250000,P1,5,49,38.000000
RH,64,86.250000,P1,1,64,38.000000
LH,52,86.750000,P1,5,52,38.250000
RH,62,86.750000,P1,2,62,38.250000
LH,45,87.333333,P1,5,45,38.500000
RH,61,87.333333,P1,2,61,38.500000
RH,64,87.875000,P1,1,64,38.750000
LH,55,88.000000,P1,7,55,38.750000
LH,50,88.375000,P1,5,50,39.000000
LH,57,88.375000,P1,2,57,39.000000
LH,55,89.000000,P1,7,55,39.250000
RH,64,89.000000,P1,1,64,39.250000
LH,53,89.500000,P1,7,53,39.500000
RH,62,89.500000,P1,1,62,39.500000
LH,52,90.000000,P1,7,52,39.750000
RH,61,90.000000,P1,1,61,39.750000
RH,62,90.625000,P1,1,62,40.000000
LH,53,90.666667,P1,7,53,40.000000
RH,69,91.125000,P1,1,69,40.250000
RH,71,91.666667,P1,1,71,40.500000
LH,45,91.750000,P1,5,45,40.500000
RH,73,92.250000,P1,1,73,40.750000
LH,46,92.750000,P1,5,46,41.000000
RH,74,92.750000,P1,1,74,41.000000
RH,77,93.333333,P1,1,77,41.250000
LH,50,93.750000,P1,5,50,41.500000
RH,69,93.750000,P1,2,69,41.500000
RH,72,94.333333,P1,2,72,41.750000
RH,70,95.125000,P1,2,70,42.000000
LH,43,95.250000,P1,7,43,42.000000
LH,55,95.250000,P1,5,55,42.000000
RH,77,95.750000,P1,1,77,42.250000
RH,75,96.333333,P1,1,75,42.500000
RH,74,96.875000,P1,1,74,42.750000
RH,75,97.333333,P1,1,75,43.000000
RH,79,97.875000,P1,1,79,43.250000
RH,73,98.375000,P1,1,73,43.500000
RH,74,98.875000,P1,1,74,43.750000
RH,73,99.500000,P1,1,73,44.000000
LH,45,99.625000,P1,6,45,44.000000
RH,70,100.125000,P1,2,70,44.250000
RH,69,100.625000,P1,2,69,44.500000
LH,55,101.125000,P1,5,55,44.750000
LH,54,101.750000,P1,5,54,45.000000
RH,69,102.250000,P1,2,69,45.250000
RH,74,102.750000,P1,1,74,45.500000
LH,53,102.875000,P1,5,53,45.500000
RH,68,103.333333,P1,2,68,45.750000
LH,52,103.875000,P1,5,52,46.000000
RH,69,103.875000,P1,2,69,46.000000
RH,74,104.375000,P1,1,74,46.250000
LH,50,104.875000,P1,5,50,46.500000
RH,73,104.875000,P1,1,73,46.500000
RH,71,105.375000,P1,1,71,46.750000
LH,45,106.000000,P1,6,45,47.000000
LH,52,106.000000,P1,5,52,47.000000
RH,73,106.000000,P1,1,73,47.000000
RH,74,106.375000,P1,1,74,47.250000
RH,76,107.000000,P1,1,76,47.500000
LH,57,107.125000,P1,5,57,47.500000
RH,67,107.500000,P1,2,67,47.750000
LH,50,108.125000,P1,6,50,48.000000
RH,65,108.125000,P1,2,65,48.000000
RH,69,108.625000,P1,1,69,48.250000
RH,74,109.125000,P1,1,74,48.500000
LH,58,109.250000,P1,5,58,48.500000
RH,73,109.625000,P1,1,73,48.750000
RH,74,110.125000,P1,1,74,49.000000
LH,57,110.250000,P1,5,57,49.000000
RH,65,110.666667,P1,2,65,49.250000
LH,55,111.250000,P1,5,55,49.500000
