hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,52,3.666667,P1,5,52,0.500000
LH,56,4.375000,P1,5,56,1.000000
RH,61,5.250000,P1,5,61,1.500000
RH,68,6.750000,P1,1,68,2.500000
RH,64,7.500000,P1,2,64,3.000000
RH,73,7.750000,P1,3,73,3.125000
RH,76,9.125000,P1,1,76,4.000000
RH,66,10.000000,P1,2,66,4.500000
LH,59,10.750000,P1,5,59,5.000000
LH,57,11.500000,P1,5,57,5.500000
LH,59,12.375000,P1,5,59,6.000000
RH,68,12.375000,P1,2,68,6.000000
RH,75,13.625000,P1,1,75,6.750000
RH,76,14.000000,P1,1,76,7.000000
RH,78,14.333333,P1,1,78,7.250000
RH,63,14.875000,P1,2,63,7.500000
RH,78,14.875000,P1,3,78,7.562500
RH,80,15.000000,P1,3,80,7.625000
LH,52,15.875000,P1,5,52,8.250000
LH,54,16.250000,P1,5,54,8.500000
RH,80,16.250000,P1,1,80,8.500000
LH,56,16.500000,P1,5,56,8.750000
LH,56,17.000000,P1,6,56,9.000000
RH,61,17.000000,P1,2,61,9.000000
RH,80,17.000000,P1,1,80,9.000000
LH,57,17.750000,P1,6,57,9.500000
RH,73,18.625000,P1,1,73,10.000000
RH,76,19.375000,P1,3,76,10.562500
RH,78,19.500000,P1,3,78,10.625000
LH,56,20.500000,P1,5,56,11.250000
RH,76,20.500000,P1,2,76,11.250000
LH,54,20.875000,P1,5,54,11.500000
RH,75,20.875000,P1,2,75,11.500000
LH,52,21.250000,P1,5,52,11.750000
RH,73,21.250000,P1,2,73,11.750000
LH,51,21.625000,P1,5,51,12.000000
RH,73,21.625000,P1,2,73,12.000000
RH,72,22.500000,P1,2,72,12.500000
RH,75,23.333333,P1,2,75,13.000000
RH,78,23.333333,P1,1,78,13.000000
LH,54,23.375000,P1,5,54,13.000000
RH,78,24.125000,P1,1,78,13.500000
LH,48,24.250000,P1,5,48,13.500000
RH,69,24.250000,P1,3,69,13.500000
RH,68,25.000000,P1,3,68,14.000000
LH,44,25.750000,P1,5,44,14.500000
RH,72,25.750000,P1,2,72,14.500000
RH,80,25.750000,P1,1,80,14.500000
LH,49,26.666667,P1,5,49,15.000000
RH,73,26.666667,P1,2,73,15.000000
RH,78,26.666667,P1,3,78,15.000000
RH,76,27.500000,P1,3,76,15.500000
LH,37,29.250000,P1,5,37,16.500000
RH,72,30.125000,P1,2,72,17.000000
RH,75,30.125000,P1,1,75,17.000000
RH,73,31.000000,P1,2,73,17.500000
RH,76,31.000000,P1,1,76,17.500000
LH,44,32.000000,P1,5,44,18.000000
RH,72,32.000000,P1,2,72,18.000000
LH,48,32.750000,P1,5,48,18.500000
LH,51,33.625000,P1,5,51,19.000000
LH,56,34.375000,P1,5,56,19.500000
LH,57,35.500000,P1,5,57,20.250000
LH,56,35.875000,P1,5,56,20.500000
RH,75,35.875000,P1,1,75,20.500000
LH,54,36.250000,P1,5,54,20.750000
RH,75,36.500000,P1,3,75,21.000000
LH,54,36.750000,P1,6,54,21.062500
LH,56,36.875000,P1,6,56,21.125000
RH,76,37.375000,P1,3,76,21.500000
RH,72,38.250000,P1,1,72,22.000000
LH,56,38.333333,P1,5,56,22.000000
RH,68,38.333333,P1,2,68,22.000000
LH,56,39.125000,P1,5,56,22.500000
RH,69,39.125000,P1,2,69,22.500000
RH,72,39.125000,P1,3,72,22.500000
RH,73,40.000000,P1,3,73,23.000000
LH,49,40.333333,P1,5,49,23.250000
LH,51,40.666667,P1,5,51,23.500000
LH,53,41.000000,P1,5,53,23.750000
LH,56,42.666667,P1,5,56,24.750000
RH,76,42.666667,P1,1,76,24.750000
LH,54,43.000000,P1,5,54,25.000000
RH,75,43.000000,P1,1,75,25.000000
LH,52,43.375000,P1,5,52,25.250000
RH,73,43.375000,P1,1,73,25.250000
LH,54,43.750000,P1,5,54,25.500000
RH,73,43.750000,P1,3,73,25.500000
RH,81,44.625000,P1,3,81,26.000000
LH,54,45.375000,P1,5,54,26.500000
RH,69,45.375000,P1,2,69,26.500000
RH,73,45.375000,P1,1,73,26.500000
LH,54,46.250000,P1,5,54,27.000000
RH,68,46.375000,P1,2,68,27.000000
LH,56,47.125000,P1,5,56,27.500000
LH,54,47.375000,P1,5,54,27.750000
LH,52,47.875000,P1,5,52,28.000000
RH,68,47.875000,P1,1,68,28.000000
