hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,38,2.125000,P1,6,38,0.000000
RH,64,2.875000,P1,1,64,0.750000
RH,66,3.000000,P1,1,66,1.000000
RH,67,3.250000,P1,1,67,1.250000
RH,69,3.375000,P1,1,69,1.500000
RH,66,3.875000,P1,1,66,2.000000
RH,69,4.250000,P1,1,69,2.500000
RH,74,4.666667,P1,1,74,3.000000
RH,69,5.000000,P1,1,69,3.500000
RH,74,5.500000,P1,1,74,4.000000
RH,78,5.875000,P1,1,78,4.500000
RH,74,6.250000,P1,1,74,5.000000
RH,78,6.625000,P1,1,78,5.500000
RH,81,7.125000,P1,1,81,6.000000
RH,62,8.625000,P1,5,62,7.500000
RH,78,8.625000,P1,2,78,7.500000
RH,81,8.625000,P1,1,81,7.500000
RH,69,10.125000,P1,5,69,9.000000
RH,78,10.125000,P1,2,78,9.000000
RH,81,10.125000,P1,1,81,9.000000
RH,76,10.750000,P1,2,76,9.750000
RH,79,10.750000,P1,1,79,9.750000
LH,57,11.500000,P1,5,57,10.500000
RH,76,11.500000,P1,2,76,10.500000
RH,79,11.500000,P1,1,79,10.500000
RH,74,12.333333,P1,2,74,11.250000
RH,78,12.333333,P1,1,78,11.250000
RH,62,13.000000,P1,5,62,12.000000
RH,74,13.000000,P1,2,74,12.000000
RH,78,13.000000,P1,1,78,12.000000
LH,50,13.500000,P1,2,50,12.500000
LH,52,13.666667,P1,2,52,12.750000
LH,54,13.875000,P1,2,54,13.000000
LH,55,14.000000,P1,2,55,13.250000
LH,57,14.250000,P1,2,57,13.500000
LH,54,14.666667,P1,2,54,14.000000
LH,57,15.125000,P1,2,57,14.500000
RH,62,15.500000,P1,2,62,15.000000
LH,57,15.875000,P1,2,57,15.500000
RH,62,16.333333,P1,2,62,16.000000
RH,66,16.750000,P1,2,66,16.500000
RH,62,17.125000,P1,2,62,17.000000
RH,66,17.500000,P1,2,66,17.500000
RH,69,18.000000,P1,2,69,18.000000
LH,50,19.500000,P1,5,50,19.500000
RH,69,19.500000,P1,2,69,19.500000
RH,78,19.500000,P1,1,78,19.500000
LH,57,21.000000,P1,5,57,21.000000
RH,69,21.000000,P1,2,69,21.000000
RH,78,21.000000,P1,1,78,21.000000
RH,67,21.750000,P1,2,67,21.750000
RH,76,21.750000,P1,1,76,21.750000
LH,45,22.500000,P1,5,45,22.500000
RH,67,22.500000,P1,2,67,22.500000
RH,76,22.500000,P1,1,76,22.500000
RH,66,23.250000,P1,2,66,23.250000
RH,74,23.250000,P1,1,74,23.250000
LH,50,24.000000,P1,5,50,24.000000
RH,66,24.000000,P1,2,66,24.000000
RH,74,24.000000,P1,1,74,24.000000
RH,66,24.500000,P1,2,66,24.500000
RH,64,24.750000,P1,2,64,24.750000
LH,38,24.875000,P1,5,38,25.125000
RH,62,24.875000,P1,2,62,25.000000
RH,61,25.125000,P1,2,61,25.250000
LH,50,25.333333,P1,5,50,25.500000
LH,59,25.333333,P1,2,59,25.500000
RH,62,25.750000,P1,2,62,26.000000
LH,59,26.250000,P1,2,59,26.500000
LH,50,26.750000,P1,5,50,27.000000
LH,56,26.750000,P1,2,56,27.000000
RH,64,27.250000,P1,1,64,27.500000
RH,66,27.375000,P1,1,66,27.750000
RH,68,27.625000,P1,1,68,28.000000
RH,69,27.875000,P1,1,69,28.250000
RH,71,28.000000,P1,1,71,28.500000
LH,52,28.500000,P1,5,52,29.000000
RH,68,28.500000,P1,1,68,29.000000
LH,50,28.666667,P1,5,50,29.250000
LH,49,28.875000,P1,5,49,29.500000
RH,71,28.875000,P1,1,71,29.500000
LH,47,29.125000,P1,5,47,29.750000
LH,49,29.375000,P1,6,49,30.000000
RH,76,29.375000,P1,1,76,30.000000
RH,64,30.000000,P1,5,64,30.500000
RH,62,30.125000,P1,5,62,30.750000
LH,37,30.333333,P1,6,37,31.125000
RH,61,30.333333,P1,5,61,31.000000
LH,59,30.500000,P1,5,59,31.250000
LH,49,30.750000,P1,6,49,31.500000
LH,57,30.750000,P1,5,57,31.500000
RH,61,31.250000,P1,5,61,32.000000
LH,57,31.666667,P1,5,57,32.500000
LH,49,32.250000,P1,6,49,33.000000
LH,54,32.250000,P1,5,54,33.000000
RH,62,32.750000,P1,1,62,33.500000
RH,64,33.000000,P1,1,64,33.750000
