hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,2.000000,P1,2,67,0.000000
RH,63,2.375000,P1,5,63,0.500000
RH,62,2.750000,P1,5,62,1.000000
RH,63,3.125000,P1,5,63,1.500000
LH,58,3.500000,P1,5,58,2.000000
LH,55,3.875000,P1,5,55,2.500000
LH,51,4.333333,P1,5,51,3.000000
RH,75,5.000000,P1,1,75,4.000000
RH,65,5.500000,P1,2,65,4.500000
RH,75,5.500000,P1,3,75,4.500000
LH,58,5.875000,P1,5,58,5.000000
RH,74,5.875000,P1,3,74,5.000000
LH,57,6.250000,P1,5,57,5.500000
LH,58,6.666667,P1,5,58,6.000000
LH,53,7.000000,P1,5,53,6.500000
LH,50,7.375000,P1,5,50,7.000000
LH,46,7.875000,P1,5,46,7.500000
RH,65,8.250000,P1,1,65,8.000000
RH,67,8.625000,P1,1,67,8.500000
LH,53,9.000000,P1,5,53,9.000000
RH,68,9.000000,P1,1,68,9.000000
RH,60,9.375000,P1,1,60,9.500000
RH,63,9.750000,P1,1,63,10.000000
LH,58,10.250000,P1,5,58,10.500000
RH,65,10.625000,P1,1,65,11.000000
RH,70,11.000000,P1,1,70,11.500000
RH,65,11.750000,P1,1,65,12.500000
RH,68,12.125000,P1,1,68,13.000000
LH,58,12.500000,P1,2,58,13.500000
RH,68,12.500000,P1,3,68,13.500000
RH,63,12.666667,P1,2,63,13.500000
LH,51,13.000000,P1,5,51,14.000000
RH,67,13.000000,P1,3,67,14.000000
LH,50,13.375000,P1,5,50,14.500000
LH,51,13.750000,P1,5,51,15.000000
LH,46,14.125000,P1,5,46,15.500000
LH,43,14.500000,P1,5,43,16.000000
LH,39,15.000000,P1,5,39,16.500000
LH,51,15.375000,P1,1,51,17.000000
LH,50,15.750000,P1,1,50,17.500000
LH,51,16.125000,P1,1,51,18.000000
LH,55,16.500000,P1,1,55,18.500000
LH,53,17.000000,P1,1,53,19.000000
LH,55,17.333333,P1,1,55,19.500000
LH,58,17.750000,P1,1,58,20.000000
LH,56,18.125000,P1,1,56,20.500000
LH,39,18.500000,P1,6,39,21.000000
LH,51,18.500000,P1,5,51,21.000000
LH,58,18.500000,P1,1,58,21.000000
RH,61,19.000000,P1,1,61,21.500000
LH,49,19.250000,P1,5,49,22.000000
LH,55,19.250000,P1,1,55,22.000000
LH,39,19.666667,P1,6,39,22.500000
LH,48,19.666667,P1,5,48,22.500000
LH,56,19.666667,P1,1,56,22.500000
RH,60,20.125000,P1,1,60,23.000000
LH,51,20.500000,P1,5,51,23.500000
LH,58,20.500000,P1,1,58,23.500000
LH,44,20.875000,P1,5,44,24.000000
RH,60,20.875000,P1,1,60,24.000000
RH,63,21.250000,P1,1,63,24.500000
LH,39,21.625000,P1,6,39,25.000000
LH,46,21.625000,P1,5,46,25.000000
RH,61,21.625000,P1,1,61,25.000000
LH,39,22.125000,P1,6,39,25.500000
LH,48,22.125000,P1,5,48,25.500000
RH,63,22.125000,P1,1,63,25.500000
RH,68,22.500000,P1,1,68,26.000000
LH,39,22.750000,P1,6,39,26.500000
LH,44,22.750000,P1,5,44,26.500000
RH,60,22.750000,P1,1,60,26.500000
LH,51,23.250000,P1,6,51,27.000000
LH,53,23.250000,P1,5,53,27.000000
RH,62,23.250000,P1,1,62,27.000000
RH,65,23.666667,P1,1,65,27.500000
LH,56,24.000000,P1,5,56,28.000000
RH,63,24.000000,P1,1,63,28.000000
LH,50,24.375000,P1,5,50,28.500000
RH,65,24.500000,P1,1,65,28.500000
RH,68,24.750000,P1,1,68,29.000000
LH,51,25.125000,P1,5,51,29.500000
RH,67,25.125000,P1,1,67,29.500000
LH,53,25.666667,P1,5,53,30.000000
RH,68,25.666667,P1,1,68,30.000000
RH,77,26.000000,P1,1,77,30.500000
LH,39,26.375000,P1,6,39,31.000000
LH,46,26.375000,P1,6,46,31.000000
LH,50,26.375000,P1,5,50,31.000000
RH,68,26.375000,P1,1,68,31.000000
LH,39,26.750000,P1,6,39,31.500000
LH,51,26.750000,P1,5,51,31.500000
RH,67,26.750000,P1,1,67,31.500000
LH,46,26.875000,P1,6,46,31.500000
RH,70,27.250000,P1,1,70,32.000000
LH,53,27.500000,P1,5,53,32.500000
RH,68,27.500000,P1,1,68,32.500000
LH,55,28.000000,P1,5,55,33.000000
RH,70,28.000000,P1,1,70,33.000000
RH,75,28.333333,P1,1,75,33.500000
LH,58,28.750000,P1,5,58,34.000000
RH,74,28.750000,P1,1,74,34.000000
LH,55,29.125000,P1,5,55,34.500000
RH,75,29.125000,P1,1,75,34.500000
RH,79,29.500000,P1,1,79,35.000000
LH,50,29.875000,P1,5,50,35.500000
RH,77,29.875000,P1,1,77,35.500000
LH,51,30.250000,P1,5,51,36.000000
RH,79,30.250000,P1,1,79,36.000000
RH,75,30.666667,P1,1,75,36.500000
LH,55,31.000000,P1,5,55,37.000000
RH,74,31.000000,P1,1,74,37.000000
LH,48,31.500000,P1,5,48,37.500000
RH,75,31.500000,P1,1,75,37.500000
RH,72,31.875000,P1,2,72,38.000000
LH,50,32.250000,P1,5,50,38.500000
RH,70,32.250000,P1,2,70,38.500000
LH,51,32.625000,P1,5,51,39.000000
RH,72,32.625000,P1,3,72,39.000000
LH,50,32.750000,P1,5,50,39.250000
LH,48,32.875000,P1,5,48,39.500000
RH,69,33.000000,P1,2,69,39.500000
LH,50,33.125000,P1,5,50,39.750000
LH,51,33.250000,P1,5,51,40.000000
RH,67,33.250000,P1,2,67,40.000000
LH,41,33.750000,P1,5,41,40.500000
RH,69,33.750000,P1,2,69,40.500000
RH,65,34.125000,P1,5,65,41.000000
RH,63,34.500000,P1,5,63,41.500000
RH,65,34.875000,P1,5,65,42.000000
RH,60,35.333333,P1,5,60,42.500000
LH,57,35.666667,P1,5,57,43.000000
LH,53,36.125000,P1,5,53,43.500000
RH,75,36.875000,P1,1,75,44.500000
RH,74,37.375000,P1,1,74,45.000000
LH,58,37.500000,P1,5,58,45.000000
RH,70,37.875000,P1,1,70,45.500000
RH,65,38.250000,P1,1,65,46.000000
LH,51,38.625000,P1,5,51,46.500000
RH,67,38.625000,P1,1,67,46.500000
RH,63,39.000000,P1,1,63,47.000000
RH,62,39.333333,P1,1,62,47.500000
LH,53,39.750000,P1,5,53,48.000000
RH,70,40.125000,P1,1,70,48.500000
RH,69,40.500000,P1,1,69,49.000000
RH,62,41.000000,P1,2,62,49.500000
RH,70,41.000000,P1,1,70,49.500000
LH,58,41.333333,P1,5,58,50.000000
LH,57,41.666667,P1,5,57,50.500000
LH,58,42.125000,P1,5,58,51.000000
LH,53,42.500000,P1,5,53,51.500000
LH,50,42.875000,P1,5,50,52.000000
LH,46,43.375000,P1,5,46,52.500000
LH,58,43.750000,P1,1,58,53.000000
LH,57,44.125000,P1,1,57,53.500000
LH,58,44.625000,P1,1,58,54.000000
LH,46,45.000000,P1,5,46,54.500000
RH,62,45.000000,P1,1,62,54.500000
LH,45,45.375000,P1,5,45,55.000000
RH,60,45.375000,P1,1,60,55.000000
LH,46,45.750000,P1,5,46,55.500000
RH,62,45.875000,P1,1,62,55.500000
LH,50,46.125000,P1,5,50,56.000000
RH,65,46.125000,P1,1,65,56.000000
LH,48,46.500000,P1,5,48,56.500000
RH,63,46.500000,P1,1,63,56.500000
LH,46,46.625000,P1,6,46,56.500000
LH,46,46.875000,P1,6,46,57.000000
LH,50,46.875000,P1,5,50,57.000000
RH,65,46.875000,P1,1,65,57.000000
LH,53,47.333333,P1,5,53,57.500000
RH,68,47.333333,P1,1,68,57.500000
LH,46,47.750000,P1,6,46,58.000000
LH,56,47.750000,P1,5,56,58.000000
RH,62,47.750000,P1,1,62,58.000000
LH,46,48.125000,P1,6,46,58.500000
LH,55,48.125000,P1,5,55,58.500000
RH,63,48.125000,P1,1,63,58.500000
LH,58,48.500000,P1,5,58,59.000000
RH,67,48.500000,P1,1,67,59.000000
LH,56,48.875000,P1,5,56,59.500000
RH,65,48.875000,P1,1,65,59.500000
LH,58,49.333333,P1,5,58,60.000000
RH,67,49.333333,P1,1,67,60.000000
LH,55,49.666667,P1,5,55,60.500000
RH,70,49.666667,P1,1,70,60.500000
LH,53,50.000000,P1,5,53,61.000000
RH,68,50.000000,P1,1,68,61.000000
LH,46,50.125000,P1,6,46,61.000000
LH,46,50.500000,P1,6,46,61.500000
LH,55,50.500000,P1,5,55,61.500000
RH,70,50.500000,P1,1,70,61.500000
LH,58,50.875000,P1,5,58,62.000000
RH,75,50.875000,P1,1,75,62.000000
RH,67,51.250000,P1,1,67,62.500000
LH,58,51.666667,P1,5,58,63.000000
RH,69,51.666667,P1,1,69,63.000000
RH,60,51.750000,P1,2,60,63.000000
RH,63,52.000000,P1,2,63,63.500000
RH,72,52.000000,P1,1,72,63.500000
RH,62,52.375000,P1,2,62,64.000000
RH,70,52.375000,P1,1,70,64.000000
RH,63,52.875000,P1,2,63,64.500000
RH,72,52.875000,P1,1,72,64.500000
RH,60,53.250000,P1,2,60,65.000000
RH,75,53.250000,P1,1,75,65.000000
LH,58,53.625000,P1,2,58,65.500000
RH,74,53.625000,P1,1,74,65.500000
RH,60,54.000000,P1,2,60,66.000000
RH,75,54.000000,P1,1,75,66.000000
LH,58,54.333333,P1,2,58,66.500000
RH,84,54.333333,P1,1,84,66.500000
LH,46,54.750000,P1,5,46,67.000000
LH,53,54.750000,P1,5,53,67.000000
LH,57,54.750000,P1,2,57,67.000000
RH,75,54.750000,P1,1,75,67.000000
LH,46,55.125000,P1,6,46,67.500000
LH,53,55.125000,P1,6,53,67.500000
LH,58,55.125000,P1,5,58,67.500000
RH,74,55.125000,P1,1,74,67.500000
RH,62,55.500000,P1,5,62,68.000000
RH,70,55.500000,P1,1,70,68.000000
RH,60,55.875000,P1,5,60,68.500000
RH,69,55.875000,P1,1,69,68.500000
RH,62,56.333333,P1,5,62,69.000000
RH,70,56.333333,P1,1,70,69.000000
RH,65,56.666667,P1,5,65,69.500000
RH,74,56.666667,P1,1,74,69.500000
RH,63,57.000000,P1,5,63,70.000000
RH,72,57.000000,P1,1,72,70.000000
RH,65,57.375000,P1,5,65,70.500000
RH,74,57.375000,P1,1,74,70.500000
RH,68,57.750000,P1,5,68,71.000000
RH,77,57.750000,P1,1,77,71.000000
RH,67,58.125000,P1,5,67,71.500000
RH,75,58.125000,P1,1,75,71.500000
RH,68,58.625000,P1,2,68,72.000000
RH,74,58.625000,P1,1,74,72.000000
RH,77,58.625000,P1,1,77,72.000000
LH,58,59.000000,P1,5,58,72.500000
LH,57,59.375000,P1,5,57,73.000000
LH,58,59.875000,P1,5,58,73.500000
LH,53,60.250000,P1,5,53,74.000000
LH,50,60.625000,P1,5,50,74.500000
LH,46,61.000000,P1,5,46,75.000000
RH,63,61.500000,P1,2,63,75.500000
RH,67,61.500000,P1,1,67,75.500000
RH,62,61.875000,P1,2,62,76.000000
RH,65,62.000000,P1,1,65,76.000000
RH,63,62.333333,P1,2,63,76.500000
RH,67,62.333333,P1,1,67,76.500000
LH,58,62.625000,P1,5,58,77.000000
LH,58,63.500000,P1,5,58,78.000000
LH,55,63.875000,P1,5,55,78.500000
LH,51,64.250000,P1,5,51,79.000000
LH,46,64.666667,P1,5,46,79.500000
RH,65,65.000000,P1,2,65,80.000000
RH,74,65.000000,P1,1,74,80.000000
RH,67,65.375000,P1,2,67,80.500000
RH,75,65.375000,P1,1,75,80.500000
RH,68,65.875000,P1,2,68,81.000000
RH,77,65.875000,P1,1,77,81.000000
LH,46,66.250000,P1,5,46,81.500000
LH,45,66.625000,P1,5,45,82.000000
LH,46,67.000000,P1,5,46,82.500000
LH,50,67.375000,P1,5,50,83.000000
LH,48,67.750000,P1,5,48,83.500000
RH,68,67.750000,P1,2,68,83.500000
RH,77,67.750000,P1,1,77,83.500000
LH,50,68.125000,P1,5,50,84.000000
RH,68,68.125000,P1,2,68,84.000000
RH,71,68.125000,P1,1,71,84.000000
LH,53,68.625000,P1,5,53,84.500000
LH,51,69.000000,P1,5,51,85.000000
RH,65,69.000000,P1,2,65,85.000000
RH,68,69.000000,P1,2,68,85.000000
RH,72,69.000000,P1,1,72,85.000000
LH,53,69.375000,P1,5,53,85.500000
RH,62,69.375000,P1,2,62,85.500000
RH,68,69.375000,P1,2,68,85.500000
RH,71,69.375000,P1,1,71,85.500000
LH,56,69.750000,P1,5,56,86.000000
LH,55,70.125000,P1,5,55,86.500000
LH,56,70.625000,P1,5,56,87.000000
LH,59,71.000000,P1,1,59,87.500000
RH,62,71.333333,P1,1,62,88.000000
LH,47,71.750000,P1,5,47,88.500000
RH,65,71.750000,P1,1,65,88.500000
RH,63,72.125000,P1,1,63,89.000000
RH,62,72.500000,P1,1,62,89.500000
LH,48,72.875000,P1,5,48,90.000000
RH,63,72.875000,P1,1,63,90.000000
RH,67,73.250000,P1,1,67,90.500000
RH,72,73.625000,P1,1,72,91.000000
RH,60,74.000000,P1,5,60,91.500000
RH,75,74.000000,P1,1,75,91.500000
RH,74,74.500000,P1,1,74,92.000000
RH,72,74.750000,P1,1,72,92.500000
LH,58,75.250000,P1,5,58,93.000000
RH,63,75.625000,P1,1,63,93.500000
RH,72,76.000000,P1,1,72,94.000000
LH,56,76.375000,P1,5,56,94.500000
RH,65,76.375000,P1,1,65,94.500000
RH,68,76.750000,P1,1,68,95.000000
RH,72,77.125000,P1,1,72,95.500000
LH,44,77.500000,P1,5,44,96.000000
RH,75,77.500000,P1,1,75,96.000000
RH,74,77.875000,P1,1,74,96.500000
RH,72,78.250000,P1,1,72,97.000000
LH,51,78.625000,P1,5,51,97.500000
RH,67,79.000000,P1,1,67,98.000000
RH,72,79.333333,P1,1,72,98.500000
LH,53,79.750000,P1,5,53,99.000000
RH,68,79.750000,P1,1,68,99.000000
RH,71,80.125000,P1,1,71,99.500000
RH,72,80.375000,P1,1,72,100.000000
LH,54,80.875000,P1,5,54,100.500000
RH,75,80.875000,P1,1,75,100.500000
RH,74,81.250000,P1,1,74,101.000000
RH,72,81.500000,P1,1,72,101.500000
LH,55,82.000000,P1,5,55,102.000000
RH,65,82.333333,P1,1,65,102.500000
RH,71,82.666667,P1,1,71,103.000000
LH,48,83.125000,P1,5,48,103.500000
RH,72,83.125000,P1,1,72,103.500000
RH,67,83.500000,P1,1,67,104.000000
RH,63,83.875000,P1,1,63,104.500000
RH,60,84.333333,P1,1,60,105.000000
LH,51,84.666667,P1,5,51,105.500000
LH,55,85.000000,P1,5,55,106.000000
LH,58,85.375000,P1,5,58,106.500000
LH,57,85.750000,P1,5,57,107.000000
LH,55,86.125000,P1,5,55,107.500000
LH,57,86.625000,P1,5,57,108.000000
RH,75,87.000000,P1,1,75,108.500000
RH,74,87.333333,P1,1,74,109.000000
RH,75,87.750000,P1,1,75,109.500000
RH,72,88.125000,P1,1,72,110.000000
RH,69,88.500000,P1,1,69,110.500000
RH,65,88.875000,P1,1,65,111.000000
RH,60,89.250000,P1,5,60,111.500000
LH,53,89.625000,P1,5,53,112.000000
LH,58,90.125000,P1,5,58,112.500000
RH,65,90.375000,P1,1,65,113.000000
