hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,2.000000,P1,2,67,0.000000
RH,63,2.625000,P1,5,63,0.500000
RH,62,3.000000,P1,5,62,1.000000
RH,63,3.375000,P1,5,63,1.500000
LH,58,3.750000,P1,5,58,2.000000
LH,55,4.125000,P1,5,55,2.500000
LH,51,4.625000,P1,5,51,3.000000
RH,75,5.333333,P1,1,75,4.000000
RH,65,5.750000,P1,2,65,4.500000
RH,75,5.750000,P1,3,75,4.500000
LH,58,6.250000,P1,5,58,5.000000
RH,74,6.250000,P1,3,74,5.000000
LH,57,6.625000,P1,5,57,5.500000
LH,58,7.000000,P1,5,58,6.000000
LH,53,7.375000,P1,5,53,6.500000
LH,50,7.750000,P1,5,50,7.000000
LH,46,8.250000,P1,5,46,7.500000
RH,65,8.625000,P1,1,65,8.000000
RH,67,9.000000,P1,1,67,8.500000
LH,53,9.375000,P1,5,53,9.000000
RH,68,9.375000,P1,1,68,9.000000
RH,60,9.875000,P1,1,60,9.500000
RH,63,10.125000,P1,1,63,10.000000
LH,58,10.625000,P1,5,58,10.500000
RH,65,11.000000,P1,1,65,11.000000
RH,70,11.500000,P1,1,70,11.500000
RH,65,12.250000,P1,1,65,12.500000
RH,68,12.666667,P1,1,68,13.000000
LH,58,13.125000,P1,2,58,13.500000
RH,63,13.125000,P1,2,63,13.500000
RH,68,13.125000,P1,3,68,13.500000
LH,51,13.500000,P1,5,51,14.000000
RH,67,13.625000,P1,3,67,14.000000
LH,50,14.000000,P1,5,50,14.500000
LH,51,14.375000,P1,5,51,15.000000
LH,46,14.750000,P1,5,46,15.500000
LH,43,15.125000,P1,5,43,16.000000
LH,39,15.625000,P1,5,39,16.500000
LH,51,16.000000,P1,1,51,17.000000
LH,50,16.500000,P1,1,50,17.500000
LH,51,16.875000,P1,1,51,18.000000
LH,55,17.250000,P1,1,55,18.500000
LH,53,17.625000,P1,1,53,19.000000
LH,55,18.000000,P1,1,55,19.500000
LH,58,18.375000,P1,1,58,20.000000
LH,56,18.750000,P1,1,56,20.500000
LH,39,19.250000,P1,6,39,21.000000
LH,51,19.250000,P1,5,51,21.000000
LH,58,19.250000,P1,1,58,21.000000
RH,61,19.625000,P1,1,61,21.500000
LH,39,20.000000,P1,6,39,22.000000
LH,49,20.000000,P1,5,49,22.000000
LH,55,20.000000,P1,1,55,22.000000
LH,39,20.375000,P1,6,39,22.500000
LH,48,20.375000,P1,5,48,22.500000
LH,56,20.375000,P1,1,56,22.500000
RH,60,20.875000,P1,1,60,23.000000
LH,51,21.250000,P1,5,51,23.500000
LH,58,21.250000,P1,1,58,23.500000
LH,44,21.666667,P1,5,44,24.000000
RH,60,21.666667,P1,1,60,24.000000
RH,63,22.000000,P1,1,63,24.500000
LH,39,22.500000,P1,6,39,25.000000
LH,46,22.500000,P1,5,46,25.000000
RH,61,22.500000,P1,1,61,25.000000
LH,39,22.875000,P1,6,39,25.500000
LH,48,22.875000,P1,5,48,25.500000
RH,63,22.875000,P1,1,63,25.500000
RH,68,23.333333,P1,1,68,26.000000
LH,39,23.666667,P1,6,39,26.500000
LH,44,23.666667,P1,5,44,26.500000
RH,60,23.666667,P1,1,60,26.500000
LH,51,24.125000,P1,6,51,27.000000
LH,53,24.125000,P1,5,53,27.000000
RH,62,24.125000,P1,1,62,27.000000
RH,65,24.500000,P1,1,65,27.500000
LH,56,24.875000,P1,5,56,28.000000
RH,63,24.875000,P1,1,63,28.000000
LH,50,25.250000,P1,5,50,28.500000
RH,65,25.250000,P1,1,65,28.500000
RH,68,25.666667,P1,1,68,29.000000
LH,51,26.000000,P1,5,51,29.500000
RH,67,26.000000,P1,1,67,29.500000
LH,53,26.500000,P1,5,53,30.000000
RH,68,26.500000,P1,1,68,30.000000
RH,77,26.875000,P1,1,77,30.500000
LH,39,27.250000,P1,6,39,31.000000
LH,46,27.250000,P1,6,46,31.000000
LH,50,27.250000,P1,5,50,31.000000
RH,68,27.250000,P1,1,68,31.000000
LH,51,27.625000,P1,5,51,31.500000
RH,67,27.625000,P1,1,67,31.500000
LH,39,27.666667,P1,6,39,31.500000
LH,46,27.666667,P1,6,46,31.500000
RH,70,28.000000,P1,1,70,32.000000
LH,53,28.375000,P1,5,53,32.500000
RH,68,28.375000,P1,1,68,32.500000
LH,55,28.875000,P1,5,55,33.000000
RH,70,28.875000,P1,1,70,33.000000
RH,75,29.250000,P1,1,75,33.500000
LH,58,29.625000,P1,5,58,34.000000
RH,74,29.625000,P1,1,74,34.000000
LH,55,30.000000,P1,5,55,34.500000
RH,75,30.000000,P1,1,75,34.500000
RH,79,30.375000,P1,1,79,35.000000
LH,50,30.750000,P1,5,50,35.500000
RH,77,30.750000,P1,1,77,35.500000
LH,51,31.125000,P1,5,51,36.000000
RH,79,31.125000,P1,1,79,36.000000
RH,75,31.625000,P1,1,75,36.500000
LH,55,32.000000,P1,5,55,37.000000
RH,74,32.000000,P1,1,74,37.000000
LH,48,32.333333,P1,5,48,37.500000
RH,75,32.333333,P1,1,75,37.500000
