hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,77,6.333333,P1,1,77,1.000000
RH,79,6.875000,P1,1,79,1.500000
LH,53,7.500000,P1,6,53,2.000000
RH,77,7.500000,P1,1,77,2.000000
RH,76,8.125000,P1,1,76,2.500000
RH,74,8.625000,P1,1,74,3.000000
RH,72,9.125000,P1,1,72,3.500000
LH,57,9.666667,P1,5,57,4.000000
RH,74,9.666667,P1,1,74,4.000000
RH,72,10.250000,P1,1,72,4.500000
RH,70,10.750000,P1,1,70,5.000000
RH,69,11.333333,P1,1,69,5.500000
RH,62,12.000000,P1,5,62,6.000000
RH,70,12.000000,P1,1,70,6.000000
RH,69,12.500000,P1,2,69,6.500000
RH,67,13.125000,P1,2,67,7.000000
RH,65,13.625000,P1,2,65,7.500000
LH,58,14.125000,P1,5,58,8.000000
RH,67,14.125000,P1,2,67,8.000000
RH,65,14.750000,P1,4,65,8.500000
RH,64,15.250000,P1,4,64,9.000000
RH,62,15.750000,P1,4,62,9.500000
LH,55,16.375000,P1,5,55,10.000000
RH,64,16.375000,P1,4,64,10.000000
LH,58,17.000000,P1,5,58,10.500000
RH,60,17.500000,P1,5,60,11.000000
RH,62,18.000000,P1,5,62,11.500000
RH,60,18.625000,P1,5,60,12.000000
LH,58,19.125000,P1,5,58,12.500000
LH,57,19.750000,P1,5,57,13.000000
LH,55,20.333333,P1,5,55,13.500000
LH,57,21.000000,P1,5,57,14.000000
RH,69,21.000000,P1,1,69,14.000000
RH,60,21.125000,P1,1,60,14.000000
RH,65,21.125000,P1,1,65,14.000000
LH,55,21.625000,P1,6,55,14.500000
LH,53,22.125000,P1,6,53,15.000000
LH,52,22.750000,P1,6,52,15.500000
RH,62,23.500000,P1,1,62,16.000000
RH,65,23.500000,P1,1,65,16.000000
RH,68,23.500000,P1,1,68,16.000000
LH,50,24.250000,P1,6,50,16.500000
LH,48,24.750000,P1,6,48,17.000000
LH,47,25.333333,P1,6,47,17.500000
LH,48,26.000000,P1,6,48,18.000000
RH,60,26.000000,P1,2,60,18.000000
LH,53,26.666667,P1,5,53,18.500000
RH,68,26.666667,P1,1,68,18.500000
LH,52,27.250000,P1,5,52,19.000000
RH,67,27.250000,P1,1,67,19.000000
LH,50,27.750000,P1,5,50,19.500000
RH,65,27.750000,P1,1,65,19.500000
LH,52,28.375000,P1,5,52,20.000000
RH,67,28.375000,P1,1,67,20.000000
RH,65,29.000000,P1,2,65,20.500000
LH,55,29.500000,P1,5,55,21.000000
RH,64,29.500000,P1,2,64,21.000000
RH,62,30.000000,P1,2,62,21.500000
RH,60,30.625000,P1,5,60,22.000000
RH,64,30.625000,P1,2,64,22.000000
LH,50,31.125000,P1,6,50,22.500000
LH,48,31.750000,P1,6,48,23.000000
LH,55,31.750000,P1,5,55,23.000000
LH,46,32.375000,P1,6,46,23.500000
LH,45,33.000000,P1,6,45,24.000000
RH,60,33.625000,P1,2,60,24.500000
LH,55,34.125000,P1,5,55,25.000000
RH,62,34.125000,P1,2,62,25.000000
RH,63,34.750000,P1,2,63,25.500000
LH,50,35.333333,P1,6,50,26.000000
