hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,54,2.000000,P1,5,54,-0.000000
LH,57,3.625000,P1,2,57,0.500000
RH,73,3.625000,P1,1,73,0.500000
RH,61,5.000000,P1,2,61,1.000000
RH,66,6.125000,P1,2,66,1.500000
RH,69,6.125000,P1,1,69,1.500000
LH,56,6.750000,P1,5,56,1.750000
RH,71,6.750000,P1,1,71,1.750000
LH,57,7.500000,P1,5,57,2.000000
RH,73,7.500000,P1,1,73,2.000000
RH,71,7.875000,P1,1,71,2.166667
RH,69,8.250000,P1,1,69,2.333333
RH,61,8.625000,P1,5,61,2.500000
RH,65,8.625000,P1,2,65,2.500000
RH,71,8.625000,P1,1,71,2.500000
RH,69,9.000000,P1,1,69,2.666667
RH,68,9.500000,P1,1,68,2.833333
LH,54,10.125000,P1,5,54,3.000000
RH,66,10.125000,P1,2,66,3.000000
RH,69,10.125000,P1,1,69,3.000000
RH,71,10.875000,P1,1,71,3.250000
RH,61,11.500000,P1,2,61,3.500000
RH,69,11.500000,P1,1,69,3.500000
RH,68,12.125000,P1,1,68,3.750000
RH,69,12.666667,P1,1,69,4.000000
RH,73,13.250000,P1,1,73,4.250000
LH,57,13.875000,P1,7,57,4.500000
RH,78,13.875000,P1,1,78,4.500000
RH,80,14.375000,P1,1,80,4.750000
LH,59,14.500000,P1,7,59,4.750000
RH,61,15.000000,P1,7,61,5.000000
RH,81,15.000000,P1,1,81,5.000000
LH,59,15.500000,P1,7,59,5.166667
RH,80,15.500000,P1,1,80,5.166667
LH,57,15.875000,P1,7,57,5.333333
RH,78,15.875000,P1,1,78,5.333333
LH,59,16.125000,P1,7,59,5.500000
RH,80,16.250000,P1,1,80,5.500000
LH,57,16.625000,P1,7,57,5.666667
RH,78,16.625000,P1,1,78,5.666667
LH,56,17.000000,P1,7,56,5.833333
RH,77,17.000000,P1,1,77,5.833333
RH,78,17.625000,P1,1,78,6.000000
LH,57,17.666667,P1,2,57,6.000000
RH,73,18.250000,P1,1,73,6.250000
LH,59,18.875000,P1,2,59,6.500000
LH,56,19.000000,P1,5,56,6.500000
RH,77,19.500000,P1,1,77,6.750000
RH,78,20.125000,P1,1,78,7.000000
LH,57,20.250000,P1,5,57,7.000000
RH,61,20.250000,P1,2,61,7.000000
RH,73,20.750000,P1,1,73,7.250000
LH,59,21.500000,P1,5,59,7.500000
RH,68,21.500000,P1,2,68,7.500000
RH,77,22.125000,P1,1,77,7.750000
