hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,55,2.000000,P1,6,55,0.000000
RH,67,2.000000,P1,1,67,0.000000
RH,74,2.250000,P1,1,74,0.250000
LH,57,2.375000,P1,5,57,0.500000
RH,66,2.375000,P1,1,66,0.500000
RH,74,2.666667,P1,1,74,0.750000
LH,59,2.875000,P1,5,59,1.000000
RH,67,2.875000,P1,1,67,1.000000
RH,74,3.125000,P1,1,74,1.250000
RH,60,3.333333,P1,5,60,1.500000
RH,69,3.333333,P1,1,69,1.500000
RH,74,3.625000,P1,1,74,1.750000
RH,62,3.750000,P1,5,62,2.000000
RH,71,3.750000,P1,1,71,2.000000
RH,74,4.000000,P1,1,74,2.250000
RH,64,4.250000,P1,5,64,2.500000
RH,72,4.250000,P1,1,72,2.500000
RH,74,4.375000,P1,1,74,2.750000
RH,62,4.666667,P1,5,62,3.000000
RH,71,4.666667,P1,1,71,3.000000
RH,74,4.875000,P1,1,74,3.250000
RH,60,5.125000,P1,5,60,3.500000
RH,69,5.125000,P1,1,69,3.500000
RH,74,5.333333,P1,1,74,3.750000
LH,59,5.500000,P1,5,59,4.000000
RH,67,5.500000,P1,1,67,4.000000
RH,74,5.750000,P1,1,74,4.250000
RH,64,6.000000,P1,5,64,4.500000
RH,72,6.000000,P1,1,72,4.500000
RH,74,6.250000,P1,1,74,4.750000
RH,62,6.375000,P1,5,62,5.000000
RH,71,6.375000,P1,1,71,5.000000
RH,74,6.625000,P1,1,74,5.250000
RH,60,6.875000,P1,5,60,5.500000
RH,69,6.875000,P1,1,69,5.500000
RH,74,7.125000,P1,1,74,5.750000
RH,62,7.333333,P1,5,62,6.000000
RH,71,7.333333,P1,1,71,6.000000
RH,74,7.500000,P1,1,74,6.250000
RH,60,7.750000,P1,5,60,6.500000
RH,69,7.750000,P1,1,69,6.500000
RH,74,8.000000,P1,1,74,6.750000
LH,59,8.125000,P1,5,59,7.000000
RH,67,8.125000,P1,1,67,7.000000
RH,74,8.375000,P1,1,74,7.250000
RH,62,8.625000,P1,5,62,7.500000
RH,71,8.625000,P1,1,71,7.500000
RH,74,8.875000,P1,1,74,7.750000
RH,60,9.000000,P1,5,60,8.000000
RH,69,9.000000,P1,1,69,8.000000
RH,74,9.250000,P1,1,74,8.250000
LH,59,9.500000,P1,5,59,8.500000
RH,67,9.500000,P1,1,67,8.500000
RH,74,9.666667,P1,1,74,8.750000
LH,50,10.000000,P1,5,50,9.000000
RH,66,10.000000,P1,2,66,9.000000
LH,57,10.250000,P1,5,57,9.250000
LH,49,10.375000,P1,5,49,9.500000
RH,64,10.375000,P1,2,64,9.500000
LH,57,10.625000,P1,5,57,9.750000
LH,50,10.875000,P1,5,50,10.000000
RH,66,10.875000,P1,2,66,10.000000
LH,57,11.000000,P1,5,57,10.250000
LH,52,11.250000,P1,5,52,10.500000
RH,67,11.250000,P1,2,67,10.500000
LH,57,11.500000,P1,5,57,10.750000
LH,54,11.750000,P1,5,54,11.000000
RH,69,11.750000,P1,2,69,11.000000
LH,57,11.875000,P1,5,57,11.250000
LH,55,12.125000,P1,5,55,11.500000
RH,71,12.125000,P1,2,71,11.500000
LH,57,12.333333,P1,5,57,11.750000
LH,54,12.625000,P1,5,54,12.000000
RH,69,12.625000,P1,2,69,12.000000
LH,57,12.750000,P1,5,57,12.250000
LH,52,13.000000,P1,5,52,12.500000
RH,67,13.125000,P1,2,67,12.500000
LH,57,13.250000,P1,5,57,12.750000
LH,50,13.500000,P1,5,50,13.000000
RH,66,13.500000,P1,2,66,13.000000
LH,57,13.666667,P1,5,57,13.250000
LH,55,14.000000,P1,5,55,13.500000
RH,71,14.000000,P1,2,71,13.500000
LH,57,14.125000,P1,5,57,13.750000
LH,54,14.375000,P1,5,54,14.000000
RH,69,14.375000,P1,2,69,14.000000
LH,57,14.625000,P1,5,57,14.250000
LH,52,14.875000,P1,5,52,14.500000
RH,67,14.875000,P1,2,67,14.500000
LH,57,15.000000,P1,5,57,14.750000
LH,54,15.250000,P1,5,54,15.000000
RH,69,15.250000,P1,2,69,15.000000
LH,57,15.500000,P1,5,57,15.250000
LH,52,15.750000,P1,5,52,15.500000
RH,67,15.750000,P1,2,67,15.500000
LH,57,16.000000,P1,5,57,15.750000
LH,50,16.125000,P1,5,50,16.000000
RH,66,16.125000,P1,2,66,16.000000
LH,57,16.375000,P1,5,57,16.250000
LH,54,16.625000,P1,5,54,16.500000
RH,69,16.625000,P1,2,69,16.500000
LH,57,16.875000,P1,5,57,16.750000
LH,52,17.000000,P1,5,52,17.000000
RH,67,17.000000,P1,2,67,17.000000
LH,57,17.250000,P1,5,57,17.250000
LH,50,17.500000,P1,5,50,17.500000
RH,66,17.500000,P1,2,66,17.500000
LH,57,17.666667,P1,5,57,17.750000
LH,45,18.000000,P1,5,45,18.000000
RH,64,18.000000,P1,2,64,18.000000
LH,57,18.125000,P1,5,57,18.250000
LH,56,18.375000,P1,5,56,18.500000
RH,71,18.375000,P1,1,71,18.500000
LH,57,18.625000,P1,5,57,18.750000
LH,45,18.875000,P1,5,45,19.000000
RH,69,18.875000,P1,2,69,19.000000
RH,72,18.875000,P1,1,72,19.000000
LH,57,19.125000,P1,5,57,19.250000
LH,47,19.375000,P1,5,47,19.500000
RH,74,19.375000,P1,1,74,19.500000
LH,57,19.625000,P1,5,57,19.750000
LH,48,19.750000,P1,5,48,20.000000
RH,76,19.750000,P1,1,76,20.000000
LH,57,20.000000,P1,5,57,20.250000
LH,50,20.250000,P1,5,50,20.500000
RH,78,20.250000,P1,1,78,20.500000
LH,57,20.500000,P1,5,57,20.750000
LH,52,20.666667,P1,5,52,21.000000
RH,67,20.666667,P1,1,67,21.000000
RH,64,20.875000,P1,5,64,21.250000
RH,79,20.875000,P1,1,79,21.250000
RH,62,21.125000,P1,5,62,21.500000
RH,78,21.125000,P1,1,78,21.500000
RH,64,21.333333,P1,5,64,21.750000
RH,79,21.333333,P1,1,79,21.750000
LH,52,21.625000,P1,5,52,22.000000
RH,67,21.625000,P1,1,67,22.000000
RH,64,21.875000,P1,5,64,22.250000
RH,79,21.875000,P1,1,79,22.250000
LH,54,22.000000,P1,5,54,22.500000
RH,69,22.000000,P1,1,69,22.500000
RH,64,22.250000,P1,5,64,22.750000
RH,79,22.250000,P1,1,79,22.750000
LH,55,22.500000,P1,5,55,23.000000
RH,71,22.500000,P1,1,71,23.000000
RH,64,22.666667,P1,5,64,23.250000
RH,79,22.666667,P1,1,79,23.250000
LH,57,22.875000,P1,5,57,23.500000
RH,73,22.875000,P1,1,73,23.500000
RH,64,23.125000,P1,5,64,23.750000
RH,79,23.125000,P1,1,79,23.750000
RH,62,23.375000,P1,5,62,24.000000
RH,78,23.375000,P1,1,78,24.000000
LH,59,23.666667,P1,5,59,24.250000
RH,74,23.666667,P1,1,74,24.250000
LH,57,23.875000,P1,5,57,24.500000
RH,73,23.875000,P1,1,73,24.500000
RH,74,24.000000,P1,1,74,24.750000
LH,59,24.125000,P1,5,59,24.750000
RH,83,24.333333,P1,1,83,25.000000
LH,55,24.375000,P1,5,55,25.000000
RH,71,24.625000,P1,1,71,25.250000
RH,66,24.750000,P1,5,66,25.500000
RH,81,24.750000,P1,1,81,25.500000
RH,71,25.000000,P1,1,71,25.750000
RH,64,25.250000,P1,5,64,26.000000
RH,79,25.250000,P1,1,79,26.000000
RH,71,25.500000,P1,1,71,26.250000
RH,62,25.666667,P1,5,62,26.500000
RH,78,25.666667,P1,1,78,26.500000
RH,71,25.875000,P1,1,71,26.750000
RH,61,26.125000,P1,5,61,27.000000
RH,76,26.125000,P1,1,76,27.000000
LH,57,26.375000,P1,5,57,27.250000
RH,73,26.375000,P1,1,73,27.250000
LH,55,26.625000,P1,5,55,27.500000
RH,71,26.625000,P1,1,71,27.500000
LH,57,26.750000,P1,5,57,27.750000
RH,73,26.750000,P1,1,73,27.750000
LH,54,27.000000,P1,5,54,28.000000
RH,81,27.000000,P1,1,81,28.000000
RH,69,27.333333,P1,1,69,28.250000
RH,64,27.500000,P1,5,64,28.500000
RH,79,27.500000,P1,1,79,28.500000
RH,69,27.750000,P1,1,69,28.750000
RH,62,28.000000,P1,5,62,29.000000
RH,78,28.000000,P1,1,78,29.000000
RH,69,28.250000,P1,1,69,29.250000
RH,61,28.500000,P1,5,61,29.500000
RH,76,28.500000,P1,1,76,29.500000
RH,69,28.625000,P1,1,69,29.750000
LH,59,28.875000,P1,5,59,30.000000
RH,74,28.875000,P1,1,74,30.000000
LH,55,29.125000,P1,5,55,30.250000
RH,71,29.125000,P1,1,71,30.250000
LH,54,29.333333,P1,5,54,30.500000
RH,69,29.333333,P1,1,69,30.500000
LH,55,29.500000,P1,5,55,30.750000
RH,71,29.500000,P1,1,71,30.750000
LH,52,29.750000,P1,5,52,31.000000
RH,79,29.750000,P1,1,79,31.000000
RH,67,30.000000,P1,1,67,31.250000
RH,62,30.250000,P1,5,62,31.500000
RH,78,30.250000,P1,1,78,31.500000
RH,67,30.500000,P1,1,67,31.750000
RH,61,30.750000,P1,5,61,32.000000
RH,76,30.750000,P1,1,76,32.000000
RH,67,30.875000,P1,1,67,32.250000
LH,59,31.125000,P1,5,59,32.500000
RH,74,31.125000,P1,1,74,32.500000
RH,67,31.375000,P1,1,67,32.750000
LH,57,31.666667,P1,5,57,33.000000
RH,73,31.666667,P1,1,73,33.000000
RH,67,31.875000,P1,1,67,33.250000
LH,59,32.125000,P1,5,59,33.500000
RH,74,32.125000,P1,1,74,33.500000
RH,67,32.333333,P1,1,67,33.750000
RH,61,32.625000,P1,5,61,34.000000
RH,76,32.625000,P1,1,76,34.000000
RH,67,32.750000,P1,1,67,34.250000
RH,64,33.000000,P1,5,64,34.500000
RH,74,33.000000,P1,1,74,34.500000
RH,67,33.250000,P1,1,67,34.750000
LH,57,33.500000,P1,5,57,35.000000
RH,73,33.500000,P1,1,73,35.000000
RH,67,33.666667,P1,1,67,35.250000
RH,61,33.875000,P1,5,61,35.500000
RH,71,33.875000,P1,1,71,35.500000
RH,67,34.125000,P1,1,67,35.750000
LH,54,34.375000,P1,5,54,36.000000
RH,69,34.375000,P1,1,69,36.000000
RH,67,34.625000,P1,1,67,36.250000
LH,57,34.750000,P1,5,57,36.500000
RH,66,34.750000,P1,1,66,36.500000
RH,64,35.000000,P1,1,64,36.750000
LH,50,35.250000,P1,5,50,37.000000
RH,66,35.250000,P1,1,66,37.000000
