hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,43,1.000000,P1,6,43,0.000000
RH,62,3.000000,P1,1,62,0.500000
RH,63,4.875000,P1,1,63,1.000000
LH,57,6.750000,P1,5,57,1.500000
LH,54,8.625000,P1,5,54,2.000000
RH,63,10.125000,P1,1,63,2.375000
RH,62,10.375000,P1,1,62,2.500000
RH,69,12.333333,P1,1,69,3.000000
RH,60,13.875000,P1,1,60,3.375000
LH,58,14.250000,P1,1,58,3.500000
LH,57,15.750000,P1,1,57,3.875000
LH,55,16.000000,P1,6,55,4.000000
LH,58,16.000000,P1,5,58,4.000000
RH,74,17.500000,P1,1,74,4.375000
RH,60,17.750000,P1,5,60,4.500000
RH,69,17.750000,P1,1,69,4.500000
RH,72,19.333333,P1,1,72,4.875000
RH,62,19.625000,P1,5,62,5.000000
RH,70,19.625000,P1,1,70,5.000000
RH,64,21.500000,P1,5,64,5.500000
RH,67,23.000000,P1,5,67,5.875000
RH,61,23.250000,P1,5,61,6.000000
RH,70,24.666667,P1,1,70,6.375000
RH,69,25.125000,P1,1,69,6.500000
RH,67,26.750000,P1,1,67,6.875000
RH,76,27.000000,P1,1,76,7.000000
RH,67,28.500000,P1,1,67,7.375000
RH,66,29.000000,P1,1,66,7.500000
RH,64,30.375000,P1,1,64,7.875000
LH,50,30.750000,P1,6,50,8.000000
RH,62,30.750000,P1,5,62,8.000000
RH,66,30.750000,P1,1,66,8.000000
RH,67,32.125000,P1,1,67,8.375000
RH,69,32.500000,P1,1,69,8.500000
RH,60,33.250000,P1,5,60,8.750000
LH,58,34.125000,P1,5,58,9.000000
RH,62,35.625000,P1,1,62,9.375000
RH,70,37.333333,P1,1,70,9.875000
LH,57,37.625000,P1,5,57,10.000000
RH,72,37.625000,P1,1,72,10.000000
RH,67,39.125000,P1,2,67,10.375000
RH,66,39.375000,P1,2,66,10.500000
RH,64,40.875000,P1,2,64,10.875000
RH,66,41.125000,P1,2,66,11.000000
RH,74,42.500000,P1,1,74,11.375000
RH,62,42.750000,P1,5,62,11.500000
RH,69,42.750000,P1,1,69,11.500000
LH,51,43.500000,P1,6,51,11.750000
RH,72,43.875000,P1,1,72,11.875000
RH,67,44.375000,P1,2,67,12.000000
RH,71,44.375000,P1,1,71,12.000000
RH,72,45.666667,P1,1,72,12.375000
RH,74,46.000000,P1,1,74,12.500000
LH,59,46.875000,P1,5,59,12.750000
LH,51,47.750000,P1,6,51,13.000000
LH,55,47.750000,P1,5,55,13.000000
RH,67,49.125000,P1,1,67,13.375000
RH,63,49.375000,P1,5,63,13.500000
RH,75,50.875000,P1,1,75,13.875000
LH,50,51.125000,P1,6,50,14.000000
LH,56,51.125000,P1,5,56,14.000000
RH,77,51.125000,P1,1,77,14.000000
RH,72,52.625000,P1,2,72,14.375000
LH,53,52.875000,P1,5,53,14.500000
