hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,62,6.000000,P1,1,62,0.500000
RH,63,8.000000,P1,1,63,1.000000
LH,57,9.875000,P1,5,57,1.500000
RH,60,11.500000,P1,5,60,1.875000
LH,54,11.750000,P1,5,54,2.000000
RH,63,13.333333,P1,1,63,2.375000
RH,62,13.750000,P1,1,62,2.500000
RH,60,15.333333,P1,1,60,2.875000
RH,69,15.666667,P1,1,69,3.000000
RH,60,17.125000,P1,1,60,3.375000
LH,58,17.375000,P1,1,58,3.500000
LH,58,17.750000,P1,1,58,3.500000
LH,57,19.333333,P1,1,57,3.875000
LH,58,19.500000,P1,5,58,4.000000
LH,55,19.625000,P1,6,55,4.000000
RH,74,21.250000,P1,1,74,4.375000
RH,60,21.500000,P1,5,60,4.500000
RH,69,21.500000,P1,1,69,4.500000
RH,72,23.125000,P1,1,72,4.875000
RH,70,23.375000,P1,1,70,5.000000
RH,62,23.500000,P1,5,62,5.000000
RH,65,25.000000,P1,5,65,5.375000
RH,64,25.333333,P1,5,64,5.500000
RH,67,26.875000,P1,5,67,5.875000
RH,61,27.125000,P1,5,61,6.000000
RH,70,28.625000,P1,1,70,6.375000
RH,69,29.000000,P1,1,69,6.500000
RH,67,30.625000,P1,1,67,6.875000
RH,76,30.875000,P1,1,76,7.000000
RH,67,32.500000,P1,1,67,7.375000
RH,66,32.666667,P1,1,66,7.500000
RH,66,33.000000,P1,1,66,7.500000
RH,64,34.625000,P1,1,64,7.875000
LH,50,34.875000,P1,6,50,8.000000
RH,62,34.875000,P1,5,62,8.000000
RH,66,34.875000,P1,1,66,8.000000
RH,67,36.500000,P1,1,67,8.375000
RH,69,36.875000,P1,1,69,8.500000
LH,58,38.750000,P1,5,58,9.000000
RH,62,40.333333,P1,1,62,9.375000
RH,70,42.125000,P1,1,70,9.875000
LH,57,42.500000,P1,5,57,10.000000
RH,72,42.500000,P1,1,72,10.000000
RH,67,44.000000,P1,2,67,10.375000
RH,66,44.333333,P1,2,66,10.500000
