hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,47,2.125000,P1,5,47,0.000000
RH,66,2.625000,P1,1,66,0.500000
LH,50,3.125000,P1,5,50,1.000000
LH,59,3.125000,P1,1,59,1.000000
RH,61,3.625000,P1,1,61,1.500000
LH,54,4.000000,P1,5,54,2.000000
RH,62,4.000000,P1,1,62,2.000000
RH,66,4.500000,P1,1,66,2.500000
LH,59,5.000000,P1,1,59,3.000000
LH,55,5.125000,P1,5,55,3.250000
LH,54,5.500000,P1,5,54,3.500000
LH,53,5.666667,P1,5,53,3.750000
LH,54,5.875000,P1,5,54,4.000000
RH,61,5.875000,P1,1,61,4.000000
RH,66,6.375000,P1,1,66,4.500000
LH,46,6.875000,P1,5,46,5.000000
RH,67,6.875000,P1,1,67,5.000000
RH,66,7.125000,P1,1,66,5.250000
RH,65,7.333333,P1,1,65,5.500000
RH,66,7.500000,P1,1,66,5.750000
LH,49,7.750000,P1,5,49,6.000000
RH,70,7.750000,P1,1,70,6.000000
RH,66,8.250000,P1,1,66,6.500000
LH,54,8.666667,P1,5,54,7.000000
RH,73,8.666667,P1,1,73,7.000000
RH,64,9.125000,P1,1,64,7.500000
LH,47,9.666667,P1,5,47,8.000000
RH,62,9.666667,P1,1,62,8.000000
RH,66,10.125000,P1,1,66,8.500000
LH,50,10.625000,P1,5,50,9.000000
LH,59,10.625000,P1,1,59,9.000000
RH,61,11.000000,P1,1,61,9.500000
LH,54,11.500000,P1,5,54,10.000000
RH,62,11.500000,P1,1,62,10.000000
RH,66,12.000000,P1,1,66,10.500000
LH,59,12.500000,P1,1,59,11.000000
LH,55,12.666667,P1,5,55,11.250000
LH,54,12.875000,P1,5,54,11.500000
LH,53,13.125000,P1,5,53,11.750000
LH,54,13.375000,P1,5,54,12.000000
RH,61,13.375000,P1,1,61,12.000000
RH,66,13.875000,P1,1,66,12.500000
LH,42,14.333333,P1,5,42,13.000000
RH,61,14.333333,P1,1,61,13.000000
LH,58,14.750000,P1,1,58,13.500000
LH,54,15.250000,P1,1,54,14.000000
LH,52,15.750000,P1,5,52,14.500000
LH,50,16.250000,P1,5,50,15.000000
LH,49,16.750000,P1,5,49,15.500000
LH,50,17.250000,P1,5,50,16.000000
LH,54,17.666667,P1,5,54,16.500000
LH,47,18.125000,P1,5,47,17.000000
RH,74,18.125000,P1,1,74,17.000000
LH,49,18.625000,P1,5,49,17.500000
LH,50,19.125000,P1,5,50,18.000000
RH,71,19.125000,P1,1,71,18.000000
LH,54,19.625000,P1,5,54,18.500000
LH,47,20.000000,P1,5,47,19.000000
RH,66,20.000000,P1,1,66,19.000000
LH,50,20.500000,P1,5,50,19.500000
LH,49,21.000000,P1,5,49,20.000000
LH,54,21.500000,P1,5,54,20.500000
LH,55,21.875000,P1,5,55,21.000000
RH,76,21.875000,P1,1,76,21.000000
LH,54,22.125000,P1,5,54,21.250000
LH,53,22.333333,P1,5,53,21.500000
LH,54,22.500000,P1,5,54,21.750000
LH,58,22.750000,P1,5,58,22.000000
RH,73,22.750000,P1,1,73,22.000000
LH,54,23.250000,P1,5,54,22.500000
RH,61,23.750000,P1,5,61,23.000000
RH,66,23.750000,P1,1,66,23.000000
LH,52,24.250000,P1,5,52,23.500000
LH,50,24.750000,P1,5,50,24.000000
LH,54,25.125000,P1,5,54,24.500000
LH,47,25.666667,P1,5,47,25.000000
RH,78,25.666667,P1,1,78,25.000000
LH,49,26.125000,P1,5,49,25.500000
LH,50,26.500000,P1,5,50,26.000000
LH,54,27.000000,P1,5,54,26.500000
RH,76,27.000000,P1,1,76,26.500000
RH,74,27.250000,P1,1,74,26.750000
LH,47,27.375000,P1,5,47,27.000000
RH,76,27.500000,P1,1,76,27.000000
RH,74,27.666667,P1,1,74,27.250000
LH,50,27.875000,P1,5,50,27.500000
RH,73,27.875000,P1,1,73,27.500000
RH,71,28.000000,P1,1,71,27.750000
LH,49,28.250000,P1,5,49,28.000000
RH,71,28.333333,P1,1,71,28.000000
LH,54,28.750000,P1,5,54,28.500000
LH,49,29.250000,P1,5,49,29.000000
RH,70,29.250000,P1,1,70,29.000000
LH,46,29.666667,P1,5,46,29.500000
LH,42,30.250000,P1,5,42,30.000000
RH,64,30.750000,P1,1,64,30.500000
RH,62,30.875000,P1,1,62,30.750000
LH,58,31.125000,P1,5,58,31.000000
RH,61,31.125000,P1,1,61,31.000000
RH,62,31.333333,P1,1,62,31.250000
RH,64,31.666667,P1,1,64,31.500000
LH,47,32.125000,P1,5,47,32.000000
RH,62,32.125000,P1,1,62,32.000000
RH,71,32.625000,P1,1,71,32.500000
RH,73,32.750000,P1,1,73,32.750000
LH,59,33.000000,P1,5,59,33.000000
RH,74,33.000000,P1,1,74,33.000000
RH,73,33.250000,P1,1,73,33.250000
RH,71,33.500000,P1,1,71,33.500000
