hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,47,2.125000,P1,5,47,0.000000
RH,66,2.750000,P1,1,66,0.500000
LH,50,3.250000,P1,5,50,1.000000
LH,59,3.250000,P1,1,59,1.000000
RH,61,3.666667,P1,1,61,1.500000
LH,54,4.125000,P1,5,54,2.000000
RH,62,4.125000,P1,1,62,2.000000
RH,66,4.666667,P1,1,66,2.500000
LH,59,5.125000,P1,1,59,3.000000
LH,55,5.333333,P1,5,55,3.250000
LH,54,5.625000,P1,5,54,3.500000
RH,62,5.625000,P1,1,62,3.500000
LH,53,5.875000,P1,5,53,3.750000
LH,54,6.125000,P1,5,54,4.000000
RH,61,6.250000,P1,1,61,4.000000
RH,66,6.750000,P1,1,66,4.500000
LH,46,7.250000,P1,5,46,5.000000
RH,67,7.250000,P1,1,67,5.000000
RH,66,7.500000,P1,1,66,5.250000
RH,65,7.625000,P1,1,65,5.500000
RH,66,7.875000,P1,1,66,5.750000
LH,49,8.125000,P1,5,49,6.000000
RH,70,8.125000,P1,1,70,6.000000
RH,66,8.625000,P1,1,66,6.500000
LH,54,9.125000,P1,5,54,7.000000
RH,73,9.125000,P1,1,73,7.000000
RH,64,9.625000,P1,1,64,7.500000
LH,47,10.250000,P1,5,47,8.000000
RH,62,10.250000,P1,1,62,8.000000
RH,66,10.666667,P1,1,66,8.500000
LH,50,11.125000,P1,5,50,9.000000
LH,59,11.125000,P1,1,59,9.000000
RH,61,11.666667,P1,1,61,9.500000
LH,54,12.125000,P1,5,54,10.000000
RH,62,12.125000,P1,1,62,10.000000
RH,66,12.666667,P1,1,66,10.500000
LH,59,13.125000,P1,1,59,11.000000
LH,55,13.375000,P1,5,55,11.250000
LH,54,13.625000,P1,5,54,11.500000
RH,62,13.625000,P1,1,62,11.500000
LH,53,13.875000,P1,5,53,11.750000
LH,54,14.125000,P1,5,54,12.000000
RH,61,14.125000,P1,1,61,12.000000
RH,66,14.666667,P1,1,66,12.500000
LH,42,15.250000,P1,5,42,13.000000
RH,61,15.250000,P1,1,61,13.000000
LH,58,15.666667,P1,1,58,13.500000
LH,54,16.250000,P1,1,54,14.000000
LH,52,16.750000,P1,5,52,14.500000
LH,50,17.250000,P1,5,50,15.000000
LH,49,17.750000,P1,5,49,15.500000
