hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,3.000000,P1,5,58,0.000000
LH,58,3.500000,P1,5,58,0.500000
LH,58,3.750000,P1,5,58,0.500000
LH,58,4.000000,P1,5,58,0.750000
LH,57,4.250000,P1,5,57,1.000000
LH,58,4.375000,P1,5,58,1.250000
LH,54,4.625000,P1,5,54,1.500000
LH,54,4.875000,P1,5,54,1.750000
LH,57,5.125000,P1,5,57,2.000000
LH,58,5.333333,P1,5,58,2.250000
RH,61,5.500000,P1,5,61,2.500000
LH,56,5.875000,P1,5,56,3.000000
LH,56,6.125000,P1,5,56,3.250000
LH,56,6.375000,P1,5,56,3.500000
LH,56,6.625000,P1,5,56,3.750000
LH,53,6.750000,P1,5,53,4.000000
LH,54,7.000000,P1,5,54,4.250000
LH,56,7.250000,P1,5,56,4.500000
LH,58,7.500000,P1,5,58,4.750000
LH,56,7.666667,P1,5,56,5.000000
LH,53,8.000000,P1,5,53,5.250000
LH,58,10.000000,P1,5,58,6.000000
LH,58,10.333333,P1,5,58,6.250000
LH,58,10.500000,P1,5,58,6.500000
LH,58,10.750000,P1,5,58,6.750000
LH,57,11.000000,P1,5,57,7.000000
LH,58,11.250000,P1,5,58,7.250000
LH,54,11.375000,P1,5,54,7.500000
LH,54,11.666667,P1,5,54,7.750000
LH,57,11.875000,P1,5,57,8.000000
LH,58,12.125000,P1,5,58,8.250000
RH,61,12.333333,P1,5,61,8.500000
LH,56,12.750000,P1,5,56,9.000000
LH,56,13.000000,P1,5,56,9.250000
LH,56,13.250000,P1,5,56,9.500000
LH,56,13.500000,P1,5,56,9.750000
LH,53,13.750000,P1,5,53,10.000000
LH,54,14.000000,P1,5,54,10.250000
LH,56,14.250000,P1,5,56,10.500000
LH,58,14.500000,P1,5,58,10.750000
LH,56,14.750000,P1,5,56,11.000000
LH,53,15.125000,P1,5,53,11.250000
LH,54,16.375000,P1,5,54,12.000000
LH,54,16.666667,P1,5,54,12.250000
LH,57,17.000000,P1,5,57,12.500000
LH,58,17.250000,P1,5,58,12.750000
LH,58,17.500000,P1,5,58,13.000000
RH,60,17.666667,P1,5,60,13.250000
RH,63,17.875000,P1,5,63,13.500000
RH,63,18.125000,P1,5,63,13.750000
RH,61,18.333333,P1,5,61,14.000000
RH,60,18.625000,P1,5,60,14.250000
RH,60,18.750000,P1,5,60,14.500000
LH,58,19.000000,P1,5,58,14.750000
LH,56,19.250000,P1,5,56,15.000000
LH,56,19.500000,P1,5,56,15.250000
LH,56,19.750000,P1,5,56,15.500000
RH,61,19.875000,P1,5,61,15.750000
RH,61,20.125000,P1,5,61,16.000000
RH,60,20.375000,P1,5,60,16.250000
LH,58,20.625000,P1,5,58,16.500000
LH,56,20.875000,P1,5,56,16.750000
LH,58,21.125000,P1,5,58,17.000000
LH,53,21.500000,P1,5,53,17.250000
LH,54,22.375000,P1,5,54,18.000000
