hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,3.875000,P1,5,58,0.000000
LH,58,4.125000,P1,5,58,0.250000
LH,58,4.333333,P1,5,58,0.500000
LH,58,4.500000,P1,5,58,0.750000
LH,57,4.750000,P1,5,57,1.000000
LH,58,5.000000,P1,5,58,1.250000
LH,54,5.250000,P1,5,54,1.500000
LH,54,5.375000,P1,5,54,1.750000
LH,57,5.625000,P1,5,57,2.000000
LH,58,5.875000,P1,5,58,2.250000
RH,61,6.000000,P1,5,61,2.500000
LH,56,6.500000,P1,5,56,3.000000
LH,56,6.666667,P1,5,56,3.250000
LH,56,6.875000,P1,5,56,3.500000
LH,56,7.125000,P1,5,56,3.750000
LH,53,7.250000,P1,5,53,4.000000
LH,54,7.500000,P1,5,54,4.250000
LH,56,7.666667,P1,5,56,4.500000
LH,58,7.875000,P1,5,58,4.750000
LH,56,8.000000,P1,5,56,5.000000
LH,53,8.250000,P1,5,53,5.250000
LH,58,9.000000,P1,5,58,6.000000
LH,58,9.125000,P1,5,58,6.250000
LH,58,9.333333,P1,5,58,6.500000
LH,58,9.500000,P1,5,58,6.750000
LH,57,9.750000,P1,5,57,7.000000
LH,58,10.000000,P1,5,58,7.250000
LH,54,10.125000,P1,5,54,7.500000
LH,54,10.333333,P1,5,54,7.750000
LH,57,10.625000,P1,5,57,8.000000
LH,58,10.750000,P1,5,58,8.250000
RH,61,11.000000,P1,5,61,8.500000
LH,56,11.375000,P1,5,56,9.000000
LH,56,11.500000,P1,5,56,9.250000
LH,56,11.750000,P1,5,56,9.500000
LH,56,12.000000,P1,5,56,9.750000
LH,53,12.125000,P1,5,53,10.000000
LH,54,12.333333,P1,5,54,10.250000
LH,56,12.500000,P1,5,56,10.500000
LH,58,12.750000,P1,5,58,10.750000
LH,56,12.875000,P1,5,56,11.000000
LH,53,13.125000,P1,5,53,11.250000
LH,54,13.875000,P1,5,54,12.000000
LH,54,14.000000,P1,5,54,12.250000
LH,57,14.250000,P1,5,57,12.500000
LH,58,14.375000,P1,5,58,12.750000
LH,58,14.625000,P1,5,58,13.000000
RH,60,14.875000,P1,5,60,13.250000
RH,63,15.000000,P1,5,63,13.500000
RH,63,15.250000,P1,5,63,13.750000
RH,61,15.500000,P1,5,61,14.000000
RH,60,15.625000,P1,5,60,14.250000
RH,60,15.875000,P1,5,60,14.500000
LH,58,16.000000,P1,5,58,14.750000
LH,56,16.250000,P1,5,56,15.000000
LH,56,16.500000,P1,5,56,15.250000
LH,56,16.625000,P1,5,56,15.500000
RH,61,16.875000,P1,5,61,15.750000
RH,61,17.000000,P1,5,61,16.000000
RH,60,17.250000,P1,5,60,16.250000
LH,58,17.500000,P1,5,58,16.500000
LH,56,17.666667,P1,5,56,16.750000
LH,58,17.875000,P1,5,58,17.000000
LH,53,18.125000,P1,5,53,17.250000
LH,54,18.875000,P1,5,54,18.000000
LH,54,19.000000,P1,5,54,18.250000
LH,57,19.250000,P1,5,57,18.500000
LH,58,19.375000,P1,5,58,18.750000
LH,58,19.625000,P1,5,58,19.000000
RH,60,19.750000,P1,5,60,19.250000
RH,63,20.000000,P1,5,63,19.500000
RH,63,20.250000,P1,5,63,19.750000
RH,61,20.375000,P1,5,61,20.000000
RH,60,20.625000,P1,5,60,20.250000
RH,60,20.875000,P1,5,60,20.500000
LH,58,21.000000,P1,5,58,20.750000
LH,56,21.250000,P1,5,56,21.000000
LH,56,21.375000,P1,5,56,21.250000
LH,56,21.625000,P1,5,56,21.500000
RH,61,21.750000,P1,5,61,21.750000
RH,61,22.000000,P1,5,61,22.000000
RH,60,22.250000,P1,5,60,22.250000
LH,58,22.500000,P1,5,58,22.500000
LH,56,22.666667,P1,5,56,22.750000
LH,58,22.875000,P1,5,58,23.000000
LH,53,23.250000,P1,5,53,23.250000
LH,56,24.000000,P1,5,56,24.000000
RH,61,24.000000,P1,5,61,24.000000
RH,66,24.000000,P1,2,66,24.000000
RH,70,24.000000,P1,1,70,24.000000
RH,66,24.250000,P1,2,66,24.250000
RH,70,24.250000,P1,1,70,24.250000
RH,66,24.500000,P1,2,66,24.500000
RH,70,24.500000,P1,1,70,24.500000
LH,49,24.750000,P1,5,49,24.750000
LH,56,24.750000,P1,5,56,24.750000
RH,66,24.750000,P1,2,66,24.750000
RH,70,24.750000,P1,1,70,24.750000
RH,65,25.000000,P1,2,65,25.000000
RH,66,25.125000,P1,2,66,25.250000
RH,70,25.125000,P1,1,70,25.250000
RH,62,25.375000,P1,2,62,25.500000
RH,63,25.625000,P1,2,63,25.750000
RH,66,25.625000,P1,1,66,25.750000
RH,65,25.875000,P1,2,65,26.000000
LH,37,26.000000,P1,5,37,26.250000
LH,49,26.000000,P1,5,49,26.250000
RH,66,26.000000,P1,2,66,26.250000
RH,70,26.000000,P1,1,70,26.250000
RH,73,26.250000,P1,1,73,26.500000
RH,68,26.375000,P1,2,68,26.750000
RH,72,26.375000,P1,1,72,26.750000
LH,56,26.625000,P1,5,56,27.000000
RH,61,26.625000,P1,5,61,27.000000
RH,65,26.625000,P1,2,65,27.000000
RH,68,26.625000,P1,1,68,27.000000
RH,65,26.875000,P1,2,65,27.250000
RH,68,26.875000,P1,1,68,27.250000
RH,65,27.000000,P1,2,65,27.500000
RH,68,27.000000,P1,1,68,27.500000
LH,49,27.250000,P1,5,49,27.750000
LH,56,27.250000,P1,5,56,27.750000
RH,65,27.250000,P1,2,65,27.750000
RH,68,27.250000,P1,1,68,27.750000
RH,61,27.500000,P1,2,61,28.000000
RH,63,27.750000,P1,2,63,28.250000
RH,66,27.750000,P1,1,66,28.250000
RH,65,28.000000,P1,2,65,28.500000
RH,66,28.125000,P1,2,66,28.750000
RH,70,28.125000,P1,1,70,28.750000
RH,65,28.375000,P1,2,65,29.000000
LH,37,28.625000,P1,5,37,29.250000
LH,49,28.625000,P1,5,49,29.250000
RH,61,28.625000,P1,2,61,29.250000
RH,65,28.625000,P1,1,65,29.250000
LH,56,29.250000,P1,5,56,30.000000
RH,61,29.250000,P1,5,61,30.000000
RH,66,29.250000,P1,2,66,30.000000
RH,70,29.250000,P1,1,70,30.000000
RH,66,29.500000,P1,2,66,30.250000
RH,70,29.500000,P1,1,70,30.250000
RH,66,29.666667,P1,2,66,30.500000
RH,70,29.666667,P1,1,70,30.500000
LH,49,29.875000,P1,5,49,30.750000
LH,56,29.875000,P1,5,56,30.750000
RH,66,29.875000,P1,2,66,30.750000
RH,70,29.875000,P1,1,70,30.750000
RH,65,30.125000,P1,2,65,31.000000
RH,66,30.333333,P1,2,66,31.250000
RH,70,30.333333,P1,1,70,31.250000
RH,62,30.500000,P1,2,62,31.500000
RH,63,30.750000,P1,2,63,31.750000
RH,66,30.750000,P1,1,66,31.750000
RH,65,30.875000,P1,2,65,32.000000
LH,37,31.125000,P1,5,37,32.250000
LH,49,31.125000,P1,5,49,32.250000
RH,66,31.125000,P1,2,66,32.250000
RH,70,31.125000,P1,1,70,32.250000
RH,73,31.375000,P1,1,73,32.500000
RH,68,31.500000,P1,2,68,32.750000
RH,72,31.500000,P1,1,72,32.750000
LH,56,31.750000,P1,5,56,33.000000
RH,61,31.750000,P1,5,61,33.000000
RH,65,31.750000,P1,2,65,33.000000
RH,68,31.750000,P1,1,68,33.000000
RH,65,32.000000,P1,2,65,33.250000
RH,68,32.000000,P1,1,68,33.250000
RH,65,32.125000,P1,2,65,33.500000
RH,68,32.125000,P1,1,68,33.500000
LH,49,32.375000,P1,5,49,33.750000
LH,56,32.375000,P1,5,56,33.750000
RH,65,32.375000,P1,2,65,33.750000
RH,68,32.375000,P1,1,68,33.750000
RH,61,32.625000,P1,2,61,34.000000
RH,63,32.875000,P1,2,63,34.250000
RH,66,32.875000,P1,1,66,34.250000
RH,65,33.000000,P1,2,65,34.500000
RH,66,33.250000,P1,2,66,34.750000
RH,70,33.250000,P1,1,70,34.750000
RH,65,33.500000,P1,2,65,35.000000
LH,37,33.666667,P1,5,37,35.250000
LH,49,33.666667,P1,5,49,35.250000
RH,61,33.666667,P1,2,61,35.250000
