hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,1.250000,P1,5,58,0.000000
LH,58,1.375000,P1,5,58,0.250000
LH,58,1.625000,P1,5,58,0.500000
LH,58,1.875000,P1,5,58,0.750000
LH,57,2.000000,P1,5,57,1.000000
LH,58,2.250000,P1,5,58,1.250000
LH,54,2.500000,P1,5,54,1.500000
LH,54,2.666667,P1,5,54,1.750000
LH,57,2.875000,P1,5,57,2.000000
LH,58,3.125000,P1,5,58,2.250000
RH,61,3.333333,P1,5,61,2.500000
LH,56,3.750000,P1,5,56,3.000000
LH,56,3.875000,P1,5,56,3.250000
LH,56,4.125000,P1,5,56,3.500000
LH,56,4.333333,P1,5,56,3.750000
LH,53,4.625000,P1,5,53,4.000000
LH,54,4.750000,P1,5,54,4.250000
LH,56,5.000000,P1,5,56,4.500000
LH,58,5.250000,P1,5,58,4.750000
LH,56,5.375000,P1,5,56,5.000000
LH,53,5.625000,P1,5,53,5.250000
LH,58,6.250000,P1,5,58,6.000000
LH,58,6.500000,P1,5,58,6.250000
LH,58,6.666667,P1,5,58,6.500000
LH,58,7.000000,P1,5,58,6.750000
LH,57,7.125000,P1,5,57,7.000000
LH,58,7.333333,P1,5,58,7.250000
LH,54,7.500000,P1,5,54,7.500000
LH,54,7.750000,P1,5,54,7.750000
LH,57,7.875000,P1,5,57,8.000000
LH,58,8.125000,P1,5,58,8.250000
RH,61,8.375000,P1,5,61,8.500000
LH,56,8.750000,P1,5,56,9.000000
LH,56,9.000000,P1,5,56,9.250000
LH,56,9.125000,P1,5,56,9.500000
LH,56,9.375000,P1,5,56,9.750000
LH,53,9.625000,P1,5,53,10.000000
LH,54,9.750000,P1,5,54,10.250000
LH,56,10.000000,P1,5,56,10.500000
LH,58,10.125000,P1,5,58,10.750000
LH,56,10.333333,P1,5,56,11.000000
LH,53,10.625000,P1,5,53,11.250000
LH,54,11.250000,P1,5,54,12.000000
LH,54,11.500000,P1,5,54,12.250000
LH,57,11.666667,P1,5,57,12.500000
LH,58,11.875000,P1,5,58,12.750000
LH,58,12.125000,P1,5,58,13.000000
RH,60,12.333333,P1,5,60,13.250000
RH,63,12.625000,P1,5,63,13.500000
RH,63,12.750000,P1,5,63,13.750000
RH,61,13.000000,P1,5,61,14.000000
RH,60,13.125000,P1,5,60,14.250000
RH,60,13.375000,P1,5,60,14.500000
LH,58,13.625000,P1,5,58,14.750000
LH,56,13.750000,P1,5,56,15.000000
LH,56,14.000000,P1,5,56,15.250000
LH,56,14.250000,P1,5,56,15.500000
RH,61,14.500000,P1,5,61,15.750000
RH,61,14.666667,P1,5,61,16.000000
RH,60,14.875000,P1,5,60,16.250000
LH,58,15.125000,P1,5,58,16.500000
LH,56,15.250000,P1,5,56,16.750000
LH,58,15.500000,P1,5,58,17.000000
LH,53,15.750000,P1,5,53,17.250000
LH,54,16.375000,P1,5,54,18.000000
LH,54,16.625000,P1,5,54,18.250000
LH,57,16.875000,P1,5,57,18.500000
LH,58,17.125000,P1,5,58,18.750000
LH,58,17.333333,P1,5,58,19.000000
RH,60,17.500000,P1,5,60,19.250000
RH,63,17.750000,P1,5,63,19.500000
RH,63,18.000000,P1,5,63,19.750000
RH,61,18.125000,P1,5,61,20.000000
RH,60,18.333333,P1,5,60,20.250000
RH,60,18.625000,P1,5,60,20.500000
LH,58,18.750000,P1,5,58,20.750000
LH,56,19.000000,P1,5,56,21.000000
LH,56,19.250000,P1,5,56,21.250000
LH,56,19.375000,P1,5,56,21.500000
RH,61,19.625000,P1,5,61,21.750000
RH,61,19.875000,P1,5,61,22.000000
RH,60,20.000000,P1,5,60,22.250000
LH,58,20.250000,P1,5,58,22.500000
LH,56,20.500000,P1,5,56,22.750000
LH,58,20.666667,P1,5,58,23.000000
LH,53,21.000000,P1,5,53,23.250000
LH,56,21.750000,P1,5,56,24.000000
RH,61,21.750000,P1,5,61,24.000000
RH,66,21.750000,P1,2,66,24.000000
RH,70,21.750000,P1,1,70,24.000000
RH,66,21.875000,P1,2,66,24.250000
RH,70,21.875000,P1,1,70,24.250000
RH,66,22.125000,P1,2,66,24.500000
RH,70,22.125000,P1,1,70,24.500000
LH,49,22.375000,P1,5,49,24.750000
LH,56,22.375000,P1,5,56,24.750000
RH,70,22.375000,P1,1,70,24.750000
RH,65,22.666667,P1,2,65,25.000000
RH,66,22.875000,P1,2,66,25.250000
RH,70,22.875000,P1,1,70,25.250000
RH,62,23.125000,P1,2,62,25.500000
RH,63,23.333333,P1,2,63,25.750000
RH,66,23.333333,P1,1,66,25.750000
RH,65,23.500000,P1,2,65,26.000000
LH,37,23.750000,P1,5,37,26.250000
LH,49,23.750000,P1,5,49,26.250000
RH,66,23.750000,P1,2,66,26.250000
RH,70,23.750000,P1,1,70,26.250000
RH,73,24.000000,P1,1,73,26.500000
RH,68,24.125000,P1,2,68,26.750000
RH,72,24.125000,P1,1,72,26.750000
LH,56,24.375000,P1,5,56,27.000000
RH,61,24.375000,P1,5,61,27.000000
RH,65,24.375000,P1,2,65,27.000000
RH,68,24.375000,P1,1,68,27.000000
RH,65,24.625000,P1,2,65,27.250000
RH,68,24.625000,P1,1,68,27.250000
RH,65,24.875000,P1,2,65,27.500000
