hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,2.333333,P1,5,58,0.000000
LH,58,2.500000,P1,5,58,0.250000
LH,58,2.750000,P1,5,58,0.500000
LH,58,3.000000,P1,5,58,0.750000
LH,57,3.250000,P1,5,57,1.000000
LH,58,3.375000,P1,5,58,1.250000
LH,54,3.625000,P1,5,54,1.500000
LH,54,3.875000,P1,5,54,1.750000
LH,57,4.000000,P1,5,57,2.000000
LH,58,4.250000,P1,5,58,2.250000
RH,61,4.500000,P1,5,61,2.500000
LH,56,4.875000,P1,5,56,3.000000
LH,56,5.125000,P1,5,56,3.250000
LH,56,5.250000,P1,5,56,3.500000
LH,56,5.500000,P1,5,56,3.750000
LH,53,5.750000,P1,5,53,4.000000
LH,54,5.875000,P1,5,54,4.250000
LH,56,6.125000,P1,5,56,4.500000
LH,58,6.333333,P1,5,58,4.750000
LH,56,6.500000,P1,5,56,5.000000
LH,53,6.750000,P1,5,53,5.250000
LH,58,7.375000,P1,5,58,6.000000
LH,58,7.666667,P1,5,58,6.250000
LH,58,7.875000,P1,5,58,6.500000
LH,58,8.125000,P1,5,58,6.750000
LH,57,8.250000,P1,5,57,7.000000
LH,58,8.500000,P1,5,58,7.250000
LH,54,8.625000,P1,5,54,7.500000
LH,54,8.875000,P1,5,54,7.750000
LH,57,9.000000,P1,5,57,8.000000
LH,58,9.250000,P1,5,58,8.250000
RH,61,9.500000,P1,5,61,8.500000
LH,56,9.875000,P1,5,56,9.000000
LH,56,10.125000,P1,5,56,9.250000
LH,56,10.250000,P1,5,56,9.500000
LH,56,10.500000,P1,5,56,9.750000
LH,53,10.666667,P1,5,53,10.000000
LH,54,10.875000,P1,5,54,10.250000
LH,56,11.000000,P1,5,56,10.500000
LH,58,11.250000,P1,5,58,10.750000
LH,56,11.375000,P1,5,56,11.000000
LH,53,11.666667,P1,5,53,11.250000
LH,54,12.333333,P1,5,54,12.000000
LH,54,12.500000,P1,5,54,12.250000
LH,57,12.750000,P1,5,57,12.500000
LH,58,13.000000,P1,5,58,12.750000
LH,58,13.125000,P1,5,58,13.000000
RH,60,13.375000,P1,5,60,13.250000
RH,63,13.625000,P1,5,63,13.500000
RH,63,13.875000,P1,5,63,13.750000
RH,61,14.000000,P1,5,61,14.000000
RH,60,14.250000,P1,5,60,14.250000
RH,60,14.500000,P1,5,60,14.500000
LH,58,14.625000,P1,5,58,14.750000
LH,56,14.875000,P1,5,56,15.000000
LH,56,15.000000,P1,5,56,15.250000
LH,56,15.250000,P1,5,56,15.500000
RH,61,15.500000,P1,5,61,15.750000
RH,61,15.666667,P1,5,61,16.000000
RH,60,15.875000,P1,5,60,16.250000
LH,58,16.125000,P1,5,58,16.500000
LH,56,16.250000,P1,5,56,16.750000
LH,58,16.500000,P1,5,58,17.000000
LH,53,16.666667,P1,5,53,17.250000
LH,54,17.375000,P1,5,54,18.000000
LH,54,17.625000,P1,5,54,18.250000
LH,57,17.750000,P1,5,57,18.500000
LH,58,18.000000,P1,5,58,18.750000
LH,58,18.250000,P1,5,58,19.000000
RH,60,18.375000,P1,5,60,19.250000
RH,63,18.625000,P1,5,63,19.500000
RH,60,19.375000,P1,5,60,20.500000
LH,58,19.625000,P1,5,58,20.750000
LH,56,19.875000,P1,5,56,21.000000
LH,56,20.000000,P1,5,56,21.250000
LH,56,20.250000,P1,5,56,21.500000
RH,61,20.500000,P1,5,61,21.750000
RH,61,20.666667,P1,5,61,22.000000
RH,60,20.875000,P1,5,60,22.250000
LH,58,21.000000,P1,5,58,22.500000
LH,56,21.250000,P1,5,56,22.750000
LH,58,21.375000,P1,5,58,23.000000
LH,53,21.666667,P1,5,53,23.250000
LH,56,22.375000,P1,5,56,24.000000
RH,61,22.375000,P1,5,61,24.000000
RH,66,22.375000,P1,2,66,24.000000
RH,70,22.375000,P1,1,70,24.000000
RH,66,22.625000,P1,2,66,24.250000
RH,70,22.625000,P1,1,70,24.250000
RH,66,22.875000,P1,2,66,24.500000
