hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,3.875000,P1,2,58,0.000000
LH,57,4.000000,P1,2,57,0.250000
LH,58,4.250000,P1,2,58,0.500000
LH,53,4.375000,P1,2,53,0.750000
RH,62,7.250000,P1,2,62,4.000000
LH,34,7.875000,P1,5,34,5.000000
LH,46,7.875000,P1,5,46,5.000000
RH,62,7.875000,P1,1,62,5.000000
RH,62,10.333333,P1,2,62,8.000000
RH,62,11.000000,P1,1,62,9.000000
LH,46,16.500000,P1,5,46,16.000000
LH,50,16.666667,P1,5,50,16.250000
LH,53,16.875000,P1,5,53,16.500000
LH,58,17.000000,P1,5,58,16.750000
LH,46,17.250000,P1,5,46,17.000000
LH,58,17.875000,P1,5,58,17.750000
LH,46,18.000000,P1,5,46,18.000000
LH,58,18.625000,P1,5,58,18.750000
LH,46,18.750000,P1,5,46,19.000000
LH,46,19.625000,P1,5,46,20.000000
LH,51,19.750000,P1,5,51,20.250000
LH,46,20.375000,P1,5,46,21.000000
LH,58,21.000000,P1,5,58,21.750000
LH,46,21.125000,P1,5,46,22.000000
RH,74,21.250000,P1,1,74,22.000000
LH,46,21.875000,P1,5,46,23.000000
LH,46,22.666667,P1,5,46,24.000000
LH,50,22.750000,P1,5,50,24.250000
LH,53,23.000000,P1,5,53,24.500000
LH,46,23.333333,P1,5,46,25.000000
LH,46,24.125000,P1,5,46,26.000000
LH,46,24.875000,P1,5,46,27.000000
LH,46,25.666667,P1,5,46,28.000000
LH,46,26.375000,P1,5,46,29.000000
LH,46,27.125000,P1,5,46,30.000000
RH,60,29.250000,P1,1,60,32.750000
LH,46,29.375000,P1,5,46,33.000000
LH,58,29.375000,P1,1,58,33.000000
RH,72,32.250000,P1,1,72,36.750000
LH,58,32.375000,P1,5,58,37.000000
RH,70,32.375000,P1,1,70,37.000000
RH,79,33.500000,P1,1,79,38.500000
RH,72,34.500000,P1,1,72,39.750000
RH,62,43.333333,P1,5,62,51.000000
RH,72,49.000000,P1,2,72,58.000000
RH,69,49.750000,P1,2,69,59.000000
RH,72,51.333333,P1,1,72,61.000000
RH,67,53.750000,P1,1,67,64.250000
RH,60,53.875000,P1,5,60,64.500000
RH,67,54.125000,P1,1,67,64.750000
RH,60,54.250000,P1,5,60,65.000000
RH,60,54.625000,P1,5,60,65.500000
RH,60,55.000000,P1,5,60,66.000000
RH,60,55.333333,P1,5,60,66.500000
RH,60,55.750000,P1,5,60,67.000000
RH,74,55.750000,P1,1,74,67.000000
RH,60,56.000000,P1,5,60,67.500000
RH,60,56.375000,P1,5,60,68.000000
RH,60,56.625000,P1,5,60,68.500000
RH,65,56.625000,P1,1,65,68.250000
RH,65,57.000000,P1,1,65,68.750000
RH,60,57.500000,P1,5,60,69.500000
RH,60,57.875000,P1,5,60,70.000000
RH,60,58.250000,P1,5,60,70.500000
RH,60,58.625000,P1,5,60,71.000000
RH,60,59.000000,P1,5,60,71.500000
RH,67,59.500000,P1,1,67,72.250000
RH,60,59.666667,P1,5,60,72.500000
RH,67,59.875000,P1,1,67,72.750000
RH,60,60.000000,P1,5,60,73.000000
RH,60,60.375000,P1,5,60,73.500000
RH,60,60.666667,P1,5,60,74.000000
RH,60,61.000000,P1,5,60,74.500000
RH,60,61.500000,P1,5,60,75.000000
RH,74,61.500000,P1,1,74,75.000000
RH,60,61.875000,P1,5,60,75.500000
RH,60,62.125000,P1,5,60,76.000000
RH,65,62.333333,P1,1,65,76.250000
RH,60,62.500000,P1,5,60,76.500000
RH,65,62.625000,P1,1,65,76.750000
RH,60,63.125000,P1,5,60,77.500000
RH,60,63.500000,P1,5,60,78.000000
RH,65,63.750000,P1,1,65,78.250000
RH,68,63.750000,P1,1,68,78.250000
RH,60,63.875000,P1,5,60,78.500000
RH,65,64.125000,P1,1,65,78.750000
RH,68,64.125000,P1,1,68,78.750000
RH,60,64.625000,P1,5,60,79.500000
RH,60,65.333333,P1,5,60,80.500000
RH,67,66.666667,P1,1,67,82.250000
RH,72,67.875000,P1,1,72,84.000000
RH,64,72.250000,P1,5,64,89.750000
RH,65,72.375000,P1,5,65,90.000000
RH,64,72.625000,P1,5,64,90.250000
RH,65,72.750000,P1,5,65,90.500000
RH,64,73.000000,P1,5,64,90.750000
RH,65,73.125000,P1,5,65,91.000000
RH,64,73.333333,P1,5,64,91.250000
RH,65,73.500000,P1,5,65,91.500000
RH,64,73.666667,P1,5,64,91.750000
RH,65,73.875000,P1,5,65,92.000000
RH,64,74.125000,P1,5,64,92.250000
RH,65,74.250000,P1,5,65,92.500000
RH,64,74.375000,P1,5,64,92.750000
RH,65,74.666667,P1,5,65,93.000000
RH,64,76.000000,P1,5,64,94.750000
RH,65,76.125000,P1,5,65,95.000000
RH,64,76.333333,P1,5,64,95.250000
RH,65,76.500000,P1,5,65,95.500000
RH,64,76.750000,P1,5,64,95.750000
RH,65,76.875000,P1,5,65,96.000000
RH,64,78.250000,P1,5,64,97.750000
RH,65,78.375000,P1,5,65,98.000000
RH,64,78.500000,P1,5,64,98.250000
RH,65,78.666667,P1,5,65,98.500000
RH,64,79.000000,P1,5,64,98.750000
RH,65,79.125000,P1,5,65,99.000000
RH,64,79.250000,P1,5,64,99.250000
RH,64,79.500000,P1,5,64,99.750000
RH,65,79.750000,P1,5,65,100.000000
RH,65,80.125000,P1,5,65,100.500000
RH,78,86.375000,P1,1,78,109.000000
RH,77,92.750000,P1,2,77,117.000000
LH,55,110.125000,P1,5,55,137.000000
RH,64,110.125000,P1,1,64,137.000000
RH,67,110.125000,P1,1,67,137.000000
LH,52,114.125000,P1,5,52,142.000000
LH,50,114.875000,P1,5,50,143.000000
LH,48,119.125000,P1,5,48,148.000000
LH,53,123.250000,P1,1,53,153.000000
RH,65,126.000000,P1,3,65,156.500000
RH,69,128.333333,P1,1,69,159.500000
RH,69,132.250000,P1,3,69,164.500000
LH,55,135.750000,P1,6,55,169.000000
RH,67,136.125000,P1,3,67,169.500000
RH,80,143.000000,P1,1,80,178.750000
RH,81,143.250000,P1,1,81,179.000000
LH,46,149.875000,P1,5,46,188.000000
LH,55,149.875000,P1,5,55,188.000000
LH,46,152.625000,P1,5,46,191.500000
RH,76,152.625000,P1,1,76,191.500000
RH,88,152.750000,P1,1,88,191.750000
LH,45,153.000000,P1,5,45,192.000000
LH,48,153.000000,P1,5,48,192.000000
RH,77,153.000000,P1,1,77,192.000000
RH,89,153.125000,P1,1,89,192.250000
LH,48,154.250000,P1,5,48,193.500000
LH,48,154.625000,P1,5,48,194.000000
LH,48,155.000000,P1,5,48,194.500000
LH,48,155.375000,P1,5,48,195.000000
LH,48,155.750000,P1,5,48,195.500000
LH,48,156.125000,P1,5,48,196.000000
LH,48,156.500000,P1,5,48,196.500000
RH,60,164.125000,P1,1,60,206.250000
LH,53,165.375000,P1,1,53,208.000000
RH,60,165.875000,P1,1,60,208.750000
RH,60,166.250000,P1,1,60,209.250000
RH,60,166.666667,P1,1,60,209.750000
RH,60,167.000000,P1,1,60,210.250000
RH,60,167.375000,P1,1,60,210.750000
RH,60,167.666667,P1,1,60,211.250000
LH,41,168.250000,P1,5,41,212.000000
LH,52,168.625000,P1,1,52,212.500000
LH,53,169.000000,P1,1,53,213.000000
LH,57,172.375000,P1,1,57,217.500000
RH,69,172.625000,P1,1,69,217.750000
LH,29,178.000000,P1,5,29,224.000000
LH,41,178.250000,P1,5,41,224.250000
LH,29,178.375000,P1,5,29,224.500000
LH,41,178.666667,P1,5,41,224.750000
LH,29,178.750000,P1,5,29,225.000000
LH,41,179.000000,P1,5,41,225.250000
LH,29,179.250000,P1,5,29,225.500000
LH,41,179.500000,P1,5,41,225.750000
LH,29,179.666667,P1,5,29,226.000000
LH,41,179.875000,P1,5,41,226.250000
LH,29,180.375000,P1,5,29,227.000000
LH,41,180.625000,P1,5,41,227.250000
LH,53,180.750000,P1,2,53,227.500000
LH,29,180.875000,P1,5,29,227.500000
LH,41,181.125000,P1,5,41,227.750000
LH,29,181.250000,P1,5,29,228.000000
LH,41,181.500000,P1,5,41,228.250000
LH,29,181.875000,P1,5,29,229.000000
LH,41,182.250000,P1,5,41,229.250000
LH,29,182.500000,P1,5,29,229.500000
LH,41,182.625000,P1,5,41,229.750000
LH,29,182.875000,P1,5,29,230.000000
LH,41,183.000000,P1,5,41,230.250000
LH,29,183.250000,P1,5,29,230.500000
LH,41,183.500000,P1,5,41,230.750000
LH,29,183.625000,P1,5,29,231.000000
RH,60,183.625000,P1,1,60,231.000000
LH,41,183.875000,P1,5,41,231.250000
LH,29,184.250000,P1,5,29,231.500000
LH,41,184.375000,P1,5,41,231.750000
LH,29,184.666667,P1,5,29,232.000000
LH,41,184.875000,P1,5,41,232.250000
LH,29,185.250000,P1,5,29,233.000000
LH,41,185.625000,P1,5,41,233.250000
LH,29,185.875000,P1,5,29,233.500000
LH,41,186.000000,P1,5,41,233.750000
LH,29,186.250000,P1,5,29,234.000000
LH,41,186.375000,P1,5,41,234.250000
LH,29,186.666667,P1,5,29,234.500000
LH,41,186.875000,P1,5,41,234.750000
LH,29,187.000000,P1,5,29,235.000000
LH,41,187.250000,P1,5,41,235.250000
RH,65,187.333333,P1,1,65,235.500000
LH,29,187.500000,P1,5,29,235.500000
LH,41,187.666667,P1,5,41,235.750000
LH,58,187.750000,P1,2,58,236.000000
RH,61,187.750000,P1,2,61,236.000000
LH,29,187.875000,P1,5,29,236.000000
LH,41,188.000000,P1,5,41,236.250000
LH,29,188.500000,P1,5,29,237.000000
LH,41,188.666667,P1,5,41,237.250000
LH,29,188.875000,P1,5,29,237.500000
LH,41,189.000000,P1,5,41,237.750000
LH,29,189.250000,P1,5,29,238.000000
LH,41,189.500000,P1,5,41,238.250000
LH,29,189.666667,P1,5,29,238.500000
LH,41,189.875000,P1,5,41,238.750000
LH,29,190.125000,P1,5,29,239.000000
LH,58,190.125000,P1,2,58,239.000000
RH,61,190.125000,P1,2,61,239.000000
