hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,7.875000,P1,1,68,2.000000
LH,56,8.000000,P1,5,56,2.000000
LH,51,14.333333,P1,5,51,4.375000
RH,63,14.333333,P1,1,63,4.375000
RH,63,15.666667,P1,2,63,5.000000
RH,70,16.875000,P1,1,70,5.500000
LH,51,17.000000,P1,5,51,5.500000
LH,58,17.000000,P1,2,58,5.500000
RH,63,17.000000,P1,2,63,5.500000
RH,72,18.875000,P1,1,72,6.375000
RH,68,22.000000,P1,1,68,7.500000
RH,72,22.000000,P1,1,72,7.375000
RH,68,25.875000,P1,1,68,9.000000
RH,68,30.250000,P1,1,68,10.500000
LH,51,35.000000,P1,5,51,12.000000
RH,63,35.000000,P1,2,63,12.000000
LH,56,39.875000,P1,5,56,13.750000
RH,68,39.875000,P1,1,68,13.750000
LH,56,40.500000,P1,5,56,14.000000
RH,68,40.500000,P1,1,68,14.000000
LH,51,46.875000,P1,5,51,16.375000
RH,63,46.875000,P1,1,63,16.375000
RH,63,48.125000,P1,2,63,17.000000
LH,51,49.250000,P1,5,51,17.500000
RH,70,49.250000,P1,1,70,17.500000
LH,58,49.375000,P1,2,58,17.500000
RH,63,49.500000,P1,2,63,17.500000
RH,72,51.250000,P1,1,72,18.375000
RH,72,54.250000,P1,1,72,19.375000
RH,68,54.333333,P1,1,68,19.500000
RH,68,58.250000,P1,1,68,21.000000
RH,68,58.333333,P1,1,68,21.000000
RH,70,59.375000,P1,1,70,21.500000
RH,67,59.666667,P1,1,67,21.500000
RH,68,60.625000,P1,1,68,22.000000
RH,67,62.000000,P1,1,67,22.625000
RH,68,63.333333,P1,1,68,23.000000
RH,69,70.500000,P1,1,69,25.500000
RH,72,70.500000,P1,1,72,25.500000
RH,70,71.666667,P1,1,70,26.000000
RH,63,74.250000,P1,5,63,27.000000
RH,67,78.000000,P1,1,67,28.500000
RH,70,78.000000,P1,1,70,28.500000
RH,68,79.250000,P1,1,68,29.000000
RH,60,89.375000,P1,5,60,33.000000
RH,67,90.500000,P1,1,67,33.500000
LH,46,100.250000,P1,5,46,37.500000
RH,68,102.875000,P1,2,68,38.500000
RH,75,102.875000,P1,3,75,38.556250
RH,75,104.250000,P1,1,75,39.000000
LH,51,104.333333,P1,5,51,39.000000
LH,51,106.250000,P1,5,51,39.500000
LH,56,109.750000,P1,5,56,40.750000
RH,68,109.750000,P1,1,68,40.750000
LH,56,110.375000,P1,5,56,41.000000
RH,68,110.375000,P1,1,68,41.000000
LH,51,116.750000,P1,5,51,43.375000
RH,63,116.750000,P1,1,63,43.375000
RH,63,118.125000,P1,2,63,44.000000
LH,51,119.333333,P1,5,51,44.500000
RH,70,119.333333,P1,1,70,44.500000
LH,58,119.375000,P1,2,58,44.500000
RH,70,119.375000,P1,1,70,44.500000
RH,72,121.250000,P1,1,72,45.375000
RH,72,124.375000,P1,1,72,46.375000
LH,56,125.875000,P1,5,56,47.000000
LH,56,128.500000,P1,5,56,48.000000
RH,70,129.500000,P1,1,70,48.500000
RH,63,130.750000,P1,1,63,49.000000
RH,67,132.250000,P1,1,67,49.625000
RH,68,133.625000,P1,1,68,50.000000
LH,32,140.000000,P1,5,32,51.500000
RH,60,154.750000,P1,1,60,57.375000
LH,51,157.500000,P1,5,51,58.500000
LH,56,157.500000,P1,1,56,58.500000
LH,56,157.625000,P1,1,56,58.500000
LH,56,165.125000,P1,5,56,61.500000
LH,56,171.750000,P1,1,56,64.000000
RH,60,172.250000,P1,1,60,64.000000
LH,55,174.750000,P1,1,55,65.000000
RH,63,182.000000,P1,1,63,67.750000
RH,60,185.750000,P1,1,60,69.375000
LH,51,188.500000,P1,5,51,70.500000
LH,56,188.500000,P1,1,56,70.500000
RH,72,195.000000,P1,1,72,73.000000
RH,72,201.875000,P1,1,72,75.500000
RH,67,203.000000,P1,3,67,76.000000
RH,67,208.666667,P1,1,67,78.500000
RH,70,208.666667,P1,1,70,78.500000
RH,70,211.125000,P1,1,70,79.500000
RH,61,211.666667,P1,5,61,79.625000
RH,63,216.375000,P1,5,63,81.500000
RH,61,218.333333,P1,5,61,82.500000
RH,60,221.500000,P1,5,60,84.000000
RH,65,225.000000,P1,1,65,85.625000
RH,67,226.500000,P1,1,67,86.125000
LH,51,233.875000,P1,5,51,89.125000
RH,75,236.333333,P1,1,75,90.000000
LH,39,237.250000,P1,5,39,90.250000
LH,51,239.000000,P1,5,51,90.625000
RH,63,249.625000,P1,1,63,94.750000
RH,60,253.375000,P1,1,60,96.375000
LH,51,256.250000,P1,5,51,97.500000
LH,56,256.250000,P1,1,56,97.500000
LH,58,258.750000,P1,1,58,98.500000
RH,60,260.125000,P1,1,60,98.875000
RH,60,260.250000,P1,1,60,98.875000
RH,72,262.875000,P1,1,72,100.000000
LH,51,270.625000,P1,5,51,102.000000
RH,60,270.875000,P1,1,60,102.125000
RH,60,273.625000,P1,1,60,103.500000
LH,44,273.875000,P1,5,44,103.500000
RH,60,274.125000,P1,1,60,103.500000
RH,63,277.375000,P1,2,63,105.125000
LH,39,277.666667,P1,5,39,105.250000
LH,51,277.666667,P1,5,51,105.250000
RH,63,277.875000,P1,2,63,105.375000
LH,39,280.333333,P1,5,39,106.500000
LH,51,280.333333,P1,5,51,106.500000
RH,63,280.625000,P1,2,63,106.625000
RH,63,281.000000,P1,2,63,106.875000
RH,63,281.625000,P1,2,63,107.125000
RH,63,282.125000,P1,2,63,107.375000
RH,63,282.666667,P1,2,63,107.625000
RH,63,283.125000,P1,2,63,107.875000
RH,60,283.375000,P1,2,60,107.875000
LH,58,283.500000,P1,2,58,108.125000
RH,63,284.125000,P1,2,63,108.375000
LH,51,286.666667,P1,5,51,109.500000
RH,67,289.125000,P1,2,67,110.625000
LH,58,289.333333,P1,5,58,110.750000
RH,67,289.625000,P1,2,67,110.875000
RH,68,290.125000,P1,2,68,111.125000
RH,68,290.500000,P1,2,68,111.375000
RH,63,292.666667,P1,2,63,112.375000
RH,63,298.625000,P1,5,63,115.250000
RH,63,299.125000,P1,5,63,115.250000
LH,56,299.875000,P1,5,56,115.750000
RH,63,301.250000,P1,2,63,116.375000
RH,75,301.333333,P1,2,75,116.375000
RH,63,301.875000,P1,2,63,116.625000
RH,75,301.875000,P1,2,75,116.625000
RH,63,302.500000,P1,2,63,116.875000
RH,63,303.000000,P1,2,63,117.125000
RH,75,303.000000,P1,2,75,117.125000
RH,63,303.375000,P1,2,63,117.375000
RH,75,303.500000,P1,2,75,117.375000
RH,63,304.000000,P1,2,63,117.625000
RH,63,304.500000,P1,2,63,117.875000
RH,75,304.500000,P1,2,75,117.875000
LH,51,304.750000,P1,5,51,118.000000
RH,63,305.000000,P1,2,63,118.125000
RH,63,305.500000,P1,2,63,118.375000
RH,75,305.500000,P1,2,75,118.375000
LH,51,305.750000,P1,5,51,118.500000
RH,63,306.000000,P1,2,63,118.625000
RH,63,306.500000,P1,2,63,118.875000
RH,75,306.500000,P1,2,75,118.875000
LH,44,306.750000,P1,5,44,119.000000
RH,63,307.000000,P1,2,63,119.125000
RH,72,307.000000,P1,2,72,119.125000
RH,75,307.000000,P1,2,75,119.125000
RH,63,307.500000,P1,2,63,119.375000
RH,72,307.500000,P1,2,72,119.375000
RH,75,307.500000,P1,2,75,119.375000
RH,63,308.000000,P1,2,63,119.625000
RH,63,308.500000,P1,2,63,119.875000
LH,51,312.000000,P1,5,51,121.500000
RH,68,312.333333,P1,2,68,121.625000
RH,68,313.333333,P1,2,68,122.125000
LH,58,314.625000,P1,5,58,122.750000
RH,68,315.375000,P1,2,68,123.125000
RH,68,315.875000,P1,2,68,123.375000
LH,51,316.250000,P1,5,51,123.500000
RH,63,316.500000,P1,2,63,123.625000
RH,75,316.500000,P1,2,75,123.625000
RH,63,317.000000,P1,2,63,123.875000
RH,75,317.000000,P1,2,75,123.875000
RH,63,317.500000,P1,2,63,124.125000
RH,68,317.500000,P1,2,68,124.125000
RH,75,317.500000,P1,2,75,124.125000
RH,60,317.750000,P1,5,60,124.375000
RH,63,318.000000,P1,2,63,124.375000
RH,61,318.500000,P1,5,61,124.750000
RH,61,319.000000,P1,5,61,124.750000
RH,68,319.500000,P1,2,68,125.125000
RH,68,320.000000,P1,2,68,125.375000
RH,65,322.500000,P1,5,65,126.250000
RH,75,325.000000,P1,2,75,127.625000
RH,75,325.500000,P1,2,75,127.875000
LH,43,339.625000,P1,5,43,134.500000
RH,72,340.750000,P1,2,72,135.125000
LH,51,343.125000,P1,5,51,136.250000
RH,68,343.750000,P1,2,68,136.625000
RH,80,343.750000,P1,2,80,136.625000
RH,68,344.333333,P1,2,68,136.875000
RH,80,344.333333,P1,2,80,136.875000
RH,67,346.000000,P1,2,67,137.625000
RH,79,346.000000,P1,2,79,137.625000
RH,67,346.375000,P1,2,67,137.875000
RH,79,346.375000,P1,2,79,137.875000
RH,72,347.000000,P1,2,72,138.125000
RH,84,347.000000,P1,2,84,138.125000
LH,53,347.500000,P1,5,53,138.250000
RH,72,347.625000,P1,2,72,138.375000
RH,70,348.000000,P1,2,70,138.625000
RH,70,348.500000,P1,2,70,138.875000
RH,67,351.250000,P1,2,67,140.125000
LH,51,351.500000,P1,5,51,140.250000
RH,67,351.666667,P1,2,67,140.375000
RH,68,352.250000,P1,2,68,140.625000
RH,68,352.875000,P1,2,68,140.875000
LH,51,353.750000,P1,5,51,141.250000
RH,75,355.250000,P1,2,75,141.875000
RH,72,355.750000,P1,2,72,142.125000
RH,75,355.875000,P1,2,75,142.125000
RH,72,356.250000,P1,2,72,142.375000
RH,75,356.250000,P1,2,75,142.375000
RH,75,356.875000,P1,2,75,142.625000
RH,75,357.333333,P1,2,75,142.875000
RH,70,358.000000,P1,2,70,143.125000
RH,75,358.000000,P1,2,75,143.125000
RH,70,358.500000,P1,2,70,143.375000
RH,75,358.500000,P1,2,75,143.375000
RH,70,359.000000,P1,2,70,143.625000
RH,70,359.500000,P1,2,70,143.875000
RH,70,360.125000,P1,2,70,144.125000
RH,75,360.250000,P1,2,75,144.125000
LH,51,360.333333,P1,5,51,144.250000
RH,70,360.625000,P1,2,70,144.375000
RH,63,361.250000,P1,2,63,144.625000
RH,68,361.250000,P1,2,68,144.625000
RH,63,361.666667,P1,2,63,144.875000
RH,68,361.666667,P1,2,68,144.875000
RH,63,362.250000,P1,2,63,145.125000
RH,63,362.666667,P1,2,63,145.375000
LH,51,363.000000,P1,5,51,145.500000
RH,63,363.250000,P1,2,63,145.625000
RH,63,363.750000,P1,2,63,145.875000
RH,75,363.750000,P1,2,75,145.875000
RH,63,364.250000,P1,2,63,146.125000
RH,68,364.250000,P1,2,68,146.125000
RH,75,364.250000,P1,2,75,146.125000
RH,63,364.875000,P1,2,63,146.375000
RH,68,364.875000,P1,2,68,146.375000
RH,75,364.875000,P1,2,75,146.375000
RH,63,365.375000,P1,2,63,146.625000
RH,75,365.375000,P1,2,75,146.625000
RH,63,365.750000,P1,2,63,146.875000
RH,75,365.875000,P1,2,75,146.875000
LH,51,369.375000,P1,5,51,148.500000
RH,68,369.625000,P1,2,68,148.625000
RH,68,370.250000,P1,2,68,148.875000
RH,68,370.750000,P1,2,68,149.125000
RH,68,371.250000,P1,2,68,149.375000
RH,67,371.750000,P1,2,67,149.625000
LH,58,372.000000,P1,5,58,149.750000
RH,67,372.333333,P1,2,67,149.875000
RH,68,372.875000,P1,2,68,150.125000
RH,68,373.500000,P1,2,68,150.375000
LH,51,373.666667,P1,5,51,150.500000
RH,63,374.000000,P1,2,63,150.625000
RH,63,374.500000,P1,2,63,150.875000
RH,75,374.500000,P1,2,75,150.875000
RH,63,375.000000,P1,2,63,151.125000
RH,68,375.000000,P1,2,68,151.125000
RH,75,375.000000,P1,2,75,151.125000
RH,60,375.250000,P1,5,60,151.375000
RH,63,375.500000,P1,2,63,151.375000
RH,61,376.500000,P1,5,61,151.750000
RH,68,377.125000,P1,2,68,152.125000
