hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,39,3.750000,P1,5,39,2.250000
LH,44,4.625000,P1,5,44,3.000000
LH,43,4.750000,P1,5,43,3.250000
LH,44,6.000000,P1,1,44,4.500000
LH,43,6.250000,P1,2,43,4.800000
LH,44,6.500000,P1,2,44,4.900000
LH,53,8.375000,P1,1,53,7.250000
LH,48,8.750000,P1,5,48,7.750000
LH,58,9.000000,P1,1,58,8.000000
LH,51,9.750000,P1,5,51,8.750000
LH,51,11.000000,P1,5,51,10.250000
RH,68,13.250000,P1,1,68,12.500000
RH,62,15.625000,P1,5,62,15.250000
RH,77,15.625000,P1,1,77,15.250000
RH,63,15.875000,P1,5,63,15.500000
LH,58,18.333333,P1,5,58,18.250000
LH,53,18.625000,P1,5,53,18.500000
RH,62,18.625000,P1,1,62,18.500000
RH,74,18.625000,P1,1,74,18.500000
LH,58,18.750000,P1,5,58,18.750000
LH,56,19.000000,P1,5,56,19.000000
RH,65,19.000000,P1,1,65,19.000000
RH,77,19.000000,P1,1,77,19.000000
LH,58,19.250000,P1,5,58,19.250000
LH,58,19.750000,P1,5,58,19.750000
LH,58,20.125000,P1,5,58,20.250000
LH,58,20.625000,P1,5,58,20.750000
RH,60,20.750000,P1,5,60,21.000000
LH,58,21.125000,P1,5,58,21.250000
LH,58,21.500000,P1,5,58,21.750000
LH,58,21.875000,P1,5,58,22.250000
LH,58,22.333333,P1,5,58,22.750000
LH,58,22.750000,P1,5,58,23.250000
LH,58,23.125000,P1,5,58,23.750000
LH,58,23.500000,P1,5,58,24.250000
LH,58,24.000000,P1,5,58,24.750000
LH,58,24.500000,P1,5,58,25.250000
LH,58,25.000000,P1,5,58,25.750000
LH,58,25.375000,P1,5,58,26.250000
LH,53,25.625000,P1,5,53,26.500000
RH,62,25.625000,P1,1,62,26.500000
RH,74,25.625000,P1,1,74,26.500000
LH,58,25.875000,P1,5,58,26.750000
LH,56,26.125000,P1,5,56,27.000000
RH,65,26.125000,P1,1,65,27.000000
RH,77,26.125000,P1,1,77,27.000000
LH,58,26.333333,P1,5,58,27.250000
LH,58,26.750000,P1,5,58,27.750000
LH,58,27.250000,P1,5,58,28.250000
LH,58,27.666667,P1,5,58,28.750000
RH,60,27.875000,P1,5,60,29.000000
LH,58,28.125000,P1,5,58,29.250000
LH,58,28.500000,P1,5,58,29.750000
RH,60,29.125000,P1,5,60,30.500000
LH,58,29.375000,P1,5,58,30.750000
LH,58,29.750000,P1,5,58,31.250000
LH,55,30.000000,P1,5,55,31.500000
RH,63,30.000000,P1,1,63,31.500000
RH,75,30.000000,P1,1,75,31.500000
LH,58,31.250000,P1,5,58,32.750000
LH,58,31.666667,P1,5,58,33.250000
LH,58,32.500000,P1,5,58,34.250000
LH,53,32.875000,P1,5,53,34.500000
RH,62,32.875000,P1,1,62,34.500000
RH,74,32.875000,P1,1,74,34.500000
LH,58,33.125000,P1,5,58,34.750000
RH,65,33.250000,P1,1,65,35.000000
RH,77,33.250000,P1,1,77,35.000000
LH,56,33.333333,P1,5,56,35.000000
LH,58,33.500000,P1,5,58,35.250000
LH,58,34.000000,P1,5,58,35.750000
LH,58,34.375000,P1,5,58,36.250000
LH,58,34.875000,P1,5,58,36.750000
RH,60,35.125000,P1,5,60,37.000000
LH,58,35.333333,P1,5,58,37.250000
LH,58,35.750000,P1,5,58,37.750000
LH,58,36.625000,P1,5,58,38.750000
LH,58,37.000000,P1,5,58,39.250000
LH,58,37.875000,P1,5,58,40.250000
LH,58,38.333333,P1,5,58,40.750000
LH,58,38.750000,P1,5,58,41.250000
LH,58,39.250000,P1,5,58,41.750000
LH,58,39.666667,P1,5,58,42.250000
LH,53,39.875000,P1,5,53,42.500000
RH,74,39.875000,P1,1,74,42.500000
RH,62,40.000000,P1,1,62,42.500000
