hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,3.125000,P1,1,44,0.250000
LH,49,3.333333,P1,1,49,0.500000
LH,52,3.500000,P1,1,52,0.750000
LH,56,3.625000,P1,1,56,1.000000
LH,37,3.750000,P1,5,37,1.000000
LH,49,3.875000,P1,1,49,1.250000
LH,44,4.000000,P1,5,44,1.500000
LH,52,4.000000,P1,1,52,1.500000
LH,56,4.125000,P1,1,56,1.750000
LH,37,4.250000,P1,5,37,2.000000
RH,61,4.250000,P1,1,61,2.000000
LH,52,4.500000,P1,1,52,2.250000
LH,44,4.625000,P1,5,44,2.500000
LH,56,4.625000,P1,1,56,2.500000
RH,61,4.750000,P1,1,61,2.750000
LH,37,4.875000,P1,5,37,3.000000
RH,64,4.875000,P1,1,64,3.000000
LH,56,5.125000,P1,1,56,3.250000
LH,44,5.250000,P1,5,44,3.500000
RH,61,5.250000,P1,1,61,3.500000
LH,37,5.500000,P1,5,37,4.000000
RH,64,5.500000,P1,1,64,3.750000
RH,68,5.500000,P1,1,68,4.000000
RH,61,5.750000,P1,1,61,4.250000
LH,44,5.875000,P1,5,44,4.500000
RH,64,5.875000,P1,1,64,4.500000
RH,68,6.000000,P1,1,68,4.750000
RH,73,6.125000,P1,1,73,5.000000
LH,37,6.250000,P1,5,37,5.000000
RH,64,6.375000,P1,1,64,5.250000
LH,44,6.500000,P1,5,44,5.500000
RH,68,6.500000,P1,1,68,5.500000
RH,73,6.666667,P1,1,73,5.750000
RH,76,6.750000,P1,1,76,6.000000
LH,37,6.875000,P1,5,37,6.000000
RH,68,7.000000,P1,1,68,6.250000
LH,44,7.125000,P1,5,44,6.500000
RH,73,7.125000,P1,1,73,6.500000
RH,76,7.333333,P1,1,76,6.750000
LH,37,7.500000,P1,5,37,7.000000
LH,49,7.500000,P1,5,49,7.000000
RH,68,7.500000,P1,1,68,7.000000
RH,73,7.500000,P1,1,73,7.000000
RH,76,7.500000,P1,1,76,7.000000
RH,80,7.500000,P1,1,80,7.000000
LH,44,7.750000,P1,5,44,7.500000
RH,76,7.750000,P1,1,76,7.500000
RH,80,7.750000,P1,1,80,7.500000
RH,68,7.875000,P1,1,68,7.500000
LH,36,8.250000,P1,5,36,8.000000
LH,44,8.333333,P1,1,44,8.250000
LH,48,8.625000,P1,1,48,8.500000
LH,51,8.750000,P1,1,51,8.750000
LH,56,8.875000,P1,1,56,9.000000
LH,36,9.000000,P1,5,36,9.000000
LH,48,9.125000,P1,1,48,9.250000
LH,44,9.250000,P1,5,44,9.500000
LH,51,9.250000,P1,1,51,9.500000
LH,56,9.375000,P1,1,56,9.750000
LH,36,9.500000,P1,5,36,10.000000
RH,60,9.500000,P1,1,60,10.000000
LH,51,9.750000,P1,1,51,10.250000
LH,44,9.875000,P1,5,44,10.500000
LH,56,9.875000,P1,1,56,10.500000
RH,60,10.125000,P1,1,60,10.750000
LH,36,10.250000,P1,5,36,11.000000
RH,63,10.250000,P1,1,63,11.000000
LH,56,10.375000,P1,1,56,11.250000
RH,60,10.500000,P1,1,60,11.500000
LH,44,10.625000,P1,5,44,11.500000
RH,63,10.666667,P1,1,63,11.750000
LH,36,10.875000,P1,5,36,12.000000
RH,68,10.875000,P1,1,68,12.000000
RH,60,11.000000,P1,1,60,12.250000
LH,44,11.250000,P1,5,44,12.500000
RH,63,11.250000,P1,1,63,12.500000
RH,68,11.375000,P1,1,68,12.750000
LH,36,11.500000,P1,5,36,13.000000
RH,72,11.500000,P1,1,72,13.000000
RH,63,11.666667,P1,1,63,13.250000
LH,44,11.875000,P1,5,44,13.500000
RH,68,11.875000,P1,1,68,13.500000
RH,72,12.000000,P1,1,72,13.750000
LH,36,12.125000,P1,5,36,14.000000
RH,75,12.125000,P1,1,75,14.000000
RH,68,12.375000,P1,1,68,14.250000
LH,44,12.500000,P1,5,44,14.500000
RH,72,12.500000,P1,1,72,14.500000
RH,75,12.625000,P1,1,75,14.750000
LH,36,12.750000,P1,5,36,15.000000
LH,48,12.750000,P1,5,48,15.000000
RH,68,12.750000,P1,1,68,15.000000
RH,72,12.750000,P1,1,72,15.000000
RH,75,12.750000,P1,1,75,15.000000
RH,80,12.750000,P1,1,80,15.000000
LH,44,13.125000,P1,5,44,15.500000
RH,68,13.125000,P1,1,68,15.500000
RH,72,13.125000,P1,1,72,15.500000
RH,80,13.125000,P1,1,80,15.500000
RH,75,13.250000,P1,1,75,15.500000
LH,35,13.625000,P1,5,35,16.000000
LH,49,13.750000,P1,1,49,16.250000
LH,44,13.875000,P1,5,44,16.500000
LH,53,13.875000,P1,1,53,16.500000
LH,56,14.125000,P1,1,56,16.750000
LH,35,14.250000,P1,5,35,17.000000
RH,61,14.250000,P1,1,61,17.000000
LH,53,14.375000,P1,1,53,17.250000
LH,44,14.500000,P1,5,44,17.500000
LH,56,14.500000,P1,1,56,17.500000
RH,61,14.750000,P1,1,61,17.750000
LH,35,14.875000,P1,5,35,18.000000
RH,65,14.875000,P1,1,65,18.000000
LH,56,15.000000,P1,1,56,18.250000
LH,44,15.250000,P1,5,44,18.500000
RH,61,15.250000,P1,1,61,18.500000
RH,65,15.333333,P1,1,65,18.750000
LH,35,15.500000,P1,5,35,19.000000
RH,68,15.500000,P1,1,68,19.000000
RH,61,15.666667,P1,1,61,19.250000
RH,65,15.750000,P1,1,65,19.500000
LH,44,15.875000,P1,5,44,19.500000
RH,68,16.000000,P1,1,68,19.750000
RH,73,16.125000,P1,1,73,20.000000
LH,35,16.250000,P1,5,35,20.000000
RH,65,16.333333,P1,1,65,20.250000
LH,44,16.500000,P1,5,44,20.500000
RH,68,16.500000,P1,1,68,20.500000
RH,73,16.666667,P1,1,73,20.750000
LH,35,16.875000,P1,5,35,21.000000
RH,77,16.875000,P1,1,77,21.000000
RH,68,17.000000,P1,1,68,21.250000
LH,44,17.125000,P1,5,44,21.500000
RH,73,17.125000,P1,1,73,21.500000
RH,77,17.333333,P1,1,77,21.750000
LH,35,17.500000,P1,5,35,22.000000
RH,80,17.500000,P1,1,80,22.000000
RH,73,17.666667,P1,1,73,22.250000
LH,44,17.750000,P1,5,44,22.500000
RH,77,17.750000,P1,1,77,22.500000
RH,80,17.875000,P1,1,80,22.750000
LH,35,18.125000,P1,5,35,23.000000
LH,47,18.125000,P1,5,47,23.000000
RH,73,18.125000,P1,1,73,23.000000
RH,77,18.125000,P1,1,77,23.000000
RH,80,18.125000,P1,1,80,23.000000
RH,85,18.125000,P1,1,85,23.000000
LH,44,18.375000,P1,5,44,23.500000
RH,73,18.500000,P1,1,73,23.500000
RH,77,18.500000,P1,1,77,23.500000
