hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,6.750000,P1,1,67,6.000000
RH,65,25.125000,P1,1,65,28.000000
RH,64,38.750000,P1,1,64,44.000000
RH,72,38.750000,P1,1,72,44.000000
RH,78,51.750000,P1,1,78,59.000000
RH,71,54.666667,P1,1,71,62.750000
LH,59,54.750000,P1,5,59,62.750000
LH,59,57.750000,P1,1,59,66.750000
LH,47,57.875000,P1,5,47,66.750000
LH,35,61.500000,P1,5,35,71.500000
LH,47,61.500000,P1,1,47,71.500000
RH,69,67.500000,P1,1,69,78.750000
RH,62,67.875000,P1,5,62,79.250000
RH,74,67.875000,P1,1,74,79.250000
RH,69,68.250000,P1,5,69,79.750000
RH,66,69.125000,P1,5,66,80.750000
RH,62,69.500000,P1,5,62,81.250000
RH,74,69.500000,P1,1,74,81.250000
RH,66,69.875000,P1,1,66,81.750000
RH,69,70.750000,P1,1,69,82.750000
RH,62,71.125000,P1,5,62,83.250000
RH,74,71.125000,P1,1,74,83.250000
RH,69,71.625000,P1,5,69,83.750000
RH,62,72.750000,P1,5,62,85.250000
RH,67,83.500000,P1,1,67,96.000000
RH,66,112.125000,P1,1,66,128.000000
RH,66,114.000000,P1,1,66,130.250000
RH,73,122.500000,P1,1,73,139.750000
RH,71,125.875000,P1,1,71,143.500000
RH,70,126.250000,P1,1,70,144.000000
LH,59,128.125000,P1,5,59,146.250000
LH,49,129.500000,P1,5,49,147.750000
LH,50,138.125000,P1,5,50,157.500000
LH,49,138.500000,P1,5,49,158.000000
RH,69,139.625000,P1,1,69,159.250000
RH,69,140.000000,P1,1,69,159.750000
LH,54,141.625000,P1,5,54,161.500000
LH,53,142.000000,P1,5,53,162.000000
RH,74,155.875000,P1,1,74,177.500000
RH,73,156.333333,P1,1,73,178.000000
RH,78,159.500000,P1,1,78,181.500000
RH,77,159.875000,P1,1,77,182.000000
RH,78,165.000000,P1,1,78,187.500000
RH,78,166.875000,P1,1,78,189.750000
RH,76,168.625000,P1,1,76,191.750000
LH,54,190.625000,P1,5,54,216.000000
RH,62,190.625000,P1,1,62,216.000000
RH,67,201.500000,P1,1,67,228.000000
LH,55,208.625000,P1,5,55,236.000000
RH,60,222.625000,P1,5,60,252.000000
RH,74,238.250000,P1,1,74,270.750000
LH,50,241.333333,P1,5,50,274.750000
RH,62,241.375000,P1,1,62,274.750000
LH,37,272.333333,P1,5,37,314.000000
LH,49,272.333333,P1,1,49,314.000000
LH,38,272.625000,P1,5,38,314.250000
LH,50,272.625000,P1,1,50,314.250000
LH,42,279.750000,P1,5,42,322.750000
LH,54,279.750000,P1,1,54,322.750000
RH,69,282.500000,P1,1,69,325.750000
RH,62,282.875000,P1,5,62,326.250000
RH,74,282.875000,P1,1,74,326.250000
RH,69,283.250000,P1,5,69,326.750000
LH,54,285.000000,P1,5,54,328.750000
LH,50,285.500000,P1,5,50,329.250000
RH,62,285.500000,P1,1,62,329.250000
LH,38,286.666667,P1,5,38,330.250000
LH,50,286.666667,P1,1,50,330.250000
LH,54,288.000000,P1,1,54,331.750000
RH,69,289.750000,P1,1,69,333.750000
RH,62,290.125000,P1,5,62,334.250000
RH,74,290.125000,P1,1,74,334.250000
RH,69,290.500000,P1,5,69,334.750000
LH,54,292.250000,P1,5,54,336.750000
LH,48,292.625000,P1,5,48,337.250000
RH,60,292.666667,P1,1,60,337.250000
LH,38,293.750000,P1,5,38,338.250000
LH,50,293.750000,P1,1,50,338.250000
LH,50,295.375000,P1,1,50,340.000000
RH,67,340.375000,P1,1,67,392.000000
RH,69,354.875000,P1,1,69,408.000000
RH,71,376.000000,P1,1,71,432.000000
RH,71,378.125000,P1,1,71,434.250000
RH,78,386.625000,P1,1,78,443.750000
RH,76,389.875000,P1,1,76,447.500000
RH,75,390.250000,P1,1,75,448.000000
RH,64,392.125000,P1,5,64,450.250000
LH,54,393.500000,P1,5,54,451.750000
LH,54,400.500000,P1,5,54,459.750000
RH,79,417.750000,P1,1,79,479.500000
RH,78,418.125000,P1,1,78,480.000000
LH,55,420.125000,P1,5,55,482.250000
LH,45,421.500000,P1,5,45,483.750000
RH,62,428.125000,P1,1,62,491.250000
RH,62,428.500000,P1,1,62,491.750000
LH,47,430.125000,P1,5,47,493.500000
LH,46,430.500000,P1,5,46,494.000000
LH,50,433.625000,P1,5,50,497.500000
LH,49,434.000000,P1,5,49,498.000000
RH,71,447.750000,P1,1,71,513.500000
RH,70,448.125000,P1,1,70,514.000000
RH,74,451.333333,P1,1,74,517.500000
RH,73,451.666667,P1,1,73,518.000000
RH,66,455.875000,P1,2,66,522.500000
RH,74,458.750000,P1,1,74,525.750000
RH,72,460.375000,P1,1,72,527.750000
LH,59,482.333333,P1,1,59,552.000000
RH,62,482.333333,P1,1,62,552.000000
RH,71,491.875000,P1,1,71,562.750000
LH,47,495.000000,P1,5,47,566.750000
LH,59,495.000000,P1,1,59,566.750000
LH,35,498.750000,P1,5,35,571.500000
LH,47,498.750000,P1,1,47,571.500000
RH,69,504.750000,P1,1,69,578.750000
RH,62,505.125000,P1,5,62,579.250000
RH,74,505.125000,P1,1,74,579.250000
RH,69,505.500000,P1,5,69,579.750000
RH,66,506.375000,P1,5,66,580.750000
RH,62,506.750000,P1,5,62,581.250000
RH,74,506.750000,P1,1,74,581.250000
RH,66,507.250000,P1,1,66,581.750000
RH,69,508.125000,P1,1,69,582.750000
RH,62,508.500000,P1,5,62,583.250000
RH,74,508.500000,P1,1,74,583.250000
