hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,6.875000,P1,1,67,6.000000
RH,65,25.125000,P1,1,65,28.000000
RH,64,38.500000,P1,1,64,44.000000
RH,67,38.500000,P1,1,67,44.000000
RH,72,38.500000,P1,1,72,44.000000
RH,78,51.125000,P1,1,78,59.000000
LH,59,54.125000,P1,5,59,62.750000
RH,71,54.125000,P1,1,71,62.750000
LH,47,57.125000,P1,5,47,66.750000
LH,59,57.125000,P1,1,59,66.750000
LH,35,60.875000,P1,5,35,71.500000
LH,47,60.875000,P1,1,47,71.500000
RH,69,66.500000,P1,1,69,78.750000
RH,62,66.875000,P1,5,62,79.250000
RH,74,66.875000,P1,1,74,79.250000
RH,69,67.333333,P1,5,69,79.750000
RH,66,68.250000,P1,5,66,80.750000
RH,62,68.500000,P1,5,62,81.250000
RH,74,68.625000,P1,1,74,81.250000
RH,66,69.000000,P1,1,66,81.750000
RH,69,69.750000,P1,1,69,82.750000
RH,62,70.125000,P1,5,62,83.250000
RH,74,70.125000,P1,1,74,83.250000
RH,69,70.500000,P1,5,69,83.750000
RH,62,71.750000,P1,5,62,85.250000
RH,67,85.000000,P1,1,67,96.000000
RH,66,112.375000,P1,1,66,128.000000
RH,66,114.250000,P1,1,66,130.250000
RH,73,122.000000,P1,1,73,139.750000
RH,71,125.125000,P1,1,71,143.500000
RH,70,125.500000,P1,1,70,144.000000
LH,59,127.250000,P1,5,59,146.250000
LH,49,128.625000,P1,5,49,147.750000
LH,50,136.875000,P1,5,50,157.500000
LH,49,137.333333,P1,5,49,158.000000
RH,69,138.875000,P1,1,69,159.750000
LH,54,140.333333,P1,5,54,161.500000
LH,53,140.750000,P1,5,53,162.000000
RH,74,154.250000,P1,1,74,177.500000
RH,73,154.625000,P1,1,73,178.000000
RH,78,157.625000,P1,1,78,181.500000
RH,77,158.000000,P1,1,77,182.000000
RH,78,162.750000,P1,1,78,187.500000
RH,78,164.500000,P1,1,78,189.750000
RH,76,166.250000,P1,1,76,191.750000
LH,54,188.000000,P1,5,54,216.000000
RH,62,188.000000,P1,1,62,216.000000
RH,67,197.875000,P1,1,67,228.000000
LH,55,204.666667,P1,5,55,236.000000
RH,60,217.750000,P1,5,60,252.000000
RH,74,232.625000,P1,1,74,270.750000
LH,50,235.666667,P1,5,50,274.750000
RH,62,235.666667,P1,1,62,274.750000
LH,37,265.875000,P1,5,37,314.000000
LH,49,265.875000,P1,1,49,314.000000
LH,38,266.125000,P1,5,38,314.250000
LH,50,266.125000,P1,1,50,314.250000
LH,42,272.666667,P1,5,42,322.750000
LH,54,272.666667,P1,1,54,322.750000
RH,69,275.000000,P1,1,69,325.750000
RH,62,275.333333,P1,5,62,326.250000
RH,74,275.333333,P1,1,74,326.250000
RH,69,275.750000,P1,5,69,326.750000
LH,54,277.250000,P1,5,54,328.750000
LH,50,277.666667,P1,5,50,329.250000
RH,62,277.666667,P1,1,62,329.250000
LH,50,278.375000,P1,1,50,330.250000
LH,38,278.500000,P1,5,38,330.250000
LH,54,279.625000,P1,1,54,331.750000
RH,69,281.125000,P1,1,69,333.750000
RH,62,281.500000,P1,5,62,334.250000
RH,74,281.500000,P1,1,74,334.250000
RH,69,281.875000,P1,5,69,334.750000
LH,54,283.375000,P1,5,54,336.750000
LH,48,283.875000,P1,5,48,337.250000
RH,60,283.875000,P1,1,60,337.250000
LH,38,284.625000,P1,5,38,338.250000
LH,50,284.625000,P1,1,50,338.250000
LH,50,285.875000,P1,1,50,340.000000
RH,67,328.125000,P1,1,67,392.000000
RH,71,361.500000,P1,1,71,432.000000
RH,71,363.250000,P1,1,71,434.250000
RH,78,371.000000,P1,1,78,443.750000
RH,76,374.125000,P1,1,76,447.500000
RH,75,374.500000,P1,1,75,448.000000
RH,64,376.333333,P1,5,64,450.250000
LH,54,377.625000,P1,5,54,451.750000
LH,54,384.333333,P1,5,54,459.750000
RH,74,389.625000,P1,1,74,466.250000
RH,79,400.666667,P1,1,79,479.500000
RH,78,401.000000,P1,1,78,480.000000
LH,55,402.875000,P1,5,55,482.250000
LH,45,404.125000,P1,5,45,483.750000
RH,62,410.875000,P1,1,62,491.750000
LH,47,412.375000,P1,5,47,493.500000
LH,46,412.750000,P1,5,46,494.000000
LH,50,415.750000,P1,5,50,497.500000
LH,49,416.125000,P1,5,49,498.000000
RH,71,429.500000,P1,1,71,513.500000
RH,70,429.875000,P1,1,70,514.000000
RH,74,432.875000,P1,1,74,517.500000
RH,73,433.250000,P1,1,73,518.000000
RH,66,437.125000,P1,2,66,522.500000
RH,74,439.875000,P1,1,74,525.750000
RH,72,441.500000,P1,1,72,527.750000
LH,59,462.750000,P1,1,59,552.000000
RH,62,462.750000,P1,1,62,552.000000
RH,71,471.875000,P1,1,71,562.750000
LH,47,474.875000,P1,5,47,566.750000
LH,59,474.875000,P1,1,59,566.750000
LH,35,478.375000,P1,5,35,571.500000
LH,47,478.375000,P1,1,47,571.500000
RH,69,484.000000,P1,1,69,578.750000
RH,62,484.333333,P1,5,62,579.250000
RH,74,484.333333,P1,1,74,579.250000
RH,69,484.666667,P1,5,69,579.750000
RH,66,485.500000,P1,5,66,580.750000
RH,62,485.875000,P1,5,62,581.250000
RH,74,485.875000,P1,1,74,581.250000
RH,66,486.250000,P1,1,66,581.750000
RH,69,487.125000,P1,1,69,582.750000
RH,62,487.500000,P1,5,62,583.250000
RH,74,487.500000,P1,1,74,583.250000
RH,69,487.875000,P1,5,69,583.750000
RH,62,489.125000,P1,5,62,585.250000
