hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,61,14.125000,P1,1,61,2.000000
RH,64,17.333333,P1,1,64,3.000000
RH,69,21.500000,P1,1,69,4.000000
LH,49,30.750000,P1,6,49,7.000000
LH,57,30.750000,P1,6,57,7.000000
RH,69,30.750000,P1,1,69,7.000000
RH,67,31.000000,P1,1,67,7.500000
LH,57,31.250000,P1,6,57,8.000000
RH,67,31.250000,P1,1,67,8.000000
LH,50,31.333333,P1,6,50,8.000000
RH,65,31.500000,P1,1,65,8.500000
LH,52,31.750000,P1,6,52,9.000000
LH,57,31.750000,P1,6,57,9.000000
RH,65,31.750000,P1,1,65,9.000000
RH,64,31.875000,P1,1,64,9.500000
LH,53,32.125000,P1,6,53,10.000000
LH,57,32.125000,P1,6,57,10.000000
RH,64,32.125000,P1,1,64,10.000000
RH,62,32.375000,P1,1,62,10.500000
LH,49,32.666667,P1,6,49,11.000000
LH,57,32.666667,P1,6,57,11.000000
RH,69,32.666667,P1,1,69,11.000000
RH,67,32.875000,P1,1,67,11.500000
LH,50,33.125000,P1,6,50,12.000000
LH,57,33.125000,P1,6,57,12.000000
RH,67,33.125000,P1,1,67,12.000000
RH,65,33.333333,P1,1,65,12.500000
LH,52,33.625000,P1,6,52,13.000000
LH,57,33.625000,P1,6,57,13.000000
RH,65,33.625000,P1,1,65,13.000000
RH,64,33.750000,P1,1,64,13.500000
LH,53,34.000000,P1,6,53,14.000000
LH,57,34.000000,P1,6,57,14.000000
RH,64,34.000000,P1,1,64,14.000000
RH,62,34.250000,P1,1,62,14.500000
LH,54,34.500000,P1,6,54,15.000000
RH,62,34.500000,P1,6,62,15.000000
RH,74,34.500000,P1,1,74,15.000000
RH,72,34.750000,P1,1,72,15.500000
LH,55,35.000000,P1,6,55,16.000000
RH,62,35.000000,P1,6,62,16.000000
RH,72,35.000000,P1,1,72,16.000000
RH,70,35.125000,P1,1,70,16.500000
LH,57,35.375000,P1,6,57,17.000000
RH,62,35.375000,P1,6,62,17.000000
RH,70,35.375000,P1,1,70,17.000000
RH,69,35.625000,P1,1,69,17.500000
LH,58,35.750000,P1,6,58,18.000000
RH,62,35.750000,P1,6,62,18.000000
RH,69,35.750000,P1,1,69,18.000000
RH,67,36.000000,P1,1,67,18.500000
RH,62,36.333333,P1,6,62,19.000000
RH,67,36.333333,P1,1,67,19.000000
LH,58,36.375000,P1,6,58,19.000000
RH,68,36.666667,P1,1,68,19.500000
LH,57,37.250000,P1,6,57,20.000000
RH,62,37.250000,P1,6,62,20.000000
RH,65,37.250000,P1,5,65,20.000000
RH,66,40.875000,P1,2,66,21.000000
LH,57,45.125000,P1,6,57,22.000000
RH,61,45.125000,P1,6,61,22.000000
RH,64,45.125000,P1,5,64,22.000000
RH,69,45.125000,P1,1,69,22.000000
LH,40,52.625000,P1,6,40,24.000000
RH,64,62.500000,P1,1,64,26.000000
RH,67,66.250000,P1,1,67,27.000000
RH,72,70.125000,P1,1,72,28.000000
LH,52,79.000000,P1,6,52,31.000000
RH,60,79.000000,P1,6,60,31.000000
RH,72,79.000000,P1,1,72,31.000000
RH,70,79.250000,P1,1,70,31.500000
RH,60,79.500000,P1,6,60,32.000000
RH,70,79.500000,P1,1,70,32.000000
LH,53,79.625000,P1,6,53,32.000000
RH,68,79.750000,P1,1,68,32.500000
RH,68,80.000000,P1,1,68,33.000000
RH,69,80.250000,P1,1,69,33.500000
RH,69,80.500000,P1,1,69,34.000000
