hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,37,1.000000,P1,6,37,0.000000
RH,61,8.875000,P1,1,61,2.000000
RH,64,11.625000,P1,1,64,3.000000
RH,69,15.375000,P1,1,69,4.000000
LH,49,21.500000,P1,6,49,7.000000
LH,57,21.500000,P1,6,57,7.000000
RH,69,21.500000,P1,1,69,7.000000
RH,67,21.750000,P1,1,67,7.500000
LH,50,22.000000,P1,6,50,8.000000
LH,57,22.000000,P1,6,57,8.000000
RH,67,22.000000,P1,1,67,8.000000
RH,65,22.250000,P1,1,65,8.500000
LH,52,22.500000,P1,6,52,9.000000
LH,57,22.500000,P1,6,57,9.000000
RH,65,22.500000,P1,1,65,9.000000
RH,64,22.750000,P1,1,64,9.500000
LH,53,23.000000,P1,6,53,10.000000
LH,57,23.000000,P1,6,57,10.000000
RH,64,23.000000,P1,1,64,10.000000
RH,62,23.250000,P1,1,62,10.500000
LH,49,23.500000,P1,6,49,11.000000
LH,57,23.500000,P1,6,57,11.000000
RH,69,23.500000,P1,1,69,11.000000
RH,67,23.750000,P1,1,67,11.500000
LH,50,24.000000,P1,6,50,12.000000
LH,57,24.000000,P1,6,57,12.000000
RH,67,24.000000,P1,1,67,12.000000
RH,65,24.250000,P1,1,65,12.500000
LH,52,24.500000,P1,6,52,13.000000
LH,57,24.500000,P1,6,57,13.000000
RH,65,24.500000,P1,1,65,13.000000
RH,64,24.666667,P1,1,64,13.500000
RH,64,24.875000,P1,1,64,14.000000
LH,53,25.000000,P1,6,53,14.000000
LH,57,25.000000,P1,6,57,14.000000
RH,62,25.125000,P1,1,62,14.500000
LH,54,25.375000,P1,6,54,15.000000
RH,62,25.375000,P1,6,62,15.000000
RH,74,25.375000,P1,1,74,15.000000
RH,72,25.625000,P1,1,72,15.500000
LH,55,25.875000,P1,6,55,16.000000
RH,62,25.875000,P1,6,62,16.000000
RH,72,25.875000,P1,1,72,16.000000
RH,70,26.125000,P1,1,70,16.500000
LH,57,26.333333,P1,6,57,17.000000
RH,62,26.333333,P1,6,62,17.000000
RH,70,26.333333,P1,1,70,17.000000
RH,69,26.625000,P1,1,69,17.500000
LH,58,26.750000,P1,6,58,18.000000
RH,62,26.750000,P1,6,62,18.000000
RH,69,26.750000,P1,1,69,18.000000
RH,67,27.125000,P1,1,67,18.500000
LH,58,27.333333,P1,6,58,19.000000
RH,62,27.333333,P1,6,62,19.000000
RH,67,27.333333,P1,1,67,19.000000
RH,68,27.625000,P1,1,68,19.500000
LH,57,28.125000,P1,6,57,20.000000
RH,62,28.125000,P1,6,62,20.000000
RH,65,28.125000,P1,5,65,20.000000
RH,66,31.375000,P1,2,66,21.000000
LH,57,35.375000,P1,6,57,22.000000
RH,61,35.375000,P1,6,61,22.000000
RH,64,35.375000,P1,5,64,22.000000
RH,69,35.375000,P1,1,69,22.000000
LH,40,42.000000,P1,6,40,24.000000
RH,64,49.875000,P1,1,64,26.000000
RH,67,52.666667,P1,1,67,27.000000
RH,72,56.500000,P1,1,72,28.000000
LH,52,62.666667,P1,6,52,31.000000
RH,72,62.666667,P1,1,72,31.000000
RH,60,62.750000,P1,6,60,31.000000
RH,70,63.000000,P1,1,70,31.500000
LH,53,63.250000,P1,6,53,32.000000
RH,60,63.250000,P1,6,60,32.000000
RH,70,63.250000,P1,1,70,32.000000
RH,68,63.500000,P1,1,68,32.500000
RH,68,63.875000,P1,1,68,33.000000
RH,69,64.125000,P1,1,69,33.500000
RH,69,64.333333,P1,1,69,34.000000
RH,74,64.500000,P1,1,74,34.500000
LH,54,64.750000,P1,6,54,35.000000
RH,62,64.750000,P1,6,62,35.000000
RH,74,64.750000,P1,1,74,35.000000
RH,72,65.000000,P1,1,72,35.500000
LH,55,65.250000,P1,6,55,36.000000
RH,72,65.250000,P1,1,72,36.000000
RH,62,65.333333,P1,6,62,36.000000
RH,69,65.500000,P1,1,69,36.500000
RH,69,65.875000,P1,1,69,37.000000
RH,70,66.125000,P1,1,70,37.500000
RH,70,66.333333,P1,1,70,38.000000
RH,75,66.500000,P1,1,75,38.500000
LH,55,66.750000,P1,6,55,39.000000
LH,58,66.750000,P1,6,58,39.000000
RH,63,66.750000,P1,6,63,39.000000
RH,75,66.750000,P1,1,75,39.000000
RH,74,67.125000,P1,1,74,39.500000
RH,74,67.333333,P1,1,74,40.000000
RH,73,67.500000,P1,1,73,40.500000
LH,55,67.750000,P1,6,55,41.000000
LH,58,67.750000,P1,6,58,41.000000
RH,61,67.750000,P1,6,61,41.000000
RH,64,67.750000,P1,6,64,41.000000
RH,73,67.750000,P1,1,73,41.000000
RH,82,68.000000,P1,1,82,41.500000
RH,82,68.250000,P1,1,82,42.000000
RH,76,68.500000,P1,1,76,42.500000
LH,55,68.750000,P1,6,55,43.000000
LH,58,68.750000,P1,6,58,43.000000
RH,61,68.750000,P1,6,61,43.000000
RH,64,68.750000,P1,6,64,43.000000
RH,76,68.750000,P1,1,76,43.000000
RH,85,69.000000,P1,1,85,43.500000
RH,85,69.250000,P1,1,85,44.000000
RH,77,69.500000,P1,1,77,44.500000
LH,56,69.750000,P1,6,56,45.000000
LH,59,69.750000,P1,6,59,45.000000
RH,62,69.750000,P1,6,62,45.000000
RH,65,69.750000,P1,6,65,45.000000
RH,77,69.750000,P1,1,77,45.000000
RH,86,70.000000,P1,1,86,45.500000
RH,86,70.250000,P1,1,86,46.000000
RH,77,70.500000,P1,1,77,46.500000
LH,56,70.666667,P1,6,56,47.000000
LH,59,70.666667,P1,6,59,47.000000
RH,62,70.666667,P1,6,62,47.000000
RH,65,70.666667,P1,6,65,47.000000
RH,77,70.666667,P1,1,77,47.000000
RH,89,71.000000,P1,1,89,47.500000
LH,57,71.250000,P1,6,57,48.000000
RH,62,71.250000,P1,6,62,48.000000
RH,65,71.250000,P1,6,65,48.000000
RH,89,71.250000,P1,1,89,48.000000
RH,85,71.500000,P1,1,85,48.500000
RH,85,71.750000,P1,1,85,49.000000
RH,86,72.000000,P1,1,86,49.500000
RH,86,72.250000,P1,1,86,50.000000
RH,80,72.500000,P1,1,80,50.500000
RH,80,72.666667,P1,1,80,51.000000
RH,81,72.875000,P1,1,81,51.500000
RH,81,73.125000,P1,1,81,52.000000
RH,76,73.375000,P1,1,76,52.500000
RH,76,73.666667,P1,1,76,53.000000
RH,77,73.875000,P1,1,77,53.500000
RH,77,74.125000,P1,1,77,54.000000
RH,73,74.375000,P1,1,73,54.500000
RH,73,74.625000,P1,1,73,55.000000
RH,74,74.875000,P1,1,74,55.500000
RH,74,75.125000,P1,1,74,56.000000
RH,68,75.333333,P1,1,68,56.500000
RH,68,75.625000,P1,1,68,57.000000
RH,69,75.750000,P1,1,69,57.500000
RH,69,76.000000,P1,1,69,58.000000
RH,64,76.250000,P1,1,64,58.500000
RH,64,76.500000,P1,1,64,59.000000
RH,65,76.750000,P1,1,65,59.500000
RH,65,77.000000,P1,1,65,60.000000
RH,61,77.250000,P1,1,61,60.500000
RH,61,77.500000,P1,1,61,61.000000
RH,62,77.750000,P1,1,62,61.500000
RH,62,78.000000,P1,1,62,62.000000
LH,58,78.125000,P1,1,58,62.500000
LH,46,78.500000,P1,6,46,63.000000
LH,58,78.500000,P1,1,58,63.000000
LH,57,78.750000,P1,1,57,63.500000
LH,45,78.875000,P1,6,45,64.000000
LH,57,79.000000,P1,1,57,64.000000
RH,61,79.250000,P1,1,61,64.500000
LH,49,79.333333,P1,6,49,65.000000
RH,61,79.500000,P1,1,61,65.000000
LH,50,79.666667,P1,6,50,65.500000
RH,62,79.666667,P1,1,62,65.500000
LH,50,79.875000,P1,6,50,66.000000
RH,62,79.875000,P1,1,62,66.000000
LH,46,80.125000,P1,6,46,66.500000
LH,58,80.125000,P1,1,58,66.500000
LH,46,80.375000,P1,6,46,67.000000
LH,58,80.375000,P1,1,58,67.000000
LH,45,80.666667,P1,6,45,67.500000
LH,57,80.666667,P1,1,57,67.500000
LH,45,80.875000,P1,6,45,68.000000
LH,57,80.875000,P1,1,57,68.000000
RH,61,81.125000,P1,1,61,68.500000
LH,49,81.250000,P1,6,49,68.500000
RH,61,81.375000,P1,1,61,69.000000
LH,50,81.625000,P1,6,50,69.500000
RH,62,81.625000,P1,1,62,69.500000
LH,50,81.875000,P1,6,50,70.000000
RH,62,81.875000,P1,1,62,70.000000
LH,46,82.125000,P1,6,46,70.500000
LH,58,82.125000,P1,1,58,70.500000
LH,46,82.375000,P1,6,46,71.000000
LH,58,82.375000,P1,1,58,71.000000
LH,45,82.625000,P1,6,45,71.500000
LH,57,82.625000,P1,1,57,71.500000
LH,57,82.875000,P1,1,57,72.000000
LH,58,83.125000,P1,1,58,72.500000
LH,50,83.375000,P1,6,50,73.000000
LH,53,83.375000,P1,6,53,73.000000
LH,59,83.375000,P1,1,59,73.000000
RH,60,83.666667,P1,1,60,73.500000
RH,61,83.875000,P1,1,61,74.000000
RH,62,84.125000,P1,1,62,74.500000
RH,63,84.375000,P1,1,63,75.000000
RH,64,84.666667,P1,1,64,75.500000
RH,65,84.875000,P1,1,65,76.000000
RH,66,85.125000,P1,1,66,76.500000
LH,45,85.375000,P1,6,45,77.000000
LH,50,85.375000,P1,6,50,77.000000
LH,53,85.375000,P1,6,53,77.000000
RH,67,85.375000,P1,1,67,77.000000
RH,68,85.666667,P1,1,68,77.500000
LH,45,85.875000,P1,6,45,78.000000
LH,53,85.875000,P1,6,53,78.000000
RH,69,85.875000,P1,1,69,78.000000
RH,70,86.125000,P1,1,70,78.500000
LH,45,86.375000,P1,6,45,79.000000
RH,61,86.375000,P1,1,61,79.000000
RH,69,86.625000,P1,1,69,79.500000
LH,38,87.000000,P1,6,38,80.000000
RH,62,87.000000,P1,1,62,80.000000
LH,57,87.333333,P1,1,57,80.333333
LH,53,87.500000,P1,1,53,80.666667
LH,57,87.666667,P1,1,57,81.000000
LH,53,87.875000,P1,1,53,81.333333
