hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,3.875000,P1,1,56,0.000000
LH,51,4.000000,P1,1,51,0.000000
LH,32,4.250000,P1,5,32,0.250000
LH,36,4.500000,P1,5,36,0.500000
LH,39,4.875000,P1,5,39,0.750000
LH,44,5.125000,P1,5,44,1.000000
LH,32,5.500000,P1,5,32,1.250000
LH,34,5.750000,P1,5,34,1.500000
LH,51,5.750000,P1,1,51,1.500000
LH,55,5.750000,P1,1,55,1.500000
RH,61,5.750000,P1,1,61,1.500000
LH,46,6.125000,P1,5,46,1.750000
LH,51,6.500000,P1,1,51,2.000000
LH,56,6.500000,P1,1,56,2.000000
RH,63,6.500000,P1,1,63,2.000000
LH,36,6.750000,P1,5,36,2.250000
LH,39,7.125000,P1,5,39,2.500000
LH,48,7.750000,P1,5,48,3.000000
LH,36,8.000000,P1,5,36,3.250000
LH,37,8.333333,P1,5,37,3.500000
RH,65,8.333333,P1,1,65,3.500000
LH,53,8.375000,P1,1,53,3.500000
LH,49,8.666667,P1,5,49,3.750000
LH,34,9.000000,P1,5,34,4.000000
RH,61,9.000000,P1,1,61,4.000000
LH,46,9.333333,P1,5,46,4.250000
LH,58,9.625000,P1,1,58,4.500000
RH,63,9.625000,P1,1,63,4.500000
LH,31,9.666667,P1,5,31,4.500000
LH,43,10.000000,P1,5,43,4.750000
LH,32,10.250000,P1,5,32,5.000000
LH,51,10.250000,P1,1,51,5.000000
RH,60,10.250000,P1,1,60,5.000000
LH,44,10.500000,P1,5,44,5.250000
LH,36,10.875000,P1,5,36,5.500000
LH,51,10.875000,P1,1,51,5.500000
LH,56,10.875000,P1,1,56,5.500000
LH,48,11.250000,P1,5,48,5.750000
LH,39,11.500000,P1,5,39,6.000000
LH,55,11.500000,P1,1,55,6.000000
LH,58,11.500000,P1,1,58,6.000000
LH,51,11.875000,P1,5,51,6.250000
LH,51,12.125000,P1,5,51,6.500000
LH,51,12.375000,P1,5,51,6.750000
LH,51,12.750000,P1,5,51,7.000000
LH,49,13.000000,P1,5,49,7.250000
LH,51,13.000000,P1,1,51,7.250000
LH,55,13.000000,P1,1,55,7.250000
LH,48,13.333333,P1,5,48,7.500000
LH,53,13.333333,P1,1,53,7.500000
LH,56,13.333333,P1,1,56,7.500000
LH,46,13.625000,P1,5,46,7.750000
LH,55,13.625000,P1,1,55,7.750000
LH,58,13.625000,P1,1,58,7.750000
LH,44,14.000000,P1,5,44,8.000000
LH,56,14.000000,P1,1,56,8.000000
RH,60,14.000000,P1,1,60,8.000000
LH,51,14.125000,P1,1,51,8.000000
LH,32,14.375000,P1,5,32,8.250000
LH,36,14.666667,P1,5,36,8.500000
LH,39,15.000000,P1,5,39,8.750000
LH,44,15.250000,P1,5,44,9.000000
LH,32,15.625000,P1,5,32,9.250000
LH,34,15.875000,P1,5,34,9.500000
LH,51,15.875000,P1,1,51,9.500000
LH,55,15.875000,P1,1,55,9.500000
RH,61,15.875000,P1,1,61,9.500000
LH,46,16.250000,P1,5,46,9.750000
LH,51,16.625000,P1,1,51,10.000000
LH,56,16.625000,P1,1,56,10.000000
RH,63,16.625000,P1,1,63,10.000000
LH,36,17.000000,P1,5,36,10.250000
LH,39,17.250000,P1,5,39,10.500000
LH,48,17.875000,P1,5,48,11.000000
LH,36,18.125000,P1,5,36,11.250000
LH,37,18.500000,P1,5,37,11.500000
LH,53,18.500000,P1,1,53,11.500000
RH,65,18.500000,P1,1,65,11.500000
LH,49,18.875000,P1,5,49,11.750000
LH,34,19.250000,P1,5,34,12.000000
RH,61,19.250000,P1,1,61,12.000000
LH,46,19.500000,P1,5,46,12.250000
LH,31,19.875000,P1,5,31,12.500000
LH,58,19.875000,P1,1,58,12.500000
RH,63,19.875000,P1,1,63,12.500000
LH,43,20.250000,P1,5,43,12.750000
LH,32,20.500000,P1,5,32,13.000000
LH,51,20.500000,P1,1,51,13.000000
RH,60,20.500000,P1,1,60,13.000000
LH,44,20.750000,P1,5,44,13.250000
LH,36,21.125000,P1,5,36,13.500000
LH,51,21.125000,P1,1,51,13.500000
