hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,52,4.875000,P1,5,52,2.000000
RH,64,4.875000,P1,1,64,2.000000
LH,57,6.875000,P1,1,57,4.000000
LH,54,8.875000,P1,5,54,6.000000
RH,66,8.875000,P1,1,66,6.000000
LH,44,31.000000,P1,5,44,30.000000
RH,71,31.000000,P1,2,71,30.000000
RH,63,34.333333,P1,2,63,33.500000
RH,64,37.125000,P1,1,64,36.500000
LH,52,42.375000,P1,5,52,42.000000
RH,64,42.375000,P1,1,64,42.000000
LH,56,48.750000,P1,5,56,49.000000
LH,57,49.250000,P1,5,57,49.500000
RH,71,53.250000,P1,2,71,54.000000
RH,81,58.750000,P1,1,81,60.000000
LH,47,79.125000,P1,5,47,82.500000
LH,42,87.375000,P1,5,42,91.500000
LH,59,91.500000,P1,5,59,96.000000
LH,59,92.500000,P1,5,59,97.000000
RH,71,106.750000,P1,1,71,112.500000
LH,52,109.750000,P1,5,52,116.000000
LH,55,109.750000,P1,5,55,116.000000
LH,59,110.000000,P1,5,59,116.250000
LH,52,110.250000,P1,5,52,116.500000
LH,55,110.250000,P1,5,55,116.500000
LH,59,110.375000,P1,5,59,116.750000
LH,52,110.625000,P1,5,52,117.000000
LH,55,110.625000,P1,5,55,117.000000
LH,59,110.750000,P1,5,59,117.250000
LH,52,111.125000,P1,5,52,117.500000
LH,55,111.125000,P1,5,55,117.500000
LH,59,111.250000,P1,5,59,117.750000
LH,52,111.500000,P1,5,52,118.000000
LH,55,111.500000,P1,5,55,118.000000
LH,59,111.666667,P1,5,59,118.250000
RH,76,112.000000,P1,1,76,118.500000
LH,59,112.125000,P1,5,59,118.750000
RH,76,112.666667,P1,1,76,119.500000
LH,54,113.333333,P1,5,54,120.000000
LH,57,113.333333,P1,5,57,120.000000
LH,54,113.750000,P1,5,54,120.500000
LH,57,113.750000,P1,5,57,120.500000
RH,60,114.000000,P1,5,60,120.750000
LH,54,114.250000,P1,5,54,121.000000
LH,57,114.250000,P1,5,57,121.000000
RH,60,114.375000,P1,5,60,121.250000
LH,54,114.666667,P1,5,54,121.500000
LH,57,114.666667,P1,5,57,121.500000
RH,60,114.875000,P1,5,60,121.750000
LH,54,115.125000,P1,5,54,122.000000
LH,57,115.125000,P1,5,57,122.000000
RH,60,115.333333,P1,5,60,122.250000
RH,60,115.750000,P1,5,60,122.750000
LH,59,116.750000,P1,5,59,124.000000
LH,55,116.875000,P1,5,55,124.000000
LH,55,117.250000,P1,5,55,124.500000
LH,59,117.250000,P1,5,59,124.500000
RH,62,117.500000,P1,5,62,124.750000
LH,55,117.750000,P1,5,55,125.000000
LH,59,117.750000,P1,5,59,125.000000
RH,62,117.875000,P1,5,62,125.250000
LH,55,118.125000,P1,5,55,125.500000
LH,59,118.125000,P1,5,59,125.500000
RH,62,118.333333,P1,5,62,125.750000
LH,55,118.625000,P1,5,55,126.000000
LH,59,118.625000,P1,5,59,126.000000
RH,62,118.750000,P1,5,62,126.250000
RH,79,119.000000,P1,1,79,126.500000
RH,62,119.250000,P1,5,62,126.750000
RH,79,119.750000,P1,1,79,127.500000
LH,57,120.375000,P1,5,57,128.000000
RH,60,120.375000,P1,5,60,128.000000
LH,57,120.875000,P1,5,57,128.500000
RH,60,120.875000,P1,5,60,128.500000
RH,63,121.000000,P1,5,63,128.750000
LH,57,121.333333,P1,5,57,129.000000
RH,60,121.333333,P1,5,60,129.000000
RH,63,121.500000,P1,5,63,129.250000
LH,57,121.750000,P1,5,57,129.500000
RH,60,121.750000,P1,5,60,129.500000
RH,63,122.000000,P1,5,63,129.750000
LH,57,122.250000,P1,5,57,130.000000
RH,60,122.250000,P1,5,60,130.000000
RH,63,122.500000,P1,5,63,130.250000
RH,63,122.875000,P1,5,63,130.750000
LH,58,124.000000,P1,5,58,132.000000
RH,62,124.000000,P1,5,62,132.000000
LH,58,124.375000,P1,5,58,132.500000
RH,62,124.375000,P1,5,62,132.500000
RH,65,124.625000,P1,5,65,132.750000
LH,58,124.750000,P1,5,58,133.000000
RH,62,124.750000,P1,5,62,133.000000
RH,65,125.000000,P1,5,65,133.250000
LH,58,125.250000,P1,5,58,133.500000
RH,62,125.250000,P1,5,62,133.500000
RH,65,125.500000,P1,5,65,133.750000
LH,58,125.750000,P1,5,58,134.000000
RH,62,125.750000,P1,5,62,134.000000
RH,65,125.875000,P1,5,65,134.250000
RH,82,126.125000,P1,1,82,134.500000
RH,65,126.375000,P1,5,65,134.750000
RH,82,126.875000,P1,1,82,135.500000
RH,60,127.500000,P1,5,60,136.000000
RH,63,127.500000,P1,5,63,136.000000
RH,61,129.333333,P1,5,61,138.000000
RH,64,129.333333,P1,5,64,138.000000
RH,67,129.875000,P1,5,67,138.750000
RH,62,131.125000,P1,5,62,140.000000
RH,66,131.125000,P1,5,66,140.000000
RH,66,131.500000,P1,5,66,140.500000
RH,69,131.750000,P1,5,69,140.750000
RH,66,132.000000,P1,5,66,141.000000
RH,69,132.125000,P1,5,69,141.250000
RH,66,132.500000,P1,5,66,141.500000
RH,69,132.666667,P1,5,69,141.750000
RH,63,132.875000,P1,5,63,142.000000
RH,66,132.875000,P1,5,66,142.000000
RH,69,133.125000,P1,5,69,142.250000
RH,69,133.500000,P1,5,69,142.750000
RH,64,134.750000,P1,5,64,144.000000
RH,68,135.125000,P1,5,68,144.500000
RH,71,135.375000,P1,5,71,144.750000
RH,68,135.625000,P1,5,68,145.000000
RH,71,135.875000,P1,5,71,145.250000
RH,68,136.125000,P1,5,68,145.500000
RH,71,136.250000,P1,5,71,145.750000
RH,68,136.500000,P1,5,68,146.000000
RH,71,136.750000,P1,5,71,146.250000
RH,71,137.125000,P1,5,71,146.750000
RH,66,138.375000,P1,5,66,148.000000
RH,69,138.375000,P1,5,69,148.000000
RH,66,138.875000,P1,5,66,148.500000
RH,69,138.875000,P1,5,69,148.500000
RH,66,139.333333,P1,5,66,149.000000
RH,69,139.333333,P1,5,69,149.000000
RH,72,139.500000,P1,5,72,149.250000
RH,66,139.750000,P1,5,66,149.500000
RH,69,139.750000,P1,5,69,149.500000
RH,72,140.000000,P1,5,72,149.750000
RH,66,140.250000,P1,5,66,150.000000
RH,69,140.250000,P1,5,69,150.000000
RH,72,140.500000,P1,5,72,150.250000
RH,66,140.750000,P1,5,66,150.500000
RH,69,140.750000,P1,5,69,150.500000
RH,65,241.125000,P1,5,65,253.500000
RH,77,241.125000,P1,1,77,253.500000
LH,56,249.000000,P1,1,56,262.000000
RH,63,249.875000,P1,1,63,262.750000
LH,56,250.125000,P1,1,56,263.000000
RH,60,250.125000,P1,1,60,263.000000
RH,63,250.333333,P1,1,63,263.250000
LH,56,250.500000,P1,1,56,263.500000
RH,60,250.500000,P1,1,60,263.500000
RH,63,250.750000,P1,1,63,263.750000
LH,56,250.875000,P1,1,56,264.000000
RH,60,250.875000,P1,1,60,264.000000
RH,63,251.125000,P1,1,63,264.250000
LH,56,251.333333,P1,1,56,264.500000
RH,60,251.333333,P1,1,60,264.500000
