hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,52,5.750000,P1,5,52,2.000000
RH,64,5.750000,P1,1,64,2.000000
LH,57,7.500000,P1,1,57,4.000000
LH,54,9.250000,P1,5,54,6.000000
RH,66,9.250000,P1,1,66,6.000000
LH,44,30.250000,P1,5,44,30.000000
RH,71,30.333333,P1,2,71,30.000000
RH,63,33.375000,P1,2,63,33.500000
RH,64,36.000000,P1,1,64,36.500000
LH,52,41.000000,P1,5,52,42.000000
RH,64,41.000000,P1,1,64,42.000000
LH,56,47.250000,P1,5,56,49.000000
LH,57,47.666667,P1,5,57,49.500000
RH,71,51.666667,P1,2,71,54.000000
RH,81,56.875000,P1,1,81,60.000000
LH,47,76.750000,P1,5,47,82.500000
LH,42,85.000000,P1,5,42,91.500000
LH,59,89.000000,P1,5,59,96.000000
LH,59,89.875000,P1,5,59,97.000000
RH,71,104.666667,P1,1,71,112.500000
LH,52,107.750000,P1,5,52,116.000000
LH,55,107.750000,P1,5,55,116.000000
LH,59,108.000000,P1,5,59,116.250000
LH,52,108.125000,P1,5,52,116.500000
LH,55,108.125000,P1,5,55,116.500000
LH,59,108.375000,P1,5,59,116.750000
LH,52,108.625000,P1,5,52,117.000000
LH,55,108.625000,P1,5,55,117.000000
LH,59,108.750000,P1,5,59,117.250000
LH,52,109.000000,P1,5,52,117.500000
LH,55,109.000000,P1,5,55,117.500000
LH,59,109.250000,P1,5,59,117.750000
LH,52,109.500000,P1,5,52,118.000000
LH,55,109.500000,P1,5,55,118.000000
LH,59,109.666667,P1,5,59,118.250000
RH,76,109.875000,P1,1,76,118.500000
LH,59,110.125000,P1,5,59,118.750000
RH,76,110.500000,P1,1,76,119.500000
LH,54,111.250000,P1,5,54,120.000000
LH,57,111.250000,P1,5,57,120.000000
LH,54,111.666667,P1,5,54,120.500000
LH,57,111.666667,P1,5,57,120.500000
RH,60,111.875000,P1,5,60,120.750000
LH,54,112.125000,P1,5,54,121.000000
LH,57,112.125000,P1,5,57,121.000000
