hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,1.875000,P1,5,36,0.500000
LH,48,1.875000,P1,1,48,0.500000
LH,52,1.875000,P1,1,52,0.500000
LH,43,2.000000,P1,5,43,0.500000
LH,36,2.250000,P1,5,36,1.000000
LH,48,2.250000,P1,1,48,1.000000
LH,52,2.250000,P1,1,52,1.000000
LH,36,2.625000,P1,5,36,1.500000
LH,43,2.625000,P1,5,43,1.500000
LH,48,2.625000,P1,1,48,1.500000
LH,52,2.625000,P1,1,52,1.500000
LH,36,2.875000,P1,5,36,2.000000
LH,48,2.875000,P1,1,48,2.000000
LH,52,2.875000,P1,1,52,2.000000
LH,43,3.000000,P1,5,43,2.000000
LH,36,3.250000,P1,5,36,2.500000
LH,48,3.250000,P1,1,48,2.500000
LH,52,3.250000,P1,1,52,2.500000
LH,43,3.333333,P1,5,43,2.500000
LH,36,3.625000,P1,5,36,3.000000
LH,43,3.625000,P1,5,43,3.000000
LH,48,3.625000,P1,1,48,3.000000
LH,52,3.625000,P1,1,52,3.000000
LH,36,4.000000,P1,5,36,3.500000
LH,43,4.000000,P1,5,43,3.500000
LH,48,4.000000,P1,1,48,3.500000
LH,52,4.000000,P1,1,52,3.500000
LH,36,4.333333,P1,5,36,4.000000
LH,43,4.333333,P1,5,43,4.000000
LH,48,4.333333,P1,1,48,4.000000
LH,52,4.333333,P1,1,52,4.000000
LH,36,4.625000,P1,5,36,4.500000
LH,43,4.625000,P1,5,43,4.500000
LH,48,4.625000,P1,1,48,4.500000
LH,52,4.625000,P1,1,52,4.500000
LH,36,5.000000,P1,5,36,5.000000
LH,43,5.000000,P1,5,43,5.000000
LH,48,5.000000,P1,1,48,5.000000
LH,52,5.000000,P1,1,52,5.000000
LH,36,5.333333,P1,5,36,5.500000
LH,43,5.333333,P1,5,43,5.500000
LH,48,5.333333,P1,1,48,5.500000
LH,52,5.333333,P1,1,52,5.500000
LH,36,5.666667,P1,5,36,6.000000
LH,43,5.666667,P1,5,43,6.000000
LH,48,5.666667,P1,1,48,6.000000
LH,52,5.666667,P1,1,52,6.000000
LH,36,6.000000,P1,5,36,6.500000
LH,43,6.000000,P1,5,43,6.500000
LH,48,6.000000,P1,1,48,6.500000
LH,52,6.000000,P1,1,52,6.500000
LH,36,6.333333,P1,5,36,7.000000
LH,45,6.333333,P1,5,45,7.000000
LH,54,6.333333,P1,1,54,7.000000
LH,50,6.375000,P1,1,50,7.000000
LH,36,6.625000,P1,5,36,7.500000
LH,45,6.625000,P1,5,45,7.500000
LH,54,6.625000,P1,1,54,7.500000
LH,35,7.000000,P1,5,35,8.000000
LH,43,7.000000,P1,5,43,8.000000
LH,55,7.000000,P1,1,55,8.000000
LH,50,7.125000,P1,1,50,8.000000
LH,35,7.375000,P1,5,35,8.500000
LH,43,7.375000,P1,5,43,8.500000
LH,35,7.666667,P1,5,35,9.000000
LH,43,7.666667,P1,5,43,9.000000
LH,35,8.000000,P1,5,35,9.500000
LH,43,8.000000,P1,5,43,9.500000
LH,59,8.000000,P1,1,59,9.500000
LH,57,8.250000,P1,1,57,9.750000
LH,35,8.375000,P1,5,35,10.000000
LH,43,8.375000,P1,5,43,10.000000
LH,55,8.375000,P1,1,55,10.000000
LH,35,8.666667,P1,5,35,10.500000
LH,43,8.666667,P1,5,43,10.500000
LH,35,9.000000,P1,5,35,11.000000
LH,43,9.000000,P1,5,43,11.000000
LH,35,9.375000,P1,5,35,11.500000
LH,43,9.375000,P1,5,43,11.500000
LH,43,9.666667,P1,5,43,12.000000
LH,35,9.750000,P1,5,35,12.000000
LH,35,10.000000,P1,5,35,12.500000
LH,43,10.000000,P1,5,43,12.500000
LH,35,10.375000,P1,5,35,13.000000
LH,43,10.375000,P1,5,43,13.000000
RH,84,10.625000,P1,1,84,13.250000
LH,35,10.750000,P1,5,35,13.500000
LH,43,10.750000,P1,5,43,13.500000
RH,83,10.750000,P1,1,83,13.500000
RH,81,10.875000,P1,1,81,13.750000
LH,35,11.125000,P1,5,35,14.000000
LH,43,11.125000,P1,5,43,14.000000
RH,79,11.125000,P1,1,79,14.000000
LH,35,11.375000,P1,5,35,14.500000
