hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,36,2.333333,P1,5,36,0.500000
LH,48,2.333333,P1,1,48,0.500000
LH,52,2.333333,P1,1,52,0.500000
LH,43,2.375000,P1,5,43,0.500000
LH,36,2.666667,P1,5,36,1.000000
LH,43,2.666667,P1,5,43,1.000000
LH,48,2.666667,P1,1,48,1.000000
LH,52,2.666667,P1,1,52,1.000000
LH,36,3.000000,P1,5,36,1.500000
LH,43,3.000000,P1,5,43,1.500000
LH,48,3.000000,P1,1,48,1.500000
LH,52,3.000000,P1,1,52,1.500000
LH,36,3.375000,P1,5,36,2.000000
LH,43,3.375000,P1,5,43,2.000000
LH,48,3.375000,P1,1,48,2.000000
LH,52,3.375000,P1,1,52,2.000000
LH,36,3.750000,P1,5,36,2.500000
LH,43,3.750000,P1,5,43,2.500000
LH,48,3.750000,P1,1,48,2.500000
LH,52,3.750000,P1,1,52,2.500000
LH,36,4.125000,P1,5,36,3.000000
LH,43,4.125000,P1,5,43,3.000000
LH,48,4.125000,P1,1,48,3.000000
LH,52,4.125000,P1,1,52,3.000000
LH,36,4.375000,P1,5,36,3.500000
LH,43,4.375000,P1,5,43,3.500000
LH,48,4.375000,P1,1,48,3.500000
LH,52,4.375000,P1,1,52,3.500000
LH,36,4.750000,P1,5,36,4.000000
LH,43,4.750000,P1,5,43,4.000000
LH,48,4.750000,P1,1,48,4.000000
LH,52,4.750000,P1,1,52,4.000000
LH,36,5.125000,P1,5,36,4.500000
LH,43,5.125000,P1,5,43,4.500000
LH,48,5.125000,P1,1,48,4.500000
LH,52,5.125000,P1,1,52,4.500000
LH,36,5.500000,P1,5,36,5.000000
LH,43,5.500000,P1,5,43,5.000000
LH,48,5.500000,P1,1,48,5.000000
LH,52,5.500000,P1,1,52,5.000000
LH,36,5.875000,P1,5,36,5.500000
LH,43,5.875000,P1,5,43,5.500000
LH,48,5.875000,P1,1,48,5.500000
LH,52,5.875000,P1,1,52,5.500000
LH,36,6.250000,P1,5,36,6.000000
LH,43,6.250000,P1,5,43,6.000000
LH,48,6.250000,P1,1,48,6.000000
LH,52,6.250000,P1,1,52,6.000000
LH,36,6.500000,P1,5,36,6.500000
LH,43,6.500000,P1,5,43,6.500000
LH,48,6.500000,P1,1,48,6.500000
LH,52,6.500000,P1,1,52,6.500000
LH,36,6.875000,P1,5,36,7.000000
LH,45,6.875000,P1,5,45,7.000000
LH,50,6.875000,P1,1,50,7.000000
LH,54,6.875000,P1,1,54,7.000000
LH,36,7.125000,P1,5,36,7.500000
LH,45,7.125000,P1,5,45,7.500000
LH,50,7.125000,P1,1,50,7.500000
LH,54,7.125000,P1,1,54,7.500000
LH,50,7.500000,P1,1,50,8.000000
LH,55,7.500000,P1,1,55,8.000000
LH,35,7.625000,P1,5,35,8.000000
LH,43,7.625000,P1,5,43,8.000000
LH,35,7.875000,P1,5,35,8.500000
LH,43,7.875000,P1,5,43,8.500000
LH,35,8.250000,P1,5,35,9.000000
LH,43,8.250000,P1,5,43,9.000000
LH,35,8.625000,P1,5,35,9.500000
LH,43,8.625000,P1,5,43,9.500000
LH,57,8.750000,P1,1,57,9.750000
LH,59,8.750000,P1,1,59,9.500000
LH,35,9.000000,P1,5,35,10.000000
LH,43,9.000000,P1,5,43,10.000000
LH,55,9.000000,P1,1,55,10.000000
LH,35,9.333333,P1,5,35,10.500000
LH,43,9.333333,P1,5,43,10.500000
LH,35,9.666667,P1,5,35,11.000000
LH,43,9.666667,P1,5,43,11.000000
LH,35,10.000000,P1,5,35,11.500000
LH,43,10.000000,P1,5,43,11.500000
LH,35,10.375000,P1,5,35,12.000000
LH,43,10.375000,P1,5,43,12.000000
LH,35,10.750000,P1,5,35,12.500000
LH,43,10.750000,P1,5,43,12.500000
LH,35,11.125000,P1,5,35,13.000000
LH,43,11.125000,P1,5,43,13.000000
RH,84,11.375000,P1,1,84,13.250000
LH,35,11.500000,P1,5,35,13.500000
LH,43,11.500000,P1,5,43,13.500000
RH,83,11.500000,P1,1,83,13.500000
RH,81,11.666667,P1,1,81,13.750000
LH,35,11.875000,P1,5,35,14.000000
LH,43,11.875000,P1,5,43,14.000000
RH,79,11.875000,P1,1,79,14.000000
LH,35,12.250000,P1,5,35,14.500000
LH,43,12.250000,P1,5,43,14.500000
LH,35,12.500000,P1,5,35,15.000000
LH,43,12.500000,P1,5,43,15.000000
LH,35,12.875000,P1,5,35,15.500000
LH,43,12.875000,P1,5,43,15.500000
LH,34,13.250000,P1,5,34,16.000000
LH,41,13.250000,P1,5,41,16.000000
LH,46,13.250000,P1,1,46,16.000000
LH,50,13.250000,P1,1,50,16.000000
LH,34,13.625000,P1,5,34,16.500000
LH,41,13.625000,P1,5,41,16.500000
LH,46,13.625000,P1,1,46,16.500000
LH,50,13.625000,P1,1,50,16.500000
LH,34,13.875000,P1,5,34,17.000000
LH,41,13.875000,P1,5,41,17.000000
LH,46,13.875000,P1,1,46,17.000000
LH,50,13.875000,P1,1,50,17.000000
LH,34,14.250000,P1,5,34,17.500000
LH,41,14.250000,P1,5,41,17.500000
LH,46,14.250000,P1,1,46,17.500000
LH,50,14.250000,P1,1,50,17.500000
LH,34,14.666667,P1,5,34,18.000000
LH,41,14.666667,P1,5,41,18.000000
LH,46,14.666667,P1,1,46,18.000000
LH,50,14.666667,P1,1,50,18.000000
LH,34,15.000000,P1,5,34,18.500000
LH,41,15.000000,P1,5,41,18.500000
LH,46,15.000000,P1,1,46,18.500000
LH,50,15.000000,P1,1,50,18.500000
LH,34,15.333333,P1,5,34,19.000000
LH,41,15.333333,P1,5,41,19.000000
LH,46,15.333333,P1,1,46,19.000000
LH,50,15.333333,P1,1,50,19.000000
LH,34,15.666667,P1,5,34,19.500000
LH,41,15.666667,P1,5,41,19.500000
LH,46,15.666667,P1,1,46,19.500000
LH,50,15.666667,P1,1,50,19.500000
LH,34,16.000000,P1,5,34,20.000000
LH,41,16.000000,P1,5,41,20.000000
LH,46,16.000000,P1,1,46,20.000000
LH,50,16.000000,P1,1,50,20.000000
LH,34,16.375000,P1,5,34,20.500000
LH,41,16.375000,P1,5,41,20.500000
LH,46,16.375000,P1,1,46,20.500000
LH,50,16.375000,P1,1,50,20.500000
LH,34,16.750000,P1,5,34,21.000000
LH,41,16.750000,P1,5,41,21.000000
LH,46,16.750000,P1,1,46,21.000000
LH,50,16.750000,P1,1,50,21.000000
LH,34,17.125000,P1,5,34,21.500000
LH,41,17.125000,P1,5,41,21.500000
LH,46,17.125000,P1,1,46,21.500000
LH,50,17.125000,P1,1,50,21.500000
LH,34,17.375000,P1,5,34,22.000000
LH,41,17.375000,P1,5,41,22.000000
LH,46,17.375000,P1,1,46,22.000000
LH,50,17.375000,P1,1,50,22.000000
LH,34,17.750000,P1,5,34,22.500000
LH,41,17.750000,P1,5,41,22.500000
LH,46,17.750000,P1,1,46,22.500000
LH,50,17.750000,P1,1,50,22.500000
LH,34,18.125000,P1,5,34,23.000000
LH,43,18.125000,P1,5,43,23.000000
LH,48,18.125000,P1,1,48,23.000000
LH,52,18.125000,P1,1,52,23.000000
LH,34,18.500000,P1,5,34,23.500000
LH,43,18.500000,P1,5,43,23.500000
LH,48,18.500000,P1,1,48,23.500000
LH,52,18.500000,P1,1,52,23.500000
LH,33,18.875000,P1,5,33,24.000000
LH,41,18.875000,P1,5,41,24.000000
LH,48,18.875000,P1,1,48,24.000000
LH,53,18.875000,P1,1,53,24.000000
LH,33,19.250000,P1,5,33,24.500000
LH,41,19.250000,P1,5,41,24.500000
LH,33,19.625000,P1,5,33,25.000000
LH,41,19.625000,P1,5,41,25.000000
LH,33,20.000000,P1,5,33,25.500000
LH,41,20.000000,P1,5,41,25.500000
LH,57,20.000000,P1,1,57,25.500000
LH,55,20.125000,P1,1,55,25.750000
