hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,29,1.125000,P1,5,29,0.000000
LH,48,3.875000,P1,1,48,0.500000
LH,48,6.000000,P1,1,48,0.875000
LH,29,9.666667,P1,5,29,1.500000
LH,41,9.666667,P1,5,41,1.500000
LH,57,12.250000,P1,1,57,2.000000
LH,59,24.500000,P1,1,59,4.500000
RH,64,24.500000,P1,1,64,4.500000
LH,40,24.625000,P1,5,40,4.500000
LH,52,24.625000,P1,5,52,4.500000
LH,56,24.625000,P1,1,56,4.500000
LH,40,32.625000,P1,5,40,6.000000
LH,52,32.625000,P1,5,52,6.000000
LH,59,35.375000,P1,1,59,6.500000
LH,59,37.250000,P1,1,59,6.875000
LH,52,40.750000,P1,5,52,7.500000
LH,40,40.875000,P1,5,40,7.500000
RH,61,43.333333,P1,1,61,8.000000
RH,71,53.875000,P1,1,71,10.000000
LH,47,54.000000,P1,5,47,10.000000
LH,47,56.375000,P1,5,47,10.500000
LH,51,56.375000,P1,5,51,10.500000
RH,71,56.375000,P1,1,71,10.500000
LH,39,56.500000,P1,5,39,10.500000
LH,59,56.500000,P1,1,59,10.500000
RH,66,56.500000,P1,1,66,10.500000
LH,50,64.666667,P1,5,50,12.000000
LH,38,64.750000,P1,5,38,12.000000
RH,65,67.375000,P1,1,65,12.500000
RH,65,69.500000,P1,1,65,12.875000
RH,71,70.125000,P1,1,71,13.000000
LH,49,72.750000,P1,5,49,13.500000
LH,37,72.875000,P1,5,37,13.500000
RH,71,77.500000,P1,1,71,14.375000
RH,77,78.125000,P1,1,77,14.500000
LH,36,80.875000,P1,5,36,15.000000
LH,48,80.875000,P1,5,48,15.000000
LH,36,83.125000,P1,5,36,15.500000
LH,48,83.125000,P1,5,48,15.500000
LH,48,87.875000,P1,5,48,16.500000
RH,70,87.875000,P1,1,70,16.500000
LH,36,88.000000,P1,5,36,16.500000
RH,64,88.000000,P1,1,64,16.500000
LH,38,100.875000,P1,5,38,19.500000
LH,50,100.875000,P1,5,50,19.500000
RH,65,100.875000,P1,1,65,19.500000
RH,69,100.875000,P1,1,69,19.500000
LH,34,109.000000,P1,5,34,21.000000
LH,46,109.000000,P1,5,46,21.000000
RH,67,111.125000,P1,1,67,21.500000
LH,58,111.250000,P1,1,58,21.500000
RH,62,111.250000,P1,1,62,21.500000
LH,48,115.750000,P1,5,48,22.500000
LH,36,115.875000,P1,5,36,22.500000
LH,29,123.500000,P1,5,29,24.000000
LH,41,123.500000,P1,5,41,24.000000
LH,57,125.875000,P1,1,57,24.500000
RH,60,125.875000,P1,1,60,24.500000
LH,29,130.625000,P1,5,29,25.500000
RH,65,130.625000,P1,1,65,25.500000
LH,57,130.666667,P1,1,57,25.500000
RH,60,130.666667,P1,1,60,25.500000
LH,48,140.375000,P1,5,48,26.875000
LH,57,141.125000,P1,1,57,27.000000
LH,44,148.375000,P1,5,44,28.500000
LH,48,148.375000,P1,5,48,28.500000
LH,59,148.375000,P1,1,59,28.500000
LH,45,149.625000,P1,5,45,28.750000
LH,48,149.625000,P1,5,48,28.750000
RH,60,149.625000,P1,1,60,28.750000
LH,46,151.750000,P1,5,46,29.250000
LH,48,151.750000,P1,5,48,29.250000
LH,43,154.125000,P1,5,43,29.750000
LH,48,154.125000,P1,7,48,29.750000
