hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,29,2.000000,P1,5,29,0.000000
LH,57,8.875000,P1,1,57,1.000000
LH,29,12.125000,P1,5,29,1.500000
LH,41,12.125000,P1,5,41,1.500000
LH,57,15.125000,P1,1,57,2.000000
RH,64,27.625000,P1,1,64,4.000000
LH,40,27.666667,P1,5,40,4.000000
LH,52,27.666667,P1,5,52,4.000000
LH,59,27.666667,P1,1,59,4.000000
LH,56,27.750000,P1,1,56,4.000000
LH,59,30.666667,P1,1,59,4.500000
RH,64,30.666667,P1,1,64,4.500000
LH,40,30.750000,P1,5,40,4.500000
LH,52,30.750000,P1,5,52,4.500000
LH,56,30.750000,P1,1,56,4.500000
LH,40,40.125000,P1,5,40,6.000000
LH,52,40.125000,P1,5,52,6.000000
LH,59,43.250000,P1,1,59,6.500000
LH,40,49.875000,P1,5,40,7.500000
LH,52,49.875000,P1,5,52,7.500000
LH,39,65.625000,P1,5,39,10.000000
LH,47,65.625000,P1,5,47,10.000000
LH,51,65.625000,P1,5,51,10.000000
LH,59,65.625000,P1,1,59,10.000000
RH,66,65.625000,P1,1,66,10.000000
RH,71,65.625000,P1,1,71,10.000000
LH,59,68.666667,P1,1,59,10.500000
RH,66,68.666667,P1,1,66,10.500000
RH,71,68.666667,P1,1,71,10.500000
LH,39,68.750000,P1,5,39,10.500000
LH,47,68.750000,P1,5,47,10.500000
LH,51,68.750000,P1,5,51,10.500000
LH,38,79.250000,P1,5,38,12.000000
LH,50,79.250000,P1,5,50,12.000000
RH,65,82.500000,P1,1,65,12.500000
LH,37,88.875000,P1,5,37,13.500000
LH,49,88.875000,P1,5,49,13.500000
RH,71,92.000000,P1,1,71,14.000000
RH,77,95.333333,P1,1,77,14.500000
LH,36,98.375000,P1,5,36,15.000000
LH,48,98.375000,P1,5,48,15.000000
RH,70,108.125000,P1,1,70,16.500000
LH,36,108.250000,P1,5,36,16.500000
LH,48,108.250000,P1,5,48,16.500000
RH,64,108.250000,P1,1,64,16.500000
LH,38,120.750000,P1,5,38,18.500000
LH,50,120.750000,P1,5,50,18.500000
RH,65,120.750000,P1,1,65,18.500000
RH,65,127.125000,P1,1,65,19.500000
RH,69,127.125000,P1,1,69,19.500000
LH,38,127.250000,P1,5,38,19.500000
LH,50,127.250000,P1,5,50,19.500000
LH,34,136.000000,P1,5,34,21.000000
LH,46,136.000000,P1,5,46,21.000000
RH,62,139.125000,P1,1,62,21.500000
RH,67,139.125000,P1,1,67,21.500000
LH,58,139.250000,P1,1,58,21.500000
LH,36,145.875000,P1,5,36,22.500000
LH,48,145.875000,P1,5,48,22.500000
LH,55,149.125000,P1,1,55,23.000000
LH,58,149.250000,P1,1,58,23.000000
LH,29,156.125000,P1,5,29,24.000000
LH,41,156.125000,P1,5,41,24.000000
RH,65,164.875000,P1,1,65,25.500000
LH,29,165.000000,P1,5,29,25.500000
LH,41,165.000000,P1,5,41,25.500000
LH,57,165.000000,P1,1,57,25.500000
RH,60,165.000000,P1,1,60,25.500000
LH,48,173.875000,P1,5,48,26.875000
LH,55,178.500000,P1,1,55,27.750000
LH,57,179.666667,P1,1,57,28.000000
LH,58,180.875000,P1,1,58,28.250000
LH,43,181.000000,P1,5,43,28.250000
LH,48,181.000000,P1,5,48,28.250000
LH,59,182.000000,P1,1,59,28.500000
LH,44,182.125000,P1,5,44,28.500000
LH,48,182.125000,P1,5,48,28.500000
RH,60,183.333333,P1,1,60,28.750000
LH,45,183.375000,P1,5,45,28.750000
LH,48,183.375000,P1,5,48,28.750000
LH,58,188.750000,P1,1,58,29.750000
LH,41,189.333333,P1,5,41,29.875000
LH,57,189.333333,P1,1,57,29.875000
LH,40,189.875000,P1,5,40,30.000000
LH,48,189.875000,P1,5,48,30.000000
LH,55,189.875000,P1,1,55,30.000000
RH,79,197.250000,P1,1,79,31.500000
LH,58,197.375000,P1,5,58,31.500000
RH,60,197.375000,P1,5,60,31.500000
LH,58,205.750000,P1,1,58,33.000000
LH,57,209.250000,P1,1,57,33.750000
LH,58,210.333333,P1,1,58,34.000000
LH,43,210.375000,P1,5,43,34.000000
LH,48,210.375000,P1,5,48,34.000000
RH,60,211.375000,P1,1,60,34.250000
LH,45,211.500000,P1,5,45,34.250000
LH,48,211.500000,P1,5,48,34.250000
RH,61,212.500000,P1,1,61,34.500000
LH,46,212.625000,P1,5,46,34.500000
LH,48,212.625000,P1,5,48,34.500000
LH,58,220.625000,P1,1,58,35.875000
LH,57,221.250000,P1,1,57,36.000000
LH,41,221.333333,P1,5,41,36.000000
LH,48,221.333333,P1,5,48,36.000000
LH,53,221.333333,P1,1,53,36.000000
RH,80,227.666667,P1,1,80,37.250000
RH,60,228.750000,P1,5,60,37.500000
RH,81,228.750000,P1,1,81,37.500000
LH,44,229.875000,P1,5,44,37.750000
LH,46,235.125000,P1,5,46,38.750000
RH,72,235.625000,P1,1,72,38.875000
LH,45,236.333333,P1,6,45,39.000000
RH,77,238.500000,P1,1,77,39.500000
LH,57,238.625000,P1,6,57,39.500000
RH,60,238.625000,P1,5,60,39.500000
RH,77,240.250000,P1,1,77,39.875000
LH,58,240.875000,P1,6,58,40.000000
RH,60,240.875000,P1,5,60,40.000000
RH,67,240.875000,P1,2,67,40.000000
RH,76,240.875000,P1,1,76,40.000000
LH,52,243.000000,P1,6,52,40.500000
RH,79,243.000000,P1,1,79,40.500000
RH,70,247.250000,P1,1,70,41.375000
RH,77,252.250000,P1,1,77,42.500000
RH,77,254.000000,P1,1,77,42.875000
RH,76,254.500000,P1,1,76,43.000000
LH,52,256.750000,P1,6,52,43.500000
RH,79,256.750000,P1,1,79,43.500000
LH,34,264.250000,P1,5,34,45.000000
LH,46,264.250000,P1,5,46,45.000000
LH,36,273.500000,P1,5,36,46.500000
LH,48,273.500000,P1,5,48,46.500000
LH,29,284.500000,P1,5,29,48.000000
LH,41,284.500000,P1,5,41,48.000000
LH,48,287.625000,P1,1,48,48.500000
LH,29,293.666667,P1,5,29,49.500000
LH,41,293.666667,P1,5,41,49.500000
LH,57,296.500000,P1,1,57,50.000000
LH,57,298.750000,P1,1,57,50.375000
RH,64,302.500000,P1,1,64,51.000000
LH,40,302.625000,P1,5,40,51.000000
LH,52,305.125000,P1,5,52,51.500000
LH,56,305.125000,P1,1,56,51.500000
LH,59,305.125000,P1,1,59,51.500000
RH,64,305.125000,P1,1,64,51.500000
LH,40,305.250000,P1,5,40,51.500000
RH,64,307.666667,P1,1,64,52.000000
LH,40,307.750000,P1,5,40,52.000000
LH,52,307.750000,P1,5,52,52.000000
LH,56,307.750000,P1,1,56,52.000000
LH,59,307.750000,P1,1,59,52.000000
LH,40,310.500000,P1,5,40,52.500000
LH,52,310.500000,P1,5,52,52.500000
LH,56,310.500000,P1,1,56,52.500000
LH,59,310.500000,P1,1,59,52.500000
RH,64,310.500000,P1,1,64,52.500000
LH,55,313.333333,P1,1,55,53.000000
LH,55,319.250000,P1,5,55,54.000000
LH,40,319.333333,P1,6,40,54.000000
LH,52,319.333333,P1,6,52,54.000000
LH,59,322.500000,P1,1,59,54.500000
LH,40,328.250000,P1,5,40,55.500000
LH,52,328.250000,P1,5,52,55.500000
RH,61,331.000000,P1,1,61,56.000000
RH,61,333.125000,P1,1,61,56.375000
RH,70,333.750000,P1,1,70,56.500000
RH,71,336.500000,P1,1,71,57.000000
LH,51,336.625000,P1,5,51,57.000000
LH,47,339.000000,P1,5,47,57.500000
LH,59,339.000000,P1,1,59,57.500000
RH,71,339.000000,P1,1,71,57.500000
LH,39,339.125000,P1,5,39,57.500000
LH,51,339.125000,P1,5,51,57.500000
RH,66,339.125000,P1,1,66,57.500000
LH,39,341.625000,P1,5,39,58.000000
LH,47,341.625000,P1,5,47,58.000000
LH,51,341.625000,P1,5,51,58.000000
RH,66,341.625000,P1,1,66,58.000000
RH,71,341.625000,P1,1,71,58.000000
LH,59,341.666667,P1,1,59,58.000000
LH,39,344.125000,P1,5,39,58.500000
LH,47,344.125000,P1,5,47,58.500000
LH,51,344.125000,P1,5,51,58.500000
LH,59,344.125000,P1,1,59,58.500000
RH,66,344.125000,P1,1,66,58.500000
RH,71,344.125000,P1,1,71,58.500000
LH,50,347.250000,P1,5,50,59.000000
LH,53,347.250000,P1,1,53,59.000000
LH,50,353.125000,P1,5,50,60.000000
LH,53,353.125000,P1,1,53,60.000000
RH,65,356.125000,P1,1,65,60.500000
LH,56,360.375000,P1,5,56,61.250000
LH,49,361.750000,P1,5,49,61.500000
RH,71,364.500000,P1,1,71,62.000000
LH,56,368.375000,P1,5,56,62.750000
LH,53,369.000000,P1,5,53,62.875000
LH,48,369.666667,P1,5,48,63.000000
RH,77,372.125000,P1,1,77,63.500000
LH,56,376.000000,P1,5,56,64.250000
LH,53,376.500000,P1,5,53,64.375000
LH,47,377.125000,P1,5,47,64.500000
RH,77,381.333333,P1,1,77,65.375000
RH,86,382.000000,P1,1,86,65.500000
LH,53,382.500000,P1,5,53,65.625000
LH,44,384.375000,P1,5,44,66.000000
RH,77,386.875000,P1,1,77,66.500000
RH,77,388.875000,P1,1,77,66.875000
RH,89,389.333333,P1,1,89,67.000000
LH,43,392.000000,P1,5,43,67.500000
RH,77,394.500000,P1,1,77,68.000000
RH,77,396.375000,P1,1,77,68.375000
RH,89,397.000000,P1,1,89,68.500000
LH,53,397.500000,P1,5,53,68.625000
LH,44,399.375000,P1,5,44,69.000000
LH,59,406.000000,P1,5,59,70.250000
LH,53,406.666667,P1,5,53,70.375000
LH,44,407.333333,P1,5,44,70.500000
LH,59,408.625000,P1,5,59,70.750000
LH,53,409.000000,P1,5,53,70.875000
RH,77,409.000000,P1,1,77,70.875000
LH,44,409.666667,P1,5,44,71.000000
RH,89,409.750000,P1,1,89,71.000000
LH,53,410.250000,P1,5,53,71.125000
LH,59,410.875000,P1,5,59,71.250000
LH,53,411.250000,P1,5,53,71.375000
RH,74,411.250000,P1,1,74,71.375000
LH,44,411.875000,P1,5,44,71.500000
RH,86,411.875000,P1,1,86,71.500000
LH,53,412.375000,P1,5,53,71.625000
LH,59,413.000000,P1,5,59,71.750000
LH,43,414.125000,P1,5,43,72.000000
RH,83,414.125000,P1,1,83,72.000000
LH,53,414.875000,P1,5,53,72.125000
LH,59,415.375000,P1,5,59,72.250000
LH,53,415.875000,P1,5,53,72.375000
RH,65,415.875000,P1,1,65,72.375000
LH,43,416.500000,P1,5,43,72.500000
RH,77,416.500000,P1,1,77,72.500000
LH,50,418.125000,P1,5,50,72.875000
RH,62,418.125000,P1,1,62,72.875000
LH,43,418.666667,P1,5,43,73.000000
RH,74,418.666667,P1,1,74,73.000000
LH,47,419.250000,P1,5,47,73.125000
LH,50,419.750000,P1,5,50,73.250000
LH,47,420.250000,P1,5,47,73.375000
LH,59,420.250000,P1,1,59,73.375000
LH,43,420.875000,P1,5,43,73.500000
RH,71,421.000000,P1,1,71,73.500000
LH,47,421.375000,P1,5,47,73.625000
LH,50,422.000000,P1,5,50,73.750000
LH,31,428.250000,P1,5,31,75.000000
LH,59,428.250000,P1,1,59,75.000000
LH,53,437.750000,P1,1,53,76.500000
LH,32,437.875000,P1,5,32,76.500000
LH,44,437.875000,P1,5,44,76.500000
LH,47,437.875000,P1,1,47,76.500000
LH,50,437.875000,P1,1,50,76.500000
RH,77,445.000000,P1,1,77,77.500000
RH,76,448.333333,P1,1,76,78.000000
LH,48,451.375000,P1,1,48,78.500000
LH,52,451.375000,P1,1,52,78.500000
LH,33,454.125000,P1,5,33,79.000000
LH,45,454.125000,P1,5,45,79.000000
LH,48,454.125000,P1,1,48,79.000000
LH,52,457.000000,P1,1,52,79.500000
LH,33,457.125000,P1,5,33,79.500000
LH,45,457.125000,P1,5,45,79.500000
LH,48,457.125000,P1,1,48,79.500000
RH,76,464.500000,P1,1,76,80.500000
LH,29,467.875000,P1,5,29,81.000000
RH,74,467.875000,P1,1,74,81.000000
LH,41,468.000000,P1,5,41,81.000000
RH,79,477.500000,P1,1,79,82.500000
LH,43,477.625000,P1,5,43,82.500000
