hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,1.000000,P1,5,36,0.000000
LH,55,2.375000,P1,1,55,0.500000
RH,60,2.750000,P1,1,60,0.750000
RH,64,3.125000,P1,1,64,1.000000
RH,79,3.125000,P1,5,79,1.000000
LH,52,3.500000,P1,1,52,1.250000
LH,55,3.875000,P1,1,55,1.500000
RH,60,4.125000,P1,1,60,1.750000
RH,64,4.375000,P1,1,64,2.000000
RH,79,4.375000,P1,5,79,2.000000
LH,52,4.750000,P1,1,52,2.250000
LH,55,5.125000,P1,1,55,2.500000
RH,60,5.375000,P1,1,60,2.750000
RH,64,5.666667,P1,1,64,3.000000
LH,52,6.000000,P1,1,52,3.250000
LH,55,6.250000,P1,1,55,3.500000
RH,76,6.250000,P1,5,76,3.500000
RH,60,6.625000,P1,1,60,3.750000
RH,74,6.875000,P1,5,74,4.000000
LH,53,7.125000,P1,1,53,4.250000
LH,55,7.500000,P1,1,55,4.500000
LH,59,7.666667,P1,1,59,4.750000
RH,62,8.000000,P1,1,62,5.000000
RH,67,8.000000,P1,5,67,5.000000
LH,53,8.250000,P1,1,53,5.250000
LH,55,8.625000,P1,1,55,5.500000
LH,59,8.750000,P1,1,59,5.750000
RH,72,9.125000,P1,5,72,6.000000
LH,52,9.500000,P1,1,52,6.250000
LH,55,9.750000,P1,1,55,6.500000
RH,60,10.000000,P1,1,60,6.750000
RH,64,10.250000,P1,1,64,7.000000
RH,76,10.250000,P1,5,76,7.000000
LH,52,10.625000,P1,1,52,7.250000
LH,55,10.750000,P1,1,55,7.500000
LH,48,11.125000,P1,5,48,7.750000
RH,60,11.125000,P1,1,60,7.750000
LH,36,11.500000,P1,5,36,8.000000
LH,52,11.750000,P1,1,52,8.250000
LH,55,12.000000,P1,1,55,8.500000
RH,60,12.250000,P1,1,60,8.750000
RH,64,12.625000,P1,1,64,9.000000
RH,79,12.625000,P1,5,79,9.000000
LH,52,12.875000,P1,1,52,9.250000
LH,55,13.125000,P1,1,55,9.500000
RH,60,13.500000,P1,1,60,9.750000
RH,79,13.750000,P1,5,79,10.000000
RH,64,13.875000,P1,1,64,10.000000
LH,52,14.125000,P1,1,52,10.250000
LH,55,14.375000,P1,1,55,10.500000
RH,60,14.666667,P1,1,60,10.750000
RH,64,14.875000,P1,1,64,11.000000
LH,52,15.250000,P1,1,52,11.250000
LH,55,15.500000,P1,1,55,11.500000
RH,76,15.500000,P1,5,76,11.500000
RH,60,15.750000,P1,1,60,11.750000
RH,74,16.000000,P1,5,74,12.000000
LH,53,16.333333,P1,1,53,12.250000
LH,55,16.625000,P1,1,55,12.500000
LH,59,16.875000,P1,1,59,12.750000
RH,62,17.125000,P1,1,62,13.000000
RH,67,17.125000,P1,5,67,13.000000
LH,53,17.500000,P1,1,53,13.250000
LH,55,17.750000,P1,1,55,13.500000
LH,59,18.000000,P1,1,59,13.750000
RH,72,18.375000,P1,5,72,14.000000
LH,52,19.000000,P1,1,52,14.500000
LH,55,19.333333,P1,1,55,14.750000
RH,60,19.625000,P1,1,60,15.000000
RH,64,19.875000,P1,1,64,15.250000
RH,62,20.125000,P1,1,62,15.500000
LH,43,20.375000,P1,5,43,15.750000
RH,60,20.375000,P1,1,60,15.750000
LH,31,20.666667,P1,5,31,16.000000
LH,59,20.666667,P1,1,59,16.000000
