hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,48,3.000000,P1,1,48,0.000000
LH,52,3.875000,P1,1,52,0.750000
RH,72,14.375000,P1,1,72,8.000000
RH,77,15.375000,P1,1,77,8.750000
RH,60,15.666667,P1,7,60,9.000000
RH,60,15.875000,P1,7,60,9.000000
RH,72,31.750000,P1,1,72,20.000000
RH,77,32.750000,P1,1,77,20.750000
RH,60,33.000000,P1,7,60,21.000000
LH,53,45.875000,P1,1,53,31.000000
RH,64,61.333333,P1,7,64,42.000000
RH,67,61.333333,P1,6,67,42.000000
RH,65,62.125000,P1,7,65,42.750000
RH,67,63.875000,P1,6,67,44.000000
RH,67,66.666667,P1,2,67,46.000000
LH,53,80.750000,P1,1,53,55.000000
RH,64,96.375000,P1,7,64,66.000000
RH,67,96.375000,P1,6,67,66.000000
RH,65,97.333333,P1,7,65,66.750000
RH,67,102.500000,P1,2,67,70.000000
RH,60,110.250000,P1,6,60,75.000000
LH,45,113.000000,P1,6,45,77.333333
LH,57,113.000000,P1,6,57,77.333333
RH,60,121.125000,P1,1,60,84.333333
RH,72,121.125000,P1,1,72,84.333333
RH,60,126.666667,P1,6,60,89.333333
RH,69,126.750000,P1,1,69,89.333333
RH,60,127.000000,P1,6,60,89.666667
RH,60,127.375000,P1,6,60,90.000000
RH,69,127.375000,P1,1,69,90.000000
RH,60,127.750000,P1,6,60,90.333333
RH,79,127.750000,P1,1,79,90.333333
LH,57,128.875000,P1,6,57,91.333333
LH,57,129.625000,P1,6,57,92.000000
LH,55,130.750000,P1,6,55,93.000000
LH,55,133.000000,P1,6,55,95.000000
LH,55,135.250000,P1,6,55,97.000000
LH,43,141.375000,P1,6,43,102.666667
LH,41,141.750000,P1,6,41,103.000000
RH,71,141.750000,P1,1,71,103.000000
RH,83,141.750000,P1,1,83,103.000000
LH,40,142.125000,P1,6,40,103.333333
RH,72,142.125000,P1,1,72,103.333333
RH,84,142.125000,P1,1,84,103.333333
LH,38,142.500000,P1,6,38,103.666667
RH,74,142.500000,P1,1,74,103.666667
RH,86,142.500000,P1,1,86,103.666667
LH,36,142.875000,P1,6,36,104.000000
LH,43,142.875000,P1,6,43,104.000000
RH,76,142.875000,P1,1,76,104.000000
RH,88,142.875000,P1,1,88,104.000000
LH,38,143.250000,P1,6,38,104.333333
