hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,32,3.000000,P1,5,32,1.250000
LH,56,3.000000,P1,1,56,1.250000
RH,65,11.625000,P1,1,65,12.000000
LH,56,15.666667,P1,5,56,16.500000
RH,66,32.125000,P1,1,66,36.000000
RH,76,61.375000,P1,1,76,72.000000
RH,79,67.750000,P1,1,79,78.000000
RH,82,67.750000,P1,1,82,78.000000
LH,40,77.875000,P1,5,40,91.500000
RH,60,82.375000,P1,1,60,96.000000
LH,36,86.250000,P1,5,36,100.500000
LH,32,92.000000,P1,5,32,108.000000
LH,41,96.333333,P1,5,41,114.000000
RH,65,96.375000,P1,1,65,114.000000
RH,64,101.875000,P1,1,64,121.500000
RH,67,102.000000,P1,1,67,121.500000
RH,76,104.875000,P1,1,76,125.500000
RH,76,108.333333,P1,2,76,131.070833
RH,64,110.750000,P1,1,64,133.500000
RH,67,110.750000,P1,1,67,133.500000
RH,75,118.000000,P1,2,75,142.000000
RH,75,118.250000,P1,2,75,142.566667
RH,75,119.500000,P1,5,75,144.500000
RH,75,119.750000,P1,5,75,145.000000
RH,75,120.375000,P1,5,75,146.000000
RH,75,120.666667,P1,5,75,146.500000
RH,75,121.333333,P1,5,75,147.500000
RH,75,121.625000,P1,5,75,148.000000
RH,75,121.875000,P1,5,75,148.500000
RH,75,122.125000,P1,5,75,149.000000
RH,75,122.500000,P1,5,75,149.500000
RH,75,123.125000,P1,5,75,150.500000
RH,75,123.375000,P1,5,75,151.000000
RH,75,124.000000,P1,5,75,152.000000
RH,75,124.333333,P1,5,75,152.500000
RH,75,125.000000,P1,5,75,153.500000
RH,75,125.333333,P1,5,75,154.000000
RH,75,126.125000,P1,5,75,155.500000
RH,75,126.875000,P1,5,75,156.500000
RH,75,127.125000,P1,5,75,157.000000
RH,79,130.250000,P1,1,79,162.000000
RH,82,130.250000,P1,1,82,162.000000
RH,63,130.625000,P1,5,63,162.500000
RH,63,130.875000,P1,5,63,163.000000
RH,63,131.125000,P1,5,63,163.500000
RH,63,131.500000,P1,5,63,164.000000
RH,63,131.750000,P1,5,63,164.500000
RH,63,132.125000,P1,5,63,165.000000
RH,63,132.375000,P1,5,63,165.500000
RH,63,132.625000,P1,5,63,166.000000
RH,63,132.875000,P1,5,63,166.500000
RH,63,133.250000,P1,5,63,167.000000
RH,63,133.500000,P1,5,63,167.500000
RH,63,134.375000,P1,5,63,169.000000
RH,63,134.625000,P1,5,63,169.500000
RH,63,135.000000,P1,5,63,170.000000
RH,63,135.375000,P1,5,63,170.500000
RH,63,135.625000,P1,5,63,171.000000
RH,63,136.000000,P1,5,63,171.500000
RH,63,136.250000,P1,5,63,172.000000
RH,63,136.750000,P1,5,63,173.000000
RH,63,137.000000,P1,5,63,173.500000
RH,63,137.666667,P1,5,63,174.500000
RH,63,138.750000,P1,5,63,176.000000
RH,63,139.000000,P1,5,63,176.500000
RH,63,139.625000,P1,5,63,177.500000
RH,63,139.875000,P1,5,63,178.000000
LH,56,140.250000,P1,5,56,178.500000
LH,59,140.250000,P1,5,59,178.500000
RH,63,140.625000,P1,5,63,179.000000
