hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.125000,P1,5,36,0.000000
LH,32,3.250000,P1,5,32,1.250000
LH,56,3.250000,P1,1,56,1.250000
RH,65,11.750000,P1,1,65,12.000000
LH,56,15.875000,P1,5,56,16.500000
RH,66,32.750000,P1,1,66,36.000000
RH,76,63.375000,P1,1,76,72.000000
RH,79,71.875000,P1,1,79,78.000000
RH,82,71.875000,P1,1,82,78.000000
LH,40,82.500000,P1,5,40,91.500000
RH,60,88.500000,P1,1,60,96.000000
LH,36,91.750000,P1,5,36,100.500000
LH,32,97.750000,P1,5,32,108.000000
LH,41,102.375000,P1,5,41,114.000000
RH,65,102.375000,P1,1,65,114.000000
RH,64,108.375000,P1,1,64,121.500000
RH,67,108.375000,P1,1,67,121.500000
RH,76,111.333333,P1,1,76,125.500000
RH,76,115.000000,P1,2,76,131.070833
RH,64,117.625000,P1,1,64,133.500000
RH,67,117.625000,P1,1,67,133.500000
RH,72,119.875000,P1,1,72,136.500000
RH,75,124.000000,P1,2,75,142.000000
RH,75,124.333333,P1,2,75,142.566667
RH,75,125.625000,P1,5,75,144.500000
RH,75,125.875000,P1,5,75,145.000000
RH,75,126.500000,P1,5,75,146.000000
RH,75,126.875000,P1,5,75,146.500000
RH,75,127.500000,P1,5,75,147.500000
RH,75,127.750000,P1,5,75,148.000000
RH,75,128.125000,P1,5,75,148.500000
RH,75,128.500000,P1,5,75,149.000000
RH,75,128.750000,P1,5,75,149.500000
RH,75,129.375000,P1,5,75,150.500000
RH,75,129.750000,P1,5,75,151.000000
RH,75,130.500000,P1,5,75,152.000000
RH,75,130.750000,P1,5,75,152.500000
RH,75,131.375000,P1,5,75,153.500000
RH,75,132.500000,P1,5,75,155.000000
RH,75,132.666667,P1,5,75,155.500000
RH,75,133.375000,P1,5,75,156.500000
RH,75,133.666667,P1,5,75,157.000000
RH,79,136.875000,P1,1,79,162.000000
RH,82,136.875000,P1,1,82,162.000000
RH,63,137.125000,P1,5,63,162.500000
RH,63,137.500000,P1,5,63,163.000000
RH,63,137.875000,P1,5,63,163.500000
RH,63,138.250000,P1,5,63,164.000000
RH,63,138.625000,P1,5,63,164.500000
RH,63,138.875000,P1,5,63,165.000000
RH,63,139.125000,P1,5,63,165.500000
RH,63,139.500000,P1,5,63,166.000000
RH,63,139.750000,P1,5,63,166.500000
RH,63,140.000000,P1,5,63,167.000000
RH,63,140.875000,P1,5,63,168.500000
RH,63,141.250000,P1,5,63,169.000000
RH,63,141.500000,P1,5,63,169.500000
RH,63,142.000000,P1,5,63,170.000000
RH,63,142.333333,P1,5,63,170.500000
RH,63,142.625000,P1,5,63,171.000000
RH,63,142.875000,P1,5,63,171.500000
RH,63,143.250000,P1,5,63,172.000000
RH,63,143.750000,P1,5,63,173.000000
RH,63,144.625000,P1,5,63,174.500000
RH,63,144.875000,P1,5,63,174.500000
RH,63,145.875000,P1,5,63,176.000000
RH,63,146.125000,P1,5,63,176.500000
RH,63,146.750000,P1,5,63,177.500000
RH,63,147.125000,P1,5,63,178.000000
LH,56,147.375000,P1,5,56,178.500000
LH,59,147.375000,P1,5,59,178.500000
RH,63,147.750000,P1,5,63,179.000000
RH,63,148.000000,P1,5,63,179.500000
RH,63,148.666667,P1,5,63,180.500000
RH,63,149.000000,P1,5,63,181.000000
RH,63,149.666667,P1,5,63,182.000000
RH,63,150.000000,P1,5,63,182.500000
RH,63,150.666667,P1,5,63,183.500000
RH,63,151.000000,P1,5,63,184.000000
RH,63,151.750000,P1,5,63,185.000000
RH,63,152.000000,P1,5,63,185.500000
