hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,30,3.000000,P1,5,30,0.000000
LH,42,3.000000,P1,5,42,0.000000
LH,58,7.750000,P1,1,58,1.000000
RH,61,7.750000,P1,1,61,1.000000
RH,66,7.750000,P1,1,66,1.000000
LH,30,12.875000,P1,5,30,2.000000
LH,42,12.875000,P1,5,42,2.000000
LH,59,12.875000,P1,1,59,2.000000
RH,65,12.875000,P1,1,65,2.000000
RH,68,12.875000,P1,1,68,2.000000
RH,61,18.125000,P1,1,61,3.000000
RH,66,18.125000,P1,1,66,3.000000
RH,70,18.125000,P1,1,70,3.000000
LH,42,23.375000,P1,5,42,4.000000
RH,66,23.375000,P1,2,66,4.000000
LH,30,23.500000,P1,5,30,4.000000
RH,63,23.500000,P1,2,63,4.000000
RH,70,29.333333,P1,3,70,4.750000
RH,71,29.875000,P1,3,71,4.875000
RH,75,30.750000,P1,1,75,5.000000
RH,65,30.875000,P1,2,65,5.000000
RH,68,30.875000,P1,2,68,5.000000
RH,71,37.125000,P1,1,71,6.000000
LH,42,37.250000,P1,5,42,6.000000
LH,30,37.333333,P1,5,30,6.000000
RH,61,57.500000,P1,1,61,15.000000
LH,54,62.875000,P1,5,54,20.500000
LH,47,63.375000,P1,5,47,21.000000
RH,63,63.375000,P1,1,63,21.000000
RH,75,63.375000,P1,1,75,21.000000
LH,54,63.875000,P1,5,54,21.500000
RH,73,64.375000,P1,1,73,22.000000
LH,46,64.500000,P1,5,46,22.000000
RH,61,64.500000,P1,1,61,22.000000
LH,54,64.875000,P1,5,54,22.500000
RH,73,74.250000,P1,1,73,32.000000
RH,70,74.875000,P1,1,70,32.750000
RH,68,79.125000,P1,1,68,37.000000
LH,54,82.625000,P1,5,54,40.000000
LH,58,82.625000,P1,5,58,40.000000
RH,61,82.625000,P1,1,61,40.000000
RH,66,82.625000,P1,1,66,40.000000
RH,61,87.000000,P1,1,61,44.000000
RH,68,89.125000,P1,1,68,46.000000
RH,71,89.125000,P1,1,71,46.000000
RH,61,91.500000,P1,1,61,48.000000
RH,68,91.625000,P1,1,68,48.000000
RH,61,93.750000,P1,1,61,50.000000
RH,68,93.875000,P1,1,68,50.000000
RH,61,96.000000,P1,1,61,52.000000
RH,68,104.125000,P1,5,68,60.000000
RH,68,106.875000,P1,5,68,63.000000
RH,83,108.000000,P1,1,83,64.250000
RH,82,108.125000,P1,1,82,64.500000
RH,83,108.750000,P1,1,83,65.250000
RH,82,109.000000,P1,1,82,65.500000
RH,83,109.750000,P1,1,83,66.250000
RH,82,110.000000,P1,1,82,66.500000
LH,58,110.375000,P1,5,58,67.000000
RH,63,111.333333,P1,5,63,68.000000
LH,56,112.250000,P1,5,56,69.000000
LH,54,113.000000,P1,5,54,70.000000
RH,63,113.000000,P1,5,63,70.000000
LH,54,113.875000,P1,5,54,71.000000
RH,63,113.875000,P1,5,63,71.000000
RH,87,113.875000,P1,1,87,71.000000
LH,54,114.875000,P1,5,54,72.000000
LH,57,114.875000,P1,5,57,72.000000
RH,63,114.875000,P1,5,63,72.000000
RH,84,114.875000,P1,1,84,72.000000
RH,78,115.125000,P1,1,78,72.250000
RH,75,115.375000,P1,1,75,72.500000
RH,84,115.625000,P1,1,84,72.750000
LH,54,115.750000,P1,5,54,73.000000
LH,56,115.750000,P1,5,56,73.000000
RH,63,115.750000,P1,5,63,73.000000
RH,87,115.750000,P1,1,87,73.000000
RH,78,116.000000,P1,1,78,73.250000
RH,75,116.250000,P1,1,75,73.500000
RH,78,116.875000,P1,1,78,74.250000
RH,75,117.125000,P1,1,75,74.500000
