hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,42,3.000000,P1,5,42,0.000000
LH,58,3.000000,P1,1,58,0.000000
LH,58,7.000000,P1,1,58,1.000000
RH,61,7.000000,P1,1,61,1.000000
RH,66,7.000000,P1,1,66,1.000000
LH,30,11.500000,P1,5,30,2.000000
LH,42,11.500000,P1,5,42,2.000000
LH,59,11.500000,P1,1,59,2.000000
RH,65,11.500000,P1,1,65,2.000000
RH,68,11.500000,P1,1,68,2.000000
RH,61,15.666667,P1,1,61,3.000000
RH,66,15.666667,P1,1,66,3.000000
RH,70,15.666667,P1,1,70,3.000000
RH,61,17.875000,P1,1,61,3.500000
RH,64,17.875000,P1,1,64,3.500000
RH,70,17.875000,P1,1,70,3.500000
LH,30,20.500000,P1,5,30,4.000000
LH,42,20.500000,P1,5,42,4.000000
RH,63,20.625000,P1,2,63,4.000000
RH,66,20.666667,P1,2,66,4.000000
RH,73,23.250000,P1,3,73,4.500000
RH,71,24.000000,P1,3,71,4.625000
RH,70,24.500000,P1,3,70,4.750000
RH,65,26.000000,P1,2,65,5.000000
RH,68,26.000000,P1,2,68,5.000000
RH,75,26.000000,P1,1,75,5.000000
RH,73,31.000000,P1,1,73,5.750000
LH,30,32.875000,P1,5,30,6.000000
LH,42,32.875000,P1,5,42,6.000000
RH,71,32.875000,P1,1,71,6.000000
RH,61,53.000000,P1,1,61,15.000000
RH,61,53.875000,P1,1,61,16.000000
LH,54,57.875000,P1,5,54,20.500000
LH,47,58.250000,P1,5,47,21.000000
RH,63,58.250000,P1,1,63,21.000000
RH,75,58.250000,P1,1,75,21.000000
LH,54,58.750000,P1,5,54,21.500000
LH,46,59.125000,P1,5,46,22.000000
RH,61,59.125000,P1,1,61,22.000000
RH,73,59.125000,P1,1,73,22.000000
LH,54,59.666667,P1,5,54,22.500000
RH,73,68.500000,P1,1,73,32.000000
RH,70,69.125000,P1,1,70,32.750000
RH,68,73.375000,P1,1,68,37.000000
LH,54,76.750000,P1,5,54,40.000000
LH,58,76.750000,P1,5,58,40.000000
RH,61,76.750000,P1,1,61,40.000000
RH,66,76.750000,P1,1,66,40.000000
RH,61,81.125000,P1,1,61,44.000000
RH,68,83.125000,P1,1,68,46.000000
RH,71,83.125000,P1,1,71,46.000000
RH,68,85.250000,P1,1,68,48.000000
RH,61,85.375000,P1,1,61,48.000000
RH,61,87.500000,P1,1,61,50.000000
RH,68,87.500000,P1,1,68,50.000000
RH,61,89.750000,P1,1,61,52.000000
RH,68,101.125000,P1,5,68,63.000000
RH,83,102.250000,P1,1,83,64.250000
RH,82,102.500000,P1,1,82,64.500000
RH,83,103.125000,P1,1,83,65.250000
RH,82,103.333333,P1,1,82,65.500000
RH,83,104.000000,P1,1,83,66.250000
RH,82,104.250000,P1,1,82,66.500000
LH,58,104.625000,P1,5,58,67.000000
RH,63,105.500000,P1,5,63,68.000000
LH,56,106.500000,P1,5,56,69.000000
RH,63,107.333333,P1,5,63,70.000000
LH,54,107.375000,P1,5,54,70.000000
LH,54,108.375000,P1,5,54,71.000000
RH,63,108.375000,P1,5,63,71.000000
RH,87,108.375000,P1,1,87,71.000000
LH,54,109.125000,P1,5,54,72.000000
LH,57,109.125000,P1,5,57,72.000000
RH,63,109.125000,P1,5,63,72.000000
