hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,3.000000,P1,1,58,0.000000
RH,61,3.000000,P1,1,61,0.000000
LH,58,7.750000,P1,1,58,1.000000
RH,61,7.750000,P1,1,61,1.000000
RH,66,7.750000,P1,1,66,1.000000
LH,59,10.500000,P1,1,59,1.750000
RH,65,10.500000,P1,1,65,1.750000
RH,68,10.500000,P1,1,68,1.750000
LH,30,11.625000,P1,5,30,2.000000
LH,42,11.625000,P1,5,42,2.000000
LH,59,11.625000,P1,1,59,2.000000
RH,65,11.625000,P1,1,65,2.000000
RH,68,11.625000,P1,1,68,2.000000
RH,70,16.125000,P1,1,70,3.000000
RH,61,16.250000,P1,1,61,3.000000
RH,66,16.250000,P1,1,66,3.000000
RH,61,18.125000,P1,1,61,3.500000
RH,64,18.125000,P1,1,64,3.500000
RH,70,18.125000,P1,1,70,3.500000
LH,30,20.125000,P1,5,30,4.000000
LH,42,20.125000,P1,5,42,4.000000
RH,63,20.125000,P1,2,63,4.000000
RH,66,20.125000,P1,2,66,4.000000
RH,71,24.500000,P1,3,71,4.875000
RH,75,25.125000,P1,1,75,5.000000
RH,65,25.250000,P1,2,65,5.000000
RH,68,25.250000,P1,2,68,5.000000
RH,73,29.125000,P1,1,73,5.750000
LH,30,30.500000,P1,5,30,6.000000
LH,42,30.500000,P1,5,42,6.000000
RH,71,30.625000,P1,1,71,6.000000
RH,70,31.250000,P1,1,70,6.125000
LH,54,50.875000,P1,5,54,20.500000
RH,63,51.333333,P1,1,63,21.000000
RH,75,51.333333,P1,1,75,21.000000
LH,47,51.375000,P1,5,47,21.000000
LH,54,51.750000,P1,5,54,21.500000
LH,46,52.333333,P1,5,46,22.000000
RH,61,52.333333,P1,1,61,22.000000
RH,73,52.333333,P1,1,73,22.000000
LH,54,52.875000,P1,5,54,22.500000
RH,73,61.125000,P1,1,73,32.000000
RH,70,61.666667,P1,1,70,32.750000
RH,68,65.750000,P1,1,68,37.000000
LH,54,68.750000,P1,5,54,40.000000
LH,58,68.750000,P1,5,58,40.000000
RH,61,68.750000,P1,1,61,40.000000
RH,66,68.750000,P1,1,66,40.000000
RH,61,72.625000,P1,1,61,44.000000
RH,68,74.625000,P1,1,68,46.000000
RH,71,74.625000,P1,1,71,46.000000
RH,61,76.500000,P1,1,61,48.000000
RH,68,76.625000,P1,1,68,48.000000
RH,61,78.500000,P1,1,61,50.000000
RH,68,78.500000,P1,1,68,50.000000
RH,68,88.125000,P1,5,68,60.000000
RH,68,90.750000,P1,5,68,63.000000
RH,83,91.875000,P1,1,83,64.250000
RH,82,92.125000,P1,1,82,64.500000
RH,83,92.750000,P1,1,83,65.250000
RH,82,93.000000,P1,1,82,65.500000
RH,83,93.666667,P1,1,83,66.250000
RH,82,93.875000,P1,1,82,66.500000
LH,58,94.333333,P1,5,58,67.000000
RH,63,95.250000,P1,5,63,68.000000
LH,56,96.250000,P1,5,56,69.000000
LH,54,97.125000,P1,5,54,70.000000
RH,63,97.125000,P1,5,63,70.000000
LH,54,98.000000,P1,5,54,71.000000
RH,63,98.000000,P1,5,63,71.000000
RH,87,98.000000,P1,1,87,71.000000
LH,54,98.875000,P1,5,54,72.000000
LH,57,98.875000,P1,5,57,72.000000
RH,63,98.875000,P1,5,63,72.000000
RH,84,98.875000,P1,1,84,72.000000
RH,78,99.125000,P1,1,78,72.250000
RH,75,99.250000,P1,1,75,72.500000
RH,84,99.500000,P1,1,84,72.750000
LH,54,99.750000,P1,5,54,73.000000
LH,56,99.750000,P1,5,56,73.000000
RH,63,99.750000,P1,5,63,73.000000
RH,87,99.750000,P1,1,87,73.000000
RH,78,100.000000,P1,1,78,73.250000
RH,75,100.125000,P1,1,75,73.500000
RH,78,100.750000,P1,1,78,74.250000
RH,75,101.000000,P1,1,75,74.500000
LH,54,101.333333,P1,5,54,75.000000
RH,63,101.333333,P1,5,63,75.000000
RH,78,101.625000,P1,1,78,75.250000
RH,75,101.750000,P1,1,75,75.500000
LH,57,102.250000,P1,5,57,76.000000
RH,63,102.250000,P1,5,63,76.000000
RH,84,102.250000,P1,1,84,76.000000
LH,54,102.333333,P1,5,54,76.000000
RH,78,102.500000,P1,1,78,76.250000
RH,75,102.750000,P1,1,75,76.500000
RH,84,102.875000,P1,1,84,76.750000
LH,54,103.125000,P1,5,54,77.000000
LH,56,103.125000,P1,5,56,77.000000
RH,63,103.125000,P1,5,63,77.000000
RH,87,103.125000,P1,1,87,77.000000
RH,78,103.333333,P1,1,78,77.250000
RH,75,103.625000,P1,1,75,77.500000
RH,78,104.333333,P1,1,78,78.250000
RH,75,104.500000,P1,1,75,78.500000
LH,54,105.000000,P1,5,54,79.000000
RH,63,105.000000,P1,5,63,79.000000
RH,78,105.250000,P1,1,78,79.250000
RH,75,105.375000,P1,1,75,79.500000
LH,57,105.875000,P1,5,57,80.000000
RH,63,105.875000,P1,5,63,80.000000
RH,84,105.875000,P1,1,84,80.000000
RH,78,106.125000,P1,1,78,80.250000
RH,75,106.333333,P1,1,75,80.500000
RH,84,106.500000,P1,1,84,80.750000
LH,54,106.750000,P1,5,54,81.000000
LH,56,106.750000,P1,5,56,81.000000
RH,63,106.750000,P1,5,63,81.000000
RH,87,106.750000,P1,1,87,81.000000
RH,78,107.000000,P1,1,78,81.250000
RH,75,107.250000,P1,1,75,81.500000
RH,78,107.875000,P1,1,78,82.250000
RH,75,108.000000,P1,1,75,82.500000
LH,54,108.375000,P1,5,54,83.000000
RH,63,108.375000,P1,5,63,83.000000
RH,78,108.666667,P1,1,78,83.250000
RH,75,108.875000,P1,1,75,83.500000
LH,54,109.333333,P1,5,54,84.000000
RH,63,109.333333,P1,5,63,84.000000
RH,84,109.333333,P1,1,84,84.000000
RH,75,109.750000,P1,1,75,84.500000
RH,84,110.000000,P1,1,84,84.750000
LH,56,110.250000,P1,5,56,85.000000
RH,61,113.875000,P1,5,61,89.000000
RH,85,113.875000,P1,1,85,89.000000
RH,73,114.250000,P1,1,73,89.500000
RH,85,114.500000,P1,1,85,89.750000
