hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,3.875000,P1,1,67,0.000000
LH,58,8.250000,P1,1,58,1.000000
RH,65,8.250000,P1,1,65,1.000000
LH,36,12.750000,P1,5,36,2.000000
LH,48,12.750000,P1,5,48,2.000000
LH,55,12.750000,P1,1,55,2.000000
RH,63,12.750000,P1,1,63,2.000000
LH,48,19.000000,P1,5,48,3.500000
LH,51,19.000000,P1,5,51,3.500000
RH,63,19.000000,P1,1,63,3.500000
RH,68,20.625000,P1,1,68,3.875000
RH,67,21.125000,P1,1,67,4.000000
LH,46,21.250000,P1,5,46,4.000000
LH,52,21.250000,P1,5,52,4.000000
LH,46,23.125000,P1,5,46,4.500000
LH,52,23.125000,P1,5,52,4.500000
RH,67,23.125000,P1,1,67,4.500000
RH,73,24.666667,P1,1,73,4.875000
RH,72,25.250000,P1,1,72,5.000000
LH,45,25.333333,P1,5,45,5.000000
LH,53,25.333333,P1,5,53,5.000000
LH,44,27.625000,P1,5,44,5.500000
LH,54,27.625000,P1,5,54,5.500000
RH,72,27.625000,P1,1,72,5.500000
RH,74,28.125000,P1,2,74,5.625000
RH,72,28.250000,P1,2,72,5.666667
RH,71,28.500000,P1,2,71,5.708333
RH,72,28.625000,P1,2,72,5.750000
LH,43,29.875000,P1,6,43,6.000000
LH,55,29.875000,P1,5,55,6.000000
RH,63,29.875000,P1,2,63,6.000000
RH,75,29.875000,P1,1,75,6.000000
LH,57,32.125000,P1,5,57,6.500000
RH,63,32.125000,P1,2,63,6.500000
RH,66,32.125000,P1,2,66,6.500000
RH,72,33.250000,P1,1,72,6.750000
LH,59,34.500000,P1,5,59,7.000000
RH,67,34.500000,P1,2,67,7.000000
RH,71,34.500000,P1,1,71,7.000000
RH,62,34.625000,P1,2,62,7.000000
RH,79,36.875000,P1,1,79,7.500000
RH,87,37.875000,P1,1,87,7.750000
LH,55,39.000000,P1,6,55,8.000000
RH,67,39.000000,P1,5,67,8.000000
RH,75,39.000000,P1,2,75,8.000000
RH,87,39.000000,P1,1,87,8.000000
RH,69,41.250000,P1,5,69,8.500000
RH,75,41.250000,P1,2,75,8.500000
RH,78,41.250000,P1,2,78,8.500000
RH,84,42.250000,P1,1,84,8.750000
RH,74,43.500000,P1,2,74,9.000000
RH,79,43.500000,P1,2,79,9.000000
RH,83,43.500000,P1,1,83,9.000000
RH,71,43.625000,P1,5,71,9.000000
RH,74,45.875000,P1,2,74,9.500000
RH,79,45.875000,P1,2,79,9.500000
RH,82,45.875000,P1,1,82,9.500000
RH,67,46.000000,P1,6,67,9.500000
RH,70,46.000000,P1,5,70,9.500000
RH,68,48.250000,P1,6,68,10.000000
RH,70,48.250000,P1,5,70,10.000000
RH,74,48.250000,P1,2,74,10.000000
RH,82,48.250000,P1,1,82,10.000000
RH,65,48.333333,P1,6,65,10.000000
RH,63,50.666667,P1,6,63,10.500000
RH,67,50.666667,P1,6,67,10.500000
RH,75,50.666667,P1,2,75,10.500000
RH,62,53.125000,P1,6,62,11.000000
RH,77,53.125000,P1,2,77,11.000000
RH,65,53.250000,P1,6,65,11.000000
RH,70,53.875000,P1,1,70,11.166667
LH,58,57.750000,P1,1,58,12.000000
RH,61,57.750000,P1,1,61,12.000000
RH,64,57.750000,P1,1,64,12.000000
RH,67,57.750000,P1,1,67,12.000000
RH,62,62.125000,P1,1,62,13.000000
RH,65,62.125000,P1,1,65,13.000000
LH,34,62.250000,P1,5,34,13.000000
LH,46,62.250000,P1,5,46,13.000000
LH,56,62.250000,P1,1,56,13.000000
RH,65,62.250000,P1,1,65,13.000000
LH,54,67.000000,P1,1,54,14.000000
RH,63,67.000000,P1,1,63,14.000000
LH,35,67.125000,P1,5,35,14.000000
LH,47,67.125000,P1,5,47,14.000000
LH,47,74.250000,P1,5,47,15.500000
LH,54,74.250000,P1,5,54,15.500000
RH,63,74.250000,P1,2,63,15.500000
RH,66,74.250000,P1,1,66,15.500000
RH,71,76.000000,P1,1,71,15.875000
RH,71,76.625000,P1,1,71,16.000000
LH,49,76.666667,P1,5,49,16.000000
LH,54,76.666667,P1,5,54,16.000000
RH,64,76.666667,P1,2,64,16.000000
LH,49,78.750000,P1,5,49,16.500000
LH,54,78.750000,P1,5,54,16.500000
RH,64,78.750000,P1,2,64,16.500000
RH,76,80.500000,P1,1,76,16.875000
LH,47,81.125000,P1,5,47,17.000000
LH,54,81.125000,P1,5,54,17.000000
RH,63,81.125000,P1,2,63,17.000000
RH,75,81.125000,P1,1,75,17.000000
LH,46,83.500000,P1,5,46,17.500000
