hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,63,4.000000,P1,1,63,0.000000
LH,58,8.250000,P1,1,58,1.000000
RH,65,8.250000,P1,1,65,1.000000
RH,63,14.125000,P1,1,63,2.000000
LH,55,14.250000,P1,1,55,2.000000
LH,36,14.333333,P1,5,36,2.000000
LH,48,14.333333,P1,5,48,2.000000
RH,68,22.500000,P1,1,68,3.875000
LH,46,23.000000,P1,5,46,4.000000
LH,52,23.000000,P1,5,52,4.000000
RH,67,23.000000,P1,1,67,4.000000
RH,67,25.000000,P1,1,67,4.500000
LH,46,25.125000,P1,5,46,4.500000
LH,52,25.125000,P1,5,52,4.500000
RH,73,26.500000,P1,1,73,4.875000
LH,45,27.125000,P1,5,45,5.000000
LH,53,27.125000,P1,5,53,5.000000
RH,72,27.125000,P1,1,72,5.000000
RH,72,29.750000,P1,2,72,5.666667
RH,72,30.125000,P1,2,72,5.666667
RH,75,31.375000,P1,1,75,6.000000
RH,63,31.500000,P1,2,63,6.000000
LH,43,31.625000,P1,6,43,6.000000
LH,55,31.625000,P1,5,55,6.000000
LH,57,33.750000,P1,5,57,6.500000
LH,59,36.250000,P1,5,59,7.000000
RH,62,36.250000,P1,2,62,7.000000
RH,67,36.250000,P1,2,67,7.000000
RH,71,36.250000,P1,1,71,7.000000
RH,79,39.000000,P1,1,79,7.500000
RH,87,40.125000,P1,1,87,7.750000
RH,87,41.500000,P1,1,87,8.000000
RH,75,41.625000,P1,2,75,8.000000
LH,55,41.666667,P1,6,55,8.000000
RH,67,41.666667,P1,5,67,8.000000
RH,75,43.750000,P1,2,75,8.500000
RH,78,43.750000,P1,2,78,8.500000
RH,69,43.875000,P1,5,69,8.500000
RH,84,44.875000,P1,1,84,8.750000
RH,83,46.000000,P1,1,83,9.000000
RH,74,46.125000,P1,2,74,9.000000
RH,79,46.125000,P1,2,79,9.000000
RH,67,48.500000,P1,6,67,9.500000
RH,70,48.500000,P1,5,70,9.500000
RH,74,48.500000,P1,2,74,9.500000
RH,79,48.500000,P1,2,79,9.500000
RH,82,51.125000,P1,1,82,10.000000
RH,65,51.250000,P1,6,65,10.000000
RH,68,51.250000,P1,6,68,10.000000
RH,70,51.250000,P1,5,70,10.000000
RH,74,51.250000,P1,2,74,10.000000
RH,63,53.500000,P1,6,63,10.500000
RH,67,53.500000,P1,6,67,10.500000
RH,75,53.500000,P1,2,75,10.500000
RH,62,55.875000,P1,6,62,11.000000
RH,65,55.875000,P1,6,65,11.000000
RH,77,55.875000,P1,2,77,11.000000
RH,67,61.250000,P1,1,67,12.000000
LH,58,61.333333,P1,1,58,12.000000
RH,61,61.333333,P1,1,61,12.000000
RH,64,61.333333,P1,1,64,12.000000
LH,56,65.875000,P1,1,56,13.000000
RH,65,65.875000,P1,1,65,13.000000
RH,62,66.000000,P1,1,62,13.000000
LH,34,66.125000,P1,5,34,13.000000
LH,46,66.125000,P1,5,46,13.000000
RH,63,72.000000,P1,1,63,14.000000
LH,35,72.125000,P1,5,35,14.000000
LH,47,72.125000,P1,5,47,14.000000
LH,54,72.125000,P1,1,54,14.000000
RH,63,79.666667,P1,2,63,15.500000
RH,66,79.666667,P1,1,66,15.500000
LH,47,79.750000,P1,5,47,15.500000
LH,54,79.750000,P1,5,54,15.500000
RH,71,81.375000,P1,1,71,15.875000
RH,64,82.000000,P1,2,64,16.000000
RH,71,82.000000,P1,1,71,16.000000
LH,49,82.125000,P1,5,49,16.000000
LH,54,82.125000,P1,5,54,16.000000
RH,64,84.125000,P1,2,64,16.500000
LH,49,84.250000,P1,5,49,16.500000
LH,54,84.250000,P1,5,54,16.500000
RH,75,86.333333,P1,1,75,17.000000
RH,63,86.375000,P1,2,63,17.000000
LH,47,86.500000,P1,5,47,17.000000
LH,54,86.500000,P1,5,54,17.000000
RH,75,88.625000,P1,1,75,17.500000
LH,46,88.666667,P1,5,46,17.500000
LH,54,88.666667,P1,5,54,17.500000
RH,77,89.000000,P1,2,77,17.625000
RH,75,89.333333,P1,2,75,17.666667
RH,74,89.500000,P1,2,74,17.708333
RH,75,89.666667,P1,2,75,17.750000
RH,77,90.125000,P1,1,77,17.875000
LH,45,90.750000,P1,6,45,18.000000
RH,78,90.750000,P1,1,78,18.000000
RH,72,91.000000,P1,2,72,18.000000
LH,53,93.375000,P1,5,53,18.500000
RH,72,93.375000,P1,2,72,18.500000
RH,75,94.333333,P1,1,75,18.750000
RH,70,95.625000,P1,2,70,19.000000
RH,74,95.625000,P1,1,74,19.000000
LH,46,95.666667,P1,6,46,19.000000
LH,53,95.666667,P1,5,53,19.000000
RH,70,98.375000,P1,2,70,19.500000
RH,73,98.375000,P1,1,73,19.500000
LH,52,98.500000,P1,5,52,19.500000
RH,75,99.000000,P1,3,75,19.625000
RH,73,99.333333,P1,3,73,19.666667
RH,75,100.333333,P1,1,75,19.875000
LH,43,100.875000,P1,6,43,20.000000
RH,76,101.000000,P1,1,76,20.000000
LH,51,103.333333,P1,5,51,20.500000
RH,68,106.125000,P1,2,68,21.000000
RH,71,106.125000,P1,1,71,21.000000
LH,44,106.250000,P1,6,44,21.000000
LH,51,106.250000,P1,5,51,21.000000
RH,75,109.125000,P1,1,75,21.500000
LH,42,109.250000,P1,6,42,21.500000
LH,46,109.250000,P1,6,46,21.500000
LH,54,109.250000,P1,5,54,21.500000
RH,63,109.250000,P1,2,63,21.500000
RH,70,109.250000,P1,2,70,21.500000
RH,68,112.500000,P1,1,68,22.000000
RH,74,112.500000,P1,1,74,22.000000
LH,41,112.625000,P1,5,41,22.000000
LH,46,112.625000,P1,5,46,22.000000
LH,53,112.625000,P1,5,53,22.000000
RH,62,112.625000,P1,1,62,22.000000
RH,70,112.625000,P1,1,70,22.000000
LH,46,122.125000,P1,5,46,23.500000
LH,51,122.125000,P1,5,51,23.500000
RH,63,122.125000,P1,1,63,23.500000
RH,66,122.125000,P1,1,66,23.500000
RH,70,122.125000,P1,1,70,23.500000
RH,75,122.125000,P1,1,75,23.500000
LH,39,122.250000,P1,5,39,23.500000
LH,39,123.375000,P1,5,39,23.750000
LH,46,123.375000,P1,5,46,23.750000
LH,51,123.375000,P1,5,51,23.750000
RH,63,123.375000,P1,1,63,23.750000
RH,66,123.375000,P1,1,66,23.750000
RH,70,123.375000,P1,1,70,23.750000
LH,38,125.125000,P1,5,38,24.000000
LH,46,125.125000,P1,5,46,24.000000
LH,50,125.125000,P1,5,50,24.000000
RH,65,125.125000,P1,1,65,24.000000
RH,70,125.125000,P1,1,70,24.000000
RH,77,125.125000,P1,1,77,24.000000
RH,74,132.666667,P1,1,74,25.250000
RH,75,133.875000,P1,1,75,25.500000
RH,63,134.000000,P1,5,63,25.500000
RH,66,134.000000,P1,5,66,25.500000
RH,70,134.000000,P1,1,70,25.500000
RH,63,135.250000,P1,5,63,25.750000
RH,66,135.250000,P1,5,66,25.750000
RH,70,135.250000,P1,1,70,25.750000
RH,77,136.750000,P1,1,77,26.000000
RH,62,136.875000,P1,5,62,26.000000
RH,65,136.875000,P1,5,65,26.000000
RH,70,136.875000,P1,1,70,26.000000
RH,79,144.333333,P1,1,79,27.500000
RH,61,144.500000,P1,5,61,27.500000
RH,63,144.500000,P1,5,63,27.500000
RH,70,144.500000,P1,1,70,27.500000
RH,80,145.625000,P1,1,80,27.750000
LH,59,145.666667,P1,5,59,27.750000
RH,63,145.666667,P1,5,63,27.750000
RH,68,145.666667,P1,1,68,27.750000
RH,80,146.875000,P1,1,80,28.000000
LH,59,147.000000,P1,5,59,28.000000
RH,63,147.000000,P1,5,63,28.000000
RH,68,147.000000,P1,1,68,28.000000
RH,79,154.125000,P1,1,79,29.500000
RH,61,154.250000,P1,5,61,29.500000
RH,63,154.250000,P1,5,63,29.500000
RH,70,154.250000,P1,1,70,29.500000
RH,60,166.000000,P1,5,60,32.000000
RH,63,166.000000,P1,5,63,32.000000
RH,68,166.000000,P1,1,68,32.000000
RH,80,166.000000,P1,1,80,32.000000
LH,59,167.666667,P1,5,59,35.000000
RH,62,167.666667,P1,5,62,35.000000
RH,74,167.666667,P1,1,74,35.000000
RH,67,167.750000,P1,2,67,35.000000
LH,58,167.875000,P1,5,58,35.500000
RH,61,167.875000,P1,5,61,35.500000
RH,79,167.875000,P1,1,79,35.500000
LH,58,168.125000,P1,5,58,36.000000
RH,61,168.125000,P1,5,61,36.000000
RH,67,168.125000,P1,2,67,36.000000
RH,60,168.625000,P1,5,60,37.000000
RH,65,168.625000,P1,2,65,37.000000
RH,72,168.625000,P1,1,72,37.000000
LH,57,168.666667,P1,5,57,37.000000
LH,56,168.750000,P1,5,56,37.500000
LH,59,168.750000,P1,5,59,37.500000
RH,77,168.750000,P1,1,77,37.500000
LH,56,169.000000,P1,5,56,38.000000
LH,59,169.000000,P1,5,59,38.000000
RH,65,169.000000,P1,2,65,38.000000
RH,77,169.000000,P1,1,77,38.000000
LH,55,169.500000,P1,5,55,39.000000
LH,58,169.500000,P1,5,58,39.000000
RH,63,169.500000,P1,2,63,39.000000
RH,70,169.500000,P1,1,70,39.000000
LH,54,169.750000,P1,5,54,39.500000
LH,57,169.750000,P1,5,57,39.500000
RH,75,169.750000,P1,1,75,39.500000
RH,63,170.000000,P1,3,63,40.000000
RH,68,170.000000,P1,2,68,40.000000
RH,70,170.000000,P1,2,70,40.000000
RH,75,170.000000,P1,1,75,40.000000
LH,53,170.125000,P1,5,53,40.000000
LH,56,170.125000,P1,5,56,40.000000
RH,62,171.250000,P1,3,62,42.000000
RH,74,171.250000,P1,1,74,42.000000
LH,51,171.750000,P1,5,51,43.000000
LH,55,171.750000,P1,5,55,43.000000
RH,63,171.750000,P1,2,63,43.000000
RH,75,171.750000,P1,1,75,43.000000
RH,70,171.875000,P1,2,70,43.000000
LH,50,172.250000,P1,5,50,44.000000
LH,53,172.250000,P1,5,53,44.000000
RH,65,172.250000,P1,2,65,44.000000
RH,70,172.250000,P1,2,70,44.000000
RH,77,172.250000,P1,1,77,44.000000
LH,48,172.625000,P1,5,48,45.000000
LH,51,172.625000,P1,5,51,45.000000
RH,79,172.625000,P1,1,79,45.000000
RH,67,172.666667,P1,2,67,45.000000
RH,70,172.666667,P1,2,70,45.000000
LH,46,173.125000,P1,5,46,46.000000
LH,50,173.125000,P1,5,50,46.000000
RH,68,173.125000,P1,2,68,46.000000
RH,70,173.125000,P1,2,70,46.000000
RH,80,173.125000,P1,1,80,46.000000
LH,46,173.666667,P1,5,46,47.000000
LH,50,173.666667,P1,5,50,47.000000
LH,53,173.666667,P1,5,53,47.000000
RH,70,173.666667,P1,2,70,47.000000
RH,82,173.666667,P1,1,82,47.000000
LH,39,174.250000,P1,5,39,48.000000
RH,67,174.250000,P1,1,67,48.000000
RH,70,174.250000,P1,1,70,48.000000
RH,79,174.250000,P1,1,79,48.000000
LH,46,174.375000,P1,5,46,48.500000
LH,55,174.625000,P1,5,55,49.000000
LH,46,174.875000,P1,5,46,49.500000
LH,39,175.125000,P1,5,39,50.000000
RH,70,175.125000,P1,1,70,50.000000
RH,82,175.125000,P1,1,82,50.000000
LH,46,175.375000,P1,5,46,50.500000
LH,55,175.666667,P1,5,55,51.000000
LH,46,175.875000,P1,5,46,51.500000
LH,41,176.125000,P1,5,41,52.000000
RH,82,176.125000,P1,1,82,52.000000
RH,94,176.125000,P1,1,94,52.000000
LH,46,176.375000,P1,5,46,52.500000
LH,56,176.625000,P1,5,56,53.000000
LH,46,176.750000,P1,5,46,53.500000
LH,41,177.000000,P1,5,41,54.000000
LH,46,177.250000,P1,5,46,54.500000
LH,56,177.375000,P1,5,56,55.000000
RH,70,177.375000,P1,1,70,55.000000
RH,82,177.375000,P1,1,82,55.000000
LH,46,177.666667,P1,5,46,55.500000
LH,43,177.875000,P1,5,43,56.000000
LH,46,178.250000,P1,5,46,56.500000
LH,58,178.500000,P1,5,58,57.000000
LH,46,178.666667,P1,5,46,57.500000
LH,43,179.000000,P1,5,43,58.000000
LH,46,179.125000,P1,5,46,58.500000
RH,67,179.250000,P1,1,67,59.000000
RH,79,179.250000,P1,1,79,59.000000
LH,58,179.375000,P1,5,58,59.000000
LH,46,179.625000,P1,5,46,59.500000
RH,77,179.750000,P1,1,77,60.000000
LH,44,179.875000,P1,5,44,60.000000
RH,65,179.875000,P1,1,65,60.000000
LH,46,180.000000,P1,5,46,60.500000
LH,56,180.250000,P1,5,56,61.000000
RH,62,180.250000,P1,1,62,61.000000
RH,74,180.250000,P1,1,74,61.000000
LH,46,180.375000,P1,5,46,61.500000
LH,34,180.666667,P1,5,34,62.000000
LH,59,180.666667,P1,1,59,62.000000
RH,71,180.666667,P1,1,71,62.000000
LH,46,181.000000,P1,5,46,62.500000
LH,58,181.125000,P1,1,58,63.000000
RH,70,181.125000,P1,1,70,63.000000
LH,53,181.250000,P1,5,53,63.000000
LH,46,181.375000,P1,5,46,63.500000
LH,39,181.666667,P1,5,39,64.000000
LH,58,181.666667,P1,1,58,64.000000
RH,70,181.666667,P1,1,70,64.000000
LH,46,181.875000,P1,5,46,64.500000
LH,55,182.125000,P1,5,55,65.000000
LH,46,182.333333,P1,5,46,65.500000
LH,39,182.500000,P1,5,39,66.000000
RH,70,182.500000,P1,1,70,66.000000
RH,82,182.500000,P1,1,82,66.000000
LH,46,182.750000,P1,5,46,66.500000
LH,55,183.125000,P1,5,55,67.000000
