hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,3.000000,P1,1,67,0.000000
LH,58,8.375000,P1,1,58,1.000000
RH,65,8.375000,P1,1,65,1.000000
LH,36,15.750000,P1,5,36,2.000000
LH,48,15.750000,P1,5,48,2.000000
LH,55,15.750000,P1,1,55,2.000000
RH,63,15.750000,P1,1,63,2.000000
RH,68,25.750000,P1,1,68,3.875000
LH,52,26.375000,P1,5,52,4.000000
RH,67,26.375000,P1,1,67,4.000000
LH,46,26.500000,P1,5,46,4.000000
LH,46,28.875000,P1,5,46,4.500000
LH,52,28.875000,P1,5,52,4.500000
RH,67,28.875000,P1,1,67,4.500000
RH,73,30.750000,P1,1,73,4.875000
LH,53,31.375000,P1,5,53,5.000000
RH,72,31.375000,P1,1,72,5.000000
LH,45,31.500000,P1,5,45,5.000000
LH,44,34.375000,P1,5,44,5.500000
LH,54,34.375000,P1,5,54,5.500000
RH,72,34.375000,P1,1,72,5.500000
RH,74,35.125000,P1,2,74,5.625000
RH,72,35.375000,P1,2,72,5.666667
RH,71,35.500000,P1,2,71,5.708333
RH,72,35.750000,P1,2,72,5.750000
LH,55,37.375000,P1,5,55,6.000000
RH,63,37.375000,P1,2,63,6.000000
RH,75,37.375000,P1,1,75,6.000000
LH,43,37.500000,P1,6,43,6.000000
LH,57,40.125000,P1,5,57,6.500000
RH,63,40.250000,P1,2,63,6.500000
RH,66,40.250000,P1,2,66,6.500000
RH,72,41.500000,P1,1,72,6.750000
LH,59,43.000000,P1,5,59,7.000000
RH,62,43.000000,P1,2,62,7.000000
RH,71,43.000000,P1,1,71,7.000000
RH,67,43.125000,P1,2,67,7.000000
RH,71,43.125000,P1,1,71,7.000000
RH,87,47.625000,P1,1,87,7.750000
LH,55,49.000000,P1,6,55,8.000000
RH,67,49.000000,P1,5,67,8.000000
RH,75,49.000000,P1,2,75,8.000000
RH,87,49.000000,P1,1,87,8.000000
RH,69,51.625000,P1,5,69,8.500000
RH,78,51.625000,P1,2,78,8.500000
RH,75,51.666667,P1,2,75,8.500000
RH,84,52.750000,P1,1,84,8.750000
RH,71,54.125000,P1,5,71,9.000000
RH,74,54.125000,P1,2,74,9.000000
RH,79,54.125000,P1,2,79,9.000000
RH,83,54.125000,P1,1,83,9.000000
RH,67,56.875000,P1,6,67,9.500000
RH,70,56.875000,P1,5,70,9.500000
RH,74,56.875000,P1,2,74,9.500000
RH,79,56.875000,P1,2,79,9.500000
RH,82,56.875000,P1,1,82,9.500000
RH,79,57.125000,P1,2,79,9.500000
RH,65,59.750000,P1,6,65,10.000000
RH,68,59.750000,P1,6,68,10.000000
RH,70,59.750000,P1,5,70,10.000000
RH,74,59.750000,P1,2,74,10.000000
RH,82,59.750000,P1,1,82,10.000000
RH,67,62.500000,P1,6,67,10.500000
