hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,48,11.000000,P1,6,48,0.000000
RH,66,12.500000,P1,1,66,0.375000
RH,69,13.125000,P1,1,69,0.500000
LH,57,14.875000,P1,5,57,1.000000
RH,67,19.000000,P1,1,67,2.000000
LH,48,19.125000,P1,6,48,2.000000
RH,69,21.500000,P1,1,69,2.500000
LH,57,23.500000,P1,5,57,3.000000
RH,69,25.625000,P1,1,69,3.500000
LH,54,25.750000,P1,5,54,3.500000
RH,75,27.250000,P1,1,75,3.875000
RH,75,27.875000,P1,1,75,4.000000
RH,74,30.125000,P1,1,74,4.500000
LH,47,30.250000,P1,5,47,4.500000
LH,55,30.250000,P1,5,55,4.500000
RH,62,30.250000,P1,2,62,4.500000
RH,67,31.750000,P1,1,67,4.875000
RH,67,32.500000,P1,1,67,5.000000
LH,50,35.000000,P1,5,50,5.500000
RH,66,35.000000,P1,1,66,5.500000
LH,57,35.125000,P1,5,57,5.500000
RH,60,35.125000,P1,2,60,5.500000
RH,69,36.750000,P1,1,69,5.875000
RH,69,37.500000,P1,1,69,6.000000
RH,71,38.750000,P1,1,71,6.250000
LH,43,40.250000,P1,5,43,6.500000
LH,59,40.250000,P1,2,59,6.500000
RH,62,40.250000,P1,2,62,6.500000
LH,55,40.333333,P1,5,55,6.500000
LH,59,42.750000,P1,2,59,7.000000
RH,62,42.750000,P1,2,62,7.000000
LH,43,42.875000,P1,5,43,7.000000
LH,55,42.875000,P1,5,55,7.000000
RH,75,47.000000,P1,1,75,8.000000
LH,53,47.125000,P1,6,53,8.000000
RH,74,48.875000,P1,1,74,8.375000
RH,77,49.375000,P1,1,77,8.500000
RH,62,51.375000,P1,5,62,9.000000
LH,59,53.750000,P1,5,59,9.500000
RH,77,55.500000,P1,2,77,9.875000
LH,53,56.000000,P1,6,53,10.000000
RH,74,57.500000,P1,1,74,10.375000
RH,77,58.000000,P1,1,77,10.500000
RH,62,59.875000,P1,5,62,11.000000
RH,74,62.125000,P1,1,74,11.500000
LH,59,62.250000,P1,5,59,11.500000
RH,80,63.750000,P1,1,80,11.875000
RH,80,64.375000,P1,1,80,12.000000
RH,79,66.750000,P1,1,79,12.500000
RH,67,66.875000,P1,2,67,12.500000
LH,51,67.000000,P1,5,51,12.500000
RH,60,67.000000,P1,5,60,12.500000
RH,72,68.625000,P1,1,72,12.875000
RH,72,69.333333,P1,1,72,13.000000
RH,71,71.666667,P1,1,71,13.500000
LH,55,71.750000,P1,5,55,13.500000
RH,62,71.750000,P1,5,62,13.500000
RH,65,71.750000,P1,2,65,13.500000
RH,74,73.625000,P1,1,74,13.875000
RH,74,74.333333,P1,1,74,14.000000
RH,63,77.125000,P1,2,63,14.500000
LH,48,79.625000,P1,5,48,15.000000
RH,60,79.625000,P1,5,60,15.000000
RH,63,79.625000,P1,2,63,15.000000
RH,67,82.375000,P1,1,67,15.500000
LH,56,83.500000,P1,5,56,15.750000
RH,60,83.500000,P1,5,60,15.750000
RH,63,83.500000,P1,5,63,15.750000
RH,68,83.500000,P1,1,68,15.750000
RH,72,84.875000,P1,1,72,16.000000
LH,55,85.000000,P1,5,55,16.000000
LH,58,85.000000,P1,5,58,16.000000
RH,63,85.000000,P1,5,63,16.000000
RH,70,86.666667,P1,2,70,16.375000
RH,69,87.000000,P1,2,69,16.437500
RH,70,87.333333,P1,1,70,16.500000
LH,55,87.375000,P1,5,55,16.500000
LH,58,87.375000,P1,5,58,16.500000
RH,64,87.375000,P1,5,64,16.500000
RH,72,89.125000,P1,1,72,16.875000
RH,73,89.875000,P1,1,73,17.000000
LH,52,92.625000,P1,5,52,17.500000
LH,55,92.625000,P1,5,55,17.500000
RH,60,92.625000,P1,5,60,17.500000
RH,72,93.250000,P1,1,72,17.625000
RH,82,94.000000,P1,1,82,17.750000
LH,52,94.125000,P1,5,52,17.750000
LH,55,94.125000,P1,5,55,17.750000
RH,60,94.125000,P1,5,60,17.750000
RH,79,94.666667,P1,1,79,17.875000
RH,79,95.375000,P1,1,79,18.000000
LH,52,95.500000,P1,5,52,18.000000
LH,55,95.500000,P1,5,55,18.000000
RH,60,95.500000,P1,5,60,18.000000
RH,68,104.625000,P1,1,68,19.500000
RH,67,107.875000,P1,1,67,20.000000
LH,38,108.000000,P1,6,38,20.000000
LH,51,108.000000,P1,5,51,20.000000
LH,57,108.000000,P1,2,57,20.000000
RH,60,108.000000,P1,2,60,20.000000
RH,66,109.750000,P1,1,66,20.375000
RH,69,110.250000,P1,1,69,20.500000
LH,42,110.333333,P1,5,42,20.500000
LH,45,112.625000,P1,5,45,21.000000
LH,46,115.125000,P1,5,46,21.500000
LH,50,115.125000,P1,5,50,21.500000
LH,58,115.125000,P1,5,58,21.500000
RH,62,115.125000,P1,2,62,21.500000
RH,69,115.125000,P1,1,69,21.500000
RH,67,117.000000,P1,1,67,21.875000
LH,45,117.625000,P1,5,45,22.000000
LH,50,117.625000,P1,5,50,22.000000
LH,57,117.625000,P1,5,57,22.000000
RH,60,117.625000,P1,2,60,22.000000
RH,62,117.625000,P1,2,62,22.000000
RH,67,117.625000,P1,1,67,22.000000
LH,42,123.500000,P1,5,42,23.000000
LH,54,123.500000,P1,5,54,23.000000
LH,57,123.500000,P1,2,57,23.000000
RH,62,123.500000,P1,2,62,23.000000
RH,70,123.500000,P1,1,70,23.000000
LH,50,123.625000,P1,5,50,23.000000
RH,74,130.125000,P1,1,74,24.000000
RH,72,130.625000,P1,1,72,24.125000
RH,70,131.125000,P1,1,70,24.250000
RH,69,131.625000,P1,1,69,24.375000
RH,72,132.125000,P1,1,72,24.500000
RH,78,132.875000,P1,1,78,24.625000
RH,81,133.500000,P1,1,81,24.750000
RH,84,134.000000,P1,1,84,24.875000
RH,82,134.625000,P1,1,82,25.000000
RH,81,135.125000,P1,1,81,25.125000
RH,79,135.625000,P1,1,79,25.250000
RH,84,137.375000,P1,1,84,25.625000
RH,86,138.000000,P1,1,86,25.750000
RH,87,138.666667,P1,1,87,25.875000
RH,86,139.333333,P1,1,86,26.000000
RH,84,140.000000,P1,1,84,26.125000
RH,82,140.625000,P1,1,82,26.250000
RH,81,141.125000,P1,1,81,26.375000
RH,84,141.750000,P1,1,84,26.500000
RH,81,142.500000,P1,1,81,26.625000
RH,79,143.125000,P1,1,79,26.750000
RH,78,143.666667,P1,1,78,26.875000
RH,84,144.250000,P1,1,84,27.000000
RH,74,152.125000,P1,1,74,28.000000
LH,54,152.333333,P1,5,54,28.000000
LH,57,152.333333,P1,5,57,28.000000
RH,62,157.375000,P1,5,62,28.875000
LH,54,158.000000,P1,5,54,29.000000
RH,62,158.375000,P1,5,62,29.125000
LH,54,159.000000,P1,5,54,29.250000
LH,57,159.000000,P1,5,57,29.250000
LH,55,160.250000,P1,5,55,29.500000
LH,59,160.250000,P1,5,59,29.500000
RH,62,160.875000,P1,5,62,29.625000
RH,67,161.250000,P1,1,67,29.750000
LH,55,161.500000,P1,5,55,29.750000
LH,59,161.500000,P1,5,59,29.750000
RH,62,162.000000,P1,5,62,29.875000
RH,67,162.375000,P1,1,67,30.000000
LH,57,162.500000,P1,5,57,30.000000
RH,62,163.000000,P1,5,62,30.125000
LH,57,163.500000,P1,5,57,30.250000
RH,60,163.500000,P1,5,60,30.250000
RH,62,164.000000,P1,5,62,30.375000
RH,66,164.000000,P1,2,66,30.375000
RH,66,164.625000,P1,1,66,30.500000
LH,57,164.666667,P1,5,57,30.500000
RH,60,164.666667,P1,5,60,30.500000
RH,62,165.000000,P1,5,62,30.625000
LH,57,165.625000,P1,5,57,30.750000
RH,60,165.625000,P1,5,60,30.750000
RH,67,165.625000,P1,1,67,30.750000
RH,69,166.625000,P1,1,69,31.000000
LH,57,166.750000,P1,5,57,31.000000
RH,60,166.750000,P1,5,60,31.000000
RH,62,167.125000,P1,5,62,31.125000
LH,55,167.875000,P1,5,55,31.250000
